#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	mglB//tnaC//rrlD//gspG//
FNR-[4Fe-4S]2+ reduced	cyoD//tauD//fucR//atoB//ykgM//fucU//gadB//aroH//caiB//xylF//glpC//yeiB//xylR//feoA//narK//hcr//emrY//ccmH//aaeR//hyfA//tdcB//phnL//rpsO//napH//nrfE//moaD//mhpA//sgbU//malS//dpiA//mdh//mntP//paaB//yaeQ//frdD//cysG//recF//ahpC//rpsR//bglB//puuC//argA//sdhC//fepC//putP//flhD//sufA//aceB//csiE//hycB//nrfA//ygeH//recF//rutE//copA//gpsA//galT//ptsH//ompA//dppC//tauD//soxS//argT//sbcD//citG//oppD//rrsA//nupC//chbB//glcA//allE//yfiP//hdeB//ynfK//zraP//lpxA//comR//lrp//dcuD//tap//dadA//ulaC//sxy//cheA//uxuR//hypE//agaV//dgcZ//mhpT//psiE//phnK//hyfD//dadA//yhjA//bcsA//yiaK//nikC//abgA//tdcC//nuoE//sxy//cas2//cspD//sgbE//tauB//xylG//napB//pyrD//napA//rutA//nirC//citE//ycjF//gspK//ynfE//yhjC//hisP//yaiW//paaA//sufS//pstS//allE//uxaC//fimE//malG//uxaA//sucB//alkA//envZ//betB//ahpC//lysU//ccmG//tadA//glpR//gspM//yfeW//fecI//rpsC//hybO//uxuA//bioA//deoA//fabZ//hisQ//ydeO//fadE//nanC//xdhC//ydhY//rdoA//tehB//uidA//frdA//cysD//pta//lyxK//malX//cynS//ilvC//ppiA//hyfD//rplW//ydeP//paaH//citX//dsdX//lacA//tyrP//glpG//abgB//ugpA//speB//hflX//ysgA//ompX//cysW//speC//rplD//nikE//argG//hdeD//nuoB//pgaA//citG//cstA//fldA//nirB//qseB//fepD//galK//sxy//yqaE//sbmA//nupC//garK//entD//cysA//tnaA//aspA//pheS//yiaM//marR//dmsB//bioA//rseC//sdaA//tehA//ygiA//entC//mhpE//moeB//uidA//gatB//rpsQ//livK//yiaL//fucP//rpsP//glgA//gntR//znuA//yebE//trmD//murQ//bioB//znuB//sroD//tsr//aceB//recF//rnhB//narL//nirC//srlD//tyrA//mhpF//bdcA//ilvY//cysU//tdcA//rdoA//glgC//glnL//hyaC//stpA//aer//ssrS//deoC//treB//cheB//zntA//ssb//aldB//rprA//rrfD//idnR//citC//paaE//tdcF//ung//hydN//fadL//rutE//norR//miaA//gspH//ispE//oxc//purB//xylA//prpD//ygeH//aceB//pgaD//hlyE//infB//bcsZ//manY//gspL//hflD//gntX//folA//arcA//nhaR//sdaA//deoA//yiaN//rplC//mgtA//gltB//yiaJ//pyrD//xseA//hyfA//yiaM//agp//glnB//fucP//uxuB//nrdF//ihfA//fimG//sdhA//phoE//
FhlA-Formate	nikB//murQ//phnC//ahpC//hofN//purR//ppiA//allE//nikD//citD//hemA//cynX//chbC//rrsC//cyoB//xapA//tam//glcG//pncB//nagC//pgk//idnR//rpoE//osmC//sodA//ftnB//hyaD//bhsA//phoP//borD//
FucR-L-fuculose-1-phosphate	araF//trpB//arcA//fucA//hypA//ndh//fixA//
Fur-Fe2+	rhaD//crp//artQ//ydeO//nrfF//rrfB//rrsC//ugpA//hofP//hdeD//gltF//rcnB//artP//trg//betT//ygbA//ynfK//borD//nanC//infC//fucU//csgA//glcF//rrlC//cysI//acrB//ygiB//ampE//ascF//evgA//hslJ//cadB//dsdX//acnB//trxA//yaiW//infB//ppiD//gspI//rutE//ydeN//gltT//chbG//rseA//fhuD//folE//fadB//livF//gltA//rhaD//hypF//mglA//rpsS//ysgA//rutE//glgC//grcA//aroF//fecD//uxuA//garP//kbl//pstC//waaH//nrfE//pagP//treC//mhpT//pagP//rhaD//aceK//araC//fau//moaE//phnF//dcuS//agp//hycD//cspD//rseC//rseC//deoB//trpE//evgA//yqjH//entD//yjeV//agaA//hybA//copA//nadC//rbsD//amn//gatY//hypD//alkB//yqjH//trpD//citD//hupA//malY//hflC//dppF//metI//hdeD//rplW//aaeA//caiT//ydeA//lpxD//tolC//ldtC//hofC//yaiW//codA//uvrA//ileU//yecR//ilvH//cusB//glgP//bcsZ//moaC//lsrB//caiA//citF//aceE//chiP//yqjH//carA//gatC//purN//paaH//alkA//yaeQ//glcF//lacY//oppB//chbF//ilvA//
Fur-Mn2+	citF//treR//fecE//cydD//aaeX//caiD//emrY//gltA//flhC//nohA//crp//ydeM//sucA//pagP//phoH//tonB//hycI//mtr//yiaL//glcF//citF//mtlA//yaiW//ldtC//yfeW//yjjZ//glcF//atoE//icd//miaA//pck//gdhA//infB//norR//fucK//pncB//uhpC//idnT//azuC//moaE//lsrC//tpx//napG//gltT//rpsO//glpQ//dppD//amn//qseC//tsx//lpxD//gspL//rybA//caiF//efeU_2//ldtC//garP//gatY//katE//edd//metY//malG//phnL//safA//fecD//rplC//fixB//flhD//fepD//aroF//gcvT//hyfD//cusC//ugpB//artI//nanC//hcp//ampE//sgbU//feoA//grxD//tnaC//yiaN//acnB//lsrR//yidQ//ndh//fepG//fnrS//garL//cydA//chbR//ompC//metN//ampE//ugpC//emrY//rnpB//adhE//rcnA//cynR//mhpE//ulaF//fadI//ahpF//tauD//gspD//casE//bcsA//sufB//uidB//ppiA//thrS//cysP//trpR//dcuA//udp//sucB//yegZ//upp//hybB//ccmA//phnC//mhpR//glgX//cyoD//hisQ//ydeM//oxyR//fadB//moeB//chbG//ileV//narQ//znuC//ydhU//pyrC//ynfK//mhpB//avtA//
GlcC-Acetate	hyaE//entH//xdhA//cheZ//ilvN//cysG//bioA//
GlcC-Glycolate	hofM//tdh//artQ//gatA//nuoM//uxuA//alkA//
GlrR-Pasp56	bamA//
IclR-pyruvate	agaV//yecR//cusF//pstA//
IdnR-5-ketogluconate	arcZ//rrfF//sohB//hypB//sufD//paaC//betI//rpsR//
IdnR-Idonate	manZ//napD//astC//ahpF//fadA//srlR//dkgB//nanK//
IlvY-2-acetolactate	malP//micF//
IlvY-Alfa-acetohydroxybutirate	dcuD//trpR//
IscR-[2Fe-2S]1+	ssuB//fimH//rpsR//fimD//trpD//pgaA//pstS//ssuD//hcp//speB//purA//rseB//hyfG//prpC//bglG//pstA//cusC//entS//xdhB//gdhA//glcG//bhsA//hybF//tar//napD//acnB//ybfN//manZ//yneM//fecI//argI//fimH//znuB//glcE//glpR//araH//casE//casA//cynX//cusF//prfA//
LldR-L-lactate	ykgR//xdhC//metE//
Lrp-Leucine	znuA//nikD//mtlR//cheR//norW//rhaS//malZ//nuoH//metH//ydeM//rpsJ//cyaR//melA//icd//fhuD//glpQ//efeU_2//ppdD//purM//fimC//fucP//hdeA//cysC//ompR//manY//lysU//ydeA//xylA//phoB//sxy//xdhB//mdtD//ycdZ//znuA//hyaE//entB//dcuD//adhE//ptsG//dnaN//gutM//fhlA//uxuR//norW//glgP//metC//tyrB//nikC//hydN//truB//sufD//rrsD//trmD//metI//yeiL//glcD//nhaR//katG//ahpF//yaeP//nuoK//fhuD//lsrC//gpsA//prpB//speB//spy//dcuS//hyfF//cysK//cusR//fes//ygiC//nagE//fes//nuoI//galT//uraA//rimP//ydfN//hycB//atoE//pstS//cysI//hisQ//manY//galE//appA//marA//ilvG_2//mtr//mtr//gltV//yegZ//rrsC//mhpE//nanS//ydhY//motB//ynfE//ilvG_2//arcZ//fdnH//trpA//marR//tdh//
LsrR	bacA//hypB//glcF//uxaA//tolC//hyaF//feoB//efeU_1//argR//
MalT-ADP-Maltotriose	thrV//tsgA//dcuR//dcuR//torA//purB//dppF//paaE//agaV//serA//
MalT-Maltotriose-ATP	fiu//hemA//caiF//dnaA//creB//dcuC//azuC//lysC//bioD//cstA//
MelR-Melibiose	hflX//focA//nrdB//
MetJ-S-adenosylmethionine	aaeB//ilvI//dsdC//phnE_2//rbsK//uof//sdhA//pheM//purM//glgX//ydbD//ompT//fecB//ydhU//ydbD//
MetR-L-homocysteine	betB//dusB//cheZ//cheW//malM//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	kbaZ//slt//yiaL//glgS//feaB//casA//
MhpR-3HPP	uxaA//dpiA//nrdI//fhuA//mdtD//glcA//
MntR-Cd2+	ycjF//allC//ptsI//ptsI//cusS//
ModE-MoO42-	metF//yeaE//yegR//ompR//cusA//gpmA//gltT//ilvD//hslJ//nrdA//pgaC//rhaA//alaU//ubiX//rhaT//garP//agaA//purA//yeiP//fepA//hybO//hmp//nrdD//purN//atoD//mgrB//cpxA//dnaA//yhcH//fdhF//ydeP//cspD//borD//ulaE//ygiC//ampD//mdtA//sufC//guaB//nuoE//borD//napF//slyB//kbl//sdhD//ilvE//
NarL-Phosphorylated	tap//emrY//leuE//envY//ompR//actP//ileV//artI//cysI//nrfF//iscS//ilvY//nrfA//mtlR//cysB//aaeX//hyaE//nrfE//yeiB//rseB//ilvB//mzrA//acrB//glnD//nuoK//napB//ndh//uxaC//artJ//nirC//gntT//cyoE//dcuR//citD//hupA//glcF//purE//galM//phoQ//argC//betI//rseC//fecR//cysN//yibN//caiF//xylB//hisQ//ccmA//tsx//lacA//gntP//arfB//fhuA//pgk//fucR//alaV//hyfG//ycjF//gabT//glyA//hyaE//phoA//chbC//xylA//glgX//cadC//lacY//hofM//phoU//sucD//paaH//deoB//melB//hyfF//gapA//micF//uidB//yeiB//cysB//cusA//asr//manZ//mtr//psd//lsrB//glgP//ydfN//idnR//ampE//phnD//fabZ//phoU//cynS//malT//ygbA//yjeV//sdaA//gntK//artP//ampE//tdcC//argG//argH//gabD//deoD//mntH//malZ//entS//marR//fixX//fimA//uxaB//xapA//ccmF//focA//moeB//treR//fixC//secB//entD//ynfE//cyoD//dps//rprA//
NarP-Phosphorylated	srlA//rseA//paaD//caiE//alkA//dmsD//dcuA//fhuD//ftnB//malQ//preT//acs//trpE//paaJ//modC//melB//recF//ilvD//nanM//fhuC//rprA//fes//safA//glyA//gntT//hyfJ//abgT//citF//malT//mscM//fucP//malP//lldR//mzrA//rpsF//treB//pck//rrsD//fecE//paaH//paaC//acrA//nrfC//znuB//mdtC//araH//priB//nanM//raiA//hofP//
NhaR-Na+	mtr//pck//argB//hflD//ilvC//nrfF//puuA//
NikR-Cd2+	yqjA//ybfN//hybA//xdhB//galK//oppA//
NikR-Co2+	alaV//mhpR//glpC//pflB//nirD//narX//
NikR-Cu2+	hemA//moeB//ubiG//narX//napH//ogt//
NikR-Ni2+	uxaC//nrfB//glpR//fecE//cusB//citX//
NikR-Zn2+	hupB//mpl//pnp//hybG//cas1//xylB//
NrdR-ATP	aaeR//glcE//rof//mgrB//iscU//caiD//rpsF//purH//ysgA//
NrdR-Zn2+	phoP//abgA//speB//ydeO//pgaA//aaeR//cheW//trpA//aceB//
NrdR-dATP	gcvH//phnE_2//uidB//ackA//avtA//yibN//prpR//hisP//zraS//
NsrR-[2Fe-2S]reduced	tcyJ//cpdB//yqjH//uhpC//feaB//yqjI//manZ//miaA//marA//rpsC//ssuC//rseB//paaE//ilvX//chiP//leuE//ndh//waaH//ycjX//ugpB//fumC//mglC//hyfC//azuC//aspC//ybjG//psd//nanC//leuE//cysU//glgX//tdcE//manZ//chbF//agaV//ydeJ//rseB//argI//argT//ilvH//nrdD//yqaE//nrdD//hyfE//glgP//uxaB//proP//argD//dcuD//betA//dcuR//frc//gadC//ynfF//aspA//hyaD//nuoH//sufE//metQ//ldtC//nuoE//fucK//acs//metI//pagP//lsrR//tnaC//glpG//prfA//yibN//atoA//ada//ilvD//
PhoB-Phosphorylated	ssb//norR//paaD//ubiG//narJ//ebgC//hofP//paaB//pdeF//uhpC//yoaC//nanK//ynfK//hyfF//pitA//cysD//treB//chbB//sbmC//nuoG//cspE//glcE//fimC//gnd//arcZ//bamA//dcuB//uidA//argP//nikD//rhaA//hyfI//hypC//purH//copA//fhuA//gcvP//lpxA//tsr//lyxK//thrS//aaeB//efeU_2//ptsH//tar//ydeA//narG//fur//pgaB//nrdI//glpQ//phnO//puuB//yaiA//yojI//purR//mutY//preA//crr//glpT//nrdI//
PhoP-Phosphorylated	casC//mgtL//dnaN//serC//tpx//rplS//hypC//yccA//gcvP//cyoD//pflB//bcsA//rutA//fis//mscM//fecC//soxS//ccmB//phnP//xylA//envZ//uxaA//moaD//glcB//speA//hdeA//alaT//recF//tsgA//caiD//ygbA//fucA//ilvI//galP//nrdG//treR//dsdX//edd//gnd//hypD//nuoB//entA//ygiA//yjcH//cysN//cspE//ampD//hofC//uxuA//bacA//purD//cyaR//tomB//ptsG//allD//raiA//galK//
PrpR-2-methylcitrate	dkgB//allD//grxD//nagA//bcsB//
PurR-Guanine	speB//ilvD//rcnB//ysgA//frc//dnaA//phoR//aaeX//ysgA//tam//casD//paaJ//dgcZ//alaV//ygiB//dapB//amtB//nrdF//dpiB//galS//tehA//yoaG//ynfF//cadA//hofM//argT//lacI//secB//idnO//map//trg//tyrR//tsx//moaA//
PurR-Hypoxanthine	cpxR//tap//sdaA//yccA//acrF//cynX//crr//hycE//idnK//ynfF//mdtB//arcZ//dsbA//ndh//moaA//trpA//phnE_1//mltC//galE//mglC//mutL//pstS//nfuA//fliZ//trpL//aidB//melR//tauD//ung//acrF//yciW//hdeD//bamE//crr//
QseB-Phosphorylated	dctA//malI//astB//pstC//
RhaR-L-rhamnose	iscR//bioC//
RhaS-L-rhamnose	lpxB//deoC//crr//aaeX//dgcZ//feoC//
RstA-Phosphorylated	cpxA//araA//csgA//uhpT//sxy//cadB//talA//metR//ybiT//ydhY//
SoxR-[2Fe-2S]3+ oxydized	moeA//ychH//garP//astC//
TorR-Phosphorylated	nuoK//nuoJ//uxuR//fepC//borD//ulaE//ompA//znuB//hfq//hcp//
TrpR-Tryptophan	ugpA//speB//fecI//betB//rbsC//hyfB//metF//dsdC//frdD//appY//rrfH//hflD//
TyrR-L-tryptophan	lpd//metR//fimH//aceB//phnO//psiF//ilvM//xylB//garP//ysgA//galE//yidQ//evgA//rbsB//
TyrR-Phenylalanine	hisM//zraS//yebE//nikD//cusB//cspD//yaeP//cstA//asr//gspF//iscA//narI//fhuD//dcuC//
TyrR-Tyrosine	gatC//acnA//napC//hofO//melB//alaA//uidC//yiaL//fur//mutL//idnD//tyrB//glpR//rrlB//
UhpA-Phosphorylated	garL//
XapR-xanthosine	atoB//pgpC//
XylR-Xylose	hisQ//dsdX//grxC//artM//rbsC//ulaC//
ZntR-Cd2+	galE//
ZntR-Hg	feoC//
ZntR-Zn2+	yedX//
ZraR-Phosphorylated	metJ//paaC//rstA//
Zur-Zn2+	lsrK//appA//yegZ//bcsZ//entH//ybdZ//
