#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	nupC//nuoH//mhpE//iscU//
ChbR-Monoacetylchitobiose-6P	dcuA//hdeA//prpC//nanT//malE//nrdF//
CpxR-Phosphorylated	atoE//serC//phnH//ynfK//artI//fucI//ssuB//katE//gltA//napF//nagB//cydB//zntA//norV//grcA//aceF//caiT//glgP//yedX//fiu//ydhT//gatY//fhuF//argD//artP//ubiG//dppC//araD//katG//alaA//nuoK//nagC//fhuF//epd//fixX//tdcB//cheR//uidC//gspK//rrfF//ydeM//talA//fimD//glnG//mdtA//cysM//gspG//ulaF//xylR//bamA//bcsB//rplM//iraM//emrK//entC//phnD//phoU//ulaA//rrfD//hyfD//psiF//fhuA//hyfG//purM//narQ//glpK//spy//nuoC//grxC//
CreB-Phosphorylated	pstC//narK//glpA//gpmA//deoC//xylF//yhiD//rpoE//emrY//
CueR-Ag	lsrG//tdcB//dmsB//cyoC//srlR//ytfE//cspD//
CueR-Cu+	ydbD//metK//secB//rplB//grxC//rplS//modA//
CuerR-Au	nagA//ulaE//nlpE//fimH//fadL//fimE//flhC//
CusR-Pasp	yhfA//ugpE//ynfE//cysW//treR//ugpQ//spy//arcA//aspC//gltV//hha//gapA//
CynR-Cyanate	lsrK//fecB//fhuD//pyrC//
CysB-N-acetyl-L-serine	narI//nhaA//fecD//rimP//tpx//hypD//qseC//uhpA//ebgA//chbR//caiA//appC//cueO//atoB//metC//mutL//citD//xylR//dcuC//fau//rnlA//rhaR//fimD//yibN//trpC//ilvC//entA//gpsA//hisQ//rrfG//
CysB-O-acetyl-L-serine	ydfN//hypD//hycE//argB//rstB//chbC//serA//cyaR//codB//yeiL//ogt//ompX//qseB//hybG//cyoD//fhlA//fumB//hybB//manY//mdtD//metR//tktB//adhE//waaH//cysW//caiT//ahpC//prpR//casB//glcD//trpL//
DcuR-Phosphorylated	preT//hycI//infC//ydeA//trpB//hdeB//phoH//nhaA//rbsK//
DnaA-ATP	lyxK//glgB//yeaD//yegR//pheS//gabP//rrfG//paaA//aceF//pta//mltC//metQ//
DpiA-Pasp	grpE//gdhA//cueO//napH//ada//focA//aroA//srlE//metL//pheT//fimH//
DsdC-D-serine	nrdB//nuoI//alaA//
EvgA-Phosphorylated	rplV//cydC//nanT//malM//tdcE//ahpC//yqaE//ppdD//ynfK//dgcZ//soxR//yhjA//cheW//acs//hdeD//
FNR-[4Fe-4S]2+ reduced	glpX//purM//feaB//fimE//yqjA//glgS//purN//galS//purB//xapA//marA//fhuB//nuoL//soxR//ilvM//trpL//astC//argH//trpB//yfdE//fucK//moaA//rbsC//yidQ//rpsJ//ydeM//purB//yaiA//fadJ//phnD//paaH//ilvE//pflB//hupA//nupC//crr//soxR//glpB//iraM//hisJ//rpoE//ynfE//fucR//lhgO//flhC//fucA//ompX//ilvD//yeiW//mtr//moeB//malZ//metE//ssuE//nanC//ssb//rnhB//rseA//talA//dcuS//hycI//yhcH//pyrC//glpD//mtlD//ssuC//yeaE//gspC//hycH//epd//nanM//phoP//folE//rplW//mgtA//phnE_1//ygaC//cpxA//gcd//grpE//phnP//xylG//dpiB//aaeR//paaB//nrfE//rutF//frdB//hofC//puuD//agaW//pyrD//ydiU//chbB//acrB//mdtD//fadA//ygeA//rrsD//gltT//paaZ//deoA//cysA//idnT//araC//ilvB//torR//bglB//hyaD//nuoN//fur//hflC//fimH//ydhX//rmf//dmsD//manA//psiE//manX//ydeP//yibN//prs//hyfD//galK//garK//yfdX//astE//rbsR//fadI//dctA//nmpC//metL//dusB//atoD//arcZ//ilvH//ebgC//nuoH//qseB//ssuB//borD//cstA//ccmE//micF//rrsA//hycE//yrbL//fecA//hofN//fadJ//pstB//lacZ//malE//ugpA//gabD//cbl//mgtL//yfdV//hcp//rbfA//yeiB//malM//cysM//yojI//ycdZ//nuoJ//nrdH//dsdX//katG//malI//guaA//ycjF//nagC//hybA//cheW//phnP//bglF//fadI//rybA//adiC//gltW//melA//rrlG//rpoH//gspE//glgS//hyaF//tauD//metH//skp//xylG//icd//ycjF//rimM//uhpC//alkA//narH//rmf//rrlE//trg//rhaD//cdd//rplI//caiF//emrK//pflB//trg//hycH//oxc//uxuR//gspO//ivbL//abgA//uhpB//arcZ//hycC//dppA//fucU//galT//yjiY//oppC//rhaB//aceA//truB//tolC//mgtA//hybG//stpA//pheT//ydhU//rhaS//hflK//thrS//phnM//manY//ynfF//nikD//glyA//spf//puuR//ilvY//ydhW//paaJ//cysN//gatB//aceK//astE//grpE//alaT//ydeO//ygiA//appB//xylR//mltC//phnD//hybG//rplT//bglF//galS//metK//ptsI//lysU//rpsR//uxaA//yfdV//ilvX//hcp//astC//rrsG//oppB//dctA//bioB//cysG//ompA//aceE//ssb//fimI//fliZ//gspJ//nrdA//pagP//malK//aaeB//astA//hycB//csgA//baeR//frdD//livM//cheB//dsdA//betT//entB//pck//qseC//proP//cydA//fimA//ychH//cysB//caiD//metE//torC//melA//csiE//
FhlA-Formate	ompW//glpD//chbA//lsrK//fimG//pncB//bcsZ//cheB//phnI//phnK//gltU//evgA//secB//umpH//cpxR//artP//ydeJ//araA//gspG//sroD//phoE//nikA//csiE//mtlD//rbsR//chbG//hisQ//malT//ykgO//ydhW//
FucR-L-fuculose-1-phosphate	ybdN//rdoA//paaD//nirD//baeR//hybD//nrfE//
Fur-Fe2+	csiE//acs//csgD//iscR//rrlD//mgrB//sodA//ilvE//fimA//sbcC//miaA//ssrS//bglB//uhpB//glpE//gdhA//glrR//tauA//rbsC//ccmH//caiE//idnD//trpE//csgC//ebgA//uhpT//alkA//ascF//ompX//nanM//gntK//araF//ydhU//ydeP//rpmC//gcvP//glgP//betI//gntX//spf//yeiL//yeiL//efeU_2//rplT//argT//idnO//pdhR//ileU//ascF//entS//araG//pstC//tktB//phnM//hydN//rpsQ//appA//grxD//prpC//folE//hflC//ilvG_2//tsaE//nuoE//cysW//ccmG//tauB//glpB//dkgB//ompX//sucB//nagC//nuoI//rnlA//rplB//mltC//rseA//srlB//citC//paaD//ybfN//borD//lamB//cysC//glpG//hybD//fnr//edd//yeiB//pflB//fes//glpC//sbmC//dcuR//xapB//puuE//avtA//torD//ebgA//cytR//phoU//casC//tdcG//nrdH//aspA//leuE//yeiB//ilvI//fhuB//ftnB//xdhC//cynX//cysW//galS//nuoJ//glpQ//rrsD//glcC//cadC//mzrA//yedX//yhjA//rnhB//iclR//dsbA//mepH//glpE//metE//nlpD//gltU//ppdD//melR//baeS//betT//caiF//gspH//lysO//cas1//hflD//cyoA//
Fur-Mn2+	malY//talA//ccmF//glgB//exbB//tsaE//rpoH//phoH//citE//nhaR//ykgO//tyrB//slt//bacA//phnC//mcaS//fhuE//gspI//metQ//atoB//gatC//ompW//emrK//uhpA//ccmB//yjeF//yiaJ//argC//hybB//rrfD//erpA//zntA//nikC//pgaB//ydiU//rimM//zinT//aspC//lamB//fimD//nrdD//rhaR//fau//ygiB//rutD//mdtA//rmf//yeiL//exbD//ccmA//sdhB//idnO//tdcC//fecE//hybE//ydeA//dnaE//citC//entE//moaA//glgC//gspI//rrfF//hypA//metE//ileT//paaC//yeiP//murP//cheZ//hybE//pflB//bcsA//yqjH//rbsD//efeU_2//dppD//dppF//iscS//narJ//narJ//gnd//hslJ//patZ//caiC//ykgR//yccA//ppdD//astE//aroA//dkgB//feoB//baeS//ccmE//tpx//mntS//gutQ//rnhB//yeaD//grpE//malT//ynfK//artQ//fhlA//metH//ompF//paaF//yeiW//rutC//talA//rpsP//sufS//nohA//gutQ//idnO//ygbA//xylG//tdcE//icd//ihfA//rpoE//pck//aroA//glnK//safA//focB//araF//rutD//nanS//fdhF//ada//priB//dadA//efeU_1//uvrA//glnB//zraS//rutE//yiaK//cyoC//
GlcC-Acetate	gatC//metB//allD//lamB//adhE//mgtA//caiT//
GlcC-Glycolate	fliZ//glpA//caiD//tnaC//fumC//ydbD//fucI//
GlrR-Pasp56	xdhC//
IclR-pyruvate	nanE//zraS//dcuC//talA//
IdnR-5-ketogluconate	yfiP//csgB//ulaE//fecE//garK//uxaA//aceK//rpsJ//
IdnR-Idonate	pdeF//avtA//glpQ//ampE//ileT//rplS//nrfB//fdnG//
IlvY-2-acetolactate	yaeP//marB//
IlvY-Alfa-acetohydroxybutirate	baeR//purD//
IscR-[2Fe-2S]1+	dnaN//preT//ompF//lacZ//nrfE//galT//gspE//hyaC//phoR//hybB//pgaA//mhpT//yedX//rrlG//rplP//yaiA//rpmC//prpR//fadH//garL//ccmD//yiaO//ppiD//rpsO//oxc//gltB//oppC//bioF//pitA//dpiB//rrlH//argE//xseA//glcF//ompW//rhaB//ydeM//gspK//dctA//hyfE//hofN//
LldR-L-lactate	nupC//srlD//creB//
Lrp-Leucine	ybjG//gabT//ugpC//hyaA//hycD//fepD//glpA//map//glgB//ybfN//ynfG//fucA//ascF//gspK//mtlD//fecD//cadB//gspC//nuoN//hyfH//aspC//yaeP//malT//ybiT//puuD//thrS//garP//bglB//yiaM//pdhR//glpE//glgX//puuA//malT//sdhC//yqaE//adhE//argI//garL//glgB//entD//gspK//borD//hupB//ydbD//entB//ampE//gltF//trpL//dctA//rpsP//malI//treC//folA//creB//iscA//gltF//lhgO//gspK//nanE//glpX//torA//metF//yiaJ//ompA//garP//evgA//fhlA//xylF//dsdA//livK//hflD//ebgA//rbsB//malS//yegZ//ssuE//fhuE//ompX//metC//upp//bcsZ//ilvD//appX//glpB//nanK//sufS//fur//sgbU//ydbD//xylA//xylG//ynfH//yqaE//lpd//pgaB//ileU//glpK//uidA//tehB//phoB//uhpC//livF//ubiG//ssb//ssb//
LsrR	puuD//pck//srlD//caiC//ascF//gspD//sufD//hydN//hslJ//
MalT-ADP-Maltotriose	yeaR//ccmB//cirA//rutE//idnD//nuoN//nuoK//pstS//codB//paaJ//
MalT-Maltotriose-ATP	lacA//prpD//rhaT//yggX//manA//tdcA//livF//pheM//lamB//pstA//
MelR-Melibiose	ispE//lacY//gntU//
MetJ-S-adenosylmethionine	ccmG//lysP//ilvG_1//casD//rutG//cydA//livJ//rdoA//glcB//atoD//fimF//ilvG_1//idnR//gspO//pagP//
MetR-L-homocysteine	phnP//dppD//uxaC//speB//xylR//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	bioF//paaD//sucD//mutY//hofN//raiA//
MhpR-3HPP	astB//mutL//cydB//mdtB//epd//yiaL//
MntR-Cd2+	appY//fucO//pstS//flhC//rpsJ//
ModE-MoO42-	cysJ//aspC//ulaA//rbfA//puuC//ccmE//fhuB//caiT//xylB//sucD//psiE//fabZ//ilvB//yjjZ//infB//puuR//cusC//sucC//ilvA//hyfB//uvrA//entC//hyfE//infB//srlE//grxC//phnI//mdtD//fadD//glnA//gatY//ccmF//idnR//yhjA//lsrK//araF//ilvB//gapA//rbsD//narQ//cysI//napD//entB//rbsR//tolC//ybfN//
NarL-Phosphorylated	casB//yhjA//gltF//argA//sucD//hycC//uxuR//ptsI//cas1//yeiP//ydhT//mgtL//hflK//glgA//glgS//glpK//allC//ulaC//phnD//lpxD//paaA//tdh//dnaN//cheR//ycdZ//fucI//nrdD//citD//dppC//iraD//hisQ//ompF//rhaR//cyoE//lpxA//narG//garL//csgD//mdtC//uxaB//adhE//gatC//malG//narG//chbG//cadC//yhcH//caiF//lysP//yibN//gntK//mlc//sdaA//bcsB//aaeX//gcvP//gltA//azuC//nuoF//galK//paaA//purE//ygiA//gapA//yeaE//phnC//nrdD//sohB//soxS//mgtL//rhaA//allC//osmY//uhpC//ilvC//cspE//fadE//argT//hybC//soxS//csgA//tonB//hycG//chbB//fecA//tfaQ//rrsC//bioA//evgA//gadB//nuoC//dmsC//cynS//oppD//nrdF//arcA//nlpE//nikC//alaS//rrfC//casB//hofC//csgE//talA//waaH//aceK//dpiB//sbmC//nirC//cheB//hupA//caiT//garP//nuoN//mglC//bioF//entE//ilvB//marR//nuoL//glcG//hflK//glpC//manA//dps//
NarP-Phosphorylated	mtr//citX//galP//rrsC//hycD//fimC//phnD//cysC//tar//hyfH//rpsJ//napH//argG//arcZ//xylB//xapA//ppiA//gntR//gltU//ileT//trpL//cheR//grcA//argE//uxaA//zntA//metK//manA//araF//mhpT//fimD//fabZ//araH//grcA//gntK//purF//metF//entA//mpl//gspE//lldP//yciW//ycjF//csiD//lpxA//pck//ccmC//fadA//dppA//fdnI//
NhaR-Na+	torA//dadX//psiE//ccmB//polA//malI//aer//
NikR-Cd2+	hofB//aroH//yciW//pyrC//fecI//astE//
NikR-Co2+	cysH//yjeF//moaD//xdhA//aroF//rhaT//
NikR-Cu2+	sufD//mtr//truB//dnaN//dctA//preT//
NikR-Ni2+	sbmC//hyaE//pheT//aroA//glyA//edd//
NikR-Zn2+	malM//hisJ//fecA//idnR//truB//raiA//
NrdR-ATP	mhpC//hycG//epd//iscS//tauD//evgA//rplC//yiaL//rplT//
NrdR-Zn2+	spf//hypC//rhaB//fadH//uxaC//dcuS//yojI//ycjX//gspM//
NrdR-dATP	aceK//hyaB//dppF//phnI//hyfA//bamA//rrfF//hupB//xseA//
NsrR-[2Fe-2S]reduced	comR//focB//yeiP//moaE//nrfD//rcnA//hyaE//zraR//ygaC//speC//glcC//galP//entB//appC//pnp//tdcA//melR//hycA//hyfC//nrfG//deoB//acrB//melB//grpE//cusA//appA//mntH//puuD//hisQ//gntK//rrfA//ompC//frdA//prpE//narJ//yiaL//ileT//ychH//sbmA//bcsC//glgC//bioC//ascF//fumC//yeaR//ydeO//nrfA//pstC//rrfB//dctA//yeaE//fimD//qseB//rutB//pdhR//yibN//hupA//fliZ//csgG//aceA//srlA//dadX//lamB//mntH//napF//rpsQ//grcA//evgA//napC//gyrA//ulaA//nrdD//phoB//
PhoB-Phosphorylated	acnA//ompT//torD//tnaA//ccmH//yqjI//yedX//sdhB//hypF//arcA//ycjF//purC//metB//paaG//mcaS//ftnA//nanT//uxaC//bcsC//hpt//phnL//cra//ompF//narQ//exbB//creA//narG//hdeD//gatA//hybC//nupG//gabP//nikA//nanM//ppdD//yggX//osmC//argE//chbB//dcuB//rplP//fadA//pgaC//xdhA//cpxA//mzrA//fdnH//deoD//glcE//metE//miaA//fixA//glnD//znuA//gspG//ydeN//hofB//bacA//gspK//aaeA//dcuS//
PhoP-Phosphorylated	nrdE//hycB//lldP//hypB//phnH//araF//gltW//trpA//gltF//nrdF//rpoH//fadH//tsx//fucA//alaS//map//focB//trxA//ascF//idnR//hybE//yneM//lsrK//galE//ugpA//uidB//ccmD//ampD//fecD//cyoE//rrfD//ybjG//mglA//rpsR//zraS//rrlC//rrfH//cytR//ompA//fimF//rbfA//cytR//aspA//argE//yjiY//acrF//cydC//rseB//mtlR//rutE//ulaF//cyoE//rcnA//nuoG//icd//narH//fnr//
PrpR-2-methylcitrate	glgB//hycI//mhpB//ygaC//speB//
PurR-Guanine	fliZ//cadB//fucP//glpF//glpB//hisQ//proP//idnT//cadC//infC//pstB//fumA//soxS//rplP//dsdX//yiaJ//caiA//safA//fucP//trpB//ptsI//ybfN//casD//fixC//lacA//nanT//arfB//yhfA//casE//phoH//csgC//aroM//gltU//tktB//
PurR-Hypoxanthine	puuD//ulaD//iclR//artP//malT//glcD//cas2//nrdI//trpB//bhsA//aroM//fixB//fucK//arcA//cynT//csgF//alaU//malI//ptsI//fimG//ccmC//puuD//zraP//glyA//glgC//ydeM//rcnA//paaF//sohB//nanA//cynR//dctA//ompF//rpsQ//
QseB-Phosphorylated	ubiG//cynT//ulaB//ynfH//
RhaR-L-rhamnose	folA//appC//
RhaS-L-rhamnose	acnB//galM//degP//cynX//nfuA//nrdA//
RstA-Phosphorylated	phoH//caiE//rbsA//yjeF//bioD//ilvL//glpE//csgC//uvrA//sufE//
SoxR-[2Fe-2S]3+ oxydized	rrlD//glcE//cyaA//hybD//
TorR-Phosphorylated	mdtC//ccmC//asr//fnrS//csgF//katE//ycjF//fimA//ptsI//malF//
TrpR-Tryptophan	lpxD//napD//cynR//iraD//glgB//hdeA//lsrF//glcF//rbsK//rpmI//hyfA//mpl//
TyrR-L-tryptophan	hofC//sohB//mhpB//fadJ//yeiL//yeaR//rutA//hycC//nrdF//ssuC//torA//yiaK//sodB//cheW//
TyrR-Phenylalanine	guaA//galE//pta//rrlE//agaV//lysO//aaeX//osmC//narL//ilvG_2//cheB//glpF//cysJ//amiB//
TyrR-Tyrosine	fepC//casA//envZ//znuA//fecD//hyfF//rrfH//speA//hisP//purB//artP//glgS//putP//ulaD//
UhpA-Phosphorylated	rcnA//
XapR-xanthosine	phnH//sufD//
XylR-Xylose	micF//marR//ilvI//ubiA//pstA//aceF//
ZntR-Cd2+	lldD//
ZntR-Hg	hupA//
ZntR-Zn2+	argT//
ZraR-Phosphorylated	fecR//glmY//phnC//
Zur-Zn2+	ugpB//araA//feoA//mutL//fucR//qseC//
