#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	trxA//argA//napA//dkgB//
ChbR-Monoacetylchitobiose-6P	hofB//glgS//deoC//dsdA//dnaA//cysH//
CpxR-Phosphorylated	melR//moaB//rseB//feoB//hycI//bioA//idnD//galS//srlA//gatC//nac//dsdC//cyoE//napH//ydeP//ulaB//ulaA//trpB//rpsP//mhpD//lysU//bacA//feoC//nagA//qseB//malI//cirA//trxA//nuoH//rpmC//fecB//ycjF//araJ//patZ//ydeA//casB//nagB//osmC//casB//ilvN//dcuA//exuT//srlR//rutE//mtlR//cysA//prpD//preT//xylF//fumC//hyaD//sufB//lysU//cysB//glpK//dcuR//iclR//znuB//srlE//bacA//melA//ssuC//nrdD//entA//creA//ykgO//entF//srlA//gcvT//
CreB-Phosphorylated	rpsS//nac//ulaD//fdnI//yqjH//appY//gspO//ahpF//thrS//
CueR-Ag	yfeW//sdaA//lrp//mhpC//phoU//creC//hyaF//
CueR-Cu+	lysP//phoB//metJ//hyaC//bglB//mdtC//yiaN//
CuerR-Au	galE//cyaA//alaT//cusA//paaH//ackA//fecA//
CusR-Pasp	mhpF//ssuC//fdhF//dppF//fepB//mepH//ung//sxy//tadA//alaV//oppD//bioD//
CynR-Cyanate	ydhY//mglC//ung//ygiC//
CysB-N-acetyl-L-serine	feaB//yjeF//yqjI//hofM//csiE//ygeA//argF//metA//phnF//rutF//cysH//fadB//gcvT//creA//sucB//tktB//malS//pheS//zinT//rutF//ygiC//ppiA//dmsC//envY//chbF//exbB//ydbD//murP//acs//cysH//
CysB-O-acetyl-L-serine	ubiA//yaeQ//ydiU//yfeW//cysU//glpQ//prfA//aspC//livK//ilvX//lacZ//sgbH//tdcD//ilvC//nanE//znuB//nikC//dadA//melB//ynfE//znuA//nrdH//tdcD//ulaA//ptsI//acnB//rpmC//dppF//murP//hypF//mglA//
DcuR-Phosphorylated	tyrA//fadL//cas1//agaV//cysW//gspJ//gntK//xdhB//mhpD//
DnaA-ATP	oxc//frdD//glmY//ygaC//yiaL//ulaC//skp//ptsG//dcuD//rplB//talA//nuoN//
DpiA-Pasp	hisM//spf//ileT//emrK//phoH//rpsJ//fldA//ydeM//betA//hyaB//manY//
DsdC-D-serine	nrdG//rpoE//hyfJ//
EvgA-Phosphorylated	ygiA//nrfE//nanK//tauD//fhuA//moaA//soxS//mdtD//metB//pgaC//phnG//tdcF//dmsC//crl//malI//
FNR-[4Fe-4S]2+ reduced	gltA//hyaA//glnD//nanA//lsrK//dcuR//evgA//chbR//sucC//glpB//rhaA//creA//csgC//tnaA//bglB//fes//galS//fepA//malP//oppB//sdhA//astE//melR//adiC//epd//galE//glpE//gspL//chbR//nrdD//cyoB//serC//phnN//betA//artP//mdh//dkgB//ssuA//hydN//cysJ//nuoF//gspE//hdeA//argB//appA//yeiL//fecD//rplM//hdeA//nanA//hyfF//lolB//dsdX//fepD//sbcD//ugpB//ompT//nrdH//nupC//moeB//garR//guaB//tdcF//ccmH//tdh//purN//yeaD//glpQ//ileV//eda//ilvC//nanM//glpG//slyB//nuoA//puuE//yaeP//aceK//argI//phnI//hpt//artJ//fliZ//frdD//ubiC//fucU//ansB//gspM//nanE//mhpE//acnA//alaA//chbR//xylH//dppF//oxyR//ytfE//agaV//rrsA//hmp//fecA//fhuB//nupG//hyaB//thrS//gabT//yaeP//truB//tadA//acrD//napH//folE//gltW//pck//ugpC//pyrD//pgaA//ysgA//lacZ//cueO//ccmB//pck//rrfA//crp//phoU//hycB//dcuR//cspE//yccA//dnaE//glgS//ubiG//hybO//gspG//mutL//yeaR//metB//manX//rpoE//yhjA//modB//zraP//envY//polA//trpL//dcuB//melB//fimD//aldB//glpQ//fadJ//dcuC//bcsC//hycI//gadB//nuoJ//fadL//rnhB//ccmH//gltU//melB//mepH//gcvP//katG//phnK//ilvN//uhpA//agaW//bioA//artQ//ssuA//cusA//psiF//malM//hydN//argG//gcvT//acnB//yegZ//uxaB//ydiU//galK//cas2//bioA//rrsD//yfaE//rplW//nuoG//hypB//aroP//cheY//bcsB//nrfD//idnO//bglG//ilvM//lpxA//ccmC//purL//araB//uraA//tdcD//idnT//mntP//fecB//oppF//melB//fhlA//gpmA//exbD//psiF//allE//caiB//mcaS//araB//cynS//cheZ//fimA//bhsA//cusB//artI//hflK//rutG//phoB//yhfA//rplT//nuoE//torR//yecR//thrS//ydhY//cusA//glpF//dps//rrsA//rhaD//idnR//ampE//nrfD//ccmH//cas1//aroP//uxuA//phnC//rrfH//rrfD//mhpR//focB//tnaB//alaA//yoaC//napB//tehB//nikC//nirB//phoR//pgaA//gspH//ldtC//nrfE//cusS//appC//uxuR//entF//grxC//pheS//tnaA//yfaE//epd//aroF//fur//lpxA//ykgM//tcyJ//trpC//rnpB//aceF//lysA//malI//glnA//lyxK//ftnA//pck//ompW//caiB//rutC//lsrC//nuoG//melA//gabP//dnaE//fepA//nupC//nac//rrsG//puuP//lysO//ssuD//glpQ//pgaA//glcA//argR//prfA//hypB//galS//
FhlA-Formate	hofB//cysK//fes//hslJ//srlR//rplB//glnL//fadA//rcnA//yegZ//yoaC//csgA//fumB//nanT//rybB//rhaR//rhaR//ccmC//trpD//dppD//rutA//phnH//trxA//phoA//znuA//gcvT//ynfH//bglF//melR//trpR//
FucR-L-fuculose-1-phosphate	cydC//iscS//yccA//ycjF//astB//fliZ//csgD//
Fur-Fe2+	araA//acrD//yedX//exuT//ompR//gspK//betA//lpxB//sufA//lldP//paaB//tehA//adhE//rplM//fadL//tap//lsrA//astD//narG//hyaC//ompX//garP//ompT//hmp//cydC//puuC//rpsP//purC//eda//cadA//yedX//cysK//yhcH//rpoS//aroA//argP//astA//dgcZ//gcvT//nrfE//narH//pstB//lpxA//ysgA//cvpA//fumB//rpsP//narX//narL//ackA//fepE//hypD//rrsA//hmp//aceF//argG//yebE//cyoC//aroL//araH//hybE//malE//xseA//ulaA//ilvD//pagP//creA//rstA//osmC//yqjI//ptsH//codB//trpC//ykgR//hdeA//fes//nagC//glpA//cynX//nagE//appC//aceE//tnaC//narG//ung//yfdE//melA//mglC//yfeW//paaI//hupB//betT//mdtA//sdhC//ydhY//fimG//mhpT//caiT//phnP//rutF//feoB//ugpA//gntT//edd//livJ//uhpT//appY//mhpT//pgpC//adiC//ydeA//tam//dnaE//ansB//rimP//ulaA//nuoG//ssuD//xdhB//phoH//nuoB//gcd//cytR//raiA//ilvC//araE//fepA//srlA//erpA//rplB//xapB//tar//lysP//galS//rcnA//dpiA//araC//rplP//umpH//gspF//
Fur-Mn2+	ulaF//napC//ulaD//fliZ//katG//glnA//dapD//cyoC//uhpT//norV//norV//ispE//ilvB//gntK//cydA//acrD//agp//napD//nlpD//napD//malS//yecR//hypC//pstA//rcnB//micF//malS//speB//argI//napB//nuoE//treR//phoR//preT//metJ//degP//aer//pnp//trpD//mhpT//tdh//yhjC//feoC//srlD//cysM//rrlE//murQ//fur//deoA//tauC//metL//nrdF//sdhA//puuR//rpsS//malG//skp//ahpC//paaK//yiaN//mutL//csiE//hmp//tyrB//yfaE//adhE//metQ//yiaK//sdhC//cas2//rplV//bglG//gltB//ccmH//hflD//rplV//uxuA//fucA//artQ//glpB//rpmC//serA//ivbL//codA//csgG//ispE//malY//allE//leuE//aroG//gnd//gatZ//tnaA//rrsD//astA//evgA//gcvT//yhjA//lysO//ydhW//fecE//argH//mhpF//nirB//rimP//fadE//uraA//tauD//caiA//glpF//dadX//lsrK//sbmA//ilvB//rrlH//nagA//mzrA//ackA//mglB//artQ//cusF//treB//sucD//phnE_1//nikR//ampE//metC//nikE//mcaS//yaeP//hofB//hypD//yeiL//yoaG//znuB//recF//trpL//yeiP//envY//uidC//
GlcC-Acetate	yjeV//alkB//comR//dpiB//trpD//fes//ykgM//
GlcC-Glycolate	alaV//aceE//mipA//bcsC//ackA//lrp//trpC//
GlrR-Pasp56	phoP//
IclR-pyruvate	nrfE//malE//pta//ileV//
IdnR-5-ketogluconate	gntX//cysW//fes//yqjI//nirC//sdhD//cytR//fdnI//
IdnR-Idonate	upp//nuoH//putP//hmp//abgT//prfA//marR//ugpB//
IlvY-2-acetolactate	mhpT//cysC//
IlvY-Alfa-acetohydroxybutirate	phnE_2//azuC//
IscR-[2Fe-2S]1+	ampE//acrD//ccmE//ccmA//norW//ynfF//aidB//motA//mdtA//ssuE//gspC//lsrB//rplP//tonB//rstB//metK//dcuD//zraP//udp//ilvI//casC//araC//ybjG//hyaA//ydhW//codB//phnE_2//phnH//lolB//sgbE//mhpE//tadA//pgpC//exuT//appY//sgbH//allE//rutE//gspM//livF//phnK//
LldR-L-lactate	tyrR//ydeN//borD//
Lrp-Leucine	uhpB//nuoB//metF//araD//yqjH//aceK//rrfC//hycG//map//lpxA//murP//treC//fadD//serC//deoA//mutY//rpsS//psiE//glyA//gyrA//fucK//cysW//tdcD//aldA//envY//ulaE//tyrA//csiD//prmC//fucR//raiA//truB//sucA//ydhY//puuE//rpsP//ccmG//chbB//gatB//allE//bioB//lpd//lldD//yqjH//entC//ydeM//rrlE//yqjI//melA//hha//mpl//gntX//dcuS//argA//creA//fhuD//acrB//rrlC//ybfN//metE//nuoH//glgP//metL//nrdF//bioD//ung//hycF//astA//bcsA//argE//asr//sucB//gcd//ebgC//hfq//araA//citC//cysM//moaA//glrR//fiu//ptsH//spf//caiD//betB//fldA//gadC//bioF//xylH//uidB//livF//cpxR//iraM//avtA//guaB//cusC//rrsH//yiaJ//dmsD//cdd//ompC//csiD//nuoF//cydC//mdtD//crp//
LsrR	glnK//phnH//oppC//rhaR//sdaA//paaZ//ydeM//ileU//rutB//
MalT-ADP-Maltotriose	tomB//tdcA//fucR//rpsS//cirA//mtr//alaV//phnK//tauB//nuoF//
MalT-Maltotriose-ATP	ompW//nikB//rpmI//treR//astB//tolC//fnrS//astB//hflX//fhuB//
MelR-Melibiose	puuD//cysM//fecA//
MetJ-S-adenosylmethionine	bioC//fecI//abgB//sroD//ugpB//appB//hyaC//ugpE//yiaK//aroL//bglF//argG//csiD//ychO//nanE//
MetR-L-homocysteine	fucO//marB//murP//casD//fadJ//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	ompW//ilvL//fecR//rmf//rplW//pta//
MhpR-3HPP	mtlA//murQ//nrfD//hofB//qseC//lysP//
MntR-Cd2+	cynX//xylB//idnK//dsdA//paaC//
ModE-MoO42-	treR//hdeD//bglF//sgbE//ansB//sdhC//araC//glcC//cheY//hupA//modC//puuB//ydfH//tauC//agaV//yeiL//pheS//glgS//pepT//gutM//pgpC//metI//nrfC//trpB//rhaS//ycjX//ygeH//fhlA//umpH//rpoS//creB//galS//cstA//hyfD//fimE//rhaD//crr//ykgO//tpx//hybE//ccmF//flhD//hyfJ//yeiP//aroF//ykgO//
NarL-Phosphorylated	livJ//hisJ//ydhW//artJ//hofC//murQ//motB//rutA//nuoI//uxuR//hyfR//ilvD//hha//iscU//phnL//chbG//hypA//patZ//agp//nuoJ//rnpB//fhuC//sgbH//iscS//lolB//dppB//ackA//nfuA//malM//artM//fliZ//hycD//nrdA//acs//hflX//caiC//oxyR//marA//gadB//ccmA//hybC//dsdA//rpsJ//lsrA//hyfC//fdnI//sdhC//oppB//ydbD//hupA//nagA//norW//ynfF//nirD//trpE//fucI//rutF//sucC//nikC//puuB//fixC//gspF//rybA//xylB//metY//phnC//hycF//hybD//hcp//rrfA//puuD//lhgO//nuoC//rpsI//nikC//sbcD//nuoC//rrsA//sufB//bioB//fimA//bcsZ//gatZ//mutL//cysH//nanS//xylF//phnN//ssb//metF//gyrA//puuP//entS//gcvT//glpT//rbfA//ansB//gspC//guaA//pheM//rpsP//ygeH//fumC//xylG//pck//yeiL//ybjG//lsrF//katG//glcE//nanE//frdC//ybjG//glpQ//metI//malG//csiE//sdhA//argA//astD//rybA//cbl//ascB//araB//narI//
NarP-Phosphorylated	ycjF//ppdD//phnL//kbl//atoA//rutE//grxC//ygiC//yidQ//uxaB//aroP//citF//fimF//nrdB//fepB//rrfA//pncB//nrdI//hyaC//ilvC//xdhB//gspK//ftnA//yibN//lsrG//hyaE//emrY//argO//casE//napC//nrfB//gcvP//hyfC//mhpC//araG//lacI//carA//lolB//glpC//abgT//caiT//argE//sroD//phnI//recF//nirB//sucA//argH//tauB//tsgA//
NhaR-Na+	ilvG_1//pagP//yhjA//nohA//dmsB//dppA//hybB//
NikR-Cd2+	sufD//napC//fimD//nrdG//csgC//ileU//
NikR-Co2+	crp//zinT//aceK//rhaB//marR//alaA//
NikR-Cu2+	ybdN//napF//bioB//bacA//guaB//argI//
NikR-Ni2+	ychH//alaS//dgcZ//deoD//astC//hyaC//
NikR-Zn2+	fnrS//efeU_2//nrfB//nuoA//emrK//deoD//
NrdR-ATP	norR//actP//abgT//nac//lacA//zwf//fnr//rhaR//uxuB//
NrdR-Zn2+	fimH//gadB//pyrC//gdhA//fecA//ilvL//ulaF//bglF//hycG//
NrdR-dATP	puuR//tauB//skp//appC//pncB//crp//ccmH//nrfF//yegR//
NsrR-[2Fe-2S]reduced	uof//baeS//aceE//hmp//glcC//glpQ//rpsQ//ppiA//mltC//hofP//rbsD//yhjC//bglG//norW//crl//ydhU//mntS//ryhB//glcE//rcnB//speA//entC//srlE//malI//sucD//yjjZ//tyrA//phnM//phoB//fis//nrdE//nrfD//secB//katG//oppF//icd//modB//soxR//rplT//aroM//metC//dppD//argT//rhaD//glpQ//nirB//yeiP//gpmA//malI//nohA//hybF//xylB//ccmD//lysA//ssuE//xdhC//sxy//lacI//yjcH//rpsF//lpxD//uhpC//artI//aroP//yiaJ//mhpA//phnD//feaR//csiE//araG//feoA//ssuD//thrS//
PhoB-Phosphorylated	putP//truB//stpA//adiC//nuoC//manA//tsgA//fucA//gltF//ilvH//dctA//nrdI//yiaK//yeiB//paaB//mhpT//galK//argP//argC//nrfD//feaB//argR//evgS//fldA//rutD//tfaQ//ppiD//hybG//nagC//rstB//cydA//rnlB//hybE//fucO//nagE//csgD//ldtB//cysK//glpF//ilvG_2//aroM//glpQ//gutQ//nupG//rmf//mtlR//metL//codA//ssuC//agaA//cadC//ynfK//rpoH//efeU_2//cyoB//ccmD//nagA//rrsB//cheR//nuoJ//aaeA//
PhoP-Phosphorylated	serA//spy//sucA//cynX//hypB//phoR//rpsC//hdeD//evgA//rpsJ//dmsB//tadA//nuoG//metH//guaB//oxc//cusB//qseB//yaeQ//yjiY//sufC//kbl//phnP//yegZ//melA//allD//argE//fucA//abgB//iraM//rrlH//trpD//cusA//cheW//metA//amtB//malQ//hyfE//spf//trpC//mzrA//cysJ//tdcA//argD//appY//dusB//hisM//epd//glpD//glgB//lacI//paaG//yjiY//nagC//cra//hcp//yaiA//
PrpR-2-methylcitrate	mhpC//hdeA//sdhA//nrfC//yebE//
PurR-Guanine	tadA//ynfK//cysG//fumB//phnL//dsbA//caiB//folE//fucR//abgT//hycB//arcA//araC//citX//garL//nuoN//paaI//artJ//gltT//yeiL//uidB//purA//argE//lamB//yeiB//iscA//hfq//gapA//murP//fucK//fnr//nac//yqjH//nanT//
PurR-Hypoxanthine	rnlB//dcuC//tcyJ//phoA//caiD//galP//cpxR//fimC//rpsP//ppiD//zntA//erpA//ilvY//mglA//yiaL//bcsC//cspD//rbsA//dcuB//tdcF//yegH//gatY//kbl//ryhB//glpA//fliA//rbfA//nanC//puuA//hyfE//fucO//cadC//mtlR//pgaC//
QseB-Phosphorylated	rdoA//gntX//tolC//glmY//
RhaR-L-rhamnose	manX//glnD//
RhaS-L-rhamnose	sodB//spf//speA//glcG//hybA//hycI//
RstA-Phosphorylated	rpoE//oppC//pstB//lsrD//rbsC//udp//cyoE//tomB//hycD//fliA//
SoxR-[2Fe-2S]3+ oxydized	narJ//srlE//malE//stpA//
TorR-Phosphorylated	trmD//idnT//glnK//tauC//nhaA//yhjA//entA//metK//crr//kbaZ//
TrpR-Tryptophan	narI//nrdF//citG//dcuB//yciW//priB//hyaD//nirD//pgaC//ynfE//talA//appC//
TyrR-L-tryptophan	nanA//melA//lpxB//rutA//thrV//csgE//ybdZ//rrfH//lsrF//hycH//yiaO//phoB//hdeA//yhfA//
TyrR-Phenylalanine	lyxK//rpsQ//araH//grxD//aroG//alaU//nrfG//nuoK//yqjH//entH//glpK//csgE//dcuR//paaH//
TyrR-Tyrosine	osmC//nfuA//bamE//ssuB//fumC//gatY//paaI//ivbL//hyfI//uraA//feoB//raiA//gyrA//cyaR//
UhpA-Phosphorylated	nagC//
XapR-xanthosine	glnK//araF//
XylR-Xylose	ilvL//cra//hycE//mcaS//tap//tonB//
ZntR-Cd2+	edd//
ZntR-Hg	glgP//
ZntR-Zn2+	lldR//
ZraR-Phosphorylated	manA//nirC//pheM//
Zur-Zn2+	phnE_2//xylA//rplC//ccmF//fucO//folA//
