#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cas2//ycdZ//amiB//napA//
FNR-[4Fe-4S]2+ reduced	rpoE//gatB//ynfK//glcG//ccmE//lpd//hofB//gspI//gspJ//entB//osmY//yfeW//crp//malT//hlyE//cynR//cas1//borD//sodB//ycjX//norR//sgbU//cvpA//gspC//bglB//narJ//hyfH//hybC//dgcZ//grxC//oppB//araJ//ulaC//hflD//aroG//deoA//yeaR//pgpC//argF//osmC//infC//crr//tam//tfaQ//rybA//csgC//livG//tauA//fecB//phnK//hcr//aldB//sufS//yegZ//sdhA//mhpR//phnO//rplB//tonB//entS//astC//modA//iraD//tauB//yfaE//gadC//dapB//malT//glpX//crp//yibN//stpA//nuoK//fixX//srlB//hflC//rpsI//moaA//glpK//phnM//tnaB//ycjF//garR//cueO//mtr//nrdF//fimH//dsdC//sodB//glgS//cysW//ebgC//xseA//uxaC//frdA//phnD//grxD//dcuS//lpxB//dppD//fecI//csgB//aroP//pstB//gspH//prs//nuoK//fadA//entH//rutG//hyfJ//cysP//rpoH//hflK//sufB//nuoK//rseA//entF//ftnB//pdhR//paaZ//fbaA//lysC//focB//hmp//ulaA//tnaA//bacA//ilvC//ampD//sgbH//cysD//melR//galM//rbsD//putP//rrsA//dcuB//modA//glmY//adhE//acs//adiC//ubiA//ftnA//hemL//zinT//glpX//cusA//hcp//lldD//napG//modC//xapA//rplS//rprA//fnr//fucO//purL//yidQ//motA//hypC//fimH//lacZ//dps//paaJ//gyrA//nrfF//cstA//ugpB//caiB//mhpB//malP//amtB//glcG//gcvP//araC//dpiA//slt//crp//melA//pdhR//napC//betA//ompT//mscM//pitA//chbC//ndh//fepE//hybO//comR//evgS//glpT//ccmC//csiD//yiaJ//casD//fadL//dsdA//xylG//baeS//cysC//hcp//lsrR//nanM//emrK//map//rrlC//phnL//hisM//ydeM//tsr//gatB//mntH//bioD//betT//glnA//moaA//ydhV//nrdB//xylG//pdeF//gspH//zraR//hslJ//bdcA//entH//bamA//paaB//rrlA//galK//yeiB//yqjA//talA//ompC//phnG//ugpC//pagP//cysI//lsrC//guaB//oppA//ugpB//metJ//ulaC//norW//ynfK//uraA//ydhU//srlE//appA//malT//alkB//fucU//csiD//galK//rplP//trpR//allE//rutG//modC//motB//glnK//paaD//nuoK//hofN//puuR//psiF//znuB//ybiT//yhiD//appY//baeR//ugpQ//murP//exbB//alkB//fucA//ulaC//tsx//fadB//hyfI//pflB//ampE//ackA//argP//rplS//rstB//argH//betB//rbsC//hypA//hyaE//glpA//phoB//map//aroP//ilvI//tnaB//infB//gntU//ilvD//cyoC//dsbA//
FhlA-Formate	aspC//uxaC//cirA//dadX//pgaA//acrE//rpsR//rplI//rplT//osmY//glnB//xdhB//argT//frc//tcyJ//fecC//codA//gabT//phnC//glgP//entH//rrfC//tauB//xseA//creB//fixX//argH//yeiL//ptsI//mhpR//
FucR-L-fuculose-1-phosphate	creA//malP//csgE//sucB//fis//narX//tyrB//
Fur-Fe2+	hypF//rplT//ygiB//copA//codA//ugpQ//rpsP//ydfH//ykgM//dnaA//rseC//rutA//priB//mntP//gabP//entB//cyaR//caiB//cysK//rpsO//mdtB//thrV//hemL//fucA//rplB//caiA//raiA//araJ//motB//aroF//efeU_1//dkgB//citF//guaA//aaeR//motA//fepA//moaE//pta//alaU//phnI//evgS//dsdX//rpsC//tam//uhpA//feoB//ydhY//fecD//glcG//yjcH//ilvE//nusA//ahpF//galP//ilvG_2//rrsC//nrdI//psiE//ampE//cysJ//gatY//allE//metB//rrsA//mglA//pgaD//malX//tsx//stpA//lpxA//lyxK//argE//ybdZ//astD//artM//fepE//mtlD//chbC//livK//ubiA//idnO//glgC//csgD//phnE_2//ygeA//narL//fumB//argP//fbaA//ydeA//rplD//mgrR//betA//ydiU//gspM//mtlA//purL//ompA//livG//mdtA//rcnA//rplS//csgF//psiF//yhjC//hypB//livG//nikR//xylR//cheB//nrdG//torC//truB//mhpD//livM//artI//sdhD//glpB//deoD//bhsA//phnG//amn//hofO//ynfE//tdcF//glmY//hisQ//glpG//truB//fimA//fepG//sufD//artQ//folA//prpE//rseB//csgC//ftnB//kbl//
Fur-Mn2+	acrD//alaT//phnG//hupB//aaeR//nhaA//citD//prpC//phnO//dnaA//ilvI//bcsC//glpB//paaD//srlB//cas1//guaA//ccmF//napF//ompF//entD//mgrB//cra//ssrS//rpsR//fumC//metN//phnI//phnC//hflK//bglF//fepD//fadE//rrfB//puuR//feoA//fimE//yqaE//znuC//cheW//torC//lsrB//modB//dadX//glpK//gabD//pitA//chbB//nhaA//tauD//tdcE//feaR//csgD//livK//livK//hofP//moaA//ychH//bcsB//hyfD//srlA//mntP//argF//metY//bglB//rplD//emrY//ampE//xdhB//tktB//hycD//rpsO//gadC//ptsI//sodA//erpA//fadD//hyaA//rpsJ//hyaF//gatC//nusA//dpiA//gatZ//rplC//oppB//cdd//uidA//purF//hycD//rrsA//astE//galE//hybO//ilvH//ycjF//mtr//bioD//soxR//paaI//sdhD//mipA//allE//mglB//ilvY//tsr//yeaD//ascF//trg//nrfC//rplD//rbsB//sucA//hycB//cysG//rrfF//cydA//ppdD//gntP//cysD//nohA//ilvM//mdtB//crp//prpC//metQ//agp//trpC//appB//trpC//preA//uidB//livK//manA//ccmA//cpdB//metA//cynR//glpQ//oppD//
GlcC-Acetate	moaB//garP//sdhA//uxuR//dkgB//rmf//acrA//
GlcC-Glycolate	miaA//sdhB//ygbA//rrsB//rprA//murP//moaC//
GlrR-Pasp56	cvpA//
IclR-pyruvate	hcr//fadH//nrdE//pflB//
IdnR-5-ketogluconate	xapA//rplP//nrfF//rprA//ilvA//rseC//metA//lpxB//
IdnR-Idonate	allE//yebE//tyrR//cysB//allD//moaB//oppA//rplD//
IlvY-2-acetolactate	dnaA//grpE//
IlvY-Alfa-acetohydroxybutirate	ilvN//hflD//
IscR-[2Fe-2S]1+	rstB//yiaO//frdD//acnA//katE//phoB//lysU//rpsI//nrdE//nrdE//araA//gatB//rcnB//bioF//ilvG_2//uxaC//ydeN//ubiX//mcaS//allC//hycG//mdtA//ydeP//deoB//evgS//gntP//bioA//frdC//alkB//dmsA//oppC//mdtA//sufC//puuC//melA//galE//mhpF//glpG//azuC//ychO//casB//
LldR-L-lactate	ycjX//ssuE//fecA//
Lrp-Leucine	micF//casD//raiA//avtA//fepE//dnaE//tyrB//fepD//preT//tehB//lsrK//cspE//argR//glgC//casA//feoB//hyfF//hypB//csgA//uxuR//cytR//rrlA//rplV//ebgA//melA//ydhT//aspC//gltF//sbmA//nikR//amtB//glpB//rbsB//rpoS//ubiX//rpmI//degP//udp//tadA//grxC//hypE//yhhY//puuR//artQ//dadX//rrsE//gspE//metY//ydhT//araH//ssrS//glcF//safA//mlc//lysU//ydhU//galS//mdh//leuE//ydhU//entC//map//fecD//cheR//hofM//fumB//dmsD//rstA//norW//fliA//tsx//lacA//agaV//trmD//dsdX//phoA//gltW//mdtB//astC//efeU_2//mgrR//narL//xapA//sucB//phnK//hdeB//rutF//cysJ//nuoH//fecE//ydhU//paaK//metA//cysG//nanE//efeU_1//sdhD//dgcZ//galP//ompR//csiD//yfdX//sbmC//paaE//nrfE//rrfE//
LsrR	rplM//yidQ//putP//aldB//ccmH//sgbE//soxR//rutC//sdhB//
MalT-ADP-Maltotriose	ugpA//glpB//nac//atoA//sohB//gspJ//rpsR//fixA//hybB//betT//
MalT-Maltotriose-ATP	guaA//rplT//galP//chbA//amtB//priB//ssb//hslJ//ileT//znuA//
MelR-Melibiose	cvpA//entS//tauB//
MetJ-S-adenosylmethionine	glnG//hyfC//citF//yaeQ//motA//dsbA//ryhB//csgF//yeaD//napD//tyrA//rpsI//zraR//nuoM//lyxK//
MetR-L-homocysteine	tnaC//yfdV//srlE//nrfD//nadC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	malS//garK//rpsR//fdhF//rpoS//modC//
MhpR-3HPP	envY//cirA//nuoL//ygaC//purM//grxC//
MntR-Cd2+	lsrF//dnaN//purC//ssuD//rplD//
ModE-MoO42-	atoB//malX//glpR//gyrA//uraA//nrfE//ccmA//ptsI//ompR//cynS//rprA//moaA//iraM//lysO//aer//ybjG//rseB//xdhA//pgk//garP//entD//phnJ//cpxA//tnaC//tauA//malK//lpxA//yrbL//ssuD//mntH//glnG//hyfA//araG//uxuB//cstA//micF//ugpE//citG//glpG//idnK//lolB//glpF//ptsH//fixC//fdnG//psd//
NarL-Phosphorylated	gatC//uxaA//map//spy//mtlA//uhpB//rstB//ubiX//ppdD//aaeX//tonB//argB//betT//phnI//fhuD//zwf//rrlA//idnR//efeU_2//ysgA//rpoH//entA//ileU//artQ//aroG//ydbD//asr//prs//aspC//lsrK//cpxR//agaA//zwf//fnr//purL//focA//paaB//exbD//cusB//tcyJ//bioA//yfdE//hycA//manA//ulaA//creD//yccA//udp//paaD//gntP//fliA//sufE//pgaD//infC//entD//ydiU//nrfD//phnK//narI//gspD//tktB//casC//erpA//gspK//deoC//purR//nagA//hemL//ompX//araB//ygbA//paaF//dsdC//tdcA//ebgA//adiC//fucO//cysP//gnd//bdcA//hofN//glpT//rpsF//malQ//hybE//artQ//safA//citX//narX//dppD//psd//prpE//cysC//sbcD//narG//sucD//xapB//hycD//cydD//yoaG//rseB//yrbL//rpsJ//ompA//gutM//mtlD//rplC//ubiG//ccmF//hofC//cra//fecE//yggX//nrdB//amiB//ilvM//yrbL//ccmB//mpl//lsrA//rimP//phoB//phnM//ebgC//dmsC//
NarP-Phosphorylated	tauA//raiA//acrD//purK//cra//fimD//nrdD//cheR//dsdX//fepA//edd//ykgR//creB//araG//sufC//glgP//hycG//dgcZ//ilvG_1//mtlA//argI//argD//ydeM//rcnA//nhaR//dppF//map//fumA//tehA//sodB//citF//hyaB//ulaD//psiE//yibN//mhpR//ycdZ//uidA//sdaA//recF//mhpB//paaI//codA//iscU//gltU//ompA//cadB//glpD//treB//fimG//
NhaR-Na+	oppC//tauB//rrfB//nuoN//feoB//metQ//gutQ//
NikR-Cd2+	pdeF//cpxA//modB//tcyJ//rpsS//glgA//
NikR-Co2+	nrfG//araA//ubiG//dsbA//cyaA//ulaB//
NikR-Cu2+	dppC//treC//entH//hyaA//uhpC//sucB//
NikR-Ni2+	ilvI//yjjZ//lacZ//aceK//nuoL//casC//
NikR-Zn2+	gatA//cheZ//tdcG//chbB//fadD//gutM//
NrdR-ATP	hycF//garR//nuoE//frc//hlyE//tnaB//glcD//malP//gapA//
NrdR-Zn2+	ahpC//dapD//dppF//ssuE//hisQ//hypA//sufD//rnhB//ada//
NrdR-dATP	deoC//feaR//prfA//tdcG//prfA//garR//frdC//ssuE//talA//
NsrR-[2Fe-2S]reduced	yiaN//rbsD//ahpF//ynfK//livF//citC//argD//oppF//rybA//hyfH//micF//metE//rhaA//hyfH//katE//nupG//gntX//amn//fumA//rplC//fepG//rrfA//ulaF//chbA//ftnA//phnI//norW//yfaE//purN//xylF//envZ//fimH//phnK//tolC//argP//cheA//murP//acrF//yegZ//trmD//hybO//puuE//ftnB//metY//metQ//rnlA//fucP//glgX//dppA//pgaB//glyA//ompF//leuE//nuoE//aaeB//rnhB//gspD//metE//rutE//prpR//ompF//fecI//speC//grxC//gnd//malK//tnaC//fau//argG//lsrC//soxR//asr//glrR//
PhoB-Phosphorylated	rplW//mhpR//rplS//gadB//paaC//fixC//cyaA//ampE//cysB//napC//marB//thrV//sohB//glgS//lacI//fixC//xylF//aroG//nhaA//xylH//aer//mhpF//ybfN//rnlA//tfaQ//rrsA//ugpC//lsrB//ftnB//fliA//nuoG//aroF//moeA//mtr//lpxB//cusC//ubiX//rrfG//arcZ//csgC//trmD//aaeR//acrB//hypA//mipA//entF//ccmC//rpsI//galT//rrsD//amtB//srlE//appC//purR//araE//aceB//rrlH//glgA//feoC//bdcA//mdtC//
PhoP-Phosphorylated	rplC//mhpB//pgaD//ptsH//rrsA//fabZ//dpiA//csiE//gdhA//gspF//nupC//ilvI//nhaA//phoP//oppA//aldB//bamE//uhpB//aceE//lysP//sucC//iscU//tdcA//oxc//ugpE//galM//yiaK//acnB//cadC//hypB//yecR//fecI//narL//narX//hybC//purR//gspL//bglB//fldA//iraD//hfq//fau//cysJ//fumC//rhaS//mdtD//folE//map//nrfG//cbl//pta//speA//fnrS//alaA//glgC//rutF//ssrS//
PrpR-2-methylcitrate	hyfF//alkB//sucC//prpB//gdhA//
PurR-Guanine	amtB//pepT//cynT//ydeA//rof//ugpE//alaT//tauC//sdhA//gspF//aroF//phnN//rbsK//ilvG_2//araD//xdhB//hyfG//csiE//gspK//nuoM//asr//artM//rrfE//rstA//gcvT//tauB//yiaN//fabZ//appC//gntR//zraP//gspG//yidQ//feoC//
PurR-Hypoxanthine	cas1//adhE//dcuC//trpL//betA//rnhB//chbR//entS//evgA//rhaD//chbA//hyfG//yjjZ//upp//fimD//pgaD//codB//citX//glnD//nrdG//ycjX//guaB//fepA//rplS//sufA//focB//pdhR//tauD//preT//purL//ybjG//gatC//fixA//hydN//
QseB-Phosphorylated	yhjA//gyrA//ugpC//ascB//
RhaR-L-rhamnose	glpQ//skp//
RhaS-L-rhamnose	ispE//dgcZ//modB//carA//ssuB//gatD//
RstA-Phosphorylated	srlR//csgG//uxuB//artJ//yhhY//fecI//ynfE//ilvE//galK//serC//
SoxR-[2Fe-2S]3+ oxydized	cusR//livF//glnD//glpX//
TorR-Phosphorylated	puuC//metE//betT//mglA//infB//sroD//crr//rdoA//baeR//cusS//
TrpR-Tryptophan	yedX//napH//cysN//glgA//rrlB//hflC//amiB//narJ//ydeO//rnhB//tauD//nanM//
TyrR-L-tryptophan	fepB//torC//glgS//norR//ulaB//iraM//fucI//argR//osmC//yfdV//uxuA//yiaN//phnP//malX//
TyrR-Phenylalanine	ompX//tdcD//ynfK//caiA//ycjF//aldB//araC//lacI//yiaO//fepC//ada//fliA//amiB//stpA//
TyrR-Tyrosine	envY//glcA//murP//ryhB//marB//rpsQ//bamE//dgcZ//mdtC//nirC//ileV//mdtB//pgaB//fumB//
UhpA-Phosphorylated	gatY//
XapR-xanthosine	sbmA//sdhA//
XylR-Xylose	exbB//fhuF//dkgB//fnr//yoaG//atoD//
ZntR-Cd2+	gpsA//
ZntR-Hg	hha//
ZntR-Zn2+	hyfJ//
ZraR-Phosphorylated	serA//xylR//torD//
Zur-Zn2+	ycjF//gatD//iraM//modB//cbl//malF//
