#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rstA//lamB//safA//astA//
ChbR-Monoacetylchitobiose-6P	phnN//pitA//ileV//ilvB//yeaR//ccmD//
CpxR-Phosphorylated	trpB//nuoL//dctA//mpl//asr//fucA//appX//gutQ//fixX//lysO//ulaE//phnI//pagP//entA//ycdZ//yrbL//metY//paaF//sufD//oppC//ykgR//aaeA//aaeB//puuC//rnlB//citD//mutL//hycH//paaF//miaA//ydfN//sroD//sucA//mglC//livK//rseC//ccmF//baeS//fimE//puuA//nrfF//oppC//melB//yaeP//aceF//gspD//napH//livK//lacY//araC//pheS//dps//fepG//kbl//emrK//tdh//ilvB//sdhA//crr//argF//paaA//csgD//ogt//yrbL//copA//rrfH//entC//trxA//dmsB//
CreB-Phosphorylated	rnhB//garK//moaA//gabP//garR//pck//fhuD//casD//trmD//
CueR-Ag	gltB//grxD//yaiA//tehB//gabT//lacY//phoR//
CueR-Cu+	narQ//ulaE//fhlA//fhuB//tpx//agaW//aaeA//
CuerR-Au	glcG//yaiA//ulaC//cstA//xseA//amiB//betB//
CusR-Pasp	uxuB//hlyE//lsrC//serC//cheA//dnaE//appX//gltB//ilvC//hcp//fixA//nfuA//
CynR-Cyanate	nuoH//rdoA//mhpC//yhcH//
CysB-N-acetyl-L-serine	metE//fucA//tktB//gspE//hybB//yhjA//efeU_1//malY//nuoE//cynR//fliA//yaeP//argA//frdD//atoB//ileT//torA//tdcD//galE//gcd//cheZ//csgF//ulaC//mntP//ygiB//metB//grxC//argE//fadI//stpA//
CysB-O-acetyl-L-serine	srlB//gspM//dmsC//csgF//sbmA//aceK//frdC//cra//ulaA//astC//hyfB//waaH//tauC//mgrB//rseC//cysN//cynT//yfdE//yjjZ//malX//chbC//ulaC//phnI//gntU//cusB//metN//mglB//skp//rseC//ilvG_2//glnG//
DcuR-Phosphorylated	mglB//mhpT//nuoG//yaiA//treC//spf//tam//yqjA//gabT//
DnaA-ATP	hyfR//malF//cysK//rhaR//idnK//rhaS//dadX//qseC//amtB//cysD//uhpB//hyaC//
DpiA-Pasp	gadC//aroF//atoA//glgB//csgB//zraR//lacY//gltV//fimI//leuE//yegR//
DsdC-D-serine	nrdD//oxc//ssuC//
EvgA-Phosphorylated	xylH//hcr//fliZ//hofM//grcA//bglG//gapA//fucI//lysP//acrD//ydhV//phnN//hyaC//aceK//soxS//
FNR-[4Fe-4S]2+ reduced	hybD//ilvE//rmf//fimH//uxaA//ulaF//narX//katE//caiF//trpE//creD//rrfA//dpiA//livJ//polA//envY//fhuC//rnpB//ascB//nirB//nrfE//rrfF//glgB//araC//puuC//mzrA//emrY//guaB//cheY//ssuB//metY//gspC//dcuR//hflC//micF//ychH//cusA//rhaS//yjjZ//dmsC//nrfF//ompF//cusA//idnO//fixA//garK//rplM//sodA//xdhA//uvrA//nuoK//galM//araC//hyaF//gltV//thrV//aroP//glgP//fur//ychO//bioC//nuoF//aceE//fepC//gadC//cysA//rrsD//glgS//napC//dppA//hpt//fecE//aldA//sufD//alaT//ivbL//fecI//rutC//chiP//dcuC//moeB//metH//yoaG//ada//rrfD//rhaR//feaR//uxuR//fdnH//creD//cysI//skp//lysU//tehA//glpF//waaH//recF//dcuD//napG//ansB//stpA//aroG//gltT//umpH//dcuB//ydiU//fnrS//metF//yneM//gspH//ybjG//hyaB//folE//dsdX//rrlD//ygaC//dmsC//nrdF//hycI//mntH//glpR//dapD//waaH//envZ//pstS//acnA//ulaC//narJ//napB//gltU//glgP//agaA//nanT//glgB//mzrA//nrfG//yjeV//phnD//purE//cirA//fimA//ulaA//dmsC//dusB//lacZ//nagE//fiu//hyfH//yaiW//gntX//acrB//feaB//gntP//napD//preA//galK//nuoN//dppC//ydhY//yaeP//gatD//sodA//malZ//hypD//galP//rrlE//dppA//cysG//dadX//ubiX//csgG//narL//ilvE//tcyJ//hyaF//phoP//rpoE//ycjF//abgA//yhhY//cynX//yoaG//yiaM//amtB//sufS//fecA//hycB//cysH//qseC//ygiA//fucA//citD//mhpE//sufE//alaU//hyfJ//pstB//sufS//glpQ//malX//tdcB//rimP//ccmD//ydhX//nlpE//ygeH//malS//nanK//tsaE//hyfG//nanS//gatB//focA//tyrR//motB//uraA//nupG//grxD//csgF//ssrS//yiaO//aceK//tsx//spy//fucU//cysN//ampD//tap//safA//feoA//uhpT//preT//malE//rrfE//uhpB//zntA//yfdE//rrsD//ydbD//guaA//hdeA//phnP//argG//pdeF//mpl//uidC//puuP//srlE//tdh//lpxB//entD//hycE//rpoH//yoaG//pgaA//cas2//hycC//yiaM//cysG//aroA//phnM//cadC//ygeH//feoC//fumC//hybB//nmpC//yfdE//metI//hybF//fhuB//ascF//pgaD//ugpC//ulaB//pstC//cheR//ygbA//paaB//nagA//yiaL//rutA//rplW//mhpE//pstS//guaB//cpxR//hupB//glpC//yrbL//xylB//cynR//fepA//yiaK//yfeW//frdD//fucK//glnB//lsrR//hydN//prfA//feoB//rcnB//moaE//bcsA//
FhlA-Formate	aroF//ubiC//rrsC//rrfB//lsrA//ydeP//xylR//betB//rutF//yiaL//paaD//nikE//cusC//alkB//mglC//nupG//arfB//ulaB//betT//xapA//ilvM//treC//rseA//cysJ//acnA//rpmC//citE//iraD//cheR//yedX//
FucR-L-fuculose-1-phosphate	citX//argE//narL//nrdF//acnA//livM//sgbH//
Fur-Fe2+	dcuC//uidA//glcE//gspO//glyA//hemA//tktB//yebE//gpmA//araJ//ydhY//norR//avtA//rnlB//ryhB//fecC//aspA//ahpC//tdcF//napG//zinT//nuoH//mdtB//fhuD//csgC//fes//gntU//psd//mhpE//deoB//serC//bioF//rrfD//paaB//purM//dcuD//iscR//nikD//entH//argB//ampE//guaA//dsbA//glnK//napD//gntU//efeU_2//cheW//gabD//bioA//casD//aspC//garR//xseA//rutG//hslJ//hcr//nhaA//yeiW//xylF//hdeD//yhiD//alaS//prpD//idnR//ydeN//cusA//lamB//malF//narX//aroM//xylA//ycdZ//artP//cueO//feoC//paaD//aaeX//nusA//citD//safA//qseB//chiP//nupC//gdhA//moaC//rbsK//fecI//yhfA//tfaQ//yiaO//rstB//csgG//manA//pgk//yaiA//xapA//paaD//argP//alaV//yoaC//glnA//paaB//uxaA//aidB//dppF//rimM//rrfF//atoA//copA//ssb//preA//gspO//paaD//xdhB//chbG//norV//yiaO//cysC//tap//hypB//citC//cpdB//epd//alaU//pncB//gatC//fepD//uraA//ssuD//rhaA//lhgO//aspC//argE//dsdX//nuoE//csgD//tehA//hisP//gdhA//
Fur-Mn2+	yqjI//nrfA//mhpF//ilvD//purF//csgF//gltB//yrbL//ydhW//aldB//rpsQ//hmp//ccmB//ftnB//nhaA//spy//oppD//ryhB//paaB//ulaD//thrV//sroD//dgcZ//abgT//nrfG//trmD//malI//nuoM//nrfG//map//ugpQ//rbsD//entD//astC//znuA//sufD//pstC//hemA//glcE//nuoB//fhuF//yhcH//ptsG//casC//argO//baeR//hofO//yeaD//glnK//nanT//rrfD//sodB//folE//melR//flhD//nusA//ycjX//paaF//alaV//lacI//ung//gcvP//frdB//rplI//sufC//gatA//hemL//nuoC//mglA//gatA//rbsD//srlA//dsbA//sucD//rrlG//casB//fimE//sbmA//hslJ//tpx//ssuA//yegZ//nirD//thrV//aroM//gatZ//glgX//srlA//cirA//idnT//caiE//hyaB//ptsI//cynT//mntH//artI//rdoA//patZ//gcvH//malY//lrp//ptsI//sufB//glnD//cusB//napC//moaE//fecR//livK//guaA//ulaE//glnD//ycjX//argG//mglA//rrlB//livF//dcuC//astC//glrR//cysM//yfbR//tonB//ybiT//ppiA//hycA//mhpF//asr//malQ//glgC//fadH//dcuB//hlyE//uvrA//caiC//norR//iscU//citD//galP//ulaD//
GlcC-Acetate	qseC//artI//csgE//dusB//yibN//modB//gabD//
GlcC-Glycolate	thrS//fucP//nanE//lsrF//hycB//puuD//fnr//
GlrR-Pasp56	dctA//
IclR-pyruvate	ubiA//sodB//acrD//dcuR//
IdnR-5-ketogluconate	pstS//rutA//creA//gutQ//tolC//ugpA//rcnB//cheY//
IdnR-Idonate	caiD//oppD//malI//gspE//glpX//hybA//abgA//ssrS//
IlvY-2-acetolactate	sdhB//hybE//
IlvY-Alfa-acetohydroxybutirate	rhaT//gspI//
IscR-[2Fe-2S]1+	mgrR//gnd//gabP//feaR//fhuA//yegR//glgX//moeA//mgtL//yccA//cysU//yqjA//pstB//ytfE//grxC//cyoC//gatD//zraP//yegR//epd//ugpE//ydhX//nhaR//idnK//rpsF//mhpD//creC//aroA//hybC//cusA//acrA//sdhB//rpsP//yeiP//nlpD//hyaA//manZ//puuC//mntP//fecB//idnD//
LldR-L-lactate	nikA//ptsG//ydfN//
Lrp-Leucine	srlD//sgbE//agaW//phnJ//galP//avtA//gatY//erpA//moaB//aaeA//lysO//acs//iscS//cysJ//cysH//rplS//nagC//gdhA//treB//hybB//fepD//actP//amn//yiaO//malZ//sufE//fimC//hisP//uidB//trpB//rnlA//hyaF//ygiC//mtr//citC//lpxA//acrA//znuC//trg//mltC//ulaA//dnaE//araF//metI//fnrS//nanA//rseA//mutL//lacY//lolB//fimG//xdhA//ydfN//folE//ybfN//fecC//pheS//bioB//rstA//uxaA//fimH//mgtA//safA//yeaR//fes//yaeP//yfeW//glgP//appY//fecI//rbsR//malS//paaG//paaC//citD//argD//aroG//cydC//metB//manZ//lpxD//moaD//rrfE//ndh//fhuC//gatC//nhaR//hycE//cyoA//hyfG//ydhU//cadB//ilvC//mgtA//zraP//glmY//paaC//katE//hyaA//gapA//speB//hlyE//rplI//idnO//ccmD//cspD//
LsrR	tar//phnO//argG//nrfE//raiA//pncB//sufD//dcuC//hyfG//
MalT-ADP-Maltotriose	mtlD//lyxK//carB//glpX//cspE//rutG//yhfA//cpdB//ptsH//ampE//
MalT-Maltotriose-ATP	hycD//malG//nrfA//yfiP//glpQ//map//tehA//hofC//tsr//metE//
MelR-Melibiose	glnA//xapA//rpmI//
MetJ-S-adenosylmethionine	phoR//yfdE//deoA//feaB//ascB//feaB//ugpB//prpR//yfdX//zraS//mgtL//azuC//nupC//ilvC//argH//
MetR-L-homocysteine	purK//hypC//sucB//glnB//fis//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	pgaC//mgrB//entF//chiP//exuT//ynfH//
MhpR-3HPP	ydiU//bamE//yfiP//ccmC//paaI//nikR//
MntR-Cd2+	psd//alaT//modC//bcsB//fumC//
ModE-MoO42-	purD//cyoD//rbsK//ptsI//hemA//uxaB//rrsD//galM//galE//cusR//hdeA//entD//sdhB//appC//iscA//ompR//puuA//hofC//cueO//hyfR//rpsC//glrR//rrsA//ssb//yrbL//uxaC//pitB//ulaA//pgaB//entA//hycF//araC//psiE//ulaB//yaiW//betT//hpt//purR//fimD//dcuA//csiE//hemL//ilvB//preA//torR//motB//
NarL-Phosphorylated	deoB//cheW//puuC//glgB//csiD//glgB//araJ//crp//torD//dcuR//bglB//bhsA//sufB//purE//hflX//citC//garR//cysC//malF//uidB//aroA//melA//hybA//dmsD//entC//mutL//ccmC//gspI//paaE//ilvX//fadI//mdh//atoD//bioF//yfeW//allC//rpsP//ydeA//cheZ//hupB//glnA//ahpF//ssuA//hypE//aidB//hdeA//spy//ydhU//raiA//ysgA//fabZ//nlpD//ccmD//sdhB//chbG//focA//cysC//spy//gspL//hupA//ilvN//nikE//glcF//aceK//lacY//fixC//trpE//fur//tdcF//phnN//ccmF//ynfK//hyaB//sufD//livM//exbB//bglF//fabZ//frdC//glnG//ada//secB//gltB//mgrR//dpiB//napG//pheT//melR//hycB//nanK//paaJ//nanC//ilvI//aer//yqjI//hypA//gltU//speA//tnaA//sucC//pdhR//fucR//uidC//cydD//paaK//yibN//acnA//entC//purB//gatB//slt//yiaJ//garK//baeR//fucO//fepD//ccmF//rbsA//chbR//cysC//aroM//mglA//oppF//paaF//rof//
NarP-Phosphorylated	oppC//cyoA//xapB//lsrD//chbC//malM//talA//lpd//codB//cyoC//manY//sgbH//yfaE//bcsZ//dcuB//dppF//emrY//alaS//galE//manX//ahpC//nuoG//mglC//gapA//fadH//narJ//exuT//sdaA//pitA//tauB//pgpC//gltD//nrdG//fecC//cysM//phoR//recF//trpA//ubiC//cheW//fhuA//lsrG//lyxK//glgA//gspC//mdtC//fepD//ychH//mscM//fucR//
NhaR-Na+	rrlA//fhuA//hycE//hybF//ebgC//rrfB//sufB//
NikR-Cd2+	ycjF//rutC//yiaK//malK//prpC//rseC//
NikR-Co2+	yidQ//rhaS//cysA//astE//manA//nikR//
NikR-Cu2+	yhhY//mdtC//araJ//yciW//rpsP//hyaD//
NikR-Ni2+	sdhB//glnB//glpX//garP//malP//bhsA//
NikR-Zn2+	yjjZ//hfq//rrlH//bioF//frdD//hofN//
NrdR-ATP	rplM//puuB//entA//glnB//yeiL//ulaA//sdhB//glgS//cysI//
NrdR-Zn2+	hypC//ydeA//puuA//xylB//trpC//yeiP//hybC//yccA//cyoE//
NrdR-dATP	csgG//rhaD//yhfA//phoH//gspO//crr//rplI//rpmC//garP//
NsrR-[2Fe-2S]reduced	paaB//nikA//yfdE//fabZ//rbsK//caiT//yeiW//uidC//rrfA//fhuC//hofC//fepE//moaC//pncB//livH//fis//iclR//agp//dmsC//katE//cheA//ulaB//manA//dapD//rplW//slt//lysP//leuE//sbcC//dsbA//gpsA//mglA//tam//purM//alaS//astE//exbB//metN//frdD//sufE//tdcE//atoA//lldR//cysA//araG//ydhW//fixC//nfuA//tdcF//srlB//aroL//sxy//ptsH//nuoL//nrdD//efeU_2//fumB//yqjI//ugpA//ileV//malQ//hisQ//nuoK//cydD//arcZ//ydeJ//yiaJ//aroM//narQ//glpF//casB//mgtA//hofM//
PhoB-Phosphorylated	mgtL//iclR//gdhA//ptsG//gapA//malY//glpD//ssb//yggX//serC//fadA//sucB//mlc//trpR//uhpB//copA//atoB//preA//casB//rbsD//tdcE//lolB//pgaC//malQ//dapD//mglA//yhcH//malE//exbB//fecE//borD//rrfC//alaA//ydhU//phnO//nikB//uhpA//tap//hyaB//frdA//sdhD//bglF//ccmF//nuoI//sufE//rof//gltV//araJ//ptsI//sdhB//deoB//yiaM//aldB//cheA//hmp//thrS//rplB//ilvM//upp//marA//ogt//
PhoP-Phosphorylated	gspH//torA//acrA//tfaQ//qseB//actP//znuB//tnaC//lpxA//dpiA//lpd//hyfB//spf//hyaD//arfB//purD//citD//fepA//amn//udp//yqjH//fimI//garL//ydeM//fnrS//acrD//glpX//allC//agp//map//appX//fadH//trpC//mtlR//yaeP//exbB//skp//hybE//tnaA//ompR//rrfA//hmp//cysG//eda//ilvE//sodB//xdhC//ompR//hisP//sucC//ydhU//astE//malS//melR//agaA//flhC//crr//
PrpR-2-methylcitrate	fiu//gspO//nrdI//nuoA//phnI//
PurR-Guanine	deoA//ilvY//fepG//ilvG_2//uof//mhpD//csiD//yaiW//fliA//iscA//comR//fecD//galE//emrK//leuE//bcsA//tnaA//uidC//dps//hyfR//zraR//hyaA//phnN//malM//comR//ydbD//rprA//pitB//pncB//entF//yeiP//yedX//ahpF//idnD//
PurR-Hypoxanthine	artQ//speC//trpR//glrR//yiaN//gcd//psiE//iraD//uidC//yqjA//gyrA//fhuD//speA//lrp//nikB//fixC//exuT//betI//yiaK//entD//glpA//fecE//malK//nlpE//uof//garR//gltV//cynR//cadA//artP//citC//glrR//tap//yegZ//
QseB-Phosphorylated	ubiC//malE//ydhU//aaeX//
RhaR-L-rhamnose	grpE//tdcG//
RhaS-L-rhamnose	ydhT//glnD//ompA//yoaC//glpG//hdeD//
RstA-Phosphorylated	galT//cpxR//livK//cysM//ydhX//glpT//secB//cydC//garK//gspK//
SoxR-[2Fe-2S]3+ oxydized	mhpC//fadB//fimF//lldP//
TorR-Phosphorylated	cyoB//lacY//yfdE//ispE//fnrS//nusA//citX//pheS//artQ//argC//
TrpR-Tryptophan	abgT//aceE//glgS//glpB//gntR//fdhF//acrB//betB//gntU//yaeP//cysD//fecA//
TyrR-L-tryptophan	bcsC//tehB//nupG//ansB//argE//puuR//feoA//mhpD//phnD//sdhC//caiC//dsdX//ydeP//astA//
TyrR-Phenylalanine	caiE//argE//phnC//purC//tap//gutQ//bglB//entC//ydeO//caiB//gatZ//ysgA//rrfA//garP//
TyrR-Tyrosine	purB//rstA//rimP//dppF//fhuC//gspC//cytR//yfiP//rpoS//rrfG//hyfR//glpG//allD//rprA//
UhpA-Phosphorylated	lpd//
XapR-xanthosine	garL//chbB//
XylR-Xylose	upp//sufA//ydiU//xdhC//fdnH//rrfE//
ZntR-Cd2+	azuC//
ZntR-Hg	fucA//
ZntR-Zn2+	cueO//
ZraR-Phosphorylated	glpG//glpF//napG//
Zur-Zn2+	xylG//evgS//garR//gspH//aroM//csgA//
