#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	tadA//yggX//hyfJ//paaC//
CysB-O-acetyl-L-serine	bacA//rrfF//truB//hofP//ampE//carB//ydhY//astC//alaA//fixX//argP//fepB//ulaA//gntT//puuR//sgbH//fadI//purN//tsgA//cydA//lpxA//ubiC//arcA//frdD//bdcA//citD//gspL//argT//glpF//nanC//cysU//
DcuR-Phosphorylated	zraS//malG//garL//ulaE//cysK//yiaK//tolC//sxy//ynfE//
DnaA-ATP	erpA//alkA//cysG//tyrB//tauD//acnB//garP//rrsH//fimA//artM//ftnA//rpsS//
DpiA-Pasp	tnaB//sufS//mscM//rrsD//ahpF//mgtA//mdh//rutA//gutM//yciW//gltA//
DsdC-D-serine	flhC//rrsH//pheS//
EvgA-Phosphorylated	caiT//yegR//hyfR//rnpB//nrdA//gadC//efeU_1//trg//pgpC//dcuD//hslJ//rutD//csgC//lsrK//purB//
FNR-[4Fe-4S]2+ reduced	pta//ydeJ//amiB//carB//ubiG//malE//casC//yhhY//hybO//hyfG//gntX//napF//rbsD//yidQ//ugpE//dcuB//rrlD//hyfJ//ftnA//ryhB//dnaE//icd//avtA//hyfD//cynS//narH//glpA//moaE//aceB//metL//chbA//rcnB//araA//nirC//livF//rseC//mntH//xseA//ahpC//entS//cysD//hypF//ykgR//tauA//chbA//hyfE//csgC//dcuS//trpL//ilvY//glgP//nlpE//hupB//pitB//glnG//glcC//yfdV//betA//tdh//hybF//yrbL//metC//fdhF//csgA//pgaC//puuP//purR//fimH//metH//bglG//dsdA//metF//tomB//cydB//mgtL//uxuA//metA//rybB//rrlH//malP//patZ//ybjG//pheM//narQ//yfaE//livM//chbR//fumC//artM//dpiB//uxaB//dcuR//uhpA//napF//rrfC//tktB//ydhT//nlpE//rrsC//caiB//dcuD//bdcA//artM//ppdD//rplT//pheS//cysJ//glpX//mzrA//nuoH//hflC//uxaC//glpK//purR//artM//serA//yjjZ//cysK//feoA//mglA//uhpB//puuP//dkgB//atoA//malP//feoA//fepE//ebgA//yaeP//ydeP//dcuB//nuoM//acrF//sdaA//rutE//cadC//moeB//yegR//mdtA//safA//nagA//mglB//tyrB//aroA//comR//napG//xylB//rpsJ//fadA//oppB//dpiB//lysA//hisQ//puuP//fis//hybA//garL//ilvE//moaD//nlpE//napH//mlc//araJ//cydD//modC//fepD//hdeD//acnB//arfB//codB//deoD//rrfD//pgaB//rpmC//hyfG//cysN//fadH//artQ//rcnB//agaW//ampD//gltV//tam//map//lacA//fdnH//fumB//argG//hyfE//aroL//rplP//serC//mltC//gspH//sufA//hslJ//hpt//psiE//puuB//malG//argT//pheT//mdtB//thrV//hydN//hpt//glpE//malF//preT//amtB//ygeA//rbsD//ulaB//tsr//tnaB//malT//ygiC//betA//chbB//rdoA//deoB//tfaQ//motB//srlB//deoB//deoC//galK//thrV//rbsR//tdcD//bglF//glnB//yfiP//idnK//tdcC//prpC//tauC//astD//araC//lacA//fixA//arcA//ygeH//gspG//nlpE//entD//rhaD//ydeA//ugpA//yqjA//cynX//rpsC//xylB//chiP//glcG//rimM//rbsK//torR//chbA//ompX//yeaE//ugpB//serA//ccmD//fepE//nupG//gabP//glcB//yhhY//ansB//marR//fucI//xylR//paaG//ada//arcA//ydbD//nlpE//astD//nuoG//paaB//entC//rpmC//hyfB//tktB//ynfG//araB//dgcZ//citC//dsbA//ansB//mscM//hisP//malI//rrsC//abgA//bcsZ//nuoB//ydhY//amn//csgD//caiB//marB//glpD//hdeD//
FhlA-Formate	malS//yibN//nrdB//tolC//glnB//yfiP//rprA//araE//pstB//cyoA//sgbH//rcnB//casB//entD//fecD//adiC//fucU//astA//ispE//rpmC//lpxB//aldB//yciW//yidQ//lysO//srlE//prs//hfq//motA//pstB//
FucR-L-fuculose-1-phosphate	cynT//xylH//acs//nuoC//malZ//hybE//pgaB//
Fur-Fe2+	pgaA//gatB//agaA//rpsQ//hfq//guaA//sucD//purC//hypF//osmY//entD//mscM//gspF//qseC//citD//araH//tadA//astE//ycjF//rrlH//gatC//gspO//appX//purN//fecC//mtlD//cusF//fecB//malX//cysB//psiF//ccmD//trpL//rimM//mntH//gatY//bcsZ//fimH//cspD//paaD//nuoA//degP//malI//ubiC//lldD//cdd//ulaD//frdB//manX//yeaE//rpsI//dmsC//qseC//hyfC//purD//bglB//csgD//ung//modB//yaiW//rcnA//rrfF//sdaA//hyfH//nohA//serA//rpsC//uof//pgk//gutM//rplP//nrfE//astE//ulaB//hycI//ftnA//hyfR//fliZ//hpt//fhuC//nhaR//rstA//phnO//srlR//gpsA//caiC//pnp//yfbR//hyfB//hdeB//tsx//speC//xapA//phoQ//ydfH//fimA//lpxD//fadB//dnaN//rbsR//entS//lysO//nuoK//norW//exuT//moaC//sucD//entC//hemL//treR//bdcA//hdeA//lacI//nlpE//sdaA//yfdE//glnA//slt//malM//allE//glpX//cydB//pstC//glrR//rhaT//rnlA//yeaD//dppF//citG//fhuD//rrfC//fabZ//preA//glpQ//ilvD//arfB//ubiC//ryhB//dsdC//copA//
Fur-Mn2+	cheB//feoB//oppC//zraS//fadJ//cheY//entS//glpX//rplC//galS//pheT//nagA//sufD//tadA//nhaR//tdcD//yjcH//znuC//tomB//glcG//torC//rpsO//adiC//pgaD//nuoK//ampD//bcsC//murP//tdh//casD//iscU//ansB//metA//lysA//yhjA//fes//srlA//hypD//pheT//adiC//fimI//rpsO//sufA//dsbA//nrfD//ileV//nikE//metI//ugpE//agaA//betT//yjeV//phoA//glpR//fepA//prpB//fixC//sufC//hyaB//uof//glcB//ydbD//deoA//artJ//yeaE//fumA//allD//mtlR//napC//frdA//argE//tfaQ//purR//bcsB//tauA//alaS//hybF//ccmC//ygeH//rbsK//flhC//allC//hupB//ccmD//citG//tomB//sufC//uxaB//lyxK//bglB//rseC//glpF//pdeF//mhpD//malM//metQ//lysA//fepC//aroF//cheB//nuoJ//fadA//zraP//rstA//fixX//efeU_1//ynfE//ubiG//gspH//glnA//prfA//melR//malY//glgP//glyA//ppdD//xylR//fhuD//rpsF//garK//hycD//tdcC//ssb//nrdG//nanE//cyoE//fumC//ascB//tsaE//rrfA//gatZ//dgcZ//feoC//entD//rbsD//hfq//metY//narX//ldtB//idnR//
GlcC-Acetate	hyfG//nuoJ//ptsI//modC//rutE//tsr//rpmC//
GlcC-Glycolate	fumA//yjjZ//cydC//tonB//marR//moaC//cydA//
GlrR-Pasp56	aroP//
IclR-pyruvate	lysU//oxc//phnC//cysB//
IdnR-5-ketogluconate	rrlB//aaeB//ung//srlD//znuB//gspE//emrK//agaV//
IdnR-Idonate	puuA//puuC//alaU//livH//aspA//mepH//gdhA//ihfA//
IlvY-2-acetolactate	galT//glpR//
IlvY-Alfa-acetohydroxybutirate	rstB//rcnB//
IscR-[2Fe-2S]1+	actP//gltU//hyfG//tdcG//purE//nikC//pyrD//nirD//rpoE//slyB//yggX//cas1//cydA//cspE//marB//rutA//ybdN//yegZ//nmpC//glgP//caiD//cydB//gltF//puuD//melA//ppiD//deoB//livM//lysO//ychH//cpxR//livG//nrdB//aceB//csgE//tyrP//narJ//araG//paaF//prpC//cheA//
LldR-L-lactate	rrsB//tauD//arcA//
Lrp-Leucine	metH//cdd//yggX//puuD//rpsF//motA//ilvI//modC//bdcA//fliZ//dctA//ssuA//tdcC//nikR//rbsA//gutQ//nanC//uraA//artQ//idnD//cheW//nuoE//caiT//hyfA//nlpD//nrdD//fecI//fhuA//rplI//frc//pagP//paaI//hcr//mltC//hflK//tcyJ//feaR//nlpE//hyfA//zwf//nupC//sdhC//yaeP//iscU//agaW//ubiC//sdhC//nagB//ygbA//oppD//lysO//lolB//yfdE//yidQ//ydeN//envZ//cheZ//malX//ilvI//tsgA//gatA//iscU//glcD//sodB//rbsR//dsdC//dppF//xylG//phoH//tcyJ//yneM//tam//paaE//malX//yfdX//hydN//argR//astB//fau//hofP//ccmC//purH//trpL//ogt//gltU//fumA//dps//lyxK//rutD//dgcZ//nrfD//argB//efeU_2//phnP//mtlA//tsgA//iscU//paaJ//cpxR//dppF//rcnA//rrsB//cysK//prpD//puuP//nusA//
LsrR	grxC//yjiY//cheZ//cvpA//pck//abgB//pdhR//cydB//garR//
MalT-ADP-Maltotriose	hycH//citX//ptsI//fes//mutY//ulaC//pgk//gltV//sucB//csgF//
MalT-Maltotriose-ATP	sdaA//paaZ//yegR//acrB//araF//polA//iscA//aroP//mhpC//argH//
MelR-Melibiose	metY//rseB//thrV//
MetJ-S-adenosylmethionine	tyrP//tyrP//ycjX//cysM//argT//secB//tnaB//yiaJ//fepG//yaeP//napH//trpL//rrfD//ychO//gcvP//
MetR-L-homocysteine	ycdZ//fucU//metJ//bioC//arcA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	artJ//cynX//hfq//tyrR//cyaA//malG//
MhpR-3HPP	rbsK//aroG//chbA//glnK//xylB//ugpB//
MntR-Cd2+	ilvG_2//tnaC//fucR//guaA//hisQ//
ModE-MoO42-	hupA//mhpF//ileU//nikC//mepH//feaB//gspF//glgB//artI//fliZ//ycjX//fepG//yciW//patZ//melA//ugpQ//argR//ybjG//arfB//moeB//hycG//mglC//nrdF//feoC//ybdZ//lacA//ynfH//mglA//ytfE//ulaB//norR//yfbR//upp//evgA//paaD//nirB//fimA//feaR//rutD//feoB//yrbL//dmsD//astB//oppF//nuoI//mglA//
NarL-Phosphorylated	cysM//astD//slt//borD//ulaE//trg//crr//mgtA//ssuD//cytR//gcd//ileV//torC//frdA//pdeF//dsbA//betB//rrsA//cpxA//napA//araJ//rpsP//malS//yjeV//fumC//hypC//hycH//carB//dppF//dapD//hisJ//frdC//norW//caiA//fixX//yedX//phnO//nupC//oppC//rnpB//cvpA//nuoF//sgbU//malF//srlB//ccmA//bglG//tktB//metC//fucA//metC//bcsB//sufA//cyoD//fhuA//csiD//aidB//rbsK//ykgO//znuB//tyrP//citF//nikD//mgtL//ftnA//arcZ//ulaF//yiaK//cytR//nagA//cytR//fimD//hofO//tyrP//rseB//ung//ompR//chbF//lldR//dctA//ogt//iscU//cyoC//rplD//metY//purD//fabZ//nrfB//hyaC//exbD//cvpA//cysW//tauA//fecA//ybfN//argF//entS//yebE//priB//caiF//fliZ//tsr//hisQ//aaeR//fiu//spy//proP//frdB//moeB//sdhB//ssuE//nrdD//phoQ//mtr//bglB//gspG//sucA//ycdZ//gspK//treB//speB//rrsB//ygiC//csiE//bamA//
NarP-Phosphorylated	ppiA//tdh//trpL//ackA//aidB//mipA//yfdE//araJ//degP//rplC//gnd//cstA//glpG//phoR//rstA//dusB//pitB//xylB//murQ//yfeW//amiB//gspG//uhpB//paaK//purL//srlR//alaS//astB//hycC//aaeB//cbl//gspD//csgC//rutF//csgF//torD//nrdD//ynfH//uidB//cysB//ugpQ//tsgA//acrF//gltU//glpK//narH//puuC//narH//nirB//ynfG//
NhaR-Na+	paaK//cyoD//alaS//fecA//trpE//hyaD//sbmA//
NikR-Cd2+	cysI//bamE//hyfH//yciW//ascF//fhuD//
NikR-Co2+	lsrC//hyaE//infC//livF//yhfA//gltF//
NikR-Cu2+	gpsA//metN//purK//ihfA//gcvT//dnaA//
NikR-Ni2+	ygeH//sodA//aroF//hybB//betT//fecC//
NikR-Zn2+	lacZ//trpL//fimC//iscS//eda//ykgM//
NrdR-ATP	ynfG//ahpC//pagP//cyoB//sucB//glcC//nagA//hyfD//deoA//
NrdR-Zn2+	ugpE//tar//fimG//nirD//lsrA//rmf//aceE//hpt//flhC//
NrdR-dATP	aspA//glgC//patZ//glcA//ydeN//iscR//yaiW//galK//pta//
NsrR-[2Fe-2S]reduced	ptsH//comR//trpE//exbB//hycF//cheW//fimE//hslJ//metN//znuA//ascB//cheW//tadA//mscM//hycC//nuoH//ppiA//mltC//appC//mgrR//trpC//acrD//argR//nanA//galT//astD//pdhR//crp//tdcD//yfdX//tehA//micF//lsrA//yhjA//rcnB//tehB//purB//metY//fiu//aceA//ygeH//glnD//ackA//pdhR//rseB//ackA//garK//norR//yiaK//alaU//hyaC//patZ//malI//hisJ//fucO//cusA//betT//atoE//entF//chbR//argD//argA//rimP//evgS//acrE//hycG//xylA//narX//hybE//fecB//ivbL//lolB//ydeM//
PhoB-Phosphorylated	livM//caiC//uxuB//preA//hofM//agaA//hybF//fimF//rpoE//glgC//purC//entE//ihfA//ulaD//ugpB//csgF//hdeA//ptsG//exbD//rrfF//erpA//astA//nrfC//waaH//hycB//mglA//rrfD//cyoA//ilvC//xapA//ulaA//tktB//pstC//nrfF//cusC//atoA//bamE//ytfE//dcuC//citF//alaU//csiD//bioA//epd//cadA//fadI//rpmC//dcuC//mpl//prpD//nuoE//frdA//rbsD//gpmA//rplT//araF//lsrF//deoD//xylG//emrK//cstA//
PhoP-Phosphorylated	rplM//fhuB//ptsG//melA//frc//narQ//tauB//glpF//efeU_2//caiF//xylA//uraA//betB//glpQ//rrsG//phnE_1//phnK//yedX//entS//dapB//aceB//bioC//sucB//ycdZ//phoA//nrfC//sufB//dadA//fucA//purH//focB//tdcD//ygeH//fucK//ccmA//mltC//bioA//rplB//sodB//feaR//phnP//speC//gcvT//alkA//ilvD//lysU//aaeX//araD//nusA//nuoK//nanT//gspC//lsrC//aldB//znuB//mntS//glpD//
PrpR-2-methylcitrate	pepT//nagE//yhfA//ampE//glpD//
PurR-Guanine	livJ//gnd//citE//xylB//rplV//yjjZ//zinT//fnr//appX//iscU//murQ//spy//gatZ//envY//map//murP//gyrA//tsr//glmY//galM//malF//araJ//moaE//dppA//lldR//ilvG_1//pncB//araH//prpE//tauB//ompW//yfdV//araG//ydhU//
PurR-Hypoxanthine	malF//lldD//xdhB//rpmC//sxy//crl//araG//gspL//nrdG//cpxR//hofP//hisQ//srlA//gatY//ssrS//narJ//tdcC//appC//agp//hybD//ppiD//phnO//caiC//chiP//emrY//gspC//ysgA//speB//hcp//ogt//glnB//hybA//ogt//trpD//
QseB-Phosphorylated	yfbR//ackA//grcA//csgF//
RhaR-L-rhamnose	hypD//entE//
RhaS-L-rhamnose	yggX//idnO//ykgR//aceA//napA//sdhB//
RstA-Phosphorylated	rhaA//citD//dpiA//hyfH//tdcB//rrlB//atoA//ilvM//purE//moeA//
SoxR-[2Fe-2S]3+ oxydized	idnR//melB//csgB//dapB//
TorR-Phosphorylated	iclR//murP//norW//tdcA//mdtD//rplV//ccmG//caiB//glpD//casD//
TrpR-Tryptophan	crp//yfeW//ilvM//cyoD//astD//cysC//glpT//puuD//hybA//trg//ampE//dmsA//
TyrR-L-tryptophan	glpF//fadD//ampE//ynfH//ykgR//gatC//fumC//napH//ccmD//dmsA//hybG//fumB//fdnI//nirB//
TyrR-Phenylalanine	hofC//argE//lacI//caiD//qseB//purK//rplD//prfA//ygiA//ygiC//metK//mipA//pagP//ssuA//
TyrR-Tyrosine	aldA//purN//ahpF//dnaN//dppC//yfbR//ilvD//uxuA//hyfG//ilvB//fhuF//ilvI//idnR//fhuC//
UhpA-Phosphorylated	feoC//
XapR-xanthosine	trpA//tdcA//
XylR-Xylose	rrsD//cstA//ung//rseB//agp//sucD//
ZntR-Cd2+	bioA//
ZntR-Hg	rpsF//
ZntR-Zn2+	cydC//
ZraR-Phosphorylated	aer//cydD//borD//
Zur-Zn2+	dcuA//nrfB//lysU//murP//phoP//lrp//
