#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	uxuA//fnrS//hofM//fimE//
ChbR-Monoacetylchitobiose-6P	dsdA//dmsA//ompX//emrK//fadH//cheR//
CpxR-Phosphorylated	safA//yhiD//ygbA//qseB//yfbR//cusB//rplI//cydB//frdC//ispE//lsrC//pnp//betA//dcuB//nuoC//hemA//fucA//yfdX//paaB//bamA//alaV//psiE//hemL//ilvX//gntX//phoB//trpB//fucI//cdd//rrsH//gpsA//nuoC//ykgR//chbA//tsx//focA//rof//flhD//fepG//gltU//xapB//argI//cpdB//pdhR//phoE//tauC//yeaE//cysW//ynfK//fucA//yojI//phoU//nac//moeA//nuoF//zntA//amiB//glgA//fadJ//nuoG//glgB//yeaE//puuE//citC//atoA//sdhB//ulaE//paaG//hflC//
CreB-Phosphorylated	ivbL//ysgA//lysC//iscA//ilvG_1//mlc//rrsH//oppD//oppD//
CueR-Ag	marA//chiP//hyaB//glgA//rbfA//ccmD//ackA//
CueR-Cu+	tap//evgS//cheB//dppA//yoaC//paaJ//cra//
CuerR-Au	entC//ccmE//cysM//rrsB//ychH//acnA//cysC//
CusR-Pasp	gltA//cyoB//bioC//acs//rpmC//prpB//nusA//cydA//aldB//nrfC//gltF//ssuC//
CynR-Cyanate	rmf//rrsB//yccA//adiC//
CysB-N-acetyl-L-serine	dppB//lpd//srlB//gltF//ascB//cysG//rbsA//argT//leuE//nuoL//ahpC//lhgO//infC//pgaC//nohA//gspI//yfdE//bioA//yoaG//patZ//hyaB//prpC//mzrA//cpdB//rrfG//flhC//purR//dsdA//hybB//nikA//
CysB-O-acetyl-L-serine	astC//rrsG//chiP//csgE//lamB//hofN//aroA//rplV//garL//hyaA//srlE//rrsD//xylB//hflX//oxyR//lpxA//uhpA//nrfG//nikD//katG//astC//rplS//cysB//aer//tauB//pyrD//ihfA//lysU//hisM//nanA//fecI//
DcuR-Phosphorylated	uhpA//adhE//prs//fdnG//yedX//erpA//glnK//galK//dnaE//
DnaA-ATP	torA//phnE_1//fldA//nadC//ascF//cpxR//glcE//yhjA//tdcC//lldD//xdhA//fumA//
DpiA-Pasp	nrdB//yccA//mdtA//hyaF//pitA//gntU//rdoA//frdA//csgE//moeA//aspA//
DsdC-D-serine	edd//argF//creB//
EvgA-Phosphorylated	fhuC//metC//bioD//hdeB//glgB//hybO//tyrR//ada//fecR//fadH//nupC//yeiB//sodA//ilvH//efeU_1//
FNR-[4Fe-4S]2+ reduced	psiE//guaB//nupC//ykgO//udp//tsx//csgD//hofC//ompR//cpdB//yqjI//tfaQ//torD//rrfD//nrdG//cpdB//araF//fecB//glpF//agaV//caiB//argD//ompR//degP//cueO//lpxA//rdoA//uidC//malF//pheM//bioD//purH//fimD//znuB//rpsS//ccmD//srlR//rrfH//uxuB//hupB//acrD//xylF//glpG//stpA//fimF//cheZ//ndh//hyfC//ilvM//rrfD//metK//abgB//deoD//yaiA//rrfG//glgC//ssuE//alaV//metR//nrdF//phnH//ygaC//bhsA//hpt//atoA//napF//ebgC//phoE//zwf//glpA//glnB//asr//abgT//atoB//rpsF//ascF//rbsD//purR//malZ//modC//purK//aldB//argR//ycdZ//sucB//feaB//infC//murP//nhaA//aceK//tpx//abgA//nirD//nagB//sbcD//hycC//dnaA//cysC//iscS//paaC//oppC//trg//ccmG//rutF//rof//mhpE//artQ//rseA//rpoE//rutC//hypE//hflX//hdeD//leuE//sdhB//fimD//rhaT//gltA//ileV//rrfB//rpsR//fimI//torC//astA//ppdD//rrsG//tfaQ//deoB//fucO//rpoS//tam//hyaD//fadH//yedX//lsrG//entB//glnB//rbsA//nuoA//ybdN//yhiD//crp//puuA//fis//ilvY//dcuB//tdcA//fhuA//cdd//tpx//nrdD//hpt//cyoB//dps//hypD//murQ//mtlR//tehB//tauD//gabD//ppiD//dcuB//rrsD//prmC//fhuD//moaE//melR//yfdX//nagC//ilvA//alaT//dppD//rprA//hfq//cysH//nuoF//malS//purL//hofO//lldD//asr//phnM//hyfA//napH//prfA//yegR//yiaK//ampD//ybdN//astD//bacA//yqjI//cueO//ydeN//allC//trpD//rbfA//bhsA//cysJ//dps//aldA//caiA//gadB//agaA//galS//narH//glpA//ygbA//sgbU//rrsH//glrR//cheW//lsrA//oxyR//araB//yeiW//alkA//ldtB//exbD//gspL//exuT//argI//uhpA//nanK//fhuD//acs//ugpB//glcB//dctA//moaB//grxD//gltW//mdtB//xylG//sufA//csgF//osmY//rutD//glpB//carA//glpX//fimH//nupC//napH//tdcF//hypE//yjcH//araD//csiE//paaA//hflC//phoU//zinT//fimF//rrfF//yidQ//phoP//lsrF//cysH//iraM//citX//citE//argE//cysW//dpiA//moaB//nanT//napD//yhfA//rnhB//nfuA//treC//gntP//nrfB//yeaR//aaeR//cysM//oppF//mhpR//gabP//phnL//chbA//yjiY//fepG//fimE//purB//cyaA//galE//nikB//fiu//dmsA//rrlC//ilvY//pstA//cyoE//copA//rstA//cas1//sufE//ssuC//fecB//glnD//ynfH//hyfH//ynfH//
FhlA-Formate	folE//ubiC//fhuE//upp//bioC//dkgB//fes//fepC//uxaB//dppA//rrlH//nuoH//sbmC//mtr//argI//iscU//fhuA//azuC//rrlE//uraA//znuB//astB//tdcF//efeU_1//rrlC//ychO//ugpA//sroD//artP//hybO//
FucR-L-fuculose-1-phosphate	yhjC//ihfA//rstB//gntX//ykgR//nhaR//abgT//
Fur-Fe2+	metC//cstA//nanA//yccA//cheR//rutC//phnM//rhaS//lysU//chbC//cysW//alkA//nikC//rpsS//hcr//nirB//marA//polA//bacA//ftnB//thrS//phoQ//metK//yiaL//yaiA//idnT//argG//rrsE//purF//cysG//uxuA//mdtD//treB//paaZ//hcr//yhhY//rseB//phnH//skp//cdd//ssuA//yccA//yeaE//appC//hofP//mtlR//tyrA//ascB//livM//hypC//preT//gadC//nrdA//dapB//pyrC//narH//zraP//mgtA//rrsB//nrfD//ackA//nirB//ptsI//cydD//lacZ//ynfE//slt//lacZ//caiB//srlB//soxR//yidQ//prpD//fepG//sbmC//ubiA//metK//phnG//fdnG//nadC//ydhX//lrp//nikR//yaiA//nhaR//spy//glnA//aceB//nrfG//nanM//uhpB//gspK//acrD//ccmF//uhpB//cydB//manY//mglB//nikD//murP//moeB//torA//nuoA//rutC//glgS//prs//flhC//dppF//metC//artP//malK//acrE//astE//dmsB//nikB//cydB//icd//nhaA//nuoM//livK//xseA//nohA//allE//glpX//nagA//fdnG//allD//hycC//rpmC//carB//deoB//talA//phnM//ascB//exbB//slyB//paaG//agaV//mcaS//csgD//
Fur-Mn2+	hflK//moaB//napH//ybfN//rpoE//aaeX//mdtA//cstA//artJ//metK//citG//bioC//sohB//cydB//nrdE//ccmA//preT//lolB//gntU//mgrR//betI//fadJ//nrfA//evgS//guaA//hybF//glnB//degP//fucO//moaE//glgP//sdhB//cysA//ulaD//uidC//hdeD//ynfE//citF//cysG//fhuF//ccmD//fepC//idnR//puuP//cyoE//gatY//entD//aroL//nlpE//hybA//treC//yjcH//oppC//pck//pflB//pstS//napC//lsrG//kbl//appY//idnK//mhpF//ugpB//mpl//phoQ//degP//purB//betI//gspH//lrp//xylH//nanM//phnM//glpF//infC//gspI//araE//yeaR//glcC//ilvX//ynfG//deoD//fnr//znuC//amn//iscA//thrV//gntP//hslJ//sufD//metY//mdtC//dsdC//phnJ//nuoI//rutE//puuD//uhpB//amn//infB//pheS//nrfB//ompA//ilvD//rpsS//citX//napG//tadA//mtlA//tauB//pgaA//tsx//zinT//glcG//alaV//gspD//phnC//yhjA//lldD//speC//ykgO//rutG//hofC//zwf//xdhB//feaB//manX//phoQ//tyrR//glpQ//fnr//hslJ//yeiL//creD//zwf//metN//ydhX//aer//glrR//fucP//
GlcC-Acetate	bcsA//agaW//cadA//phnG//fimI//pstA//qseB//
GlcC-Glycolate	uof//ldtC//rseB//hisM//phnE_1//hydN//aaeR//
GlrR-Pasp56	argG//
IclR-pyruvate	hmp//yrbL//gadC//rrsA//
IdnR-5-ketogluconate	caiA//rimM//rrsC//ssuE//cadA//argG//rbsD//puuC//
IdnR-Idonate	glpG//rplS//arfB//talA//aspC//uidC//entD//csiD//
IlvY-2-acetolactate	hyfE//rpmC//
IlvY-Alfa-acetohydroxybutirate	rof//grxC//
IscR-[2Fe-2S]1+	actP//guaB//betB//chbA//puuR//uidC//rpmC//yjcH//bglG//tam//yfiP//yedX//ubiC//sdhB//nuoL//ppiD//katE//rpsR//thrS//metH//rpsC//entE//hyfI//lacY//alkA//lpxD//mscM//dctA//yjeV//yfdX//ycdZ//phnG//fumA//rpsF//ilvD//gspF//malE//gyrA//dmsD//argB//rpsJ//
LldR-L-lactate	acrB//hyfE//dppF//
Lrp-Leucine	uxuR//priB//malE//fdnG//napA//ilvB//lacY//puuA//hyaB//slyB//narK//yoaG//xylR//modA//fecI//nuoN//fucO//atoE//guaB//yeiL//paaD//oppC//ptsH//nuoG//tyrR//nrfG//envY//lhgO//argA//fliA//lysC//ubiC//gntX//hybO//ulaA//xseA//gadB//livG//hemL//rpsS//hyfI//cysD//rutB//gspJ//pdhR//bacA//raiA//rseA//nrfA//abgA//mutY//nadC//rimM//tehB//alkA//rrlD//hypD//gnd//araD//aroP//ugpE//idnK//yiaM//entE//pstB//rrsA//dppD//oxyR//rstA//dpiA//trg//hybD//ccmC//rrsB//glcE//proP//bglG//araA//ynfE//tap//tdcF//pta//hyfR//ccmC//hypD//cusB//glrR//dusB//rplB//znuC//zraR//yoaC//gspK//hyfI//uxaB//rdoA//idnD//rnhB//trpC//livM//mipA//hybO//phoR//phnE_2//nuoK//hyaE//
LsrR	yfiP//fbaA//aroM//feoA//lpxB//rnlA//gadB//treB//paaG//
MalT-ADP-Maltotriose	bacA//mgrB//efeU_2//nrfA//argG//gcvH//mepH//rhaR//fepD//yaiW//
MalT-Maltotriose-ATP	oppD//csgF//mhpB//fecD//hyaD//ompT//ydeN//alaT//rrsE//purL//
MelR-Melibiose	nrdG//nusA//metA//
MetJ-S-adenosylmethionine	nrfF//ynfK//gcd//caiC//pgaB//yqjH//rutD//hybO//cysC//rplC//mltC//cheZ//fhuD//sufD//artP//
MetR-L-homocysteine	hflX//hybA//gntU//metB//rpsC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	osmC//folA//allD//ykgO//nrfG//nrdG//
MhpR-3HPP	prfA//gatY//csgD//gntU//emrY//amtB//
MntR-Cd2+	dsdA//livM//sufB//pstC//exbB//
ModE-MoO42-	ysgA//uhpA//arcZ//entH//napB//bglB//livH//emrK//tyrP//citX//lpxA//slt//fecA//rplV//adiC//phoA//secB//focA//nuoL//chbR//rimM//ileU//citC//xdhA//amiB//fadJ//rrfA//gltA//motA//rpsP//ilvH//qseC//paaK//fau//pepT//mtlA//ileU//entB//aceK//glpT//nuoA//atoA//casD//cyoC//xdhC//fhlA//
NarL-Phosphorylated	argD//exbB//ihfA//ydfH//cusC//tauB//lacZ//ssuA//ssb//cyoD//rplP//malK//fhuC//srlA//rplW//rplM//aaeB//ptsH//rplM//sdaA//emrY//alaV//aceB//yneM//frdA//prpE//nuoE//fecB//phnE_2//ulaF//gntX//casA//cbl//atoD//hybB//pgaC//mcaS//rrlD//argC//efeU_1//agaV//ulaB//bamE//modB//ebgA//upp//sdhB//mltC//tap//metQ//yiaO//ccmC//polA//nirD//cysG//uof//rbsA//rrsB//katG//casB//fucI//crr//csgG//bglG//cysA//fimD//serA//frdC//livG//safA//ppiD//garL//ubiG//zraS//ogt//uxaB//sdhD//cyaA//mtlA//rplC//fecE//narX//acs//bacA//fnr//napB//xylG//nohA//tsaE//ybiT//mhpC//frdC//bioF//livJ//csgC//glmY//ccmA//pheS//envY//nrdH//yjeF//tolC//tnaB//bamA//paaJ//moaE//csgG//sdhC//glpK//fecB//narI//alaS//fimG//gntT//hyfB//yedX//oppC//pagP//torA//moaC//creC//uxaA//dsbA//ykgM//mntP//
NarP-Phosphorylated	dcuS//tyrA//folE//araF//ydeN//cytR//appB//mipA//eda//livK//ydbD//phoP//ubiC//qseB//ybdZ//manZ//fecD//livM//atoD//speC//pyrC//iclR//ydhX//crl//hycA//aroP//mdh//livH//mtlR//rpoS//fadE//allC//nanT//fimE//sgbH//ppiD//rseA//pstA//caiE//ilvI//livK//ptsI//csiD//tolC//lsrB//dcuS//napD//epd//yegZ//lsrB//
NhaR-Na+	ftnB//purK//yfbR//hyaA//lacI//metC//fdnH//
NikR-Cd2+	efeU_2//ileU//cusR//cyoD//alaU//rpsR//
NikR-Co2+	gatC//dadA//mgtA//narL//dnaN//fadE//
NikR-Cu2+	rrfH//caiC//ygiB//idnT//fabZ//hisM//
NikR-Ni2+	galE//rpoE//paaH//hycB//argD//glpD//
NikR-Zn2+	cdd//dppA//dmsD//ileU//yoaG//ihfA//
NrdR-ATP	ompC//zinT//ydhT//fis//ugpC//dcuR//kbaZ//fepC//fepD//
NrdR-Zn2+	gspL//phnP//cadB//fixX//metY//nhaA//envY//allE//tyrB//
NrdR-dATP	cysU//pgaD//fdnG//prpB//hybO//dppD//envY//nrfD//phoQ//
NsrR-[2Fe-2S]reduced	alaA//pyrC//modC//nupC//hyfC//artM//csgD//dnaE//malE//metY//fadJ//gltT//aldA//fucO//ilvG_2//fhuE//rrfB//rseA//ugpB//ftnA//cytR//yjcH//ssuC//puuA//rpsR//glpA//garP//csiE//appB//rseA//degP//glpX//cyoA//ycjF//gspL//narG//ugpA//betA//pyrC//bamA//metN//atoE//rpsC//glgC//ascB//rpsP//paaK//moeA//cusF//glpR//rpsO//hyfC//rbsR//mzrA//gntU//ycjF//hybB//nusA//skp//sbcC//fimA//yegR//ytfE//hcp//malT//rutB//yrbL//yhjC//moeB//phnE_1//pdhR//bcsZ//polA//
PhoB-Phosphorylated	mltC//glcB//rbsR//frdD//glgX//narH//nuoG//srlB//nhaR//acrF//murQ//argD//gspJ//rutE//ompC//cysK//yaiW//ulaC//rplB//fucR//hofO//ulaF//ynfK//torD//nanS//talA//tyrA//fau//priB//chbB//fadA//dcuR//acrF//norR//dadA//frdD//lacY//rpsQ//gntX//glgC//alkA//marA//nrdH//cyoC//fecI//gutM//csgG//glpK//cyoE//evgA//cheR//gadC//lysO//rplW//hdeA//rnhB//metK//sufE//deoD//ugpC//mhpE//
PhoP-Phosphorylated	lacY//paaE//oxyR//gltF//rpmC//katE//nrfA//baeS//ilvA//trxA//hyfC//focA//gltF//idnK//ynfF//manX//casB//cysW//ydfN//udp//mhpB//moaA//moeA//fadJ//leuE//livF//feoB//cusS//preA//nohA//ulaD//metL//preA//cyoE//fur//araC//hyfJ//pgaA//iclR//crl//gpmA//rnlA//yibN//xapA//oxc//gltF//marB//sgbU//rseB//metR//galK//amtB//alaU//rpsI//puuE//ahpF//alaU//
PrpR-2-methylcitrate	fdhF//bioD//ydhT//ackA//ryhB//
PurR-Guanine	agaV//hdeD//paaB//cirA//osmC//yciW//rutF//nrdH//gatC//sufC//ygiA//paaF//sbmA//emrK//malM//trpE//nikA//mntS//motB//ynfK//paaD//dppF//hslJ//napG//ccmE//hycD//mcaS//raiA//fucP//nikD//serC//ycjF//fumA//gltD//
PurR-Hypoxanthine	lsrF//yeiP//gpmA//ebgC//dcuS//hyaF//malQ//ykgO//gyrA//uxuB//ysgA//lysC//slt//ygeA//lsrR//hypE//efeU_1//ilvD//fau//glnA//caiC//erpA//prpC//fepC//gpsA//argE//aer//dmsA//gspH//amtB//sbmC//nanK//ubiC//crr//
QseB-Phosphorylated	aceA//fecB//ydhT//gntX//
RhaR-L-rhamnose	oppF//ldtC//
RhaS-L-rhamnose	lysP//fhuE//talA//mntS//phnD//baeR//
RstA-Phosphorylated	yhcH//citX//yhhY//rplW//baeS//nagC//baeS//glcF//hisQ//rimM//
SoxR-[2Fe-2S]3+ oxydized	purR//srlE//chbB//cusF//
TorR-Phosphorylated	fhuB//crl//puuD//fimD//sufB//sbmA//rhaT//fdnH//tehB//yfdX//
TrpR-Tryptophan	rmf//cysC//gutQ//cirA//hypF//pgk//mhpR//ftnA//ilvB//glpQ//gltT//narH//
TyrR-L-tryptophan	rutB//cysG//ysgA//lsrC//rseC//gatZ//hyfI//entB//nrdD//hemL//yaiA//ebgA//mhpE//mgtL//
TyrR-Phenylalanine	mhpD//rnlB//ompA//mhpC//yeaR//oppF//bioF//mlc//chbR//fepG//fau//lsrK//ihfA//pck//
TyrR-Tyrosine	grpE//manY//phoA//ogt//katG//rplM//glpT//feoA//malX//pheS//fis//yccA//sufE//tdcA//
UhpA-Phosphorylated	astB//
XapR-xanthosine	hycA//uxaB//
XylR-Xylose	fiu//cyoA//bioA//hyfE//ydhU//dppB//
ZntR-Cd2+	dmsC//
ZntR-Hg	prmC//
ZntR-Zn2+	ydhY//
ZraR-Phosphorylated	putP//araB//yeaR//
Zur-Zn2+	znuC//feaR//rrlC//dcuB//yqjI//dcuS//
