#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ygbA//rplW//rrfB//garP//
ChbR-Monoacetylchitobiose-6P	lsrA//gspG//cusS//azuC//ccmD//cysA//
CpxR-Phosphorylated	mutL//sufE//oppA//gcd//argO//carB//motA//ssuC//fadI//sbcD//fhuA//hflD//malE//modC//sufC//purE//talA//hyfE//ugpE//napB//fucU//ilvI//uxaA//envY//lsrF//dmsB//ccmH//fdhF//yfdV//prpD//napF//napD//oppD//malQ//trpR//gabT//putP//yhjC//purE//ysgA//cheY//csiD//ychH//dpiA//lsrA//nuoK//yqaE//rpsR//ydbD//hyaE//phnJ//lpd//trpE//edd//nlpE//rpsP//gntT//metK//ycjF//ada//hypF//ccmH//aaeX//argO//xapA//rpoS//casD//fepC//lldP//
CreB-Phosphorylated	dnaA//yibN//entF//astB//nuoL//purA//uvrA//ybfN//gspK//
CueR-Ag	sucA//rhaA//lsrG//ycjF//ileV//glcB//glgP//
CueR-Cu+	hupB//bdcA//paaE//yfbR//hupA//fau//fucP//
CuerR-Au	ccmD//malI//hybA//caiD//pagP//gutQ//rutG//
CusR-Pasp	upp//fucP//oppF//ygbA//appX//glpB//yedX//ybfN//paaG//chbC//gspH//glnB//
CynR-Cyanate	rrlH//guaA//ydeO//paaE//
CysB-N-acetyl-L-serine	pstS//casC//ydhT//ubiX//gutQ//cysB//hyaE//ycjX//fdnG//cueO//zraR//grpE//xylA//aceE//gcvP//rrfA//purA//skp//borD//lsrG//appX//yeaR//rstA//fdnI//yhiD//torA//cysN//yggX//ydhT//rpmI//
CysB-O-acetyl-L-serine	gatD//oppC//ndh//envY//ulaA//fau//eda//aroP//cydA//pgk//phnD//chbB//sxy//rrlD//katG//phoA//ompR//cheR//hybE//yjjZ//fecI//yiaJ//trpA//sucA//aroH//slt//rutA//nmpC//ykgM//yaeP//gabD//
DcuR-Phosphorylated	prpE//eda//yqaE//grxD//hycH//ugpC//ileU//bglF//agaA//
DnaA-ATP	yccA//ilvH//nagC//cueO//rbsC//ptsH//gcvP//nrfA//cheA//grcA//malF//uxuA//
DpiA-Pasp	mutL//fhuC//actP//fis//uidC//cusC//pstA//fecC//acs//ldtC//feoA//
DsdC-D-serine	fecD//argH//alaT//
EvgA-Phosphorylated	rhaR//ydiU//paaK//purM//lacI//cusB//glnD//tktB//purE//glyA//tsr//lamB//rrsE//ydfN//pck//
FNR-[4Fe-4S]2+ reduced	mglC//rhaR//yfdV//hyfC//gadC//frdC//rpmC//glgX//ydeJ//hybD//cysK//creA//yibN//ulaF//cyaA//aidB//tsx//cheB//glmY//garR//asr//umpH//nfuA//yeaD//gpsA//dmsC//rpsR//pflB//pgaD//galS//purM//hmp//upp//cspE//paaD//rmf//sucC//ndh//rprA//yecR//nrdB//sxy//nuoH//entB//yhjA//bioF//cyaA//rutB//rybB//ykgM//gpmA//argE//cysG//frdD//nrfG//pstB//agaV//ugpE//azuC//glpG//marB//udp//dcuA//sohB//dcuD//torR//emrK//atoA//sufB//hofM//nrdA//ilvN//napA//garL//ygeH//frdB//murQ//rrlG//fecC//phnI//rrfD//gspG//deoC//glgB//narH//sufA//ilvE//hycA//ydeP//cstA//ilvI//rplP//nagE//ldtC//cstA//iscA//fecB//uidC//yoaG//metH//ugpE//ydhU//gspD//ssb//rrlG//mcaS//rutB//araH//glpB//hlyE//fadI//tyrA//mdtA//nrdE//gadB//hyfG//lpd//nuoE//fecA//ccmA//sucD//fdnH//fepB//bcsB//preT//ybfN//ssuA//nrdD//fixC//sdhB//gntT//paaI//ugpB//baeS//ydeN//iraD//ygiA//ycjF//chbA//ydfN//oppA//ogt//xylR//caiD//mtlD//ftnA//allE//dmsC//frdD//lsrG//hycA//ilvM//mglB//betI//lsrK//galK//ilvY//ydfN//mhpA//malE//ompW//guaB//hlyE//ykgO//phnM//puuP//nagE//rutD//exbB//skp//nikA//cysA//zwf//fimE//dsdC//rpmC//cra//ugpQ//narL//tauB//gltU//hmp//entA//phnC//amn//yrbL//argT//bcsA//xylH//ydhU//umpH//hycB//agaW//tauD//abgT//csgC//ilvD//ycdZ//map//ccmG//galP//fimH//glcF//caiD//metC//zraS//rbsC//hofO//metH//thrS//chbG//phnC//tauB//srlD//cynR//phnE_2//lldD//cpdB//fimI//ccmB//acnB//sohB//pyrD//cysJ//hypD//hofC//aroF//tdcE//cheW//hybD//ydeP//cydA//norW//trxA//fecD//prpC//ptsH//trmD//glcB//talA//aldB//hyfI//ygeA//yhiD//nagA//ybfN//nuoH//paaK//bioA//mzrA//gntP//yjcH//narJ//gltD//ilvY//ubiC//ptsH//fadJ//ileU//deoD//yegH//csgG//gspF//fimE//ompF//rplD//hybF//mutY//fis//sodB//fdhF//ulaF//chiP//uidA//agaW//fadE//rnlA//dapD//nirB//torR//yeiB//fes//oxc//aroM//fhuF//napD//udp//yfeW//hslJ//fur//dpiA//dusB//talA//rrlE//ldtC//caiC//rmf//yqjH//xylF//fixC//hycI//cysB//hupB//ugpC//hyfD//
FhlA-Formate	yfbR//nrfB//narX//nikR//mdtB//mtlA//yccA//metH//rmf//crp//fecC//umpH//rrfF//oppA//preT//csgB//yegR//dnaE//mlc//hypA//moeA//znuC//nrdG//metE//moaE//ptsH//ygiC//tdcA//dadX//fixX//
FucR-L-fuculose-1-phosphate	acrA//cadC//hdeD//abgA//sgbU//ilvL//speA//
Fur-Fe2+	gltF//phnI//fumC//ileV//pgk//oppD//gpmA//astE//argA//ilvB//sufC//acrA//fhuD//mhpT//lsrG//cysC//cynR//garR//rimP//fimH//torA//norR//nrfA//nirB//nuoH//rrsE//abgA//cydA//ydeP//napC//purH//tauD//metH//yfdE//cyaR//ada//marA//rrfB//ulaC//nrfC//nuoG//glmY//uidA//fumB//mgtA//yoaC//citE//malI//dpiB//fepB//lolB//nac//trpD//aceF//phnJ//metL//sufB//ygbA//cyaR//ubiG//yegR//gcvP//citE//hflD//ada//yjiY//rhaB//dcuD//ccmD//alaV//gltW//frdC//yeaR//aidB//nrdF//leuE//tdcG//idnD//pepT//dadA//arfB//malI//yeaR//yhiD//torD//hyfG//glgS//astB//dmsB//tyrA//fumB//norR//citE//paaK//yoaG//nrdD//feoB//zntA//glyA//caiT//hycA//argC//dnaA//idnO//gnd//murQ//ycjF//narX//rrlD//puuB//rstB//narL//lsrC//lpxD//purF//prpC//yciW//tnaC//fepD//pstA//gatC//prpC//ydfN//sgbU//acrF//gdhA//norV//ugpC//araH//ugpE//ydeM//mgrB//betA//kbl//citX//fecC//ompF//dsbA//mzrA//entB//
Fur-Mn2+	nfuA//malX//cusR//copA//narK//stpA//yfdE//oxyR//tpx//csgG//yaiW//lrp//fucU//nrfA//rutF//fldA//gutQ//mhpF//marR//lsrR//bhsA//citC//napH//uxuA//aceA//hycF//phoQ//purE//norR//ydhU//nirC//galS//narL//gntR//argP//ilvX//nagB//ugpQ//lacA//rbsB//cysC//glgP//nirD//ydhT//paaC//argD//lpxB//nupC//amtB//araC//emrY//idnO//metL//iscR//ybfN//paaA//ydiU//idnD//ygiA//narG//hmp//gspD//trg//idnO//norV//crp//fdnG//ydeA//rbsC//dmsD//azuC//narX//prpR//ugpA//fdnI//gltV//cyaR//tyrA//pgaA//garL//hupB//rplW//tyrA//oppC//ilvI//tsx//hyfR//glyA//mutL//lysP//yoaG//yfeW//fimH//cysG//fecC//hisM//fucR//glnD//modB//lsrK//cheR//dusB//ydeO//fepE//mtr//moaC//phnE_1//glpG//lysU//nuoM//citG//ivbL//rrsC//creB//malE//glpQ//narG//fepD//ebgC//abgA//idnK//cyoD//nuoJ//ptsH//cynX//mntP//glnD//fecD//spy//cysD//rpsP//bioB//xseA//icd//glnB//glnG//fucO//bcsC//ryhB//argI//
GlcC-Acetate	nanE//aroL//trmD//lsrG//rrfA//infB//hofM//
GlcC-Glycolate	tdcA//fimE//pstS//ilvL//tar//argI//ompT//
GlrR-Pasp56	gntK//
IclR-pyruvate	dnaA//cdd//oppD//gatY//
IdnR-5-ketogluconate	hypB//envZ//yaeP//tehB//rdoA//mntS//hslJ//fecC//
IdnR-Idonate	chbF//fhuC//atoB//puuR//mhpE//cas1//cydA//fimG//
IlvY-2-acetolactate	moaA//cpxR//
IlvY-Alfa-acetohydroxybutirate	zraS//gltB//
IscR-[2Fe-2S]1+	phnG//bglB//dcuS//ompT//betB//ampD//glpA//srlB//nikB//dnaE//ilvM//cyoA//metK//ychO//argE//folE//dmsB//fadD//ydeJ//hisQ//trpC//glcA//znuC//lacY//rrsE//cynR//sufB//atoB//ldtC//narK//miaA//rpsF//mhpC//iscA//gntK//atoB//alaA//sdhA//argI//creC//yaeP//
LldR-L-lactate	yhcH//rutD//argT//
Lrp-Leucine	mhpC//hyaC//treB//hybO//tar//cirA//cpdB//idnT//aldB//gcvP//nrfD//citF//entB//psiF//ompT//hfq//envZ//caiA//rrlD//ilvM//crr//rybB//argR//hybF//pheM//nrfE//pstC//betB//mutL//aceB//nikE//tonB//fhuC//metC//flhD//speC//soxS//atoB//rbsR//thrV//rpsQ//tauD//xylA//fixC//bcsA//rhaR//argC//dppB//arfB//fumC//yoaC//fimE//tyrB//rplV//hupA//fadD//rpoE//yegH//udp//rstA//asr//dmsB//malE//sbmC//rpsR//mglA//caiT//oppC//cvpA//nrfC//prpR//gspL//aldB//casB//hycG//galM//glcD//glmY//rrlH//creA//motA//metJ//tdcD//metR//frdC//glpF//yhcH//rrlH//yebE//ygeH//fucA//ppiA//glpX//araH//znuC//mhpC//iscU//ilvI//ileT//umpH//aroH//puuR//rbsR//narL//phnE_2//amiB//
LsrR	bioB//csgE//gntK//fdnG//mglB//yeaE//ysgA//grxC//mipA//
MalT-ADP-Maltotriose	cyoC//garK//deoD//hdeD//mntP//tauB//hofM//narI//glcF//dcuA//
MalT-Maltotriose-ATP	argG//tdcC//trpR//astB//melB//fucP//malM//gnd//secB//rstA//
MelR-Melibiose	deoB//idnO//cysP//
MetJ-S-adenosylmethionine	phoQ//rhaB//tnaB//hofB//fdhF//ccmC//nrfC//rdoA//glnA//cydA//sdhD//yaeP//zraS//napH//yiaM//
MetR-L-homocysteine	dmsC//rhaR//artI//treB//mcaS//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	nikB//fecD//erpA//moaE//mglA//rpsO//
MhpR-3HPP	gntU//pgaB//acrB//speA//slyB//ybfN//
MntR-Cd2+	ilvH//ilvM//ulaD//glcG//fepG//
ModE-MoO42-	hemL//tsr//micF//idnK//hycB//ansB//cpxA//csgE//hcp//napF//gltF//folA//hyaE//glcA//caiD//oppA//znuC//aroM//cysK//nrfG//ccmE//dapB//ydiU//ppdD//hyfJ//xdhA//feoB//galK//rstA//hycI//icd//treC//galP//dcuS//paaE//putP//cysJ//lldD//alkA//metL//hisM//nagA//nrfA//fucO//fdhF//citC//
NarL-Phosphorylated	rpoH//ugpE//uhpA//deoA//flhC//bacA//phoA//lacY//ogt//rhaD//galM//aldB//cpdB//aroL//ftnA//citG//deoB//hybC//trpR//fepB//allC//acnA//speC//nuoG//trg//glnB//caiD//aidB//citX//exbD//gspF//gntP//lsrD//srlD//kbl//ycdZ//alkB//phnL//stpA//purD//lsrC//fdnG//rpsO//phnN//yoaG//fimA//ykgO//nanT//aaeA//acrD//ompW//gspF//csiE//pyrD//prpD//bioC//rseA//bdcA//ogt//yiaJ//nrfA//cheA//araH//yqjI//yoaC//fucO//lpxD//yfeW//puuC//alaV//fucR//idnK//livF//folA//fucO//narH//yegH//glmY//pstA//frc//xseA//grxD//cas1//cysP//creC//bdcA//lysC//uhpT//tonB//gspL//nagC//araH//uraA//glgA//patZ//malZ//arfB//paaB//artQ//lacI//srlD//ilvA//lpxD//rbfA//lsrD//eda//appX//idnR//ugpB//ftnB//lpxB//deoC//gspC//iscU//napF//mlc//fimC//gatZ//hyfB//creA//nuoA//leuE//citX//znuC//nrfF//
NarP-Phosphorylated	nrfC//uraA//cysG//glpQ//pdhR//xapB//rprA//lpd//zraP//alaV//moaB//deoC//nanM//gatZ//putP//cysJ//hyfR//mipA//cvpA//manZ//cysJ//csgC//ygbA//gltU//nagE//ychO//ydhU//paaZ//sdhD//cyaR//glpG//rprA//trpA//ubiX//fecA//nikA//paaH//phnO//ydfN//hdeD//artM//alkB//phnO//glnD//tauD//codA//rrfE//rbfA//uidB//hisP//
NhaR-Na+	nrdH//ugpQ//ccmF//aroL//trmD//nrdE//motB//
NikR-Cd2+	mhpT//marB//csgG//cysA//fecR//soxR//
NikR-Co2+	hdeB//erpA//nuoN//phnH//paaA//glgB//
NikR-Cu2+	cysA//uvrA//rutG//ydiU//pheS//rrlA//
NikR-Ni2+	aroM//gapA//malX//ygiA//lsrD//yegR//
NikR-Zn2+	rpmC//gntK//rrfA//gabT//creC//tonB//
NrdR-ATP	norW//ydeO//pheS//uxaC//metE//fhuE//tdcD//fecC//treR//
NrdR-Zn2+	uhpA//safA//cynT//lsrK//glcC//yfiP//appB//leuE//gspH//
NrdR-dATP	tyrP//qseB//glpE//pncB//livG//nohA//fadI//gntK//ynfG//
NsrR-[2Fe-2S]reduced	crp//metJ//phnH//tolC//fecR//hflK//gspM//nohA//fepB//ysgA//rhaR//ompC//qseB//glpD//aroP//tnaA//bioF//nrdE//yhjA//ldtC//fdnG//gltT//micF//udp//glyA//rrfE//hypF//ulaE//aaeB//csgG//iscU//fhuB//gltD//nlpD//preA//crl//rutA//cysC//cadC//ybdN//yeiP//hdeD//rrlC//katG//bglG//appA//lrp//lsrA//hyfJ//hyfR//thrV//glyA//hyfR//pgaC//aaeR//fdnI//gspM//fepD//sbmC//flhD//bioB//puuP//tar//ydhY//deoD//glgB//gspJ//pta//tehB//dsdC//hofM//araF//ompX//
PhoB-Phosphorylated	emrY//hypD//gspM//moeB//rybB//yeaD//nuoK//ilvY//gntK//malP//ycjF//marA//appA//hupB//tdcG//treR//gntP//yecR//ydfN//uxaC//dmsB//tadA//hemA//sohB//gadB//pgaA//ilvD//yfaE//prpE//oxc//purR//phnL//ydiU//rpsO//hha//ysgA//rrlB//phoU//citG//mzrA//paaB//mhpB//lsrK//cspD//acrD//gspL//carB//aspA//aaeB//sufD//yhfA//cusC//lsrR//malF//hycB//ugpC//trxA//cstA//metK//nikC//betB//
PhoP-Phosphorylated	srlR//tehA//ydhX//nadC//rrsG//lhgO//ytfE//ndh//fdnG//nrfA//ssuC//fepA//kbaZ//emrK//napB//fliZ//phoQ//folA//sbmC//fucA//ydiU//ugpC//dsdC//epd//prs//carA//rrlH//nuoL//artP//pitA//flhC//ygiB//malG//ccmF//rhaR//lsrB//ompA//tolC//yeiW//dapD//acrD//narH//yqaE//entD//rpsO//srlR//ldtB//aroP//rrlC//araD//xdhA//aceK//yggX//cheW//acs//yneM//edd//
PrpR-2-methylcitrate	araJ//yeiB//yfiP//ygbA//sbcC//
PurR-Guanine	hycI//grxD//cysI//argD//citG//sdhB//dsdX//yiaK//lacI//purE//rrfF//moaE//hypA//melB//glnL//aldB//nikA//nuoB//fhuE//artQ//puuA//amiB//grcA//carB//nanK//tyrA//norW//psd//hypF//acrF//gltF//yhfA//gltW//bglB//
PurR-Hypoxanthine	rstA//phoU//nfuA//yqjH//phnO//gcvT//lacZ//acnA//guaB//moaE//araB//sucB//yrbL//deoC//glmY//ubiA//metQ//ilvA//yojI//nrfG//phoA//nuoF//fimH//gspD//hflC//sufB//malY//pheT//ubiC//entC//rrlA//ompA//norR//acrA//
QseB-Phosphorylated	nanE//nanE//nupG//idnK//
RhaR-L-rhamnose	paaE//hybG//
RhaS-L-rhamnose	tdh//araC//erpA//phnM//hyfJ//mglA//
RstA-Phosphorylated	agaW//pepT//hpt//phnC//gcvT//hyaC//pgpC//rrlB//ygeA//sucC//
SoxR-[2Fe-2S]3+ oxydized	rplI//nrdD//atoB//bioC//
TorR-Phosphorylated	aldA//narQ//cydB//rplI//frdD//mntP//feoB//ilvC//adiC//sbcD//
TrpR-Tryptophan	secB//osmY//paaE//metN//lsrD//ampD//yiaO//murP//zraS//mtlD//mntS//hofM//
TyrR-L-tryptophan	yciW//phoQ//glgC//rpmI//fucU//pgaC//phnP//gntU//dnaE//hyfF//agp//acrD//gabP//aspC//
TyrR-Phenylalanine	tauD//eda//mgtL//puuP//sdaA//dctA//yeiP//cysH//raiA//rhaB//serC//narI//hupB//mhpD//
TyrR-Tyrosine	tam//uxuR//nrdI//yqjA//recF//uvrA//hofN//lsrC//ilvD//lysC//oxyR//ilvH//ldtB//pagP//
UhpA-Phosphorylated	dmsA//
XapR-xanthosine	nanM//miaA//
XylR-Xylose	skp//oppF//dps//rutG//glpG//pheT//
ZntR-Cd2+	purK//
ZntR-Hg	ccmD//
ZntR-Zn2+	pncB//
ZraR-Phosphorylated	hydN//moaD//cysN//
Zur-Zn2+	citE//fepA//lpd//sdhB//mzrA//chbG//
