#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	araA//ydhY//moeA//lsrR//
ChbR-Monoacetylchitobiose-6P	agaA//metJ//glpQ//aldA//rhaA//cheA//
CpxR-Phosphorylated	ynfG//glgA//bglF//psiF//tcyJ//cusR//phnL//cirA//ascF//mhpC//galT//ulaD//acnA//ftnB//paaI//osmY//phoQ//cheA//soxS//fliA//alaV//yqjA//dusB//yoaC//aceF//lsrF//aldB//lsrF//zraS//tdcF//nrdE//nuoJ//hdeD//cysB//rhaA//dnaA//astE//cysP//borD//arcA//tnaB//chbR//chiP//ugpA//gatZ//rrlH//phnI//trpB//motA//cydB//alaV//trpC//nikR//mpl//lysU//rbsC//pstA//cadC//bglG//caiF//hycB//ycjF//gspM//hofN//yoaG//narI//narG//frdA//fldA//
CreB-Phosphorylated	aldA//ydhU//aspA//trpR//trmD//yaiW//creD//mzrA//ychH//
CueR-Ag	ygiC//caiC//ubiC//ilvD//rhaD//hpt//metJ//
CueR-Cu+	yfbR//yqaE//tnaA//rpsF//glcB//nac//paaA//
CuerR-Au	yedX//lacY//narJ//hybA//nhaA//fimA//purK//
CusR-Pasp	glcE//mgrR//map//lpxA//yfdV//gabT//moeA//map//zraP//malF//bcsA//cheZ//
CynR-Cyanate	iscU//xylH//gabD//dnaA//
CysB-N-acetyl-L-serine	thrV//mntH//argC//hybD//bhsA//hyaB//gatD//hofB//lysO//pflB//nrdA//bglB//araC//yjeF//ilvX//gltU//chbB//feaR//trpD//casB//modA//nuoL//nupC//rrsC//fadE//oxyR//atoB//galM//sucB//betB//
CysB-O-acetyl-L-serine	yegZ//aer//aceE//mtlA//cusS//glpT//rimM//rplC//gspD//yhhY//glpE//acnA//casD//lysA//pgaA//dcuS//yojI//hisM//uhpT//rpoE//tfaQ//mhpA//dnaA//garL//udp//purN//gltB//ccmA//rstB//dppC//purF//
DcuR-Phosphorylated	tcyJ//rrlG//cysB//sbcD//fepA//nrfC//ssuB//allE//rhaT//
DnaA-ATP	appY//hisM//glnL//nuoM//ldtB//ilvD//serC//yoaG//hyaE//pyrC//garK//spf//
DpiA-Pasp	yeiB//bcsA//yaeQ//tdcG//pta//tdcA//ccmD//glpX//nuoJ//fnr//fliZ//
DsdC-D-serine	lsrG//rplM//aroF//
EvgA-Phosphorylated	frc//gltT//rbsK//hycB//secB//folE//acrB//norW//aaeR//carB//yegH//gabD//prpC//envY//cydC//
FNR-[4Fe-4S]2+ reduced	fur//yeiL//nanK//yeaR//ubiG//xylA//rdoA//tsgA//mhpF//hofB//glgX//fhuA//ugpA//xylF//cyoD//ulaA//ssuA//moeA//ihfA//hyfB//csgD//feoB//araB//rnlA//cydD//aroG//rrlA//nrdG//ispE//nuoC//glcB//puuB//srlB//bcsC//nanT//yfaE//idnK//rseC//uxaC//rrlB//rybA//gspH//ackA//torD//mntH//ptsG//tap//uxuB//tktB//trpC//gutM//lsrD//dppD//rrlC//ssuD//yhcH//cadA//agaW//modC//feoB//yjeV//metK//asr//fecC//cysC//sufD//nanT//dmsD//rhaR//paaD//argO//hflC//rrsA//gltB//astB//cydB//dcuB//modA//yqjA//fnrS//nrdG//astB//glpG//sufD//nrfB//dcuR//serC//ftnB//iscA//ybdZ//entF//hyfB//frdD//dmsC//metL//rpsC//glcB//pgaB//sgbH//dadX//ilvI//hslJ//gspM//gatA//lamB//cysN//ilvD//melB//pitB//ilvY//trpA//cusS//idnO//gltU//phnG//ydeJ//fhuD//bglF//fimF//csgG//spy//pta//hyaD//hupA//betB//argD//phnK//ydhU//ampD//hfq//glmY//pyrC//sucB//lpxA//dcuS//entB//dcuC//entC//nuoE//paaF//cyoC//ygiA//gltD//lsrG//prmC//folA//yaiA//tdcF//alkB//moaC//torC//ilvN//phnO//prpD//hflX//hemA//ascF//cheR//gltB//cydA//gatB//artQ//arcA//csgB//fdnH//hybB//ilvB//lldR//lysP//trpD//appX//ynfK//baeS//erpA//frdB//hyfA//pstB//fdnI//bcsA//purE//puuP//fnrS//fepA//casD//araG//kbl//mutL//malT//galT//entC//casA//cheZ//safA//glcD//yrbL//ssb//degP//sucD//serA//umpH//cas1//mgtL//ydeO//gpsA//sucB//hisP//puuE//ssb//hemA//appA//srlD//sufD//narK//micF//abgA//lsrG//citX//mlc//nrfB//napD//araB//galS//miaA//yeaD//ydeO//rutC//glgP//idnD//hcr//hyfR//rimM//rhaT//fucO//fixX//rrfB//erpA//stpA//betT//araF//rstB//acrE//ampD//xylF//lolB//frdB//chbB//hyaD//gyrA//hycD//argD//sbcD//ssrS//hycC//rnlA//gatB//marA//hycE//xdhC//ampE//lsrB//yibN//purD//yfiP//aaeR//ompX//trpD//sdaA//idnK//recF//livH//ccmC//tehB//hycB//fimH//araH//ubiG//nuoJ//prpE//carB//motB//tdcD//cheB//flhC//rrsD//fimE//ryhB//yfbR//galE//ilvE//comR//fecA//deoB//glgP//hybO//lsrA//sodA//napH//rhaA//pgaA//gabT//rnlA//xylB//tolC//gspE//phoH//
FhlA-Formate	appA//mgtL//iclR//sufA//atoD//ftnB//fimE//artP//manA//bglG//yojI//cirA//gspH//sufA//hycF//xylH//baeS//cpxR//cspD//pyrD//uhpC//fimH//tdcA//rpsQ//malQ//sxy//glgX//nadC//iscU//sdhD//
FucR-L-fuculose-1-phosphate	cysU//nikR//sgbU//sdhC//acnB//gcvP//rutE//
Fur-Fe2+	dsdC//purD//nac//nrfC//appY//gspI//tehB//edd//nfuA//rrsA//emrK//prpC//uraA//yqjH//allE//cytR//bacA//malK//emrK//gatA//livF//dmsA//fimF//sdhD//ykgO//rpsP//fucI//nuoF//ynfF//dcuS//serC//napC//dps//tyrR//paaF//hofO//csgB//betT//frdC//ahpF//phnG//tdcF//mhpE//chbF//hypA//phnG//yhhY//ybfN//infC//norW//tyrB//yciW//yaiA//metR//mtlD//hflC//fecB//lsrR//pgaD//hycB//gntR//gspH//cstA//gnd//casB//torA//nohA//argT//ydeO//yfdE//rpsO//glpQ//zntA//casB//csgB//prpR//narK//paaC//rpsR//rpoE//cusB//nusA//nikC//sdhA//ulaC//rbsC//ybjG//exuT//sgbU//sbmA//gabP//nuoC//hupA//crl//chiP//mtlR//flhC//moaB//idnT//pstS//moaD//malT//yfeW//rseC//mgrB//chbA//fhuB//bacA//sbmC//ilvE//citX//garR//phoQ//rbsD//ilvC//nikR//lsrR//livF//hypF//zraR//actP//rrsG//rbfA//yqjH//hofC//gntK//fucI//fdnI//ydeA//yebE//hybB//hslJ//caiB//rrlA//ccmD//hyfE//purD//appX//cusF//rnpB//
Fur-Mn2+	ispE//citG//tcyJ//dkgB//nrdH//speA//acrF//dpiA//torC//aceB//trpB//phoH//nikR//phoR//aspC//hypB//sbmC//acnB//tsgA//purM//cstA//feoC//rcnA//nrdA//pagP//recF//rplD//gadC//epd//yedX//ydhX//livG//astB//rpoE//hcr//arcA//rutA//nagC//dppF//rof//speA//acrB//cynR//livH//nuoF//lacI//hflX//ygiC//yqjH//comR//ulaF//tyrR//nhaR//hyfE//ydfH//rpsR//sufD//garK//guaA//ompA//nikA//znuA//ysgA//yiaM//narX//murP//rrfA//rrfD//acrF//bioA//yqjA//ampD//cadC//cydA//nuoC//purF//purF//tauC//mlc//lacY//acrE//tdcG//nikA//ygaC//fucR//focB//gspK//hflX//hflX//cstA//malY//ydeJ//trmD//feaR//iscA//ilvD//glnG//copA//glgC//epd//ilvH//lsrF//aldB//argO//glcC//rutG//lsrD//fucI//argD//hemL//nikD//puuE//puuB//nrdB//pdhR//fdnG//yiaN//nanC//rutB//glcE//gpmA//gltW//dadX//casE//fixC//gspF//sdaA//tauB//yiaM//slt//chbB//mhpF//rplT//nagC//prpR//xylF//metY//ssuA//phnK//uhpA//
GlcC-Acetate	nrdA//ccmE//casA//infB//sufD//hfq//uhpB//
GlcC-Glycolate	tfaQ//glgP//ompF//fdnH//fucK//uvrA//ytfE//
GlrR-Pasp56	purD//
IclR-pyruvate	ppdD//yeaR//metA//sxy//
IdnR-5-ketogluconate	emrK//ychO//fhuF//purE//yneM//modC//bacA//melB//
IdnR-Idonate	hypE//yiaJ//ygeA//phoU//rbsC//ydhU//ydbD//phnE_2//
IlvY-2-acetolactate	paaB//pnp//
IlvY-Alfa-acetohydroxybutirate	paaI//tyrR//
IscR-[2Fe-2S]1+	idnT//lysC//yjeV//sdhC//cysI//proP//rbfA//mdtD//malP//ydeJ//hycB//tehA//yaiW//spf//baeR//ilvX//lsrB//ilvH//purK//hybD//phnD//exbD//caiT//speB//sbcC//cadC//mgtL//nuoF//hypE//prs//phoQ//creB//fimC//uhpA//gntX//sufC//mutL//folE//sgbE//hycC//glmY//
LldR-L-lactate	hofN//artP//mipA//
Lrp-Leucine	hfq//sufB//ulaF//frc//pgpC//nirC//asr//rplP//ugpQ//phoA//phnI//gntP//nlpE//gatC//nanC//galK//trpL//motB//tyrA//araH//pstC//grxD//sbmC//aroG//cynT//nrfC//crl//cyoE//melA//appA//uraA//uxuA//pstS//tar//spy//chbG//fliZ//ptsG//tehB//hcp//cynX//rpsQ//pdhR//cusS//ilvM//iraD//galP//ssuB//fimF//ybjG//thrS//skp//cysC//fepA//alaT//ycdZ//artP//acnB//znuB//ilvD//ydhT//araC//fucO//pitB//aroL//spf//malT//rrsC//mepH//dps//nikC//glmY//ydeA//trpD//moeA//rrsD//grcA//lrp//aroF//gcvH//zraS//glgB//dapB//nrfA//tonB//nupC//rrlB//abgA//folA//sucD//phnE_2//nikB//glpT//hyaD//iscA//yqjI//nadC//tauC//purD//entS//ldtC//puuD//fecC//zraR//metA//proP//
LsrR	nrfC//tnaC//cusA//nrfF//ilvM//deoC//fimG//ccmF//srlR//
MalT-ADP-Maltotriose	sohB//oxc//mgrB//fbaA//ssb//ccmD//malX//hycI//sbcD//priB//
MalT-Maltotriose-ATP	srlE//torD//csgG//atoA//caiA//yecR//hmp//moaA//argF//amtB//
MelR-Melibiose	rrlA//ybiT//alaT//
MetJ-S-adenosylmethionine	rpsF//lysP//gutM//sbcC//ilvH//frc//prpC//phnN//xdhA//micF//fes//marA//astC//fucO//rrlE//
MetR-L-homocysteine	nanS//fur//araH//rutC//torR//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	znuB//paaD//ilvG_1//aroG//hypF//idnO//
MhpR-3HPP	hycA//torA//manZ//csgA//yojI//bglB//
MntR-Cd2+	dmsC//sodB//deoB//pagP//gatY//
ModE-MoO42-	tolC//yjcH//entF//nuoG//nuoI//comR//hybA//bioD//araH//glnK//ssrS//argT//trpC//safA//truB//ilvC//hybA//hflD//rcnA//yfdE//nikA//agaA//yfaE//hfq//azuC//efeU_1//copA//fucR//glrR//hypE//ydhW//napD//gspH//ulaE//treC//purN//alaA//prs//bioD//galE//rrfH//tdcD//envY//uxuA//gnd//nikA//
NarL-Phosphorylated	cspE//ygbA//hdeA//dps//lamB//ccmG//tyrB//rcnA//metR//lsrD//infB//argR//ychH//tauC//nuoB//caiB//rrfC//dps//dppB//rutE//cas1//glpQ//pstS//glcA//erpA//yqjH//agp//hemA//rbsA//gadB//nuoK//hofB//entB//cpxR//nuoL//lpxB//paaE//rnhB//phnJ//livH//ydfN//waaH//sufS//pgaC//ldtC//ugpB//prpE//puuR//dnaE//sbmC//nrfC//narL//fimE//puuC//gspL//bcsZ//narL//ftnA//zraR//pheS//hycC//ydbD//lamB//yfdE//araH//dppD//tauD//oppB//glnL//cheY//phoA//cytR//tap//napD//idnO//evgA//tsaE//chbB//dadA//gnd//lacZ//fimD//paaC//yjcH//mtlD//gyrA//rpsI//ascF//fimG//icd//rrfA//fhuC//marA//trpE//ydhX//ilvL//rutF//araD//puuD//prpE//glcC//ahpC//paaG//hyfI//glpC//csgF//fliZ//entF//hyfJ//mtr//hemA//phnP//lolB//rpmC//nuoE//rplM//sufB//ampE//ptsI//caiB//argI//mhpB//skp//ilvC//metF//
NarP-Phosphorylated	entS//yjiY//rhaS//pflB//trpC//livM//gltW//fepD//oppD//galM//tdcB//fadA//glyA//rpsJ//yciW//nrfA//ugpC//hybO//ynfG//malG//napF//paaJ//kbl//metQ//gabT//mzrA//exuT//ccmB//cpxA//ydhW//rplS//rhaR//trpC//guaA//paaE//gutQ//hybO//ybjG//iraM//hisJ//dppA//ilvD//fnr//phnO//citX//bhsA//aspC//acrE//cysB//tauD//
NhaR-Na+	iraM//zwf//csgE//caiT//rplI//nikC//cysD//
NikR-Cd2+	erpA//hypB//preA//sufC//ascB//ompX//
NikR-Co2+	tdcA//nuoH//tdcA//caiA//fhuB//yfeW//
NikR-Cu2+	rnlB//tktB//fucU//araC//hydN//metE//
NikR-Ni2+	lpxB//fixA//uvrA//hemA//glrR//oxyR//
NikR-Zn2+	nuoM//napC//mipA//pgaD//cysU//prfA//
NrdR-ATP	caiB//aceK//nupC//yojI//puuE//aceK//cusF//crp//nagE//
NrdR-Zn2+	argG//narK//lsrF//entH//lsrC//ompW//moaD//rrsC//yhcH//
NrdR-dATP	fdnG//fadH//zraR//ugpB//fau//murP//iclR//acs//rpsJ//
NsrR-[2Fe-2S]reduced	rrfG//srlA//trg//mlc//puuR//pitA//mepH//csgE//abgB//glnB//entH//gutQ//rbsD//hybB//csgG//ssuA//motA//casD//cusA//mdh//dcuR//ppiA//fadD//gdhA//fecR//nuoN//ugpA//fhuD//uxuA//cheW//pstS//ubiC//metN//folE//metK//glpE//aaeR//ogt//ilvL//aroL//gutM//yfeW//argR//puuD//gcvH//sucD//ynfE//guaB//pstA//livJ//yeiW//malM//yqaE//ebgC//nanE//astE//aceB//caiA//glnL//entB//erpA//yeiP//ung//hemA//allE//yeaD//gcvH//carA//prs//nanK//nupC//grcA//lldP//
PhoB-Phosphorylated	aceA//hybG//purA//paaC//gnd//xapA//yhjA//mhpF//torR//araH//ubiC//caiD//casC//tdcC//fdnH//sxy//cdd//artJ//prpD//rrfG//ppdD//fliA//yfaE//puuA//cysM//fadB//rpsJ//deoD//nrfD//leuE//ugpB//pncB//csgD//nrfB//livJ//fabZ//yeaE//citF//lysP//ebgC//paaB//hyfB//cusR//puuC//mdh//xylB//ugpC//malF//ychO//rstA//glpF//rutE//speC//sdhD//hisM//fimG//yaiA//atoB//grxD//mgrB//metF//
PhoP-Phosphorylated	norV//safA//cysJ//adhE//hlyE//ydeM//fepC//dadA//ugpB//sodB//citE//sxy//murQ//nikE//gyrA//casB//idnK//yoaC//ynfK//hyfG//moaB//aroG//pgaA//mglA//tehA//ndh//norW//hyfE//ilvE//hofM//recF//speB//aer//rrsB//srlE//hpt//nagE//nuoA//mgtA//amn//ilvX//cheB//mtlA//tpx//cusA//amtB//nlpE//ptsI//ilvE//yhiD//nuoA//lacZ//gcvT//iscR//yegR//ygbA//ydeA//
PrpR-2-methylcitrate	csiE//phoA//asr//hycG//pyrD//
PurR-Guanine	hha//chbA//galE//chbB//lacZ//secB//oppA//serA//tam//tdcG//araF//uhpC//frdB//rrsE//fdnH//rutC//polA//fecA//rplV//rplV//cyoD//astA//cusF//narH//ccmF//argG//hyfD//glgB//gspO//nuoH//hyaB//hmp//araD//bhsA//
PurR-Hypoxanthine	xylG//csgD//tehB//malT//hycF//lsrK//fimD//rpsI//rnlA//xylA//fnr//cstA//pstS//acnA//glpF//acnB//argF//trxA//spf//ccmH//sucB//gcvH//psd//moaD//hybC//arcA//mtr//pepT//tdh//cysM//yfeW//glpE//artJ//rrfB//
QseB-Phosphorylated	hflD//galS//cheZ//ompX//
RhaR-L-rhamnose	frdD//glpQ//
RhaS-L-rhamnose	rrfB//hydN//evgA//cyoB//modA//cdd//
RstA-Phosphorylated	araC//envZ//frdC//soxS//paaF//alaT//metE//rrfE//sroD//lsrD//
SoxR-[2Fe-2S]3+ oxydized	hyfF//ccmD//malI//narI//
TorR-Phosphorylated	nrfD//yfeW//ugpE//ydiU//araC//lysP//hypD//citG//ompA//rrfB//
TrpR-Tryptophan	bamE//ydhW//phoU//glcA//glnD//gspM//hydN//ygiB//ilvH//glcC//bcsZ//gatY//
TyrR-L-tryptophan	rplI//oxc//yaiA//tehB//waaH//pnp//dmsA//glgP//chbG//napG//oppD//pstB//xapA//osmC//
TyrR-Phenylalanine	nuoE//cysN//chbB//agaA//hydN//infC//feoA//araJ//entB//sufB//cyoC//idnT//patZ//rcnA//
TyrR-Tyrosine	fdhF//lacI//hupA//rrsH//gatY//idnT//trpL//fhlA//mdtD//fecC//udp//preT//guaB//gntK//
UhpA-Phosphorylated	trpC//
XapR-xanthosine	creD//rrfD//
XylR-Xylose	mglC//cspD//caiA//gspD//bglB//citE//
ZntR-Cd2+	hofB//
ZntR-Hg	cueO//
ZntR-Zn2+	glpQ//
ZraR-Phosphorylated	gspD//hofC//oxyR//
Zur-Zn2+	fau//trpL//ampE//ahpF//aceF//dctA//
