#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	nanT//comR//tsx//psiF//
FNR-[4Fe-4S]2+ reduced	gapA//paaK//prfA//rrlE//modA//ampE//aceK//cadA//uxuA//rrlB//ampD//hofB//azuC//glpQ//srlB//nanC//fimC//pck//dmsA//murQ//zraS//chbR//yiaJ//ompW//dadA//emrK//gltV//bcsZ//caiF//paaF//cyoB//lacY//puuA//baeS//ugpC//hyaB//nrfG//dapB//pitA//rbfA//cusF//phnE_2//csgC//entC//yeiL//nanM//katE//pheS//appY//csgE//aldA//trpA//caiE//entA//znuB//uvrA//yhcH//glgB//aceB//hisQ//bioB//malE//rnhB//hofC//lsrB//rplI//cheA//hslJ//sufS//umpH//yecR//fimI//fiu//astA//nuoC//hofM//upp//znuB//sucB//rpsI//yegZ//gspK//rbsR//ryhB//gspL//gspK//safA//yoaC//gutQ//abgB//yrbL//allE//envY//csgE//bamE//aldB//astE//phnC//yfdX//gcvH//ugpQ//yqjA//zraP//malS//rbfA//rutA//ydfH//idnR//hofB//nanS//trpA//yjiY//yoaG//priB//hycE//fumC//entA//ahpF//cyaR//argG//acrF//metC//mgrR//dcuD//metB//paaE//rrsA//glpB//fnr//rutC//glgB//yeiW//lsrB//ssuB//iscR//metL//ydhY//xylB//csgE//fixA//caiE//treC//metL//acnB//mepH//katG//yfeW//hofN//yfiP//hofN//galT//sroD//idnK//cynR//mdtA//bioD//fixA//sucD//tpx//tadA//yaiA//gatY//mgtA//fdhF//sbmA//tyrR//spf//modA//nrfE//araG//argC//skp//rrlG//aaeR//malQ//ychH//hycD//avtA//sufS//frc//appB//cheA//hcp//srlR//oppA//nikR//cyoB//iraM//ileU//katE//yfbR//glnA//aroF//trg//mntS//puuC//pheS//malX//hupB//yoaG//yfaE//hypA//iraM//xseA//citF//ileV//artP//argO//ftnB//pheM//araB//efeU_2//modA//rmf//phoQ//sgbH//fis//gutQ//sbcC//nupC//narX//lsrK//phoA//miaA//purA//uraA//alkA//tnaC//fimD//rcnA//entE//gspL//ilvD//osmY//dnaE//moeA//ssuB//ydhU//araA//gatA//baeR//hlyE//cysD//alaA//baeS//hyaB//yfdX//lacA//dcuR//emrY//appX//pstB//ilvG_2//nhaA//torR//infC//purK//gutM//gspC//glcE//mglA//dppF//dctA//hmp//mntP//bglG//rutF//dapB//nusA//pheT//yoaG//chbA//cheW//gabD//ycdZ//lacY//hyfB//oppA//spy//fimI//ydfN//envZ//cysN//znuB//caiT//xseA//mcaS//phnE_1//aspA//ygeA//tfaQ//mgtL//betA//chbA//adhE//phoE//mntH//glpG//casB//lsrR//xseA//dppA//fhuB//rplP//mpl//
FhlA-Formate	xylB//phnF//hyfC//nrfC//fis//ccmA//ackA//purA//glgC//bcsZ//gntP//fhuA//fhlA//ybjG//hdeD//artM//ahpC//fhuB//fixC//ilvN//ndh//rimP//nadC//zntA//ugpQ//yeiP//nrfA//gntU//moaD//csgG//
FucR-L-fuculose-1-phosphate	cheZ//uxaC//trpD//rutA//osmY//efeU_2//bglG//
Fur-Fe2+	miaA//fhuC//fepD//rseA//hdeB//ung//hypA//mepH//aceE//atoE//moaB//cydD//metR//phnO//melB//xylF//cheZ//miaA//slyB//metA//torR//yaeP//lsrR//yhjC//sdaA//sdhC//ulaE//ssuA//cysA//oppC//gcd//cysN//aroA//glpC//secB//hybB//glpR//cyoB//appC//hupB//tomB//yaeP//cspD//soxS//carB//dcuR//nuoN//skp//glpR//chbF//iscA//purL//ygeH//ykgM//iraM//dppF//gspC//sdhC//cytR//spf//entS//cysI//yaeP//livJ//gltU//caiE//yrbL//csgG//prpR//pgpC//nrdG//ybfN//uvrA//yaiA//oppF//grcA//xylR//sbcC//amiB//dpiB//cynT//yiaK//preA//thrS//map//livJ//astA//fimE//ilvI//fimI//ssuE//tonB//fucU//sgbU//katE//katG//gnd//efeU_1//secB//ycjX//livH//bglB//tyrR//astE//glnK//chiP//nrdG//chbG//sgbE//tdcF//xdhA//paaF//glnL//ydfH//cysB//fucR//sodA//lamB//rpsC//gltT//fimF//aroA//rplI//paaD//rbsB//cheW//hupA//bioC//sucC//dppB//rrlG//dadA//mtlR//nlpD//aaeB//manA//nirB//araB//aroL//idnD//
Fur-Mn2+	cydD//fixC//gntK//ung//mtr//yoaC//fucO//glpC//cysU//dnaN//rybA//csgF//yeiL//entS//yjiY//glpK//hyfD//cysW//baeR//nrdI//dcuA//flhD//cydC//hcr//tonB//nanM//ssuD//ydhU//xylH//argA//iscR//rbsB//nagB//entS//motA//dppC//ssuE//tdcF//melB//pta//ansB//uhpA//hupA//lysP//metR//fucU//cyoA//fepD//csgB//araE//sufS//sbcC//nadC//hycG//tonB//mtr//nhaA//livK//metK//dnaE//citG//rrfE//marR//argC//glcC//glcD//hyaC//ftnB//nikE//hofN//azuC//nusA//nuoG//hisP//ssuB//rrfB//ytfE//citF//yhhY//lamB//recF//serC//tpx//bhsA//argE//mdtC//cysP//talA//gcd//creB//nmpC//psiF//cyoE//tsgA//nrdA//xylF//argA//aldB//yqjH//lysP//fadE//nanT//uraA//baeR//mgtL//malM//alaS//hisQ//ilvY//ychO//gabD//tsr//tauB//nohA//metN//hofB//napH//marB//mdtA//kbl//fecD//xseA//speA//nupG//rhaT//lysP//ilvA//sdhB//yeaD//yneM//livH//treC//tomB//rplI//mltC//yqjA//gapA//phnC//yiaO//nmpC//
GlcC-Acetate	crr//dcuB//pgaA//glnL//chbR//uxuB//paaJ//
GlcC-Glycolate	ompR//yegR//alkB//cysJ//pflB//aldB//fbaA//
GlrR-Pasp56	rrlE//
IclR-pyruvate	mhpA//ihfA//spf//rybB//
IdnR-5-ketogluconate	betI//adiC//ycdZ//nohA//serC//rstA//entS//cysK//
IdnR-Idonate	napH//mhpT//betA//phoA//iscA//epd//phnH//sdhC//
IlvY-2-acetolactate	hdeA//aroF//
IlvY-Alfa-acetohydroxybutirate	marR//ytfE//
IscR-[2Fe-2S]1+	xylR//tauD//hofP//lacI//gltV//paaZ//exbD//ldtB//fecE//cysH//uxaC//tyrR//grxC//malQ//xapA//cheW//trxA//argT//cheW//deoA//yiaL//livF//chbG//nikB//pitB//fepG//puuD//fimF//csgG//rybB//nikR//marR//norV//feaB//ychH//cyoE//hyfA//cydB//chbB//fnr//yeaR//
LldR-L-lactate	gutQ//katG//ydhW//
Lrp-Leucine	feoC//glpD//gpsA//rnhB//feoA//ilvB//metK//puuA//argE//ompW//nikC//gntK//amiB//katE//micF//dcuS//ychO//glgC//aroH//arfB//argO//acrA//sufE//tsx//psiF//idnT//hisP//ilvA//pepT//tcyJ//rpmI//trpD//rhaB//rpsP//ugpB//cusB//cysA//amn//astD//cheZ//narI//araH//agaV//livF//cusC//gcd//yjiY//mzrA//rrsG//sdhA//livM//nrdB//glpX//pgk//cytR//arcA//idnD//sdhB//rrlH//livF//yegZ//prpB//acrF//mhpC//appB//psiF//hpt//xseA//malQ//malS//ygeA//yebE//fucR//srlR//xylG//cusB//tsaE//caiB//qseC//entC//gspE//grcA//creB//rplM//oxyR//purK//ydeO//hdeA//livJ//glgA//acrB//ybfN//uraA//ssb//ascF//stpA//cheB//tdcG//glnK//infC//ugpQ//exbD//cyoE//edd//ygiC//dmsA//
LsrR	nrdI//hdeA//dcuD//carA//fucK//fis//ssuB//fes//emrY//
MalT-ADP-Maltotriose	ybdN//narJ//rpsO//ilvG_1//oppF//truB//ilvX//garP//uhpA//gcvT//
MalT-Maltotriose-ATP	argA//yaiA//ygaC//mdtD//dapD//gdhA//deoD//avtA//lacZ//rnlA//
MelR-Melibiose	yjeF//rbsB//ydfN//
MetJ-S-adenosylmethionine	phoQ//fldA//ycdZ//ssb//xseA//pstC//narG//ycjX//yrbL//dnaE//malT//ykgO//ulaA//araH//malG//
MetR-L-homocysteine	cynS//dcuC//gntX//tdcE//sroD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	fhuD//garL//yqaE//nrfC//fucI//gatC//
MhpR-3HPP	narK//glpR//mpl//rutD//fecI//ompW//
MntR-Cd2+	pitA//nrfE//glcE//talA//uxuA//
ModE-MoO42-	cysJ//citE//uidC//pgaD//hslJ//yqjH//napA//rrlA//nrfG//yjeV//trmD//yhjC//hofC//narI//rseC//nanE//amn//gdhA//glgS//gadB//ychO//uraA//ada//malI//dadA//dmsA//mhpA//ubiA//ynfG//yggX//dmsA//cusS//mgrB//galM//tyrR//agaA//lpd//malS//cusB//mhpR//nuoC//cyaA//araB//fucO//cynS//patZ//
NarL-Phosphorylated	infB//moeA//metA//cyaR//rof//norW//fhlA//phnI//polA//cyaA//dnaA//hyfI//sufA//glpX//flhD//nuoL//tolC//cydC//idnD//feoB//rplS//motB//gspF//mscM//rcnA//serC//phnN//gspM//yhhY//dctA//hyfH//xylR//gpsA//ilvX//lhgO//sroD//yiaK//tdh//napB//ydeJ//grpE//ascB//rimP//tehA//uxuR//yfdV//cyaA//fucO//araD//prs//lpxB//dmsC//fdnH//rstA//gspD//rplP//fecD//prpE//fadJ//nrdD//chiP//gatY//bglF//ansB//fepD//yiaL//artM//ybdN//cusA//ccmG//uxaA//infB//gltV//aceB//pstC//nagA//cysJ//psiE//gltD//sufS//dppC//motA//yegZ//manY//cpxA//bdcA//sxy//puuR//narJ//nrdE//nuoF//mdtB//pheS//nadC//azuC//nikR//dnaA//rcnA//folA//argD//uidB//rbsA//yeiL//nanS//pgaB//trpA//phoB//fepD//gadC//polA//trg//sufS//icd//ydeO//fecI//allD//glpX//ftnA//evgA//rpsR//lsrK//ydhU//gntK//nanA//metQ//
NarP-Phosphorylated	cysK//dcuB//dkgB//ydiU//narH//araH//manZ//xylR//hycI//ldtC//zraP//citX//hycH//ssuB//rprA//sbcC//uxaB//yiaM//amn//glgB//trpL//csgB//hisQ//xdhC//araD//chbB//gntU//acrA//nagC//yjeV//mgtA//uof//sbmC//focB//nanK//nuoK//marA//caiF//rplD//ssuB//paaB//entE//asr//glpA//rplM//pnp//nrdG//katG//narL//argC//
NhaR-Na+	prpR//fimC//caiB//tdcE//phnD//speC//lsrG//
NikR-Cd2+	ileU//ahpF//lpd//yiaN//chbG//iscA//
NikR-Co2+	appB//sgbE//pncB//trpE//mpl//hfq//
NikR-Cu2+	cadB//csiD//gcvT//entD//aroH//ydhW//
NikR-Ni2+	csgA//ykgM//yiaJ//glcB//zraR//dpiA//
NikR-Zn2+	trpB//ompW//uof//glcE//phoQ//tdcF//
NrdR-ATP	acnA//aaeR//moaC//galS//hupB//ysgA//dnaE//grxD//moaE//
NrdR-Zn2+	rutF//tcyJ//hypE//yhjC//epd//ybfN//allC//hyfH//leuE//
NrdR-dATP	guaA//dpiB//hofM//cpdB//rplW//dnaE//ldtB//nikB//yaeP//
NsrR-[2Fe-2S]reduced	sxy//tehA//mntP//fadB//yhjA//purD//ycjX//hypB//rhaB//rrlD//rhaR//nrdI//xdhB//tsgA//nikA//glrR//dmsC//rybB//artM//narH//amtB//phoU//rrlE//hyfE//hupA//ygeA//uvrA//cysI//astA//ccmB//hyfB//atoE//nanK//prpD//hisQ//phoH//amtB//arcZ//aroL//aroA//lysO//tdcB//yecR//ykgR//metR//glmY//glgB//dcuS//soxS//mutY//nikE//secB//rdoA//astE//rutE//kbl//hycI//copA//tyrR//glgS//pck//livG//ynfF//dgcZ//sdaA//ilvM//puuP//idnR//tdcE//znuC//casA//bioB//sdaA//
PhoB-Phosphorylated	lpd//entD//nagE//hisJ//alaT//mntS//waaH//srlB//hisM//rplS//pheM//hyfR//artP//adiC//yqaE//gspC//argA//phnJ//fecB//argR//cheW//lrp//oxyR//cas1//rrfD//nrfG//hisQ//hdeA//cheB//araD//cytR//fadH//mhpT//arfB//zraR//bioA//acrE//entD//ascB//argD//aceE//tnaB//envZ//napB//epd//rrfD//mhpT//galK//fes//argG//frdD//focB//allD//skp//hyaF//abgT//modB//nohA//malX//sdhA//rrlB//
PhoP-Phosphorylated	ompA//araE//ccmE//modA//mdh//glgX//yiaM//mntP//metN//rbsB//phoR//ilvH//nuoA//yaeQ//bamA//purK//fixC//fhuD//hha//nuoA//hofM//ccmB//amn//xylR//rplT//pstA//tolC//cusC//pagP//ahpF//marR//nanM//ivbL//purL//lysU//sgbE//micF//iclR//cysH//hycD//recF//hycE//cytR//fixC//nrdD//ilvN//artQ//glpQ//cheZ//ndh//rstA//araH//araJ//cpxA//xapA//grxD//gltW//
PrpR-2-methylcitrate	hcp//lacA//rimM//acrF//xylG//
PurR-Guanine	fepE//ybjG//yaiA//bglF//mgtL//galE//rpsI//hycI//hflD//phoE//dmsD//nuoN//tdcG//nhaR//mepH//prmC//frdA//caiT//mepH//argC//xylG//rrsB//puuC//tap//uxaC//fhuF//ugpB//pgpC//yeaR//srlE//glpD//pck//lyxK//nupC//
PurR-Hypoxanthine	ada//fnrS//oxyR//chiP//rrfE//efeU_1//rpsQ//bacA//flhD//xdhA//yccA//paaG//hofN//ssb//cusB//rplP//ryhB//aspC//tolC//ssrS//rpsP//gatD//purL//oxc//mgrB//phnO//borD//mdtD//ileV//caiE//sufA//norR//ilvI//gabP//
QseB-Phosphorylated	cynT//livG//glnA//yccA//
RhaR-L-rhamnose	livH//nrdH//
RhaS-L-rhamnose	ppiD//garK//citF//rbsD//caiD//cyoE//
RstA-Phosphorylated	hdeA//bacA//hyaB//fbaA//yaiW//fimI//fadJ//stpA//rrsA//nrdF//
SoxR-[2Fe-2S]3+ oxydized	nanS//evgA//dcuB//ftnB//
TorR-Phosphorylated	osmC//sohB//rbsR//manA//rbsB//creC//fes//uvrA//gltW//argA//
TrpR-Tryptophan	citX//dppF//map//nmpC//ynfF//entC//prpR//gatB//nohA//pta//uxuR//envY//
TyrR-L-tryptophan	melA//nrdD//norV//oxc//sodB//trg//rrlH//speB//priB//micF//rplD//narJ//idnO//gspC//
TyrR-Phenylalanine	pstC//cyoA//dapD//gntK//puuC//tdcD//rrsA//nusA//pepT//fucO//glnA//gspI//cyaR//gspI//
TyrR-Tyrosine	codA//trpC//rrlH//ssuA//lsrA//narQ//fldA//ygaC//araG//tauD//rpoE//exbB//gapA//ascF//
UhpA-Phosphorylated	rstA//
XapR-xanthosine	ftnA//ulaC//
XylR-Xylose	ydeJ//moaB//hycB//nuoM//nupG//cusA//
ZntR-Cd2+	pitA//
ZntR-Hg	cyoD//
ZntR-Zn2+	glpX//
ZraR-Phosphorylated	dppD//fhuE//fepE//
Zur-Zn2+	tyrR//gspC//lsrB//dsdX//waaH//hybE//
