#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	hflX//treR//envZ//gntT//
ChbR-Monoacetylchitobiose-6P	yiaN//cysA//ppdD//argA//fecE//entE//
CpxR-Phosphorylated	cysC//kbl//entF//ilvG_2//napC//dcuD//yjeF//rhaB//glgB//oppB//ssuA//pnp//raiA//yaeP//nuoK//glgC//udp//rnlA//dsdA//xseA//ulaC//pgaB//agp//fumC//livF//rrfE//marR//agaA//rplC//deoB//purD//ihfA//exbB//glgS//paaC//oppB//sgbU//ugpQ//paaE//tcyJ//yoaC//recF//rbsK//cpxR//cynX//rplC//hisM//trpD//ccmE//uidC//aroA//abgA//rybA//mgtA//lpxA//rrsB//csiD//adhE//mdh//yeiB//adiC//narK//fumB//cysM//exbD//bamE//tsaE//fhuC//edd//
CreB-Phosphorylated	murP//ilvA//lysU//yqjH//gadC//moeB//oxyR//argD//nrfF//
CueR-Ag	nrfF//phnG//osmC//arfB//gabD//murP//dpiA//
CueR-Cu+	rutG//qseC//citE//cpxR//treC//yqjA//iscS//
CuerR-Au	rimP//lsrC//argG//ydhY//gpmA//glnL//frdB//
CusR-Pasp	ppiA//cspD//puuA//puuD//mcaS//paaC//ydfN//pstC//ilvC//rbsB//narK//phnK//
CynR-Cyanate	metR//purR//nuoK//frdA//
CysB-N-acetyl-L-serine	betI//ebgC//lysC//fliA//lsrA//ulaD//grcA//prpR//ccmF//fhuD//nikC//mntP//polA//soxR//degP//hybC//acrB//aceB//dpiB//gabD//rutC//malG//idnD//arcZ//purB//abgA//motA//pdeF//fnrS//abgT//
CysB-O-acetyl-L-serine	hypE//sufC//ompA//mntH//dmsA//ebgA//metY//ndh//nanM//appA//lacZ//nuoC//modB//bcsC//ybdZ//malZ//paaH//gspE//tyrP//narJ//metR//cusR//lsrR//rplM//nanE//phnD//prpD//fadB//ychO//nrdG//artJ//
DcuR-Phosphorylated	bioB//abgB//yegZ//treR//napF//ackA//fimA//aroL//treC//
DnaA-ATP	fabZ//glcA//hpt//cpdB//gntK//oppC//tdcG//cysK//cadB//rbsK//aroH//ydhX//
DpiA-Pasp	manA//srlB//putP//cheW//ydhX//ycjX//rof//hycG//fimD//grpE//purM//
DsdC-D-serine	glpK//srlA//oppA//
EvgA-Phosphorylated	yegZ//osmY//aceA//cyaR//phnG//skp//hyfG//ahpC//aceK//galK//ybdN//feoC//rbsK//katG//tap//
FNR-[4Fe-4S]2+ reduced	tpx//motB//udp//dmsA//yeiL//rplW//sgbU//dnaN//chbB//preA//fur//araF//hflC//uvrA//csgF//trpE//xylG//uxuA//hisM//araE//artI//edd//nrfB//hyfB//abgB//ydhY//purF//fucA//lsrK//yeaD//astC//trpC//paaF//argB//kbaZ//polA//cbl//nanK//degP//dmsA//rpoH//ulaA//cysA//citD//sufB//araA//narG//rrfF//argE//gspI//trpB//metY//sdhC//frdA//metY//rpsC//dapD//ompF//ydfN//hflK//bioF//tktB//bcsA//livM//nupG//hyfH//phoQ//fucA//ydeO//arcZ//artJ//gspC//fecC//acrA//sdhC//ppiD//glcB//astD//exbB//yojI//tauD//aroA//mdtC//rplW//tsgA//lysP//cyoD//ybdN//yeaE//yegZ//ppiA//dgcZ//nrfB//yhjA//rrfA//narJ//entB//norV//metC//rnlB//nagE//dpiA//yfdV//rhaB//lacA//sgbH//trpC//tdcF//baeS//gcd//ompW//glnL//rrsH//dcuB//glpX//dnaE//tonB//ulaB//nanM//sufB//yidQ//rplM//psiE//nirC//citX//nikB//glpA//fadI//cysM//pepT//livM//pta//creB//hyfE//paaE//trpC//napB//nagC//serC//glcF//mdtB//uraA//sdhD//dcuS//mgtL//mlc//ydhT//nrdF//fixA//pnp//gcvP//nuoL//cyoE//hha//rhaB//cysN//cadC//ygeH//argH//cyoE//deoA//agaV//mntS//nohA//epd//epd//dcuA//adhE//gspJ//manA//gntR//ycjX//lysP//mzrA//astC//lamB//hflX//ssb//aspC//rrfD//cpdB//ivbL//iscU//hofO//fis//atoE//metQ//rrfC//melR//cpxR//argR//modC//rpsJ//hflX//ugpE//trpA//gatY//rpoE//agp//sodB//creD//gpmA//yegZ//cheR//fumB//feoA//caiC//oppA//mdh//psiE//lsrR//rrfF//entB//acnA//gpsA//lysC//ascF//lamB//yaiW//pdhR//qseC//phoH//cheA//oppA//nuoL//dpiA//nrdB//srlR//phnJ//phnH//sucA//ilvY//tdcG//rplS//argC//hyfI//argC//tar//fdnG//agaW//dadA//actP//uxuB//focB//hdeD//efeU_1//gspG//ilvN//artQ//sdhC//gspD//metL//rnlB//glpQ//ubiX//tar//yiaM//rrsC//deoD//hcr//ynfK//dapD//idnD//garR//phnH//sufA//entC//ung//priB//pheS//ompR//phoH//pheS//srlE//marB//grxC//nohA//rplB//yrbL//creC//feoB//marB//nlpE//alaV//frdB//rimM//rrlB//xylR//cysM//nuoF//garK//nhaA//zwf//moeB//ydhT//ssuC//glnG//gabT//ftnB//fhuE//garK//dnaA//napG//lpd//glpR//
FhlA-Formate	exbD//fecC//tcyJ//uhpA//tnaA//fbaA//mhpF//allC//dmsC//yjeF//hofM//srlB//hmp//purH//gutM//ilvA//sbcD//livK//trpD//citG//rimP//ulaB//ilvG_1//phnK//ynfK//rrlC//ccmH//appC//dsdX//rybB//
FucR-L-fuculose-1-phosphate	hyaF//yojI//nrdF//paaK//frdB//srlD//sucD//
Fur-Fe2+	caiB//truB//napC//gutQ//aceE//bdcA//motB//hycF//hemA//ydeO//modC//mhpR//aceF//fadI//casE//feoB//cysM//phnN//dcuD//hisQ//envZ//fixA//ppiA//hypA//cheB//focA//sufS//ilvH//purE//tdcB//srlD//rstA//metL//csgC//tyrP//ackA//mntP//ydeA//prpE//cheR//ilvM//gatB//cstA//norV//narG//feoA//yaeP//puuB//hyaA//ilvG_2//ada//bglG//cvpA//cstA//rpsJ//araE//hfq//dmsC//hyaD//sufA//argE//tdcA//yfdE//ampE//deoC//sdhA//ulaB//trpL//bioB//cusS//mzrA//citX//nanA//ahpF//feaR//entE//envZ//metY//ilvM//iclR//lsrD//yedX//hycA//srlR//purR//gntR//nusA//cyoD//fliA//dcuR//tonB//rplM//carA//frdC//psiF//putP//nohA//truB//acrA//nhaR//allD//uxuB//gltV//napH//phnE_1//iscS//fur//phnI//yiaM//cytR//ompF//mntP//rbsD//ydhW//upp//kbl//glnA//fucP//ilvE//hdeD//yeaE//cirA//malE//entH//rrlD//nanC//dpiA//arcZ//aceB//iraD//nrdH//bamA//araB//cysW//csgG//yrbL//nuoJ//bioC//rrlG//argB//
Fur-Mn2+	ompX//paaF//gltV//gutQ//cysB//napG//dnaE//aceB//tyrB//prfA//glcC//hyaB//fliZ//sufA//hyaF//ampD//fliA//crr//cysM//ileU//rpsF//nrfE//preT//fixX//hflC//rutD//xylF//ugpB//napC//entE//ycjX//malG//kbaZ//ugpC//hyfI//cueO//yiaK//tdcF//entS//tauB//astD//pitB//gcd//ubiA//hybF//katE//acrF//appC//acnB//rrfA//pgpC//ybfN//cra//rplB//treB//gutM//argD//puuA//marR//pgaD//glgP//secB//yneM//xdhC//glcA//rcnA//casB//dnaN//hydN//tdcE//nuoG//nrfF//pitA//yidQ//safA//ampE//degP//infC//fimD//rrfH//nrdE//hyfB//nikC//sufA//chbB//hycC//ulaF//ubiA//ubiG//phoR//gadC//bglF//dctA//livK//fadH//nadC//yiaO//fecE//abgB//fecA//phoA//gltA//gspJ//nuoN//rrsH//zraP//appB//evgS//nikC//gdhA//casB//gabD//lsrF//fadI//gatB//prfA//marR//narL//rpsC//aroM//rprA//rimP//grcA//gntU//mgrR//nrdB//rbsK//tktB//uxuB//gltT//mglA//pdeF//mdtD//fimG//exbB//aroM//katG//tehB//paaG//zraP//
GlcC-Acetate	ptsG//crr//aroM//ulaE//csgF//cydB//cueO//
GlcC-Glycolate	xylH//phoH//arcA//paaD//lacZ//cysP//rprA//
GlrR-Pasp56	lacY//
IclR-pyruvate	hemA//gyrA//gspJ//ada//
IdnR-5-ketogluconate	fdnH//rpsC//fixB//artQ//malY//ahpC//ogt//rpsI//
IdnR-Idonate	hofO//appA//aaeA//dnaA//idnR//gntP//aroA//yjeF//
IlvY-2-acetolactate	mntH//rnpB//
IlvY-Alfa-acetohydroxybutirate	ppdD//abgB//
IscR-[2Fe-2S]1+	gspG//hybG//tdcA//araD//amtB//dgcZ//moaD//mtlR//fecR//alaS//tolC//napD//phnH//ydbD//amiB//rof//rutD//nikD//nupG//entH//pheM//narQ//cysA//ynfG//mdtC//serC//manZ//srlA//hyfI//atoD//uhpA//ascF//murQ//ysgA//glgP//glcE//hyfH//astC//gabT//tnaC//yhcH//
LldR-L-lactate	malX//aidB//gcvT//
Lrp-Leucine	gntU//fiu//ygbA//lacY//cyoC//csiE//ycdZ//phnF//ugpE//ftnA//gatY//glpC//galE//hdeA//astA//mdtB//iscU//fliA//mdh//cusF//tehA//nupG//puuB//agp//ptsI//ynfE//hycG//fadE//trpL//nrdG//gltT//nrfE//tap//crl//cpxR//purB//cspD//yrbL//gatC//mglB//yaiA//yeiP//aroF//ykgM//ydhU//xylR//abgA//gcvT//gcvH//paaZ//napF//rutB//cysG//rbsA//betA//feaB//mhpA//acrF//hofN//argT//fhlA//yfiP//entC//cyoD//lsrF//yqjH//aroG//gltU//hyfD//rhaS//bcsZ//uidB//trpE//hyaA//malP//lpd//evgS//pitA//alkA//pgaA//nlpE//hyfF//tpx//ssrS//hycI//araD//yoaG//phnJ//umpH//bcsB//metR//exbB//modB//phnD//infB//ulaC//alkA//casD//baeR//grxC//mhpB//argT//hisP//yojI//citX//narJ//
LsrR	osmY//safA//dkgB//metJ//uof//sgbE//ebgC//malZ//yoaC//
MalT-ADP-Maltotriose	infB//acnB//mepH//metI//flhC//osmC//dsdX//iscR//sbcD//paaD//
MalT-Maltotriose-ATP	evgS//oppF//aceK//focB//pepT//rrsA//dnaN//nmpC//ampE//ugpE//
MelR-Melibiose	nrdA//dcuA//dcuA//
MetJ-S-adenosylmethionine	trg//fepE//citF//puuC//ilvX//baeS//nlpE//napB//araE//rrlE//abgT//pncB//yojI//tnaA//chbR//
MetR-L-homocysteine	livH//allE//prpB//bcsZ//carA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	metB//yiaO//rutF//ccmE//cirA//metN//
MhpR-3HPP	cheA//trpB//sxy//rhaT//mgrR//nagB//
MntR-Cd2+	yhfA//ptsI//bacA//aceK//rplT//
ModE-MoO42-	rseC//gatB//nanA//hyfC//manX//dkgB//aroM//sufD//betI//exbB//tdcA//appA//argR//polA//ssuE//bglF//manZ//ssuE//purH//mltC//speB//hybF//ysgA//narQ//cyoC//livH//guaA//moeA//nrdE//fecI//patZ//nanT//rrsD//yegR//xdhC//ynfF//nanA//cas1//oppF//paaH//rpsQ//moaC//ccmB//paaD//rplS//grpE//
NarL-Phosphorylated	gntU//pyrD//zwf//hycD//gutQ//astD//evgS//chbG//dadA//xseA//iscR//fepD//csiD//pdeF//uxaC//fucK//csgG//feoB//yaeP//thrS//ubiX//glrR//puuR//tap//mgtA//purR//rpoH//manA//phoH//rrsB//ilvH//bglB//slt//aspC//rbsA//bioC//hycC//paaB//napH//hupB//mhpT//bcsC//rbfA//ydhT//cyoB//evgA//malG//ytfE//qseB//ebgA//fucP//nfuA//oxyR//ilvL//fimC//prpR//purA//mcaS//murP//treC//ompA//gntU//nanM//ygbA//gntR//fimF//purE//prfA//narJ//fepE//ppiD//zraP//hycE//rpoE//rmf//malM//nanM//yfdX//metF//tomB//aceK//ppdD//degP//grpE//citF//cdd//caiA//astA//talA//sufS//garL//torD//lacY//aaeA//ompC//cas1//malZ//dpiB//frdA//idnO//tar//fabZ//metY//uhpC//fumA//rrlD//melR//uxaB//spf//ygbA//ebgC//nmpC//paaZ//polA//aldB//cyoC//sufB//uhpB//fecA//sdhA//xapB//yebE//proP//nagA//glgB//
NarP-Phosphorylated	ygeH//casA//bhsA//manZ//lrp//prs//fdnG//yegR//metC//yeiL//paaE//cydA//hdeA//pstC//ompX//fldA//prmC//glnL//feaB//garP//pheS//hyfD//yfbR//ompA//fixC//yhcH//paaD//mlc//astB//motA//arcA//pgaA//araC//yedX//ssb//hofC//oppB//zraS//ykgR//emrY//sbmA//cra//cusR//fixA//ugpC//ccmF//dppF//garL//nhaA//citC//
NhaR-Na+	exbB//hyaB//yggX//malG//aceK//purB//ilvG_1//
NikR-Cd2+	mgtL//yaeP//fhuD//ldtB//gatZ//fecB//
NikR-Co2+	yfiP//gutM//hycH//feoC//nagB//rbsR//
NikR-Cu2+	aidB//ybiT//rdoA//cysU//lldD//ssrS//
NikR-Ni2+	nuoE//cheY//ldtC//glgP//ilvH//ptsH//
NikR-Zn2+	glnG//dsbA//stpA//gpsA//rrlD//cysC//
NrdR-ATP	rrfE//mhpA//emrK//rpsP//mtlA//gatZ//feoB//sgbE//fepD//
NrdR-Zn2+	yhhY//yjiY//pheM//hflD//idnT//adhE//moeB//acrA//tktB//
NrdR-dATP	ydbD//epd//astC//hybO//yegZ//cusR//fldA//hslJ//tsaE//
NsrR-[2Fe-2S]reduced	fucK//csgF//fadB//glgP//phnK//sdaA//yeaE//leuE//purM//trmD//yjeF//oxyR//tonB//rutA//nagE//rutC//motA//tsx//pitB//tomB//bamA//cydA//hyfJ//argG//nrdD//csgE//pck//sucB//srlR//fhuC//hyaA//creB//trpE//grxD//agp//pstC//sdhA//fimF//aroM//ssb//alaT//rnlA//hupA//ydhY//aceF//fimG//citX//allE//icd//aspC//gpmA//rutE//cheY//deoD//casE//sdhC//alaU//yeaD//creD//nuoE//entA//icd//aldB//glpT//livF//metF//yfdE//rplM//nanK//fis//pagP//phnN//lldD//
PhoB-Phosphorylated	citE//fimD//ilvL//ygiC//cueO//mdh//allD//entD//evgA//cvpA//astA//pstC//ychO//ileT//cydC//rrfC//cysU//ompX//efeU_2//znuA//caiE//rbsB//fhuC//fixC//glgB//gapA//fumA//xylB//lldP//hyfD//arcZ//narJ//efeU_2//cpxR//lolB//atoA//tnaB//cytR//cyoE//argF//norR//metB//yjcH//glgB//ilvG_2//emrY//metQ//talA//ompR//acnA//ydeN//xapA//mglA//nac//fnrS//hycH//puuP//hflD//citC//metH//ccmC//
PhoP-Phosphorylated	fepC//lsrD//rplT//ygaC//paaD//ilvG_2//edd//rstA//tnaC//ahpC//rpoS//pagP//fdnH//tyrP//sodB//gabD//uxaB//torD//rrfC//purE//ygiC//napG//grxC//prfA//sdhC//gltB//hypC//lldR//epd//acrF//manX//cysI//hdeB//alaS//mhpB//speA//cyaR//hha//ygeH//pheS//cysI//sbcD//paaF//rdoA//glpG//xdhA//ilvC//cydD//lsrC//hofO//nrdE//entF//cas2//zntA//sgbH//creA//rbsR//
PrpR-2-methylcitrate	fumB//nlpE//gntU//rplS//lysU//
PurR-Guanine	norV//xylH//phnL//leuE//nikD//fabZ//frdC//flhC//deoB//purB//cbl//nirD//csgE//psd//sucC//fnrS//pheM//nuoN//cbl//fucK//dmsD//artP//acnA//hybG//xapA//yeaE//priB//citF//folA//metN//metQ//tsr//artQ//mutL//
PurR-Hypoxanthine	ssuA//oppB//infC//entS//tdcB//purK//fumC//torC//tyrA//hflX//mdtD//pdeF//phnD//rimP//yiaL//eda//pstC//paaD//phoQ//eda//cusS//infB//exbB//bglB//yhiD//gltW//rplI//cysG//mlc//metK//cheB//lacA//yqjA//aroL//
QseB-Phosphorylated	nirC//entB//cheW//sdhB//
RhaR-L-rhamnose	nikA//rcnB//
RhaS-L-rhamnose	epd//phoQ//arcA//csgC//sbmC//zraS//
RstA-Phosphorylated	hyaD//hyaB//cyaA//lldP//bioA//rpoH//rplD//gatY//deoA//bglF//
SoxR-[2Fe-2S]3+ oxydized	lacI//ompX//rpsS//argD//
TorR-Phosphorylated	icd//frdC//dmsC//cbl//rprA//ung//rrfE//ilvG_1//glyA//ilvY//
TrpR-Tryptophan	argC//xylG//csiD//gcd//rrlD//rplS//argD//cpxA//focA//hofB//atoE//araF//
TyrR-L-tryptophan	guaB//pgaA//feaR//caiT//yaiA//csgC//ulaD//creD//evgS//iscU//phnM//cysW//rrfC//rrsA//
TyrR-Phenylalanine	mcaS//pitA//feoA//sodA//nrfD//abgB//entS//sohB//ihfA//fucO//phoA//uxuA//yeaR//glnL//
TyrR-Tyrosine	mscM//chbF//sdhD//uhpB//nrfB//chbA//rrsH//aroH//oxc//mltC//fau//gabP//pncB//manA//
UhpA-Phosphorylated	osmC//
XapR-xanthosine	ompX//citD//
XylR-Xylose	ygiC//cas1//nanC//garL//alaT//dppC//
ZntR-Cd2+	dadX//
ZntR-Hg	fdnI//
ZntR-Zn2+	tyrA//
ZraR-Phosphorylated	phnM//bglG//fhuD//
Zur-Zn2+	rhaA//rutD//pdhR//paaZ//mntH//aspA//
