#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	acs//mhpF//cynR//malZ//
ChbR-Monoacetylchitobiose-6P	xapB//purK//talA//aroA//ygiB//atoE//
CpxR-Phosphorylated	lpxB//caiE//xylH//mzrA//rpsI//ydhV//hlyE//astD//ydfH//manA//dcuS//rrsC//malI//mntH//rhaS//ilvN//serA//feoA//allE//rpoH//argH//frdB//ada//grxD//mdtA//ydeO//malF//mgrB//glgP//torR//emrY//tam//moaD//preA//hcp//glgS//ugpC//spy//hmp//narK//glcB//casA//ygiC//glgC//dcuS//dapD//yqaE//hupA//rrfF//csgC//ptsG//lldP//evgA//cusB//lolB//ychH//glpK//livG//zraR//phoU//ascF//tyrP//yeiP//xapA//ampD//aldB//yegH//deoC//allD//
CreB-Phosphorylated	manZ//nac//treC//galS//mdtB//fepC//rseA//rbfA//gltU//
CueR-Ag	thrS//nrdA//cpxA//glnL//aceK//dcuA//yeaD//
CueR-Cu+	rbsR//rutF//nrfD//yfbR//ilvG_1//glcB//caiF//
CuerR-Au	argE//metJ//iscA//gspF//yiaM//degP//yeaR//
CusR-Pasp	rrsG//araJ//nagA//mhpD//avtA//ada//dapD//phnM//hyaD//iscA//artM//ilvA//
CynR-Cyanate	cysN//pdeF//ybdN//mglC//
CysB-N-acetyl-L-serine	rpsC//fabZ//rcnB//avtA//marB//purR//efeU_1//glpF//casB//acrE//tadA//dmsC//xdhB//alkA//sdhA//yfbR//trpB//narX//ppdD//hyfG//galM//creC//focB//bioC//ydeJ//mntP//aaeR//qseC//pheT//bhsA//
CysB-O-acetyl-L-serine	argB//chbR//gntK//deoA//fucI//hupB//fimD//ldtC//allD//focA//skp//cysP//tyrP//oppD//sufS//rpsQ//hdeA//truB//creD//ycjX//glnD//sbmA//fur//uxuA//fadI//rrsH//tdcA//sufB//rrfE//ahpC//rpmI//
DcuR-Phosphorylated	gntR//glcA//dcuR//uof//nrfG//metJ//caiT//melR//pstS//
DnaA-ATP	grxD//fecD//pagP//aroH//xylR//sufE//sdhB//cusR//creA//malM//fadD//baeS//
DpiA-Pasp	ugpA//artI//galP//hyfR//sbmA//purN//xylF//rplI//cheW//emrY//rbsK//
DsdC-D-serine	putP//tdcG//fecA//
EvgA-Phosphorylated	ompW//yneM//sodB//fucI//ydiU//degP//uxaA//galP//cpxR//upp//nrdB//yhjA//cysP//ompT//phnE_2//
FNR-[4Fe-4S]2+ reduced	prpC//metA//hdeB//ompR//nrdB//aidB//fucP//xdhC//trpB//hflK//norV//yoaC//fliZ//ynfE//sbmC//nuoH//paaJ//dgcZ//alaV//modC//manX//tolC//galP//puuR//uhpA//kbl//tyrR//xapB//sufD//cyoB//yaeQ//lysA//znuA//yccA//caiT//uxaC//fliA//exbB//lpxA//fimI//cydA//frdD//fimF//astA//tnaA//rpoS//deoA//oppC//qseB//rseB//pta//ycdZ//mhpD//gntU//aroH//hypA//rrlE//ycdZ//gntR//nlpD//iscS//phoA//ydeP//cbl//ppdD//ugpB//deoC//mtlD//rof//dadX//rutE//pyrD//ynfH//rrlB//ispE//nupG//rimP//yhjA//oppB//citC//ompR//manX//nrdF//yfdE//bamE//fucP//sufB//fecC//yccA//cyoC//flhD//galT//rhaD//fadA//treR//pepT//csgE//malZ//casD//fhlA//nikC//cyoC//rrfH//hycF//marR//ydfN//gutM//rbsK//ybjG//dppB//entD//pncB//ugpB//zraR//glgP//ldtC//bcsB//atoA//preA//sbcC//nuoA//astB//malT//fliZ//xylB//paaE//exuT//nuoG//rplV//focA//ydhV//ccmH//fepC//bamE//cheR//bcsA//hyfR//araA//hcp//moaE//hyfI//ydhU//argR//srlR//ndh//purB//nanA//arcA//priB//citG//gntR//rrsD//glpK//gspI//mhpT//csiE//nhaR//tam//flhD//pflB//ftnB//lacZ//yfdX//nanC//rutE//cydB//acnA//mdtB//entE//ilvI//ompA//cydC//puuR//soxS//bamE//dmsB//acrD//yhhY//gltF//tdcC//slyB//fucK//zraR//fimG//ydfN//mntP//purB//dadA//nikB//xylH//nrdG//hyaB//fhuB//puuP//cysU//mdh//phnM//cydB//tnaB//mgrR//rseA//tpx//efeU_1//csgA//ilvL//rpsJ//cysH//norV//dmsD//lolB//lsrD//trpD//phoE//patZ//phnM//evgS//fecC//gatB//cysK//frdB//secB//fucU//aroP//gpmA//polA//serC//psiE//dadA//caiT//bglB//aldB//marA//ykgM//ygiA//bglB//ansB//gspF//glcC//gabD//chbF//nuoF//grxD//glpK//acrA//thrV//fdnG//hisQ//argC//fepA//edd//nuoJ//sbmC//chbA//cysN//purR//nuoL//fadL//mhpC//rimM//paaF//hycF//araJ//grpE//araF//oppC//yneM//yqjH//yneM//crl//citX//fepA//ilvD//astC//zinT//yhhY//mutL//ccmH//tap//ilvY//glnA//nrdB//xapB//bcsC//appC//rrsB//cysN//hflC//dmsC//ysgA//ilvN//metB//creD//rplV//phnJ//fbaA//mipA//tyrB//comR//pncB//actP//gntP//hisQ//creD//iscS//gyrA//
FhlA-Formate	entA//sdaA//mhpE//atoB//tpx//ybiT//garP//guaA//yfbR//yfbR//nagB//sgbE//metE//yiaM//pepT//fimC//dsdX//hydN//modB//malX//mgrR//nikE//appY//ompC//ompF//fnrS//pgaD//aceE//gspM//atoB//
FucR-L-fuculose-1-phosphate	citF//puuA//miaA//rutC//nrdH//cadC//dppA//
Fur-Fe2+	hypA//yiaN//phnD//hdeA//putP//phnD//tolC//arfB//dnaE//purB//hyaB//edd//ilvM//ftnA//oppA//hisJ//gatZ//fiu//ilvM//paaI//gatY//garK//lldP//ssrS//atoB//gspG//bdcA//trpA//ilvY//nanA//dgcZ//cheW//garR//livM//nikR//proP//trpR//lysC//fadI//fecI//grxC//rpsC//pgpC//agp//mdtB//hupB//bioC//fhuD//mglC//artP//csgD//gcvP//grxC//citE//fepG//acrA//argB//nupG//casB//appB//nirC//puuB//folE//fiu//gyrA//ugpA//lpxB//iclR//glpT//rpmI//sucA//chbG//hyfC//cusA//sdhC//mltC//murQ//allC//atoE//cueO//gutQ//gspI//bamE//crr//micF//rrfD//rhaS//yfdV//xdhC//ccmB//alaS//moeB//lpxD//katG//nadC//citF//argH//yggX//fimI//tdcA//hycH//amtB//cheA//tauB//gltB//lsrG//hypC//ynfH//ung//cydA//fhuE//nanK//appA//gspC//srlB//cas2//rcnB//nrdB//glcE//hybB//idnD//zwf//dadX//gntP//ubiC//rnlA//rnlB//hupB//bamE//yfiP//ilvD//fecE//ccmG//guaB//appA//chbB//agaW//fixA//napD//ilvC//
Fur-Mn2+	uhpA//ydeN//hofC//uxuB//mhpR//rrsG//fumB//metY//malE//mhpE//nuoF//mdh//rplD//glpX//gltB//metL//tap//glpQ//cysA//fucA//cysA//napA//pflB//slyB//ydfN//glgX//fucA//allC//csgF//rbsC//mhpD//narQ//argC//xapB//frdC//fbaA//actP//purM//ompF//hofC//tomB//xdhB//gspH//argT//bioA//polA//fimD//glgB//allD//gspG//dppA//rutA//glpD//arcA//melR//yaiW//yiaJ//gltB//rrsD//ybdZ//psd//hyfF//norR//argG//yjjZ//gspL//hyfB//bioC//fepG//ydhY//hycB//psiE//ilvM//pflB//nikD//rutD//citC//csgC//mhpC//paaB//ysgA//caiB//rpsC//cdd//malX//rbfA//rplP//bioC//gcvH//paaB//rbsA//yeaR//cstA//zraP//csgD//yiaK//mgrR//dcuB//ampE//tnaC//casB//nrdD//metA//ilvL//glnB//truB//gpmA//znuA//fimG//agaV//betB//ndh//slt//rrfH//dcuC//grcA//argR//hyaE//nuoI//nmpC//yeiB//rnhB//tcyJ//sucD//fecC//agaA//creC//rhaR//rbsC//ssuE//alaV//prfA//hyfF//torC//nanK//fadE//cusF//argD//yidQ//manZ//
GlcC-Acetate	fau//ung//malM//fecE//ppiD//ssuD//speA//
GlcC-Glycolate	argG//appC//mepH//garP//glpR//glnL//malX//
GlrR-Pasp56	fecD//
IclR-pyruvate	cysW//rrfA//argA//gadC//
IdnR-5-ketogluconate	rpsS//paaF//gcd//glcB//ihfA//purK//yeiB//yqaE//
IdnR-Idonate	mcaS//cynS//norV//nagE//gatA//agp//ftnB//pck//
IlvY-2-acetolactate	zraR//cueO//
IlvY-Alfa-acetohydroxybutirate	bioA//pstA//
IscR-[2Fe-2S]1+	lysO//prpE//gspG//yfeW//ugpA//fur//livH//hofM//miaA//ansB//cheA//dadX//gspL//yiaJ//rof//metC//cusC//ada//galE//yfiP//hpt//nuoA//gltV//tauC//nrfF//ccmD//cysN//arcA//rrsD//mhpA//puuA//dadX//araD//metI//ygiB//cpxA//purA//tsaE//rmf//ilvX//mhpB//
LldR-L-lactate	entC//ugpE//rhaS//
Lrp-Leucine	pyrC//sgbU//ssuE//ydhW//purM//znuA//tam//dpiB//artQ//malP//aroF//rstB//hyfA//hcp//livH//ccmF//abgA//rnlB//mhpR//malI//fecC//uxuR//moeB//frdA//atoD//moaA//hycB//cyoD//pgaA//gltD//rof//pgaC//moeB//ykgR//ilvD//xylG//dsdA//phnI//ilvY//gltW//metY//lysU//hypB//ada//cydB//araF//cusA//lsrD//norW//treC//livM//fhuC//phoU//hflX//chbR//oppD//rhaR//rplP//gutQ//yaeP//cyoB//fixB//uxuR//nuoJ//tdcE//citX//ugpE//modB//fdhF//iscS//yjiY//cpxA//tyrA//trpC//tfaQ//marB//chbC//ydeM//fucA//rstA//sufE//hofP//umpH//preA//bamE//dppB//yeaR//trpB//ispE//yibN//edd//alaA//fucO//frc//cra//rrlB//ysgA//leuE//cynT//glgP//tdcD//nrfB//gatD//chbC//malQ//nagA//
LsrR	ulaA//rbsC//murP//dpiB//purH//araA//ansB//sucC//cheY//
MalT-ADP-Maltotriose	trpA//phnO//srlB//acrF//mhpD//pgk//nikR//nuoC//hypD//yegH//
MalT-Maltotriose-ATP	tomB//astC//grpE//ilvY//hydN//hyfB//citC//ycdZ//gabD//ydeN//
MelR-Melibiose	nlpE//fhuD//yiaN//
MetJ-S-adenosylmethionine	acrD//slt//lpxB//rplT//tsr//gpsA//kbaZ//hycA//fadA//dcuA//rhaB//gatB//trpB//skp//envZ//
MetR-L-homocysteine	fdhF//ccmB//yjjZ//mntH//argD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	frdD//ydhT//ptsI//citX//uidC//yfbR//
MhpR-3HPP	ppiA//psiE//casA//rhaS//fixC//pitA//
MntR-Cd2+	galS//cbl//pgaA//gspF//glnA//
ModE-MoO42-	fimF//rplS//ssuC//uxuR//uxaB//ihfA//malI//hflX//rybA//ynfF//srlB//fucU//trpD//cyaR//crp//cysA//ubiA//gabT//rplV//ydeP//adiC//cusB//cusR//fau//phoH//cra//phnF//ubiG//ilvD//pepT//caiC//norR//ydhT//prpE//dsdC//glcB//rutB//hyaC//pgpC//cadB//napA//fes//dcuA//tolC//fumA//paaJ//
NarL-Phosphorylated	fhuE//malF//cyaR//metR//metA//purK//malZ//ahpF//mscM//hyaE//pgaB//mltC//ydhX//lsrA//melA//fucI//entS//frdC//modC//glcA//argP//glcB//ampE//mdtA//dpiB//sroD//casE//rrsA//hycE//ccmF//uhpC//yfdV//ompX//purK//ilvG_1//hisM//yecR//csgB//ydbD//rpmC//glrR//phnO//malF//prpE//ompF//folE//nuoN//hdeD//yiaK//lsrD//hpt//serC//mutL//fiu//hfq//cadB//purF//feaR//alaS//mhpF//purD//bamE//yeiL//hyfJ//csgD//pyrC//cueO//hycD//tnaA//thrS//ompR//rpsR//dsdA//cheR//gcvH//melR//fdnH//carA//appX//fadB//citF//cyoA//xseA//agaV//rhaA//metY//truB//astA//gspK//agaW//creC//bhsA//fnr//caiF//ygiB//rseC//trxA//ompR//entE//gltW//acrF//yoaC//rhaR//pta//metR//ndh//ihfA//yeiW//nagE//cynT//ihfA//deoB//yeaR//rplD//tdcE//fixC//ada//epd//emrK//infC//modB//prpE//ybiT//gltA//rutC//
NarP-Phosphorylated	hisM//cpxA//murQ//lsrR//gcvT//dmsB//moaA//citG//sucC//hisQ//sohB//infB//frdD//mntH//nanC//actP//rplW//grxC//hofM//fumB//osmY//ompT//phnP//mglB//xdhA//rutE//yiaL//ftnB//nhaR//sufA//mgtA//comR//ascF//phnI//tdcB//mglA//skp//aaeA//atoA//ydeJ//ppdD//moaC//ompR//deoD//hycF//fhuB//csiE//mdtA//appX//dmsA//
NhaR-Na+	atoE//torR//paaA//asr//ugpC//lysU//agaV//
NikR-Cd2+	modC//pnp//zraS//fes//dmsA//micF//
NikR-Co2+	ilvX//phnD//dapD//mgtA//allC//dmsA//
NikR-Cu2+	pyrD//galS//yeiP//rpoS//slt//metA//
NikR-Ni2+	dcuB//tktB//nusA//rplT//yiaO//ilvD//
NikR-Zn2+	livK//gntT//hcr//fadD//caiD//infC//
NrdR-ATP	bioF//narH//hflD//fimH//glpE//hpt//yiaJ//fimF//glnG//
NrdR-Zn2+	rutA//rrsD//nmpC//ispE//casA//zraS//glcA//phnL//ynfE//
NrdR-dATP	mgtA//fldA//ptsI//araE//idnD//comR//fhuE//mscM//tsaE//
NsrR-[2Fe-2S]reduced	glpK//map//glnL//hemA//acnB//ccmC//phnL//bioB//yqjH//yoaG//exbD//napB//cysC//tar//appY//fiu//bglG//paaA//malY//nikR//truB//waaH//gspM//nrfC//frdC//copA//pyrC//paaI//glcF//cysP//aceK//xylF//upp//rrsE//yeiB//entC//yiaJ//oppD//ugpB//ydeN//paaC//rnhB//uxaA//purC//moaB//aroG//gabP//ldtC//ilvH//argT//metI//rrfH//fur//allE//dcuS//glnA//tyrP//mntS//appA//rybB//gltT//feoB//cysA//bamE//rrsE//cheA//yedX//idnR//zinT//ampE//yfeW//galE//gnd//
PhoB-Phosphorylated	glmY//rplV//cueO//moeB//argF//hupB//hlyE//uxaB//lamB//hycE//rybB//envZ//exbD//fadD//cheB//rhaS//fis//ppiA//dnaN//asr//cstA//livJ//nfuA//dapD//galS//hofN//mltC//yoaC//nuoM//edd//glrR//purE//hycB//garK//ilvL//gltU//gspK//arcZ//acnB//ynfF//sdhA//gntU//arcZ//gadB//pgpC//torC//gutQ//tnaB//fnr//yecR//hyaD//rrlE//iscS//garK//rpmC//phnI//ybiT//bioC//mtlR//paaH//malS//
PhoP-Phosphorylated	pstC//sbcC//nrdE//prfA//tktB//rbsC//mgrR//paaF//modB//glgA//malX//nrfD//nuoC//rpsI//ydeN//recF//cyoC//copA//lacI//fecB//gadB//phnN//gltD//phnP//livM//moaD//cysD//entH//fnrS//fumA//fes//abgA//slyB//exbB//gspL//pdeF//gspC//nuoM//rplS//gcd//metL//napG//cysP//ivbL//prpB//ftnB//hyfI//yqjA//yedX//spf//folE//lldP//cysH//lpxA//sucD//phnN//paaG//
PrpR-2-methylcitrate	dcuC//fecD//sroD//yiaK//dppB//
PurR-Guanine	nlpD//hycA//acs//betB//pgaA//yfdE//rrlC//gspF//baeS//mgtA//micF//sufE//casC//fixC//dctA//livH//mtlD//paaC//miaA//tyrR//ilvG_1//fepE//argI//dkgB//dsdA//moeA//gspJ//tdcG//dcuA//sufS//ileV//nanK//aceK//ychO//
PurR-Hypoxanthine	ascF//znuB//glgS//yoaG//fucP//csgG//glpC//allD//hdeA//aroH//phnO//nuoF//purN//yiaK//frdD//purN//sodB//glpC//hypA//xseA//envZ//rrlE//caiE//yebE//lacI//narQ//fhuC//sgbE//nirC//fepD//hycG//iraM//ybjG//ftnA//
QseB-Phosphorylated	cspD//chbG//purR//cadA//
RhaR-L-rhamnose	pnp//hemL//
RhaS-L-rhamnose	araG//rutC//malS//lrp//moeB//ogt//
RstA-Phosphorylated	nrdD//yfdV//fucR//fadI//serA//gcvT//avtA//metQ//rpsI//argR//
SoxR-[2Fe-2S]3+ oxydized	ryhB//ftnB//prpC//csgG//
TorR-Phosphorylated	purD//galT//gntX//ybiT//amn//melB//ilvX//rstA//entH//xylH//
TrpR-Tryptophan	cydB//hyfG//fecE//entC//rplB//dgcZ//fepA//aceE//ykgR//torR//acnB//glcD//
TyrR-L-tryptophan	mgrB//sdhC//mntS//cysP//lamB//lsrG//trpD//psd//hybE//mhpE//hisQ//efeU_2//csiD//atoE//
TyrR-Phenylalanine	argA//deoB//rybB//lacZ//glgC//yjeV//mzrA//alaU//mgrR//cadC//ccmA//phoE//nuoI//livJ//
TyrR-Tyrosine	rutC//rnhB//gspF//cheW//yiaM//livK//rutA//yiaJ//glyA//glmY//modB//xdhA//caiD//phnO//
UhpA-Phosphorylated	cspE//
XapR-xanthosine	mntP//hyfJ//
XylR-Xylose	hcp//nikD//sdhA//rnlB//argD//fhuA//
ZntR-Cd2+	actP//
ZntR-Hg	dusB//
ZntR-Zn2+	bacA//
ZraR-Phosphorylated	pgaB//torR//mhpB//
Zur-Zn2+	uxuB//fucA//xseA//tsaE//cysA//epd//
