#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ynfE//ydbD//nuoC//citX//
ChbR-Monoacetylchitobiose-6P	rybB//rpsC//ydhW//csgA//ysgA//ackA//
CpxR-Phosphorylated	hha//hycB//gltV//yedX//nrfG//appY//cyoD//acrB//map//sufE//srlR//psiF//alkA//marB//hypB//ilvM//hycD//yhcH//yfdX//arfB//nikC//cheB//tadA//ybiT//nanC//cysG//znuA//nuoI//yneM//lysC//paaF//ulaB//metF//malG//rseB//tehB//creA//rrlB//dapB//rrfF//yjeF//ileU//nagA//yibN//artP//caiE//rrsH//ogt//ilvN//rutA//gltA//flhC//ydeA//frc//fadJ//ulaF//gspJ//paaE//carB//nuoJ//aroA//iscU//ynfK//ydfN//yhjC//rplD//ompW//hyaF//prs//
CreB-Phosphorylated	idnO//bdcA//paaB//cysG//idnO//rhaA//kbaZ//arfB//fucU//
CueR-Ag	fepC//xdhC//codB//aceF//chbF//hdeB//ryhB//
CueR-Cu+	entD//feaB//manZ//casA//ydhY//gadC//cpxA//
CuerR-Au	dpiB//frdC//xdhA//rplB//yccA//nrdI//araD//
CusR-Pasp	hycC//hdeA//malP//cusF//ssuB//livF//metY//yhhY//hofM//nikR//mtlA//dnaE//
CynR-Cyanate	cusS//deoC//lacY//trpB//
CysB-N-acetyl-L-serine	nrdD//trg//ptsH//hdeB//nupG//tnaC//hypE//pheM//purF//atoA//malK//pgaB//norV//nrfA//galM//betB//narI//rhaT//gspK//hypA//cheY//sufD//csgE//hofM//cyoB//deoD//alaA//folA//appB//glcB//
CysB-O-acetyl-L-serine	argR//phnO//gspE//srlD//sufB//araH//gspE//nikB//nuoL//fdnH//dmsB//zwf//oxyR//lacZ//cyoB//treR//atoB//glcA//oxc//malP//trpL//glnD//purM//allD//cysC//napD//tsaE//nikA//glgS//pepT//xapB//
DcuR-Phosphorylated	focB//nuoC//yqjI//leuE//cadC//hypB//fhuC//cusA//ygiB//
DnaA-ATP	mdtD//argD//creA//uhpA//carB//acrD//cynS//rpsC//purF//glgP//atoA//aroA//
DpiA-Pasp	patZ//dppF//yiaK//yhcH//nrfB//gspO//torR//lolB//dsdC//rrlE//bcsA//
DsdC-D-serine	gltV//rrlG//yqaE//
EvgA-Phosphorylated	pyrD//srlR//rutC//ulaC//sroD//aceE//folE//nuoG//citF//sgbU//agaA//moeA//fumC//betT//ydeJ//
FNR-[4Fe-4S]2+ reduced	hdeD//rdoA//yjcH//napC//ygiA//focB//artI//galK//dppA//nagC//rplD//nrdG//abgT//paaB//oxc//phoP//ppiA//gspD//osmC//fhuC//paaE//fnrS//malI//rrfH//manY//cueO//paaK//nanA//glpF//evgA//cheR//ydeA//creA//appB//hycG//tdcC//fepD//cysN//lldD//hycD//gdhA//lacZ//abgB//aroP//rrsC//hycC//mhpF//ygiB//hofM//hybF//ccmH//fimH//gatZ//motA//dusB//ychH//ispE//fepB//gnd//nikE//mdtC//yebE//rrfG//oppB//napD//pgk//aceE//fumA//psiF//rrfB//malM//ynfE//creD//chbG//pstS//mdtA//abgA//lpxB//feoA//upp//patZ//gnd//rseB//fhuF//zwf//tdcC//ldtC//cueO//lpxA//entH//puuC//bamA//uxuR//glgB//idnD//glpR//cusC//spy//amiB//oxyR//yeiP//cysJ//phnH//xylF//xapA//fnr//rpsQ//yegZ//glrR//cadC//talA//dmsB//cadB//efeU_2//lsrA//glgB//oppC//puuA//hisP//tpx//ykgO//dadX//rpsF//rplB//nuoG//cusS//trpA//rnlA//hisQ//hyaF//yjeF//nrdF//argT//gcvH//nuoA//pta//ygiB//cadB//carB//ulaC//rrfC//citC//garR//araF//sodB//garP//malQ//cas2//csgC//umpH//oppF//tpx//phnO//caiT//ydhT//oppC//pta//iraD//nanE//ydhT//nanK//phoQ//nfuA//rrfF//rstB//moaB//dcuR//moeA//yaiA//ung//napH//metL//ccmF//pagP//moeB//fhuF//adiC//rybB//nanK//iscA//epd//ansB//yneM//chbG//phoH//yneM//treR//tdcC//ansB//yeaD//puuB//nagC//iraD//torC//ebgC//yeaD//gatY//pnp//argG//ilvN//norW//moeB//rutG//ada//nrdI//cheR//ptsI//rrsA//glpK//xapA//ydeO//mglC//cyoE//bioC//zraP//abgT//feoA//bacA//modB//puuC//nirC//gspG//yecR//glrR//ndh//entS//baeS//marA//hyfJ//csiE//actP//garL//tsgA//cysB//chbR//acs//cpxR//hybF//rybA//zraS//mtlD//cyaR//rhaA//pdeF//fadE//csgG//citC//tdcF//rrfD//csiE//melB//yjiY//sbmA//bcsC//ccmC//cysM//rpsF//nrfA//iraM//bioD//agaV//bioD//rrfA//sufA//napA//ppiD//hybE//carB//cheY//aroH//aldB//yoaC//trmD//tonB//dmsB//tonB//rprA//bioF//tauA//galS//puuE//hybO//ftnA//rmf//rhaR//purE//gspF//lysU//nagE//paaH//sufB//entB//aroG//sdhD//fucO//glcB//ileV//xapA//pitB//nac//gltA//nrdH//tonB//paaD//atoB//
FhlA-Formate	rpoS//ssuB//ygiA//chiP//mhpD//acs//rybB//hybA//gspE//tauA//osmC//dadX//artM//cyoA//ykgO//cysG//uof//allC//moaC//rpoS//rseA//glgB//ulaE//tdcC//gapA//atoE//ung//chiP//ccmB//gspO//
FucR-L-fuculose-1-phosphate	aroM//cra//envZ//yeaR//folA//hisQ//fepE//
Fur-Fe2+	caiD//rpsO//rrlC//cysJ//citX//hyfE//miaA//ppdD//lolB//pstS//yfdV//ydeJ//pgk//hisM//rhaS//rhaB//cysG//cvpA//yiaO//ompF//pitA//mlc//tnaA//phnP//xapB//araA//cusF//rhaT//sbmC//rutE//gntP//trpD//mepH//astE//alaA//bcsA//rutD//gatZ//ugpQ//aroH//treC//aspA//moaD//gltU//evgA//ilvA//purA//ydhV//nohA//gspD//purM//rutD//tktB//nuoJ//artJ//purL//casB//phoQ//dcuS//cysJ//fimI//yoaG//malI//xdhA//dapB//pheS//yjeV//phnK//rrsG//paaG//narK//nupC//adhE//hisP//ydhX//phoA//betI//fumC//fadH//glpQ//znuC//napB//aaeB//rpoE//ydeO//melB//rrsH//gntK//hyaE//mntS//ulaF//tfaQ//glmY//gspJ//chiP//xapA//cysB//rplV//fecR//livJ//fliZ//fumC//alaS//fbaA//rutF//fixX//emrK//rybA//nagC//mscM//ilvY//norR//lsrK//znuB//osmY//hyfH//nrfC//lrp//mltC//upp//argI//appA//tfaQ//rrlC//gatY//gabP//malG//arfB//lacZ//yeiP//livK//rhaB//talA//rnpB//hyaA//fecD//tsaE//tpx//prpD//ileT//
Fur-Mn2+	kbaZ//mgrR//fixB//fixC//feoA//livJ//nagB//ppiD//deoA//dpiB//caiC//ppiD//fdnI//secB//codA//ulaC//malZ//paaK//cysA//yqaE//nrdA//infB//ftnB//aceE//nanM//hyfA//oppC//feaB//rprA//livF//hofP//lacZ//emrY//rrlA//tyrB//fadD//metL//ada//glpF//xylB//lldR//gspI//map//infB//narI//ynfF//rybB//caiB//pepT//gltT//phnP//glnB//rrsD//agaV//oppF//torR//aer//gutM//galP//feaB//rrlG//citC//crr//nagB//phnH//narI//caiF//acrA//livF//gltF//phnL//fur//mgrB//rutD//puuC//nikD//mutY//gltU//araJ//ydeP//rseB//gspO//hybO//hofB//sodA//yiaJ//iclR//paaJ//frdC//carA//icd//xapB//aspC//ulaE//puuE//glpT//fhuE//amn//gutQ//gcvP//bamE//ilvX//rcnB//metQ//raiA//ascF//bioF//aceB//fabZ//metH//trpA//citC//ulaC//mhpF//ydhV//oppA//rplS//metK//gspI//ccmD//fecB//cheY//map//dppD//sohB//rpsQ//araF//ampE//caiT//cpxA//ilvG_1//cynR//fucO//melA//nfuA//ydfN//ebgC//agaW//ccmA//fhlA//
GlcC-Acetate	nlpE//fucP//sucB//purD//metE//hybG//pgpC//
GlcC-Glycolate	hybD//yhhY//flhC//bhsA//ugpQ//thrV//hybF//
GlrR-Pasp56	idnK//
IclR-pyruvate	rnpB//glnD//glgS//fecB//
IdnR-5-ketogluconate	sdhD//napD//ahpF//garR//rmf//idnO//nuoJ//bcsA//
IdnR-Idonate	hybD//pheT//nuoM//rrlH//metA//fimF//gatD//purD//
IlvY-2-acetolactate	ynfK//nusA//
IlvY-Alfa-acetohydroxybutirate	yeaD//idnR//
IscR-[2Fe-2S]1+	sufE//fucK//yfdE//hofC//pdhR//rplT//puuD//frdB//cra//glcB//yggX//cydA//garP//ndh//exuT//cas1//purL//tomB//puuB//sdaA//argI//agp//ssuB//treC//sufD//nikR//prpD//hyfG//yjiY//caiC//melR//adhE//glnA//metL//livG//phoH//hycG//ivbL//rrsD//hyaB//artJ//
LldR-L-lactate	glgC//mglA//rstA//
Lrp-Leucine	fumB//casB//artM//lsrG//cyaA//zraS//nikC//dppB//gltU//hycD//alaU//nuoC//gnd//ssuC//pyrD//fliA//uhpA//mtlD//fdnG//bamA//lysA//ileV//csgG//nagB//nhaR//bdcA//cysA//hofB//gspM//ygiA//xapB//sufE//yiaO//dmsB//csgG//galE//borD//lacI//metY//fimI//trpR//phnL//ppiA//grpE//glcC//lyxK//gatB//citG//glpQ//prpD//atoA//hybA//hycG//hyfR//glpQ//sgbU//srlB//pgaB//aroM//fimA//rhaB//phnO//aldA//ascF//ysgA//glgA//allC//phoP//hofO//mtlD//grxC//tdh//argT//feoA//rutF//hdeB//aceB//yqaE//fepA//idnK//napG//ilvG_2//spy//garP//moaA//yoaC//pstB//gspO//cynS//hyfH//gspL//ilvD//map//mtr//rplB//yhfA//ulaD//lrp//ugpA//ptsG//rplV//fucP//manA//metK//cyoD//exuT//
LsrR	modB//lacZ//cysU//nikE//nhaR//hisJ//deoB//znuB//fumA//
MalT-ADP-Maltotriose	yfeW//cheW//hofC//alaS//narH//idnD//phnN//alaU//caiA//fiu//
MalT-Maltotriose-ATP	argT//uxuB//rrfC//livM//gspD//uof//trxA//cysA//trpC//mdh//
MelR-Melibiose	cusF//sdhB//ydhW//
MetJ-S-adenosylmethionine	cysG//creC//cadA//rseA//xseA//glnG//yeiP//sdaA//epd//ptsH//hybF//fucP//nikC//thrV//ppiD//
MetR-L-homocysteine	yegR//gatY//ispE//phoH//ycjX//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	hyaD//zinT//qseB//lhgO//fdnH//ccmH//
MhpR-3HPP	alaU//ascB//tsx//rhaS//araG//mgtA//
MntR-Cd2+	dmsC//deoC//glcD//tauC//uof//
ModE-MoO42-	adiC//fimI//thrS//nagB//rrfH//glgP//phnH//creA//ulaF//nhaA//gcvT//hyfA//znuB//mpl//envY//gltW//fimC//dapB//flhC//torD//dppB//serC//cheR//ackA//cusC//bglG//ydbD//lpxD//srlD//rhaR//iclR//ydeM//metB//sbcC//dusB//yeiL//phnK//ycjF//ssuA//ahpC//rmf//ynfE//nanC//paaA//slt//cyaA//
NarL-Phosphorylated	manY//hdeA//hflC//nhaR//pstC//uof//astB//hcr//putP//zraP//galT//hflX//arcA//yrbL//rplP//lpxA//hofP//fliA//cysW//csiD//nrdF//nirB//nikA//hypE//hdeA//glpF//srlB//metE//rpsP//ppiD//hycD//argF//argB//acrB//trpA//manZ//yiaL//slt//ydfN//gadC//ynfH//gcvP//cynR//csgE//cysB//focA//dnaN//glgA//casC//ampE//yccA//araH//yfaE//hybO//artI//feoB//sucA//lsrB//fumA//yegR//acrF//rutA//tsr//hyaA//phoB//glpQ//narI//glnK//betI//ompF//acnA//cadA//phoQ//codA//ygiB//rpsQ//sdhB//rplW//rrsG//gntK//yfdX//lsrD//ilvE//idnR//nagB//gspD//argH//rof//talA//nanT//hisJ//acrD//lsrK//ygiB//rmf//tomB//gspO//lacY//rpsC//cadB//rrsC//iscA//ygiB//prpE//citF//gltD//adiC//rbsD//mtlA//hybG//hybO//paaJ//fdnI//mpl//ompT//nupC//caiE//ydhV//rpoE//pgaB//codA//rplS//malI//zraS//gabP//
NarP-Phosphorylated	arcA//pyrD//cysB//araJ//nuoC//edd//rrsC//trpE//purL//mhpD//puuR//mhpD//fucO//fhlA//ssuE//hycH//adiC//casB//hypE//osmC//ilvL//aer//purC//ugpB//dusB//mgrR//mutL//cdd//qseB//mipA//narH//hypF//pheS//argD//psd//glpF//rplC//rhaA//lsrB//mutY//aroF//pstS//rpoS//yiaJ//rplW//creA//tdcG//yccA//amn//tdh//
NhaR-Na+	cheB//livF//zwf//bglB//gatY//soxS//fadD//
NikR-Cd2+	fimG//katE//bhsA//hybB//exbD//argO//
NikR-Co2+	ilvM//lpxA//nuoK//hofO//ulaB//hslJ//
NikR-Cu2+	rrlE//cyoC//pstA//modB//purF//treR//
NikR-Ni2+	nfuA//entH//napG//udp//dmsC//guaA//
NikR-Zn2+	argO//glcB//ilvG_2//sucD//psd//yhfA//
NrdR-ATP	erpA//yjiY//uxaB//phoE//acrD//ydeA//comR//nadC//treR//
NrdR-Zn2+	hofO//cbl//pdeF//caiE//ygeH//thrS//ptsG//yibN//focA//
NrdR-dATP	dpiA//gpmA//dps//artJ//rrfH//cysW//dmsC//malY//sucC//
NsrR-[2Fe-2S]reduced	acrD//rplV//sucC//atoE//entS//dcuR//ilvM//mzrA//ubiC//malF//alkA//rstA//mepH//nagB//ychH//rrfB//ilvM//cysP//xdhA//pgaA//tyrA//iscU//frdD//fimE//hofB//xylG//ogt//fucO//lysO//micF//paaB//yiaK//argH//citE//mhpB//rrfA//prpE//paaE//lysO//ldtB//rpsF//frdD//ygaC//garL//gltB//phoP//chbC//motA//tnaB//feoC//trg//gntK//alaU//citX//glnG//fucR//glpE//hypA//azuC//argT//bglG//dsdX//fixX//ppiD//zraP//mdtB//tdcB//cynX//caiD//dsdX//znuA//csiD//thrS//
PhoB-Phosphorylated	paaC//nrdE//aldB//hybO//rpsC//safA//ebgA//rprA//atoA//rrfD//glnG//oppA//feaB//betB//glyA//mdtB//manY//znuA//lysO//yeiP//oxc//phoH//aidB//idnK//yjiY//ygiB//rpsI//metY//nupG//sohB//glpB//hemL//dcuR//yaeQ//ompA//citD//trpE//aaeX//melB//melA//nlpD//infB//rbsA//ydeJ//modC//speB//malM//cysA//puuR//gltA//crr//hycI//pheS//gatZ//osmY//gatZ//bioC//mgtL//bioB//nuoB//gatD//
PhoP-Phosphorylated	cusA//frdD//gutM//hemA//hflK//yhjC//aspC//gltV//rbfA//phoU//deoC//artJ//ccmB//glmY//dcuD//moaD//entS//grxC//dppF//norR//yegR//artI//metH//iscS//oppB//sufD//hyfF//purC//rplI//yaeQ//ebgC//gntR//copA//glpC//allC//yeaR//yebE//entD//fumA//infC//nuoE//phoU//nagC//cra//fis//gspK//fldA//fecB//rutE//rrsA//iraM//hybG//ilvE//ilvI//nrdA//ygiA//nirD//
PrpR-2-methylcitrate	lolB//allE//mhpA//gspM//gutM//
PurR-Guanine	rhaB//ompW//cheY//sufC//nikE//argF//tam//fimF//glnK//ccmG//hypB//fadD//feaB//purA//torA//nrfG//cspE//xylA//atoD//xylR//osmY//cas1//pgpC//ileT//rrsC//rrlB//metL//garP//ydeJ//mhpD//fepB//fixA//rrlG//tyrR//
PurR-Hypoxanthine	paaI//rpmC//araF//feaR//dps//malM//mglB//entS//acnA//gltD//astD//dmsB//ompA//lysA//aroH//ysgA//narK//phoE//mgtA//ilvX//hypD//metK//nuoH//ydeJ//rpsP//ydeO//araF//galS//rplT//yiaL//gcvH//dadX//gspM//rplC//
QseB-Phosphorylated	gadC//entF//mepH//cirA//
RhaR-L-rhamnose	psd//yhjA//
RhaS-L-rhamnose	rrsD//csiD//uxuR//rutD//iscU//hupA//
RstA-Phosphorylated	abgB//hypB//hybG//gntK//rrsH//hofC//fepC//hyfR//srlA//fur//
SoxR-[2Fe-2S]3+ oxydized	napC//norV//nrdA//rhaA//
TorR-Phosphorylated	pdeF//tnaA//ptsH//purB//manY//xylB//ptsI//nikA//codB//ydbD//
TrpR-Tryptophan	gltB//envY//aldB//ryhB//hypE//nrdH//phnO//soxS//mltC//yqaE//mtr//hofM//
TyrR-L-tryptophan	astB//ogt//metH//dcuB//trpE//cynS//mtlR//mglC//folA//rpmC//glgB//tnaA//eda//ascF//
TyrR-Phenylalanine	uidC//icd//alkA//arfB//argD//sdhD//trg//ssuC//phoQ//nikD//glnG//ilvB//agaA//pepT//
TyrR-Tyrosine	cysB//pgaB//narH//rplB//narJ//hybE//atoE//gapA//cysA//napA//fis//fucU//rutG//glrR//
UhpA-Phosphorylated	paaH//
XapR-xanthosine	comR//ackA//
XylR-Xylose	astD//zntA//speB//paaA//lsrD//hfq//
ZntR-Cd2+	lacA//
ZntR-Hg	rplB//
ZntR-Zn2+	epd//
ZraR-Phosphorylated	ssuD//amiB//hycF//
Zur-Zn2+	lysO//cysK//gatC//nuoC//oppF//sbcD//
