#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	nanS//lolB//argT//ndh//
ChbR-Monoacetylchitobiose-6P	manY//fhuF//mhpB//grcA//fdnG//malX//
CpxR-Phosphorylated	rutG//yjeV//fimA//pstA//manY//phnN//pitB//melR//melB//zraP//truB//cysW//uidC//yegR//rutG//fepE//aldB//upp//ydeO//moeB//torA//torC//tdcA//rpsO//uof//soxR//infC//yfaE//ydhT//manZ//iraM//cheA//bglF//azuC//emrK//cheY//agaV//lpxD//deoA//infC//rplI//tyrB//mscM//nrdA//ulaE//serC//ydhU//phoE//ydiU//cysA//tdcF//rrfD//rpsC//ompW//mutY//ppiA//xdhC//fhuE//purA//lpxA//rplP//bglG//katG//rrlH//lyxK//uidA//hyfE//yhhY//abgT//
CreB-Phosphorylated	mhpR//ackA//ydbD//metC//astE//yhjC//yaeP//ydeM//ulaA//
CueR-Ag	fepA//fumA//cynR//deoB//rutA//infB//ileT//
CueR-Cu+	uidB//ykgO//yaiA//aroL//rhaS//aroF//nirC//
CuerR-Au	serA//rrsG//csiE//yaeP//csgF//allD//miaA//
CusR-Pasp	csgE//rprA//glmY//cydC//psiF//hycE//lpd//glcA//appX//ihfA//sbcC//frdC//
CynR-Cyanate	creB//caiB//gpmA//argO//
CysB-N-acetyl-L-serine	fucA//nrdB//hofC//metB//nuoM//napB//ydeA//rimP//pck//tauC//cynX//pck//pnp//pgaB//ydhU//fhuC//aidB//glcG//ogt//gatY//ygeA//pdeF//araH//cysD//dmsA//malT//caiD//mhpC//entD//mtlD//
CysB-O-acetyl-L-serine	dsdX//nanK//hemL//hypA//nanM//tnaB//treR//hdeD//ppiD//rpmC//truB//cusC//mscM//ackA//ygeA//rutC//hflD//fimG//hyfC//ygeH//acnB//dgcZ//emrY//deoA//yhjA//hofM//mcaS//oppF//pgaB//gspK//rhaA//
DcuR-Phosphorylated	phnE_1//araC//srlR//nlpE//yhiD//trmD//ssb//idnR//dpiB//
DnaA-ATP	ubiX//paaZ//hybF//bamE//rmf//allC//ccmE//ompC//bioF//rutB//napA//ompW//
DpiA-Pasp	hmp//cysC//gutQ//yqjH//glpD//modB//ssuA//treB//prs//araH//gspG//
DsdC-D-serine	nrfD//sdhA//marB//
EvgA-Phosphorylated	soxS//cysJ//znuB//nikE//cpxR//rrlE//aceK//mglB//ulaA//osmC//oppD//citE//hyfG//trpA//argB//
FNR-[4Fe-4S]2+ reduced	gpmA//fdnI//gcvH//mntP//map//fadJ//astE//mtlD//yfdV//marR//ykgM//tap//sufB//cusB//purR//gatZ//sufE//narG//miaA//exuT//tauB//hlyE//glcF//ileT//livH//lamB//zraP//fimH//trpD//rpsF//argO//rrfH//fhuA//hycF//cspE//sufB//ydeJ//grxD//yojI//caiF//rutF//ycjF//astA//ebgA//marB//argE//alaS//aer//citX//zinT//nrdA//puuB//betT//guaA//hcp//rhaT//rhaA//argP//yhcH//chbC//lsrR//rrlC//rplV//mepH//hflK//fau//srlE//lacZ//phoH//rrsD//hyfE//melA//feaR//hisM//yciW//paaI//murQ//narQ//artI//napB//lsrK//nanM//rprA//fucA//nuoI//erpA//cpxA//astD//gpsA//pncB//ileU//ynfK//glnA//nrfF//csgG//amiB//arcZ//safA//gatZ//adhE//srlR//lpd//aceF//hybE//gntU//fepA//creC//dcuD//gspO//tcyJ//yoaG//galP//metC//bdcA//paaF//ccmB//spy//malZ//hypC//dpiB//aspC//dadX//abgB//norW//hycD//hyaE//xdhB//leuE//glrR//cynT//csgG//cysD//hypB//fdhF//gabP//xdhC//hycF//uidB//yeiW//mglC//sgbE//yqjI//motA//rbsA//metA//prpC//cysU//cas2//acrD//tyrB//hha//alaA//csiE//nrdE//ssuE//casD//fumC//xseA//treB//gcd//fimI//ydiU//rutC//focB//norW//yaiA//psiF//idnD//fadH//hisM//csgF//hha//ansB//aroF//fadB//ugpA//csiD//moeA//treB//araC//chbR//allC//argC//slt//phoQ//miaA//livK//spy//aroL//casA//eda//ada//tsr//gntU//focB//nupC//fixX//hyfI//nuoH//citG//entF//galP//ebgC//hisJ//slt//moaA//napD//kbaZ//yhhY//gpmA//rpsR//phoE//ychH//nuoL//oppA//rrsC//ilvD//murP//rrsG//nanE//murP//rrsA//uidB//mzrA//sdhB//chbG//rbsC//tdcA//gspM//cyaA//gltW//astE//purA//cusB//gspJ//uxaC//edd//ldtC//yfdV//ftnA//aroL//ampD//mtr//nrdD//yfdE//malY//rplM//ssuD//mdh//ilvY//paaH//atoB//paaC//ilvX//gspG//agp//lsrC//exuT//nadC//gspM//ccmE//cysK//chbR//betA//paaI//hybC//purL//xylH//treR//dppA//moaE//garL//puuD//yjjZ//cheA//mlc//spy//yegR//ompC//nagC//lpxA//sdhB//rplP//creD//rcnB//rrsE//malS//zwf//rrsC//yggX//psiE//nlpE//rhaD//hypC//fucI//dcuB//ccmE//ccmF//ileT//livJ//preT//ccmA//tauB//rplT//ryhB//
FhlA-Formate	phnE_2//rrfG//yhjC//gltB//artM//tnaA//lysP//rpoE//glnL//creA//rrlG//gspL//cyoD//flhD//mgtA//hypC//grxC//ilvE//mdtD//gspC//crp//rhaT//ppiD//ygiA//ydhX//araD//caiD//rplT//malK//aceB//
FucR-L-fuculose-1-phosphate	dmsD//ynfE//bamA//acrE//phnF//hofO//fdnG//
Fur-Fe2+	stpA//ykgM//glpX//yaiA//fimA//ygiA//skp//artM//mgrR//yfeW//thrS//cheW//cysC//copA//phoP//gcd//eda//ahpC//metI//cheB//rrlD//allC//rrfB//gatA//psiF//malG//rybA//xylA//lysO//hofM//ygiA//phnE_2//nikR//betB//znuC//hyaC//pheM//napF//yaiW//yccA//ptsG//ynfF//xapB//sdhA//aceF//nanA//hemA//nfuA//caiF//proP//dsdX//frc//yebE//rrsA//trpL//cheB//borD//mhpD//deoB//aroM//trg//dmsC//aaeA//carA//exuT//qseC//bacA//aroA//hycC//oppB//guaA//nuoM//glpF//glnK//mhpD//nuoI//ybjG//torA//paaH//uhpB//hisJ//phnH//yqjA//chbB//fepE//purR//yojI//purN//pagP//trpL//psiF//pgaD//pgk//pitA//ompT//ompW//ydeP//ilvM//grpE//alkA//casC//nuoA//pgaC//yqjH//nagE//sbcC//sufB//alaU//xseA//malZ//glcD//gadB//rcnB//fadE//aroG//sucB//avtA//phnL//thrS//trpL//csiE//ung//dcuD//yggX//dcuD//rpsO//mhpE//malK//nupG//tehA//entH//gntR//eda//psiE//aldA//ilvE//entF//fhuB//lsrG//hisP//
Fur-Mn2+	galM//ulaD//ung//abgA//uraA//ydeN//fepE//napA//lolB//hupA//lsrB//trpR//melB//hycH//srlB//zraR//ugpA//yaiW//sufB//bcsC//cynX//ccmE//phnM//nrdH//lyxK//srlA//moaE//ppiA//phoE//caiT//tsgA//cadA//yfdX//nuoF//aroG//dpiA//lysP//ygiC//alaA//dppF//mtr//cbl//malS//fixX//cytR//sbcD//upp//phoU//aceA//sucB//cheR//livF//lpxA//tadA//mzrA//ybdN//argO//safA//grxC//astE//iclR//agaV//malK//yccA//mutL//dadX//hybG//hyaB//hcr//caiD//alaS//tehA//allE//idnD//appB//gabP//ppiD//gltT//mntP//dmsB//mdh//hisM//entS//fadE//yfdV//uidA//hyaE//avtA//fucI//micF//hemL//phoE//nac//lsrB//cytR//cydC//hyfA//rpsP//mdtD//citX//nanA//gatY//rnlA//yaiA//appX//acrD//torA//glpX//idnR//fnrS//fimI//degP//rutA//rrlG//ydhW//nuoF//bglB//alkB//rpoS//nrdD//pyrD//yeaR//csgA//argD//waaH//trpD//nrfF//hycH//paaK//purL//tdcG//adiC//motB//allE//phnD//ygeH//grxD//argD//glpF//cpdB//
GlcC-Acetate	rrsG//pncB//katE//citC//sdhD//tsx//mpl//
GlcC-Glycolate	moaB//baeR//livM//nanM//tehB//acnB//ptsI//
GlrR-Pasp56	stpA//
IclR-pyruvate	proP//grxC//yaiW//tar//
IdnR-5-ketogluconate	lsrC//entA//caiC//ybfN//creB//rstB//cspE//paaZ//
IdnR-Idonate	nusA//hflK//alkB//mepH//trpE//fecC//phnF//ynfF//
IlvY-2-acetolactate	paaA//fimF//
IlvY-Alfa-acetohydroxybutirate	livG//glgC//
IscR-[2Fe-2S]1+	cysJ//cynR//nrdD//rrsG//ascB//yebE//dapB//galT//sdhB//sgbE//yecR//glnA//fucO//sbmC//carB//betA//cysD//hybD//ynfE//idnO//deoC//hofB//rrsD//fepE//bglF//tehA//arfB//rrlA//ompF//erpA//sufC//metR//ulaB//acnA//tnaC//glnB//deoB//metR//marA//pstB//phoA//
LldR-L-lactate	garR//ynfE//puuE//
Lrp-Leucine	aaeB//fhuB//metK//uxaB//hyfG//pgk//yccA//nrfG//nanA//folE//trpR//narJ//phnE_2//malI//bacA//ompW//norW//mglA//paaC//aroL//trpL//mhpR//livM//priB//deoB//appY//lysO//ptsI//ydeO//bglF//pyrD//hisP//bioA//entC//mepH//malQ//ilvC//ndh//ftnB//lsrF//psiE//ada//metH//paaG//xapB//hybO//agp//dmsD//rutC//napD//ampD//artJ//chbB//oppA//napH//purC//cusB//ogt//yiaM//crp//metY//gspJ//ydeA//entE//efeU_1//cysD//entC//lsrD//tam//yeiW//napD//gatD//bamE//prpB//appX//citD//pstA//nirC//speC//bamE//cpdB//nrdG//tdcC//fhuF//astB//dppA//lldD//fes//ndh//lpxD//rrsG//ileU//nmpC//yoaG//nanE//fhlA//cas1//ompT//chbB//phnI//tdcC//envZ//cyoB//gltU//tsx//phnC//
LsrR	nac//gltA//cysG//hupA//prfA//lpxD//hflC//fepG//hyfD//
MalT-ADP-Maltotriose	glnD//rbsB//hypE//preA//glgC//tadA//caiB//fepG//lsrD//hypF//
MalT-Maltotriose-ATP	ydeJ//acrE//hybF//abgA//cytR//manA//hofC//oppB//nrdB//proP//
MelR-Melibiose	glnG//aroG//pta//
MetJ-S-adenosylmethionine	sgbE//uxaA//mtlR//ompX//psiF//hyfH//fucP//ilvY//glnG//gatY//nagE//folA//hypA//bamE//nirD//
MetR-L-homocysteine	erpA//rrlB//cheZ//cysP//safA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	argH//dppF//rrlA//hflK//gabP//acrA//
MhpR-3HPP	bhsA//grxC//rbsA//gadC//pstS//phnK//
MntR-Cd2+	ssuA//pgk//marR//norW//sxy//
ModE-MoO42-	csgG//ileT//mhpD//tyrR//gcvT//argF//ackA//glgC//garK//gltU//dmsC//proP//psd//rbfA//rrfF//purL//gltB//bcsB//rof//lyxK//norV//caiT//fepA//mtlR//sbcC//paaA//bioD//fldA//evgA//malI//gltA//cynR//srlD//alaU//ulaC//fepG//ampE//purM//cyoB//carA//feaB//paaE//lsrD//ackA//eda//tauC//
NarL-Phosphorylated	raiA//baeS//astE//exuT//grxC//aroA//bhsA//tnaA//mtlR//purD//moaC//focA//mdh//raiA//cusA//dpiB//hyfF//ygbA//hybC//tauB//ubiA//yhiD//ilvM//codB//sroD//tauD//fepD//glgS//rrfF//nrdH//argG//acnB//nanA//pitB//tehA//citF//cyoC//caiB//aroA//ydeP//cysW//xylA//metI//ptsI//ompR//abgA//ccmH//rplC//ispE//gntR//bglF//pta//pflB//sucB//speB//tap//nrfB//cydA//puuE//metK//hycE//rpsR//ygiC//artQ//rybB//ssuE//ccmB//gspK//pheM//gntP//araF//fis//yjcH//feaR//map//glpF//pheT//fadA//csgD//pyrC//modB//ssuA//melB//cyoB//oppD//ydhU//bioB//grcA//purK//gntT//sxy//fhuA//gltD//yiaM//cueO//pgk//motB//glpG//entA//uraA//artQ//nupG//iscS//rutE//dpiA//infC//trpC//fadE//argI//modA//sohB//yeaR//hybC//yoaG//yeaD//speB//mglC//fumC//hslJ//nuoC//hofN//pyrD//hyaC//abgB//gltB//
NarP-Phosphorylated	creD//lsrF//ptsI//galP//citX//mglC//rhaS//narL//fadD//lsrC//gpsA//malS//dmsA//mntP//glpX//ivbL//fadD//lldP//tauA//nirB//phnI//rybA//grcA//rpoS//cysB//gatB//tdcB//fau//gltT//hycC//fhuA//metC//paaE//cueO//tyrP//galP//rseB//torC//glpD//tonB//cheB//crr//rrlC//malY//dctA//glpT//ydbD//edd//ilvL//cysJ//
NhaR-Na+	ompX//hcr//paaG//efeU_1//ccmC//rrlG//hydN//
NikR-Cd2+	nirD//mtlA//aer//pyrC//soxR//upp//
NikR-Co2+	grxC//tadA//mepH//rpsC//dppC//hypF//
NikR-Cu2+	arfB//nikC//rplS//dsdA//rimP//tnaB//
NikR-Ni2+	citD//nanE//ycjF//ysgA//sufD//iscA//
NikR-Zn2+	aroG//rbfA//fdnH//caiE//lsrC//nuoA//
NrdR-ATP	garP//purH//cadB//lldP//fhlA//acrD//metE//xylA//caiE//
NrdR-Zn2+	lamB//yedX//dkgB//yjeF//mntS//ansB//dcuC//nagC//micF//
NrdR-dATP	preA//fadE//mdtA//fimI//nirC//nhaA//chbB//nrdB//bhsA//
NsrR-[2Fe-2S]reduced	ygiA//hybD//nrfD//torA//fliA//lldR//tdcF//citG//sbcC//hycB//rnlA//metJ//hha//hyaE//prpE//hflD//appY//ssuB//mtlA//flhC//dsdX//rplI//yjeF//ada//nac//yeaD//pgpC//uidB//putP//cusB//yedX//fhuF//ilvA//rhaA//ydhY//grxD//yqjH//dcuB//betI//ndh//cysW//pgk//nrfA//hypB//xdhB//hslJ//degP//nikC//ogt//chbF//baeS//melB//astA//zraP//citC//yneM//galP//casB//ugpC//serC//fimE//lsrD//torR//dapB//hyfJ//fdnI//cysK//malT//nuoE//rhaR//ccmC//fhuD//spf//
PhoB-Phosphorylated	treC//tyrP//yeiL//xapB//phnM//cas1//metE//uraA//ilvB//melB//acnA//ykgM//fhuA//ybfN//ubiC//pheT//rhaT//spf//rrfG//aspC//prpD//paaK//paaB//ygeH//cusF//grpE//ynfG//nuoE//pck//dkgB//malE//alkB//glcD//idnT//metL//creB//fhuA//ivbL//norV//sucB//nuoA//grcA//cusF//rbsD//phnM//melR//cydC//pitB//rrsB//ynfE//caiB//dcuS//manY//fepC//mntP//moeA//nrfG//mntH//osmY//mdh//lpxA//
PhoP-Phosphorylated	ydhV//hupB//napC//hybF//livH//sufA//entC//araF//lldP//pstS//fucR//rybB//yhjC//dcuR//gadB//ung//xylH//rnpB//yhcH//araD//csgB//ssuB//fimH//ompA//serC//ssuE//nuoK//casE//rrsA//lsrD//gspJ//phoP//yegH//yqaE//mhpT//fhuF//narJ//iraD//talA//yqjI//mntH//patZ//sufA//udp//icd//rimP//ygaC//dmsD//acrB//rpsF//focA//sufB//hybA//rpsQ//ynfE//lpxB//fliA//
PrpR-2-methylcitrate	yjeV//tcyJ//uhpB//erpA//mdh//
PurR-Guanine	caiC//hydN//hflK//mgrB//deoB//marR//ybjG//narK//glcB//tsr//alaU//speC//iscR//bcsZ//uxaA//trg//nuoH//cvpA//sdhB//nanA//hofN//yhiD//hycB//phnI//cyoB//erpA//nlpE//phnD//ynfH//gntP//entF//yeiP//modB//yaeQ//
PurR-Hypoxanthine	cysA//tehB//crl//abgT//gutM//sodB//araC//gspO//tdcA//ccmA//metA//ugpE//glgX//casC//rrfE//soxR//envY//allD//mtlA//gnd//argE//rpsC//ynfK//tdcB//nohA//lamB//tdcG//ampE//pflB//aroG//aceK//ybiT//oppC//mepH//
QseB-Phosphorylated	phnM//rplV//uxaB//idnD//
RhaR-L-rhamnose	cysJ//ahpF//
RhaS-L-rhamnose	rdoA//bamA//fhuB//rplW//nanM//rrfD//
RstA-Phosphorylated	glpQ//cueO//mzrA//nrfF//glpD//glpA//treR//bdcA//ykgR//citE//
SoxR-[2Fe-2S]3+ oxydized	mhpC//yqaE//rutB//deoC//
TorR-Phosphorylated	gatZ//malE//rutA//skp//glcD//rseC//hisP//artP//trpB//patZ//
TrpR-Tryptophan	purN//cyoA//sbmA//ugpQ//nuoC//erpA//hycH//uxuR//pyrD//idnT//bcsC//hisJ//
TyrR-L-tryptophan	paaE//ebgA//rrlH//hisM//fadE//ulaE//sdhC//hybD//hybD//treR//aroG//lsrF//mgtA//nrdE//
TyrR-Phenylalanine	entS//nanE//napD//aldA//paaK//tpx//citD//argE//yqjH//fecD//ubiC//fabZ//ydiU//trpL//
TyrR-Tyrosine	entA//malQ//phnG//secB//dkgB//yiaN//tyrR//abgA//ydeM//slt//dapB//hofN//uxaB//znuC//
UhpA-Phosphorylated	dmsC//
XapR-xanthosine	moaA//yeiL//
XylR-Xylose	pgaD//cbl//gatC//mdtB//nirD//mgrB//
ZntR-Cd2+	pyrD//
ZntR-Hg	nuoN//
ZntR-Zn2+	bioF//
ZraR-Phosphorylated	cheW//rmf//hycA//
Zur-Zn2+	nrdA//mhpE//fepD//lysC//ispE//dsdA//
