#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	soxR//acrF//hycA//glcE//
ChbR-Monoacetylchitobiose-6P	ynfF//nagB//murQ//lysC//envZ//fepA//
CpxR-Phosphorylated	astC//tap//nuoA//hyfA//fadH//safA//cpdB//rrlG//argE//ulaE//ldtC//yrbL//nuoF//polA//gltB//hyaA//dsdX//dgcZ//hofM//rrsB//ccmD//ykgO//erpA//yeiB//folE//sdaA//nuoJ//livJ//znuC//ackA//bioF//cysP//nikB//bglB//fucI//rrsB//fadE//galE//glcF//treR//ilvE//borD//bcsB//torD//iclR//purL//yedX//hdeB//iscU//preT//entF//mhpC//rpsP//rrsB//citX//osmC//hypE//mtlD//nupC//cyaR//lldD//fldA//hisJ//uhpC//fhuA//moaC//uidB//gntK//tdcE//
CreB-Phosphorylated	pitA//rplV//hybB//rpsP//rpsR//ompX//puuP//cynT//phoQ//
CueR-Ag	csgF//citX//uidA//amiB//xylH//fadH//prpB//
CueR-Cu+	glnD//nuoE//tyrP//nanC//livK//ydhX//metL//
CuerR-Au	cyaA//ubiA//torC//appX//cyoC//gspE//nuoL//
CusR-Pasp	livJ//rnpB//hybE//nikD//yebE//manX//glpQ//nadC//ccmD//ileV//rbsA//fixC//
CynR-Cyanate	glpD//torC//uxuR//rbsR//
CysB-N-acetyl-L-serine	fdnH//tsx//prpR//glpC//malP//feaR//argH//casC//modB//ydhW//ychH//sucA//torC//atoE//nhaR//metN//glcA//paaG//purR//metE//rpoS//acnB//uidC//gltD//rutE//cas2//hycI//treB//csgB//ydeA//
CysB-O-acetyl-L-serine	mgrR//dctA//hcr//fbaA//ubiA//rrfA//adiC//ynfH//infB//araG//nanT//glpG//fimF//gapA//fadA//ssuC//uxaB//gatB//sufB//cysC//ulaB//yneM//narI//fecE//sbcC//hisJ//fecB//artJ//tdh//hofB//dmsD//
DcuR-Phosphorylated	rseC//ftnB//ascB//ssuB//tauC//fnrS//guaA//agp//ubiC//
DnaA-ATP	nrfC//paaB//safA//gutQ//fecE//hdeB//rhaB//araC//uvrA//tam//ebgC//murP//
DpiA-Pasp	entF//hcr//nfuA//rpsQ//narX//atoA//thrV//guaA//tam//fucK//moaC//
DsdC-D-serine	yeiW//ebgA//rpsC//
EvgA-Phosphorylated	ulaD//lacI//iscU//phnC//ihfA//acrE//xylF//tnaC//asr//hcr//fepG//betT//phnH//aaeX//crr//
FNR-[4Fe-4S]2+ reduced	kbl//pta//aspC//araE//rpsO//gspK//cra//argH//phoP//zwf//rcnB//puuA//glpQ//pyrC//hflD//thrS//deoB//map//phnG//infC//ygeA//mglB//moaB//puuD//bglB//caiF//aaeX//fhlA//acrE//artI//alkA//sdhC//caiC//cydD//hyfJ//yrbL//rplS//torD//araF//rrlD//phnF//napH//zntA//fnrS//cysJ//hyfC//casB//aer//treB//phoH//nuoE//ydhX//xylB//mglA//hycB//srlE//rplV//xseA//cusA//ygiB//codA//yneM//rplB//ccmH//adhE//rrsH//yeiB//galE//fes//copA//nrdG//proP//argB//ftnA//hofP//ivbL//rrlD//kbl//fadH//fucA//glnG//ilvD//cueO//fepA//cas1//srlE//rpsC//nirD//nagE//ugpQ//tauB//nupG//atoE//hybG//purE//dsbA//hybB//gutM//melR//sdhB//caiB//fur//bglF//casC//evgA//mhpR//amiB//puuR//ilvY//ydeJ//araJ//yjcH//ppiA//gspK//ryhB//napC//feaB//ydhU//purM//nfuA//rhaT//hisQ//emrK//fumC//cas1//napC//speC//puuC//malF//nrdE//malK//hybC//artJ//ychH//yiaK//borD//cheA//metJ//tcyJ//ftnB//ccmB//codA//hyfC//hyaD//frc//dcuD//cyoE//upp//metF//nikE//ydeJ//prpC//lacY//fau//rrfD//narK//cysU//bcsB//marB//mgrB//degP//glcC//phoR//mscM//uhpB//moeA//fecA//tyrP//nuoK//tehB//hycA//yfdV//cadB//betT//xseA//pstS//hyfE//iscA//cdd//fhuF//rrlH//mlc//thrV//borD//rstB//rpsI//rplV//rpsC//purR//ydhV//xylA//fucU//hyaC//dapD//fhuB//hyfC//tar//modB//tyrA//paaZ//hflD//garR//ssuD//purH//fur//putP//znuC//fabZ//glnA//tauA//cheR//ynfH//trpB//rrlE//pdhR//tar//mhpT//yoaC//deoC//dppD//entF//glpK//cspE//katG//srlB//glnB//betI//sucD//appY//rof//metE//proP//cstA//rpsJ//pdeF//dppD//galP//ugpC//ygaC//rbsB//acrD//rrfD//glcA//astC//nlpD//artM//yrbL//rrfD//lsrF//glyA//mgrR//ansB//xylA//rstB//nhaA//napG//tyrB//rseA//nikE//ynfH//bioD//csiE//ykgR//rbsA//sgbU//sucB//livJ//glnA//ccmF//fliZ//fur//trpD//ybfN//mhpE//psd//napF//yebE//argP//argH//ompC//mdtC//hmp//hycD//uxaB//cheB//paaJ//yneM//bcsB//cpxR//tpx//cusA//ykgR//moaB//nagA//hybD//fucP//aldA//ydeP//sufD//yjcH//rrlG//cvpA//prpD//cysM//dsbA//
FhlA-Formate	yiaM//mltC//rbsK//betA//nuoE//acrE//tyrR//ilvB//torC//ydhY//aroP//rpsS//cusA//rbsR//gntR//adiC//gspM//ackA//nuoF//mtlA//fimE//fabZ//nuoG//fis//comR//xylF//hyfC//srlR//rpmI//paaJ//
FucR-L-fuculose-1-phosphate	hmp//ilvI//nrfC//rseB//secB//aaeR//ihfA//
Fur-Fe2+	tyrB//narH//fnr//argI//ccmG//ftnA//cyoC//tdcD//rplI//dppF//citC//zraP//bglG//cirA//tadA//moaB//appA//aceK//sodB//glgC//pgaA//dcuS//purA//yciW//ndh//gspM//amtB//hslJ//gdhA//narH//phoE//yaiW//malT//cstA//norW//fiu//ompA//phnN//mglC//efeU_2//tonB//hyaB//rrsH//sbmC//cyoC//lacZ//polA//ydeA//argG//prs//yegH//aroM//pgaD//yeiP//galS//norW//yjeV//hybE//lsrK//nrdF//sufS//nrdA//gltB//phoA//csgC//yjjZ//manY//ykgM//nrfF//araC//sdhC//fadL//aroH//sucD//xylF//nrfG//amiB//nuoI//rpmC//glpF//nrdI//gdhA//trpL//uhpC//galE//cas2//rof//ihfA//waaH//malX//rplC//rstB//entH//cytR//dcuB//mhpF//narQ//trpR//speA//yeaR//ansB//yfeW//glcD//fadB//agp//bcsZ//glcE//fecR//nuoC//acnA//chbF//gabT//argB//nikB//borD//hyaA//moaB//ampE//csiE//gspE//rrsB//lsrF//ilvG_1//zraR//yggX//efeU_1//ynfK//hybB//zraS//glrR//ugpC//csiE//zraP//livH//xylH//glnA//hofO//motA//ompF//ilvH//
Fur-Mn2+	fepD//galT//idnO//ogt//rrsC//narI//araG//cysW//cas2//ydeP//ydhV//tam//cysA//cheY//dsdA//nanK//uhpT//ugpE//lolB//yhjA//bioC//phnK//csgB//hupA//fumB//phnP//agaW//purR//rbsR//yiaK//sroD//fadI//ilvX//phnC//entH//dkgB//idnR//ubiA//fhuC//glgC//fadE//sufD//entH//fadH//nanS//phoE//dsdX//fepD//mutL//grcA//rrlD//purB//emrY//entS//malQ//soxR//hybA//yeiW//ispE//fumA//alaS//phoU//tyrA//yfaE//idnD//rrsC//dapB//argC//fadI//pagP//abgA//hyfF//caiT//aroA//lpxD//idnR//nanA//astB//metA//tomB//uhpT//tpx//fucA//chbR//manY//gltV//ydeM//cydB//glnD//glnA//yegH//fhuA//fhuA//yfaE//gabP//cydC//gatB//argH//hofB//rpsO//entS//uxaC//fimD//aroH//astD//entF//ydbD//comR//malS//oppF//araA//ssuD//zntA//ulaB//uhpC//hycE//copA//gspC//gspD//astC//nanE//xapB//bglG//rpoH//ilvH//argA//moeB//ccmF//yhjA//csgE//prpR//oxyR//tyrR//gspD//sufE//iscA//phoA//mscM//fadA//ilvX//
GlcC-Acetate	epd//yfdV//truB//rrlC//gatD//ydhY//ompR//
GlcC-Glycolate	gntR//sroD//bioF//ampD//rbfA//crp//gltV//
GlrR-Pasp56	yrbL//
IclR-pyruvate	xdhA//napG//lsrC//fecE//
IdnR-5-ketogluconate	truB//ycjF//astC//rpsR//araB//yggX//cheR//citE//
IdnR-Idonate	hycG//ccmD//hybF//agaW//mntP//sxy//xdhB//alaA//
IlvY-2-acetolactate	flhD//ampD//
IlvY-Alfa-acetohydroxybutirate	dnaN//alaV//
IscR-[2Fe-2S]1+	yaeQ//ynfK//ulaF//citG//glnB//yeaE//rutA//nuoL//adiC//dadX//citD//aaeR//nrfG//araB//glgP//hmp//deoC//hisQ//sbmA//xylB//fecC//phnM//nlpE//allE//glnA//yfeW//rpoH//cysB//srlD//hyfD//pstC//nikC//lysU//metE//yggX//purM//ugpC//arcA//fhuA//lolB//fnrS//
LldR-L-lactate	cyaR//malQ//nagE//
Lrp-Leucine	ccmB//ilvI//dppF//ascB//pgk//iscS//entB//ssuE//bioA//yneM//pdeF//envZ//argO//ydhX//nuoI//aldB//xylB//ascF//aroM//argA//nanC//argO//rrfC//yfbR//csgE//narI//hybC//pgaA//sohB//fnr//sucC//malQ//ydiU//zraR//cusB//moaD//sufS//cheW//rybA//glpE//rpoH//tcyJ//rutB//glgC//chbB//phnE_1//gatZ//motA//agaV//ogt//yiaJ//cbl//rplT//puuD//oppD//fumC//fhuF//mhpA//sufS//cysH//folA//fadD//aceB//garP//galT//frdA//xapB//sufB//crp//katE//ynfK//phnK//map//aer//narG//ycjF//phnF//aroA//ccmF//pncB//fimC//paaZ//frc//nikE//livG//ilvG_1//glcG//xapB//raiA//flhD//entB//nuoG//phnE_2//hycH//tdh//rutB//csgF//agaA//mglB//ulaA//galT//narL//lsrK//grpE//pepT//ydeA//
LsrR	glnA//dcuS//moeA//pstA//gpsA//bglF//entS//rpsF//argI//
MalT-ADP-Maltotriose	entS//motA//yccA//guaA//hupB//rrfG//csgB//marB//nanT//aaeR//
MalT-Maltotriose-ATP	moaE//galE//glcE//fecC//paaJ//cysJ//rrfC//mipA//znuC//narX//
MelR-Melibiose	rrlC//ldtB//hyfJ//
MetJ-S-adenosylmethionine	norW//sodB//ileV//astC//comR//dkgB//aroA//ynfG//norR//acs//zinT//cysG//feoB//mntP//grpE//
MetR-L-homocysteine	cysM//ilvC//ugpE//mhpC//yhfA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	ilvL//nuoB//oxyR//skp//pgaB//yhjA//
MhpR-3HPP	rpsR//skp//fucI//gutM//norW//hyaE//
MntR-Cd2+	feoA//csiE//glpG//pdeF//mntS//
ModE-MoO42-	gcvH//uidC//rrsH//acrA//feoC//ygeA//dadX//icd//amiB//ccmG//argH//nrdD//yeaR//hflK//nuoB//purH//phnJ//napG//hycH//nadC//frdC//ivbL//mntH//infB//ahpC//hybE//acrD//hpt//ssuA//ykgM//entH//rrsC//alaT//yaeQ//amiB//cynX//deoA//mipA//entE//bacA//efeU_1//yiaK//aceB//cydB//speB//focB//
NarL-Phosphorylated	lsrC//cysD//ccmF//rplI//ytfE//paaJ//nuoN//narX//bioB//bglB//nrfD//gspM//osmC//entE//phnM//fumC//hyfC//atoA//cyoD//uhpT//ssuD//truB//xseA//hflC//narK//csgA//bioA//yfaE//yiaN//oppB//metY//trg//grcA//gabD//purF//livF//mltC//yiaM//sbcC//phoH//paaB//gltU//yciW//cusB//cvpA//xapA//argR//cysH//purA//speB//ppiA//fepD//yegZ//aroA//garR//crp//nuoA//rbsR//fliZ//epd//hofN//aroM//psiF//csgB//hybB//yhhY//glpG//creA//fepE//betI//ugpC//cynS//hflX//cyaR//hyaF//nhaR//napC//gspF//aroM//bglB//narL//feoA//recF//lsrG//cueO//cheA//hybD//yecR//yggX//hflX//frc//tauD//cueO//ubiX//dmsB//hmp//nanC//argH//kbaZ//glrR//srlR//mdtB//aroG//fadL//efeU_1//tehA//ahpC//preT//napD//aroG//lysU//cysN//gapA//nrfG//caiC//hdeB//glpD//mgtL//hemA//csiE//trpD//entD//oxc//feoA//serA//
NarP-Phosphorylated	yfiP//tdcB//mgtL//mipA//lysA//cyoC//casE//hyfH//aroM//yqjH//ycdZ//lyxK//mdtA//pstS//narG//feoA//aspC//yfdX//yaiW//ydbD//ompR//sbcD//metB//ycjX//acnA//acrE//glpT//argI//qseB//melA//manX//bhsA//ssuC//yeiB//micF//fdnG//nfuA//hofP//hyfC//creA//rplP//pnp//garR//cpxA//dpiB//malZ//galM//dps//cysH//nlpD//
NhaR-Na+	xapB//hfq//grpE//marB//hycI//nrfG//rrfF//
NikR-Cd2+	yiaO//oxc//rrlG//ytfE//glnB//cusC//
NikR-Co2+	mhpB//nuoG//nuoH//pgk//artM//phnG//
NikR-Cu2+	yaeP//yecR//ptsH//sxy//folE//ykgM//
NikR-Ni2+	tnaC//frdD//appX//ascB//gspC//cyaA//
NikR-Zn2+	emrY//uxuB//mtr//hofM//rutE//ybjG//
NrdR-ATP	sgbE//gntT//yqjA//hofC//fdhF//caiT//napA//yqaE//cyoE//
NrdR-Zn2+	purE//marR//napD//cydC//araG//entB//znuB//rplC//frdC//
NrdR-dATP	dcuC//fnrS//hha//prpD//ssuB//tonB//nuoF//argB//exbD//
NsrR-[2Fe-2S]reduced	trpB//baeR//gatC//hpt//talA//sufC//oppC//pdhR//araA//rbsB//purA//fiu//nirD//ldtB//hypC//guaA//hypB//livF//betA//rnlB//narJ//ndh//atoD//cheR//atoB//oppF//narJ//cyoB//uxuA//rplT//tdcD//fabZ//aceB//napH//pagP//cas2//aroL//glnK//cbl//puuD//xylR//sucB//lpxD//sufA//fadD//yhiD//nanC//idnK//phnK//paaD//zinT//nrdI//dmsB//psd//fixX//udp//nrfD//glpB//sucA//dmsD//yfdX//fhuD//crr//argP//yiaL//glcE//glcD//nuoA//xdhC//lldD//dpiA//napA//chbC//
PhoB-Phosphorylated	hyaA//moeA//mgtA//rrsE//tdcE//rpsI//appX//serA//galE//sodB//fau//araG//prfA//hflC//hdeB//pepT//mgrR//idnR//fecR//rhaS//uidC//ugpC//csgB//lsrB//cyoE//malI//focB//ldtB//rstB//ykgO//puuP//waaH//paaZ//fhuE//feoB//gcvH//napB//prfA//sdaA//deoD//ptsI//glnB//fliZ//fimG//yeaE//purL//tdcF//hycI//ilvG_1//serA//metI//hydN//evgS//garK//nuoC//paaA//araB//aroF//galM//prpD//ydeM//
PhoP-Phosphorylated	hupB//cdd//rpsO//ynfK//dmsA//paaE//zraP//trpC//pitA//cheW//manA//ssuC//artP//cysD//ulaB//lsrG//cysP//rhaT//entB//motB//rrfB//chiP//rcnB//dnaA//atoA//aaeB//fhuD//gnd//mntP//feoB//aroM//paaA//caiA//oppD//yiaL//ynfE//rutA//gspE//purK//tyrP//speC//ydhY//purM//glgB//livG//fliZ//purD//rrlA//cas1//srlR//rrsC//rnlA//zraP//cusC//betI//bioB//ilvM//
PrpR-2-methylcitrate	fecD//nlpE//xylF//acrD//rpsJ//
PurR-Guanine	mhpR//sbmC//phnN//exbD//cysU//yeiP//bacA//hyaC//yaiA//chbC//xapA//acrB//chbB//pgaD//ftnB//nupC//prfA//artJ//cynR//cysD//comR//glgS//araH//rbsD//malP//truB//argE//garK//umpH//tsaE//xapA//narQ//ccmG//dnaE//
PurR-Hypoxanthine	ivbL//astD//rpmC//pagP//gabD//yoaC//nanC//ynfK//fimC//rimP//nrdD//metJ//ssuB//modA//purK//aaeR//rhaA//artQ//phnO//gntU//mtlD//sufE//yaeP//astB//artM//fhuA//yjcH//ihfA//hlyE//yegR//oppC//rhaA//fepC//frdC//
QseB-Phosphorylated	xdhC//lysO//narK//creD//
RhaR-L-rhamnose	casA//napC//
RhaS-L-rhamnose	nrfD//edd//torR//glpQ//citD//ftnB//
RstA-Phosphorylated	bioC//degP//mpl//uidA//phnL//uxaA//nrfC//fucI//fecE//rybB//
SoxR-[2Fe-2S]3+ oxydized	rplC//garL//csgF//hybE//
TorR-Phosphorylated	nuoJ//citD//dppF//sufE//malT//cueO//yebE//cyoA//trpR//creD//
TrpR-Tryptophan	motB//argR//garK//tehA//mgrB//aldB//rutF//hyfG//bioC//ppdD//ihfA//nlpD//
TyrR-L-tryptophan	focA//umpH//rutG//astE//glpA//rbsD//cspD//glpB//rrfD//betT//livH//chbR//gadC//ydfH//
TyrR-Phenylalanine	putP//nuoG//proP//trxA//fdhF//galS//chbF//cydD//argC//yiaO//entE//uxuR//moeB//ccmF//
TyrR-Tyrosine	znuB//sufD//cydD//ilvD//fecA//mglA//purL//argE//glgX//aceK//rdoA//prmC//yneM//entH//
UhpA-Phosphorylated	cheW//
XapR-xanthosine	iscA//argF//
XylR-Xylose	rhaB//ykgR//narL//idnD//mgtA//znuA//
ZntR-Cd2+	ubiC//
ZntR-Hg	metA//
ZntR-Zn2+	lhgO//
ZraR-Phosphorylated	znuC//ccmA//cheA//
Zur-Zn2+	ychH//mgtA//xdhB//deoD//nirB//yegH//
