#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	mdtD//galP//alaS//ilvY//
FNR-[4Fe-4S]2+ reduced	csiD//tehB//yaiA//rplP//nfuA//eda//raiA//ulaC//hybO//casA//hyaA//tadA//alkB//ompX//ssuA//ilvI//fnrS//ptsI//hmp//ulaE//yccA//dppB//araG//argE//ileU//gntU//ahpC//osmC//glnB//nrdF//moaD//artI//norW//entB//cas2//yjeF//moaC//araB//folA//csgC//argF//yeaD//ygaC//rstA//ydhX//baeR//gntX//phoB//srlD//srlA//ugpE//malF//fimA//cysU//hisP//caiA//entC//mhpE//hyfG//phoB//rdoA//copA//bcsB//slt//oppA//csgE//tehA//creC//serC//zwf//dppB//fepG//nrdD//ilvG_2//glmY//cysH//cyoB//agaA//fbaA//fepC//citG//dcuC//uhpA//pck//fimI//mdh//emrK//ilvY//xdhB//tauA//ccmF//sgbU//ppdD//osmY//hpt//ygaC//rpsP//uxaA//qseC//argH//melR//ampE//hofP//fucK//mdtD//crl//aaeB//torD//yeiW//uraA//manX//glcG//tfaQ//uxuA//fnr//glnL//ydeN//sdhA//cydD//ygaC//fucA//rpsO//tauA//ilvH//treC//marA//ynfG//sdhA//rbsD//sdhD//nrdE//hypC//tnaA//hycA//ftnB//ssuA//rrfG//lpxD//mhpB//efeU_2//gatD//araD//allC//hdeD//fepB//fimF//betT//rpmC//rbsA//fucP//fis//yiaO//gadB//puuC//agaW//hybF//phoA//yeiL//nrfD//fdnH//livJ//fadA//hyaE//infB//cynX//fhuB//dmsC//gcvH//fepA//prs//ccmE//rrsG//hyfE//mzrA//ilvY//ilvG_2//arfB//purN//puuP//melB//lysO//cusF//ptsI//lsrF//trg//hypE//rplB//mlc//metQ//rpsI//nupG//argI//dppB//alkA//lpxB//srlR//sgbH//aroF//yneM//mgtL//rpoH//ascF//dmsB//nrdA//phnF//gntP//hyaE//glnG//yeiP//tauB//paaH//micF//trpB//astB//phnC//napH//sgbU//cheA//ykgR//cusA//cpxA//rhaB//gspG//livG//glpT//treB//rcnB//secB//narK//guaB//dgcZ//purF//zinT//ugpQ//nupG//zinT//gntK//mdtC//rpsP//ykgM//paaG//dppB//alaU//glcG//nfuA//fimG//glpR//tfaQ//pflB//eda//dsdA//nikB//sxy//rrsD//tktB//lysC//yhjC//allD//gspM//allE//appX//rrlB//ilvG_2//fixC//yfdE//cyoD//livH//uraA//hofM//rpmC//ilvN//pgaC//fucU//ybiT//astC//eda//hdeB//xylR//lamB//evgA//prpC//ulaF//feoA//yjeF//glpG//aroA//marR//srlR//gpmA//yegH//narX//glpF//fimG//ahpF//mtlR//ileT//torA//ccmA//caiB//astC//ynfK//bcsZ//fixA//mtlA//mhpC//
FhlA-Formate	ompR//ivbL//aceB//amtB//nirB//hisJ//dcuD//ccmD//hemA//entE//mhpR//pepT//cydD//kbl//dsdX//yeaD//paaC//nuoG//frdA//rplW//metY//nuoN//rplT//rnpB//thrS//ubiA//lyxK//uxuB//glnA//mzrA//
FucR-L-fuculose-1-phosphate	pgpC//patZ//rimP//yjjZ//cysP//fhuC//gabP//
Fur-Fe2+	tsgA//fucR//hybD//acrD//cspE//aaeB//ugpC//cydB//dcuD//bcsB//mhpD//glrR//paaC//dps//livJ//ychO//phnN//argD//hycD//metJ//hisQ//fepG//sucA//modC//napD//hflD//ssrS//sucC//yfdX//rrfE//fhuC//nusA//aroL//glpK//hybE//kbl//fimH//galM//rpmI//mhpA//lsrA//fadL//nrdE//bacA//lsrG//sgbH//dcuB//rrlD//casE//rrlB//artJ//nagA//glcG//hycB//aroP//cysP//tomB//udp//alaU//gadB//rplC//xdhC//phnJ//cyaA//dpiA//aceF//rbsR//frdC//chbC//phoB//hyfI//gltA//rdoA//hflC//fdnI//metH//moaE//lamB//purN//hyaB//lyxK//argO//murP//glmY//xapB//frdD//psiE//moaE//sufD//hybB//phnK//rrfA//csgG//gltT//ydeJ//ampE//hisQ//znuA//ybjG//mdtA//mhpF//phnP//sdhC//qseB//garR//rbsC//acrA//skp//marR//manY//murQ//fadB//ilvC//pyrD//araJ//csgG//speB//sohB//moeA//chbF//xapB//nrdH//fhuE//hemL//tomB//prpC//rrlA//pgaC//fucR//yojI//argC//glgC//trpL//gspG//oxc//gltB//nuoM//glpR//rhaD//gltW//
Fur-Mn2+	appY//dmsC//fucR//yneM//fepE//sgbU//talA//caiD//trpA//rnlA//sgbU//fdnG//cusS//ccmH//fimG//ydhU//cysU//cvpA//pstS//ryhB//sufD//puuP//cadC//xdhB//infB//metN//ykgO//metE//nuoM//aceA//purB//ilvL//gltB//rplP//puuD//hypD//hyaC//ydhW//ptsI//ccmC//fhuC//oppD//adhE//rpsS//asr//fhuE//rhaA//yidQ//rrfG//ydeO//fecI//talA//narQ//mhpC//chbC//motA//cueO//tdh//phnE_2//cynR//hyfF//garK//fimF//paaB//moaD//tnaC//trpE//cydA//yecR//tsaE//mltC//purF//acrB//fis//cysM//qseC//rhaR//infC//napH//fixX//ulaB//rrfA//crp//malI//mntP//rplT//emrY//grpE//treR//glpG//hycD//chbA//ampD//ebgC//tcyJ//ispE//rpsI//hisJ//aroG//rrsG//nrfE//csgF//malI//arcZ//nanC//rnlB//gyrA//metK//atoE//rrfH//cyoD//katG//cydA//csgD//epd//gntP//cpdB//fimC//cirA//argT//yfdV//hofB//ilvN//yegR//lsrA//hyfR//rpmC//lsrK//pgaD//cysU//aaeR//fepD//astB//ydhX//malG//argB//livM//bglG//yfaE//nanE//
GlcC-Acetate	prs//hlyE//glgC//azuC//polA//gltU//hflK//
GlcC-Glycolate	ulaD//ychH//hmp//mlc//cydD//ileU//dcuA//
GlrR-Pasp56	nuoI//
IclR-pyruvate	hyaB//rimM//nikB//hyaF//
IdnR-5-ketogluconate	yfdX//glgB//rutE//pstA//rpsO//rrfH//rpmI//mhpC//
IdnR-Idonate	ompA//dusB//tyrA//nuoH//mzrA//yjjZ//epd//copA//
IlvY-2-acetolactate	argD//casB//
IlvY-Alfa-acetohydroxybutirate	glnB//rrfH//
IscR-[2Fe-2S]1+	mglB//rbfA//ybdZ//crl//rof//carB//aceA//ydiU//fhuE//uraA//motB//rplV//ptsH//fixX//ompF//purC//xylH//nac//fepB//fecE//rplC//yjjZ//napH//hofM//xdhB//rrsE//aceK//yebE//yoaG//rpsI//dgcZ//hycG//yeaE//codB//rplP//gyrA//cysI//nrdD//norW//cheB//ytfE//
LldR-L-lactate	cytR//rrlD//idnT//
Lrp-Leucine	kbaZ//hdeD//feoC//hycA//ppiA//hycD//citG//hofO//lpxA//udp//thrS//ydhX//yaiW//rbsB//hofB//frdA//ilvY//nagC//ydfH//rutF//malS//yhiD//metH//ydhY//ybjG//paaB//manY//gcd//rrsA//livJ//sbmA//pgaC//tyrP//argA//cyoA//cyoD//csiE//fimF//mdh//nhaA//iscU//tauA//katG//phnC//hycF//gutM//aldB//nirB//yrbL//umpH//azuC//hemA//rpsF//csiD//paaE//moaD//hypC//purB//soxR//cpxA//ssuB//aaeX//atoE//torA//nrfD//rpsP//aidB//miaA//dmsC//hisP//gspI//ubiA//ompC//lsrG//abgB//hypA//tfaQ//yeaD//rseC//nanC//tauB//fimH//znuA//csgA//astB//araC//aroF//cysU//xapA//garL//caiB//glrR//uraA//gcvH//rstA//metB//ydhW//tdcA//hycB//eda//araB//tonB//tsgA//bioA//gspD//rdoA//
LsrR	trpE//rpoH//nirC//hemL//hisJ//csiE//rhaD//yfdE//garP//
MalT-ADP-Maltotriose	uvrA//ydeJ//lysC//rpoS//cadB//malM//entD//tcyJ//purA//tcyJ//
MalT-Maltotriose-ATP	cydD//melA//creC//speA//cpxA//yiaL//malZ//pagP//ubiA//mhpR//
MelR-Melibiose	glrR//ilvE//azuC//
MetJ-S-adenosylmethionine	nagC//nfuA//artP//dcuS//treC//phnI//rpsQ//oppD//ubiC//dapB//artJ//spf//bcsB//tauD//ssuE//
MetR-L-homocysteine	gyrA//galS//sgbH//yeaE//rrsC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	tdcD//ptsG//baeR//tam//idnR//artI//
MhpR-3HPP	modA//zraS//ompT//fabZ//mepH//aspA//
MntR-Cd2+	gutQ//puuE//hemA//ybjG//ompT//
ModE-MoO42-	nuoG//modC//citE//cpxA//napH//rrsH//fdnG//flhD//cysA//ydhX//yaeP//cysB//nagB//yebE//ydeJ//nuoF//xdhC//lpxB//fucK//emrY//sbcC//evgA//gltB//pgaB//araD//rutF//nagA//tsx//malT//lysA//puuP//exuT//rrsE//hypA//yiaK//bioB//exbD//aldA//rbsC//aroH//rimP//map//cpxR//frc//rhaA//fadE//
NarL-Phosphorylated	sgbH//yaeQ//creB//purD//rpsS//rplC//aroM//glpF//gpsA//hypF//iscU//rnpB//torD//hyaD//fecD//csgB//grxC//tsaE//phnO//fhuE//qseB//dcuD//fixX//psd//ilvG_1//alaV//borD//araC//cusR//ilvB//exbB//spf//gadB//purK//ilvY//moaC//gcvT//fecC//pgaB//hybC//tonB//citC//oppF//bcsZ//marA//fepA//ugpC//znuB//alaA//dpiA//nagC//gadB//ulaA//rrlC//aaeB//hyaA//atoA//atoB//glpT//malM//rpsO//phoA//aroL//yoaG//borD//fecR//glpE//cynS//ilvC//creD//betT//napF//narX//yiaK//alkA//lsrF//aaeR//hypA//gltT//tnaB//hypD//zraR//hofO//livM//lsrK//hybD//yrbL//hypC//hybG//ssb//crr//astA//chbC//gatZ//norR//manY//tdcD//rrfD//iraD//ydfN//frdD//ysgA//lsrD//cysG//grcA//yhjC//dmsC//cusC//livK//ilvL//rplS//rplD//nrdD//manZ//dppC//rutC//sufE//frc//uidA//envZ//fdhF//chbR//garR//fepB//ssuE//
NarP-Phosphorylated	hofB//atoB//tyrR//livK//fucP//agaW//nrfC//hyaF//mlc//aroF//argR//glnL//rplT//grxD//rpsF//fumA//rrsH//glnL//crr//manY//lacY//gspK//bhsA//pdeF//caiE//folE//pheM//xylH//narK//rpsQ//eda//ompT//hycC//focA//lsrK//fepA//narH//dcuS//gatB//tehB//cadA//ycdZ//rrsA//narG//amn//narL//cysU//fumA//lsrR//adhE//
NhaR-Na+	glpD//nrfE//yiaM//fhuD//cyoD//lysO//sbcD//
NikR-Cd2+	napC//osmC//feoA//znuA//glpT//paaZ//
NikR-Co2+	aroF//fucO//mdtA//argB//nuoJ//mepH//
NikR-Cu2+	dmsC//flhC//gltU//ysgA//hyfB//fucR//
NikR-Ni2+	pstS//ung//xylR//dapD//dppC//glpF//
NikR-Zn2+	astB//nrfD//ssuA//metR//hycC//rpsR//
NrdR-ATP	frdC//yecR//gspM//nlpD//glpB//sbcC//creD//lsrC//hisQ//
NrdR-Zn2+	envZ//ileT//manY//ygiB//ebgC//glcE//pheT//citC//metA//
NrdR-dATP	tpx//marA//nrdA//glpK//bglB//mhpA//metB//glpG//uidC//
NsrR-[2Fe-2S]reduced	slt//mcaS//ydhW//rplD//norV//aceF//psd//rhaT//rpoE//hflC//lpxA//cdd//napD//ssuC//uxuA//gyrA//fecD//mgrR//grcA//epd//gatB//aroH//nrfF//tktB//gdhA//hycB//sufC//rnlA//fepC//nrfB//cysD//yiaJ//micF//creC//ssuA//ubiA//napF//srlA//rnhB//tyrR//rrsD//rpoH//hyaF//ftnA//bioA//agaV//fecA//asr//yiaJ//cysW//tyrB//treC//bioF//bacA//sucD//srlE//tyrA//nuoK//phnE_2//gnd//fimD//baeS//lsrB//rbsK//glpT//yeiL//argH//yjcH//amiB//cheB//acs//nanA//rpmI//
PhoB-Phosphorylated	dmsD//phoA//rplC//torR//pta//phoP//mntP//cyaR//lldP//yaiW//xylG//araJ//alaS//aceA//exbB//cydB//yegR//hfq//nmpC//tsx//rplD//hfq//sufB//tauB//idnO//sucB//agp//mntH//glnK//uxuR//tap//bamE//ydhT//hdeA//cysN//crp//mdtB//moaD//rseC//znuA//nikB//tnaA//sdhC//nrfE//znuB//exbD//puuP//rrsH//glnD//sucD//moeB//pgaC//aer//gspG//trpD//alaT//ileT//phnI//ilvI//ascF//dapD//
PhoP-Phosphorylated	trpL//narX//hypE//galT//phnE_2//glpD//yqjH//dnaE//glnG//gatD//ydiU//ygeA//yaeQ//yjcH//spf//fdnH//dsdX//fecD//ackA//yeiL//cynR//rpsI//gutQ//hpt//casE//phoE//cysN//yhcH//hisP//entD//glpT//abgB//hybC//fepB//tnaB//uhpA//glgS//mhpB//fadB//puuA//rrsH//nrdD//nrdD//preA//prpB//dppD//sufD//emrY//mgrB//pgaA//eda//feoC//lsrA//sucD//rnpB//evgS//xylB//
PrpR-2-methylcitrate	malY//hyaD//hybA//metC//metQ//
PurR-Guanine	glpF//nirB//yiaJ//fes//idnK//ydhV//manZ//uxuA//feaB//bcsZ//ppiD//cpxR//pheM//aroL//xapA//atoB//cheW//folE//paaD//glnG//araG//glgA//rutG//gntR//hha//fucP//gcvP//torR//tyrA//ilvN//tnaC//citC//malI//metF//
PurR-Hypoxanthine	manX//cysG//paaA//frdB//paaC//gspK//gspH//hyfA//psd//galM//gltV//betA//adhE//ahpC//tauA//lsrF//hybC//entH//ileU//trpE//gspD//tsgA//feaB//lpd//narX//tdcB//xylR//srlR//bioA//cusR//ppiD//rrfA//fumB//osmY//
QseB-Phosphorylated	rprA//rrfG//ulaD//rplS//
RhaR-L-rhamnose	prpD//galS//
RhaS-L-rhamnose	glcE//trpD//fnr//hypD//cspD//ygiB//
RstA-Phosphorylated	malE//sgbH//upp//prpR//ftnB//hybG//dcuS//nanT//dcuC//uidA//
SoxR-[2Fe-2S]3+ oxydized	cusF//yeaD//hisJ//tfaQ//
TorR-Phosphorylated	polA//cadB//purD//speA//ispE//purL//cueO//arcA//lsrD//paaI//
TrpR-Tryptophan	trpD//ppdD//yrbL//eda//cusS//uxuR//zntA//ilvX//agp//hofN//cysB//ynfK//
TyrR-L-tryptophan	bcsZ//tfaQ//rrlD//rhaB//alaV//puuR//yoaG//narI//lacY//frdC//atoD//hycF//gspE//mhpB//
TyrR-Phenylalanine	atoE//yfbR//csgG//nrdG//prpC//fhuE//rpsC//ugpB//modA//fepD//nrfG//mdtA//puuP//oppA//
TyrR-Tyrosine	hycE//yeaE//motA//tdcA//mglA//chbR//cpdB//fucR//skp//pnp//adiC//lacA//glnA//fimC//
UhpA-Phosphorylated	mutL//
XapR-xanthosine	alkA//nagE//
XylR-Xylose	mhpR//efeU_2//fdnG//emrK//cyaA//ydbD//
ZntR-Cd2+	appX//
ZntR-Hg	cra//
ZntR-Zn2+	hdeD//
ZraR-Phosphorylated	paaK//livJ//prpC//
Zur-Zn2+	feaB//uidC//melB//arcZ//feaR//tomB//
