# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	caiD//edd//
ArcA_CRP_IHF	zwf//
ArcA_CRP_PuuR	recF//xylB//glcD//napH//
ArcA_CRP_RhaS	gltA//
ArcA_CRP_TreR	lpd//fucK//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	guaB//ilvD//
ArcA_Cra	guaB//
ArcA_Cra_FNR_H-NS_HypT	ppiA//
ArcA_CysB_FNR	
ArcA_FNR	ynfF//murD//pnp//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	yqjH//
ArcA_FNR_Fis_IHF_NarL	fadA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	fadI//fumA//
ArcA_FNR_IHF_NarL	uxuA//ulaG//
ArcA_FNR_NarL	ugpQ//gadB//murF//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	carA//nrfC//
ArcA_FadR	lhgO//carA//mraY//
ArcA_FadR_Fis	glcF//aroG//
ArcA_Fur_Lrp_ModE	rbsD//malP//
ArcA_GlcC_IHF_PdhR	glcB//pyrD//rutC//
ArcA_LexA	sucA//
ArcA_LldR	nrfD//uvrA//
ArcA_NarL	dgcZ//
ArcA_NtrC_PhoP_RutR	astD//hemA//patA//nrfC//srlD//fadJ//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	poxB//
ArgP_CRP_FNR_Fur_Nac	ynfE//
ArgP_DnaA	rbsD//
ArgP_Lrp	gloA//glpA//
ArgP_LysR	hypF//
ArgP_PhoB	
ArgR_CRP	nrfB//
ArgR_CRP_Fis	waaY//nagA//glpA//
ArgR_Fis_IHF_PepA_PurR_RutR	malS//
ArgR_H-NS_NtrC	rutB//caiA//
ArgR_NtrC	fucK//napA//lacA//ilvD//pdeL//
ArgR_PhoP	galE//
AscG_CRP	garK//sgbU//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	fucI//
AtoC_IHF	uxaB//sodB//fucA//
BaeR_CpxR	gadB//
BaeR_CpxR_EvgA	rutD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	gltD//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	adiA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	paaZ//entC//gltB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	cysH//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	torC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	metB//hemL//prpB//poxB//murC//nrfD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	sucD//guaB//pflB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	sufS//fabZ//glcB//
CRP_Cra_Mlc_NagC	nrdB//gnd//accC//ugpQ//
CRP_Cra_PrpR	rbsK//puuC//deoD//glgP//
CRP_CreB_Fis_MalT	entD//
CRP_CsiR_H-NS_Lrp	malY//
CRP_CsiR_H-NS_Lrp_Nac	aldB//nrdF//rimK//
CRP_CspA_Fis	metB//
CRP_CytR	nirD//
CRP_CytR_DeoR	cysH//lpxC//
CRP_CytR_DeoR_Fis_ModE	sucB//ubiC//fabA//mhpD//
CRP_CytR_Nac	atoA//
CRP_CytR_NsrR	pgaC//
CRP_DcuR_FNR_NarL	pck//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	serC//gntK//
CRP_DpiA_ExuR	galM//
CRP_DsdC	kbaZ//zwf//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	murG//
CRP_ExuR	hycB//
CRP_ExuR_FNR	sgbE//ssuE//
CRP_ExuR_OxyR_UxuR	zwf//ilvH//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	fadB//
CRP_FNR_Fis	glcE//fadI//
CRP_FNR_Fis_GlpR_IHF	glnA//relA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	guaB//puuC//ynfG//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	metH//torA//fadI//ddlB//hyaC//
CRP_FNR_NarL	hyaA//aldA//
CRP_FeaR_NsrR	kbaZ//
CRP_Fis	murC//puuE//purD//
CRP_Fis_FlhDC_GalR_GalS	glcF//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	fadJ//rutC//
CRP_Fis_IHF	recF//uxaB//napH//
CRP_Fis_NanR	xylA//gatZ//ilvD//tdcE//
CRP_Fis_NtrC	hcp//
CRP_Fis_XylR	entD//
CRP_FlhDC_GalR_GalS	tdcG//
CRP_FucR	nrdE//atoB//yqjH//purD//guaB//guaA//
CRP_Fur	mtlD//patA//araD//malY//dusB//nfsA//ulaF//ackA//glpD//srlD//
CRP_Fur_HypT_PdhR	dmsC//relA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	folA//idnD//fucU//gntK//
CRP_GalR_GalS_NagC	tdcB//
CRP_GlpR	hycC//puuE//waaH//
CRP_GntR	ilvA//
CRP_GntR_IdnR	gatY//cysH//pyrD//paaK//lsrF//murF//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	tdcG//ilvD//ilvA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	melA//
CRP_H-NS_LacI	pdeR//fadE//deoC//
CRP_H-NS_LeuO	garL//
CRP_H-NS_MqsA	
CRP_IHF	gcvH//uxuA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	dgcZ//
CRP_IHF_PaaX	glgA//gatZ//caiD//fucU//purN//gltA//citD//fbaA//
CRP_IHF_UlaR	kbaZ//glcF//ulaE//bglB//
CRP_IHF_YiaJ	dmsA//pncB//moeB//fabB//ubiA//uxaC//
CRP_LexA	
CRP_Lrp	nrdB//hemA//lhgO//metK//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	adhE//
CRP_LsrR	lysA//dmsA//caiD//fucK//gloA//
CRP_MalI	paaJ//codA//
CRP_MalT	garL//hycF//
CRP_MalT_PhoP	metL//
CRP_MelR	glgC//aldB//
CRP_MetJ	lacZ//
CRP_MhpR	zwf//napB//paaK//gadA//katG//katE//
CRP_Mlc	
CRP_ModE	sufS//
CRP_MurR	nfsA//citX//paaF//
CRP_Nac_NsrR_PhoB	
CRP_NadR	argD//
CRP_NagC	fucI//aldA//citE//rutE//nrfA//
CRP_NagC_NanR	ssuD//fucA//
CRP_NagC_PhoP	serC//
CRP_OxyR	
CRP_OxyR_UxuR	fabA//
CRP_PhoB	lpd//atoB//
CRP_PhoP	mdh//glcB//fucA//
CRP_PutA	hmp//
CRP_RbsR	feaB//astA//hypF//
CRP_RhaR_RhaS	
CRP_RhaS	puuB//edd//araD//
CRP_Rob	rhaD//
CRP_TorR	sdhD//astC//
CRP_UhpA_UvrY	hyaA//
CRP_UidR_UxuR	rhaA//carA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	ppiA//fucI//
Cbl_CysB_FNR_IHF	prmC//napA//tam//
CdaR_FNR_Fis_Fur_H-NS	dsdA//nrdF//
CdaR_FNR_Fur_H-NS	metL//aroL//ahpC//prpC//
CpxR_CsgD_FliZ	
CpxR_CysB	citE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	atoA//
CpxR_GadE	purA//uvrA//ldtB//
CpxR_H-NS	mhpA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	entE//
Cra_FNR_Fis_Lrp_NarL	galT//
Cra_FNR_Fur_MarA_Rob_SoxS	serC//
Cra_FhlA_FlhDC	ftnA//
Cra_GntR_KdgR	lacA//
Cra_GntR_KdgR_PhoB	lpxD//
Cra_MarA_SoxS	fadH//
Cra_PdeL	puuD//
Cra_SgrR	ulaD//
Cra_TyrR	araA//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	katE//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	hemA//araD//
CusR_PhoB_YedW	nrdE//
CysB_H-NS	caiD//pnp//metK//
CysB_HypT_IHF	ulaE//
CysB_IHF	nanM//garK//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	galK//
DinJ-YafQ_LexA	glpQ//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	gadA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	tnaA//
FNR_FhlA_NarL_NarP	lpxA//pgaB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	ackA//
FNR_Fis_IHF_ModE_NarL	garR//
FNR_Fis_IHF_NarL	betB//
FNR_Fis_IHF_NarL_RstA	ubiA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	hmp//
FNR_FlhDC_ModE_NarL_NarP	ynfF//
FNR_Fur	purA//entC//
FNR_Fur_GadE	tdcE//
FNR_Fur_GadX_NtrC	gutQ//
FNR_Fur_H-NS	mnmG//ilvG_2//galM//
FNR_Fur_MetR_NsrR	nrdE//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	paaE//
FNR_Fur_OxyR	ansB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	lacZ//
FNR_H-NS_NrdR	hypB//hpt//
FNR_IHF	prmC//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	astB//
FNR_IHF_PhoB	
FNR_MalT	zwf//murC//
FNR_ModE	
FNR_NarL	ackA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	nrfB//acs//
FNR_NarL_NikR	rutB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	nrdD//fumA//
FNR_YqjI	
FabR_FadR	mhpF//moaA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	paaI//ulaF//
FhlA_IHF_NsrR	
Fis_Fur	fabA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	hyaA//
Fis_IHF	
Fis_IHF_NtrC	citX//epd//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	waaH//
Fis_NarL	ansB//
Fis_NarL_NarP_NsrR	
Fis_PurR	ulaD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	fucA//
Fur_H-NS	mazG//purD//
Fur_IHF_IscR_NsrR_OxyR	hyaB//
Fur_IscR_NrdR	codA//
Fur_MetR	aspC//
Fur_MntR	hypB//
Fur_MntR_OxyR	umpH//
Fur_OxyR	
Fur_PurR	ssuD//
Fur_RcnR	purM//
Fur_RutR	ppiA//
Fur_SoxS_Zur	
Fur_YqjI	codA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	ilvD//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	ndh//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	hemL//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	hypB//
H-NS_Lrp_NhaR_RcsB	murQ//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	nagB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	citF//
HU_IHF_TyrR	sucC//
HigA_HigB-HigA	hypF//
HipAB_HipB_IHF	deoC//
HypT_MetJ	aldB//
HypT_MetJ_PhoP	fucO//puuB//
IHF_Lrp	ilvM//entH//ulaF//rutD//metH//
IHF_NsrR	
IHF_NtrC	glpB//
IHF_PhoP	
IHF_PspF	pyrC//
IHF_RcsAB	
IHF_RtcR	ynfE//lpd//
IHF_TyrR	galM//
IHF_UlaR	glgC//
LexA_MraZ_PdhR	hemL//ppiA//nrdB//relA//dusB//lsrF//paaA//pgaB//sgbE//tdcG//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	entB//hypF//
MarA_PhoP_Rob_SoxS	paaI//paaH//citX//recF//frdD//chbG//citF//gatZ//glpQ//
MarA_Rob_SoxS	malY//relA//
MarA_SoxS	gnd//srlD//carA//
MetJ_MetR	cysM//
MetJ_OxyR	patA//
MetR_PurR	galK//
MraZ_PdhR	caiD//
Nac_PurR	poxB//paaH//
NarL_TorR	metK//
NemR_RutR	entF//lldD//
NhaR_OmpR	tam//sgbE//ilvG_2//
NorR_NsrR	
NsrR_PhoB	ynfE//
OxyR_SoxS	
PdhR_PhoP	entF//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	fucK//truB//
RelB_RelB-RelE	ssuD//
TrpR_TyrR	relA//
YefM_YefM-YoeB	fadH//
