# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	galK//prpE//
ArcA_CRP_IHF	fadA//
ArcA_CRP_PuuR	sgbH//lyxK//ilvI//hypF//
ArcA_CRP_RhaS	fadD//
ArcA_CRP_TreR	rutE//paaF//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	nagB//ldtB//
ArcA_Cra	malS//
ArcA_Cra_FNR_H-NS_HypT	galM//
ArcA_CysB_FNR	
ArcA_FNR	xylA//nfsB//aceF//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	acnA//
ArcA_FNR_Fis_IHF_NarL	atoA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	glpB//frdB//
ArcA_FNR_IHF_NarL	adiA//caiD//
ArcA_FNR_NarL	aceB//udp//gdhA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	narG//nfsA//
ArcA_FadR	dadA//bglB//guaB//
ArcA_FadR_Fis	uxaC//sdhA//
ArcA_Fur_Lrp_ModE	puuC//gabT//
ArcA_GlcC_IHF_PdhR	rutC//citX//deoB//
ArcA_LexA	bglB//
ArcA_LldR	putA//accC//
ArcA_NarL	lhgO//
ArcA_NtrC_PhoP_RutR	paaE//uxuB//idnO//cadA//ahpF//gltD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	malS//
ArgP_CRP_FNR_Fur_Nac	araB//
ArgP_DnaA	citC//
ArgP_Lrp	fucA//aspA//
ArgP_LysR	torC//
ArgP_PhoB	
ArgR_CRP	cdd//
ArgR_CRP_Fis	frdB//rimK//fadB//
ArgR_Fis_IHF_PepA_PurR_RutR	metE//
ArgR_H-NS_NtrC	sucA//entB//
ArgR_NtrC	fucK//nanE//cysJ//metH//gabD//
ArgR_PhoP	nrfC//
AscG_CRP	napB//deoD//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	purM//
AtoC_IHF	puuE//ackA//torA//
BaeR_CpxR	uidA//
BaeR_CpxR_EvgA	nanA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	napA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	pdeL//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	uvrA//nrfB//tam//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	cysJ//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	codA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	hemL//prpC//cysJ//gadB//fadA//nemA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	zwf//citX//fau//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	paaB//ulaD//purH//
CRP_Cra_Mlc_NagC	paaF//galM//napB//gloA//
CRP_Cra_PrpR	nanK//lpxD//nanK//nemA//
CRP_CreB_Fis_MalT	gntK//
CRP_CsiR_H-NS_Lrp	nanA//
CRP_CsiR_H-NS_Lrp_Nac	uxaB//ubiC//galM//
CRP_CspA_Fis	torC//
CRP_CytR	aldA//
CRP_CytR_DeoR	sgbE//pyrC//
CRP_CytR_DeoR_Fis_ModE	xylB//uxaC//katG//entC//
CRP_CytR_Nac	glpB//
CRP_CytR_NsrR	ascB//
CRP_DcuR_FNR_NarL	paaH//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	hycD//galK//
CRP_DpiA_ExuR	nrdE//
CRP_DsdC	yiaK//ulaD//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	lpxA//
CRP_ExuR	rutD//
CRP_ExuR_FNR	ilvM//icd//
CRP_ExuR_OxyR_UxuR	gnd//fabA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	glpA//
CRP_FNR_Fis	fadA//sgbH//
CRP_FNR_Fis_GlpR_IHF	ilvH//aroG//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	lpxA//purD//prpE//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	moeA//nagB//gltD//astE//ubiA//
CRP_FNR_NarL	paaH//argD//
CRP_FeaR_NsrR	ndh//
CRP_Fis	malP//hyaC//astE//
CRP_Fis_FlhDC_GalR_GalS	gabD//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	fdhF//moaE//
CRP_Fis_IHF	nrdA//umpH//argG//
CRP_Fis_NanR	cyoE//carA//fadE//prpE//
CRP_Fis_NtrC	ulaE//
CRP_Fis_XylR	napA//
CRP_FlhDC_GalR_GalS	uvrA//
CRP_FucR	rutE//deoD//ynfF//glcB//gltA//pgaB//
CRP_Fur	mhpA//bglB//nanA//puuA//poxB//folA//appA//fucI//hypF//puuC//
CRP_Fur_HypT_PdhR	ulaF//nrfB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	truB//aceA//ilvM//ddlB//
CRP_GalR_GalS_NagC	fucA//
CRP_GlpR	fadB//hycC//accC//
CRP_GntR	deoC//
CRP_GntR_IdnR	garL//narH//xylB//ilvM//icd//argG//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	deoD//hypB//murE//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	lsrF//
CRP_H-NS_LacI	astB//mhpF//adhE//
CRP_H-NS_LeuO	bglB//
CRP_H-NS_MqsA	
CRP_IHF	malS//glpX//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	glgA//
CRP_IHF_PaaX	acnA//prpD//waaH//prmC//fucO//eda//sodB//purH//
CRP_IHF_UlaR	metL//nrfC//nfsB//cadA//
CRP_IHF_YiaJ	cysG//sgbU//ascB//glpD//gadB//hmp//
CRP_LexA	
CRP_Lrp	frdC//deoA//pgaB//nanA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	atoA//
CRP_LsrR	patA//galK//rutB//ulaD//lsrG//
CRP_MalI	ddlB//glpQ//
CRP_MalT	sucB//gcvT//
CRP_MalT_PhoP	glcB//
CRP_MelR	fucK//deoA//
CRP_MetJ	paaA//
CRP_MhpR	tam//ubiC//glpX//mhpA//fucO//nfsA//
CRP_Mlc	
CRP_ModE	glcB//
CRP_MurR	zwf//uxaB//gltD//
CRP_Nac_NsrR_PhoB	
CRP_NadR	patA//
CRP_NagC	gcvP//garL//ilvA//ssuD//hemL//
CRP_NagC_NanR	gutQ//tdcE//
CRP_NagC_PhoP	gnd//
CRP_OxyR	
CRP_OxyR_UxuR	fucK//
CRP_PhoB	rutB//fdhF//
CRP_PhoP	serA//galK//cysM//
CRP_PutA	hemA//
CRP_RbsR	glgP//mraY//sgbU//
CRP_RhaR_RhaS	
CRP_RhaS	ndh//nanK//fabA//
CRP_Rob	hyaB//
CRP_TorR	caiD//dusB//
CRP_UhpA_UvrY	garR//
CRP_UidR_UxuR	murE//uvrA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	yiaK//mhpF//
Cbl_CysB_FNR_IHF	murC//lacZ//moeB//
CdaR_FNR_Fis_Fur_H-NS	edd//aroL//
CdaR_FNR_Fur_H-NS	fucK//icd//dmsB//deoD//
CpxR_CsgD_FliZ	
CpxR_CysB	cyoE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	fumB//
CpxR_GadE	ackA//paaZ//glgP//
CpxR_H-NS	glgP//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	carB//
Cra_FNR_Fis_Lrp_NarL	pnp//
Cra_FNR_Fur_MarA_Rob_SoxS	carB//
Cra_FhlA_FlhDC	hycE//
Cra_GntR_KdgR	mhpE//
Cra_GntR_KdgR_PhoB	aspC//
Cra_MarA_SoxS	hycD//
Cra_PdeL	ilvH//
Cra_SgrR	caiD//
Cra_TyrR	lacZ//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nrfA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	cysM//tauD//
CusR_PhoB_YedW	ilvD//
CysB_H-NS	ubiA//fadA//metE//
CysB_HypT_IHF	uxuA//
CysB_IHF	deoD//paaH//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	gatZ//
DinJ-YafQ_LexA	cysH//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	frdA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	hypB//
FNR_FhlA_NarL_NarP	deoC//fucI//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	paaE//
FNR_Fis_IHF_ModE_NarL	ilvI//
FNR_Fis_IHF_NarL	aldB//
FNR_Fis_IHF_NarL_RstA	prpC//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	fabB//
FNR_FlhDC_ModE_NarL_NarP	sgbE//
FNR_Fur	fumC//mpl//
FNR_Fur_GadE	serA//
FNR_Fur_GadX_NtrC	metH//
FNR_Fur_H-NS	nirB//paaA//fumB//
FNR_Fur_MetR_NsrR	glcE//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	rbsK//
FNR_Fur_OxyR	yiaK//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	nirD//
FNR_H-NS_NrdR	ilvH//pspE//
FNR_IHF	pyrC//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	nrfC//
FNR_IHF_PhoB	
FNR_MalT	moeA//udp//
FNR_ModE	
FNR_NarL	garK//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	frdD//ilvI//
FNR_NarL_NikR	zwf//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	lsrF//nirB//
FNR_YqjI	
FabR_FadR	astC//purM//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	hycC//lysA//
FhlA_IHF_NsrR	
Fis_Fur	uidA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	entF//
Fis_IHF	
Fis_IHF_NtrC	frdC//paaF//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	ugpQ//
Fis_NarL	nanM//
Fis_NarL_NarP_NsrR	
Fis_PurR	aroA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	paaZ//
Fur_H-NS	gadA//dmsA//
Fur_IHF_IscR_NsrR_OxyR	gcvH//
Fur_IscR_NrdR	ilvG_1//
Fur_MetR	truB//
Fur_MntR	glcE//
Fur_MntR_OxyR	fumC//
Fur_OxyR	
Fur_PurR	prpC//
Fur_RcnR	hyaB//
Fur_RutR	gntK//
Fur_SoxS_Zur	
Fur_YqjI	ppiA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	carA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	lpd//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	lhgO//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	atoA//
H-NS_Lrp_NhaR_RcsB	fabZ//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	puuA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	sucA//
HU_IHF_TyrR	lacA//
HigA_HigB-HigA	ssuD//
HipAB_HipB_IHF	lsrF//
HypT_MetJ	entF//
HypT_MetJ_PhoP	ilvH//pncB//
IHF_Lrp	ulaD//sgbH//ilvA//fau//nirB//
IHF_NsrR	
IHF_NtrC	nrfB//
IHF_PhoP	
IHF_PspF	feaB//
IHF_RcsAB	
IHF_RtcR	rhaD//citX//
IHF_TyrR	lacZ//
IHF_UlaR	paaA//
LexA_MraZ_PdhR	mnmG//murE//serA//aspC//paaI//entB//glpX//rhaD//aspA//uxuA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	hcp//metL//
MarA_PhoP_Rob_SoxS	recF//entA//rbsD//appA//tdcB//prpD//mtlD//dadX//nanE//
MarA_Rob_SoxS	murC//paaK//
MarA_SoxS	poxB//fucO//nrfB//
MetJ_MetR	puuE//
MetJ_OxyR	ddlB//
MetR_PurR	citE//
MraZ_PdhR	idnK//
Nac_PurR	astA//betA//
NarL_TorR	relA//
NemR_RutR	napG//nanE//
NhaR_OmpR	hypF//rnpB//ackA//
NorR_NsrR	
NsrR_PhoB	cadA//
OxyR_SoxS	
PdhR_PhoP	ndh//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	nfsB//gcvP//
RelB_RelB-RelE	fadB//
TrpR_TyrR	nrfD//
YefM_YefM-YoeB	napA//
