# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	paaG//nrfA//
ArcA_CRP_IHF	gcvP//
ArcA_CRP_PuuR	frdA//metH//bglB//gdhA//
ArcA_CRP_RhaS	rsmH//
ArcA_CRP_TreR	tdcB//hycB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ilvA//sodB//
ArcA_Cra	deoA//
ArcA_Cra_FNR_H-NS_HypT	moaA//
ArcA_CysB_FNR	
ArcA_FNR	melA//nanK//hmp//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	cysM//
ArcA_FNR_Fis_IHF_NarL	metL//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	rnpB//torA//
ArcA_FNR_IHF_NarL	hemL//acs//
ArcA_FNR_NarL	edd//ulaE//glpK//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	murG//hycC//
ArcA_FadR	cysJ//moaD//purD//
ArcA_FadR_Fis	glpQ//aldB//
ArcA_Fur_Lrp_ModE	entB//mnmG//
ArcA_GlcC_IHF_PdhR	uidA//sucC//tdcD//
ArcA_LexA	tdcB//
ArcA_LldR	gutQ//lsrK//
ArcA_NarL	gltD//
ArcA_NtrC_PhoP_RutR	yiaK//entH//dmsC//frdA//fumB//ppiA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	ftnA//
ArgP_CRP_FNR_Fur_Nac	sdhA//
ArgP_DnaA	mraY//
ArgP_Lrp	metE//fumA//
ArgP_LysR	mnmG//
ArgP_PhoB	
ArgR_CRP	sucD//
ArgR_CRP_Fis	fucO//citE//napH//
ArgR_Fis_IHF_PepA_PurR_RutR	serA//
ArgR_H-NS_NtrC	accC//hypF//
ArgR_NtrC	ilvG_1//lpxA//hemL//murE//dusB//
ArgR_PhoP	tdcG//
AscG_CRP	fbaA//gloA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	sodA//
AtoC_IHF	moeB//yiaK//rsmH//
BaeR_CpxR	serC//
BaeR_CpxR_EvgA	deoB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	rbsK//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	moeB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	glpQ//deoC//ilvH//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	uidA//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	aroA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	entA//aceE//dmsC//rutC//mtlD//fadD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	fucA//puuB//napH//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	ynfG//sdhC//ahpC//
CRP_Cra_Mlc_NagC	atoD//metE//cysH//rutC//
CRP_Cra_PrpR	mhpB//chbG//mnmG//purH//
CRP_CreB_Fis_MalT	lldD//
CRP_CsiR_H-NS_Lrp	ahpF//
CRP_CsiR_H-NS_Lrp_Nac	narG//argG//mpl//
CRP_CspA_Fis	nrfB//
CRP_CytR	hycD//
CRP_CytR_DeoR	fumA//dusB//
CRP_CytR_DeoR_Fis_ModE	paaG//rnpB//hyaC//adhE//
CRP_CytR_Nac	frdA//
CRP_CytR_NsrR	ilvG_1//
CRP_DcuR_FNR_NarL	tam//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	napA//narG//
CRP_DpiA_ExuR	pdeL//
CRP_DsdC	rutE//ilvI//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	nrdE//
CRP_ExuR	guaB//
CRP_ExuR_FNR	caiC//malP//
CRP_ExuR_OxyR_UxuR	cysM//glyA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	sgbU//
CRP_FNR_Fis	narG//guaA//
CRP_FNR_Fis_GlpR_IHF	lpd//carB//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	ilvE//ubiC//gltD//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	moaA//fadH//glpA//paaH//sdhD//
CRP_FNR_NarL	lpd//lsrG//
CRP_FeaR_NsrR	garR//
CRP_Fis	ogt//purN//serC//
CRP_Fis_FlhDC_GalR_GalS	dadA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	moaD//lpxA//
CRP_Fis_IHF	fabA//atoB//hcp//
CRP_Fis_NanR	aroG//murG//paaK//fabB//
CRP_Fis_NtrC	ascB//
CRP_Fis_XylR	pgk//
CRP_FlhDC_GalR_GalS	rbsD//
CRP_FucR	hemA//rutD//paaJ//kbaZ//paaC//nirB//
CRP_Fur	nrdE//prpB//hypB//glgA//hycE//tauD//caiB//astA//cdd//frdD//
CRP_Fur_HypT_PdhR	uxuA//zwf//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	aroA//pdeR//acs//serA//
CRP_GalR_GalS_NagC	gnd//
CRP_GlpR	ynfH//rhaB//ilvE//
CRP_GntR	ilvM//
CRP_GntR_IdnR	pck//prpD//murD//melA//feaB//bglB//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	glgA//ilvG_1//sdhB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	puuC//
CRP_H-NS_LacI	sucD//gntK//paaB//
CRP_H-NS_LeuO	murC//
CRP_H-NS_MqsA	
CRP_IHF	aceA//ubiA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	paaI//
CRP_IHF_PaaX	fucK//betA//lsrG//relA//ynfG//nanE//cyoE//rutC//
CRP_IHF_UlaR	cysM//murF//ilvI//rsmH//
CRP_IHF_YiaJ	deoA//glpB//gltA//sgbU//nanM//frdA//
CRP_LexA	
CRP_Lrp	prpC//rhaB//astD//icd//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	citE//
CRP_LsrR	metB//purM//nrdF//edd//fadE//
CRP_MalI	cysH//narG//
CRP_MalT	gabD//aldB//
CRP_MalT_PhoP	torC//
CRP_MelR	serA//galT//
CRP_MetJ	gltB//
CRP_MhpR	hypB//pnp//entE//fadD//galK//moaE//
CRP_Mlc	
CRP_ModE	ilvG_2//
CRP_MurR	caiA//fucU//truB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	glgC//
CRP_NagC	glpD//uidA//murG//galE//rutD//
CRP_NagC_NanR	ilvH//ssuD//
CRP_NagC_PhoP	caiC//
CRP_OxyR	
CRP_OxyR_UxuR	fadB//
CRP_PhoB	fucA//pspE//
CRP_PhoP	rhaD//caiA//uvrA//
CRP_PutA	paaC//
CRP_RbsR	dmsB//rutC//adiA//
CRP_RhaR_RhaS	
CRP_RhaS	paaA//lpxD//gatZ//
CRP_Rob	araD//
CRP_TorR	puuC//nanK//
CRP_UhpA_UvrY	malP//
CRP_UidR_UxuR	paaC//mhpC//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	pncB//dmsC//
Cbl_CysB_FNR_IHF	fumA//sufS//cysJ//
CdaR_FNR_Fis_Fur_H-NS	ynfF//rhaD//
CdaR_FNR_Fur_H-NS	cysM//moeA//carB//glpQ//
CpxR_CsgD_FliZ	
CpxR_CysB	rutE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	aceB//
CpxR_GadE	fumA//astE//hycE//
CpxR_H-NS	nemA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	astC//
Cra_FNR_Fis_Lrp_NarL	hpt//
Cra_FNR_Fur_MarA_Rob_SoxS	gloA//
Cra_FhlA_FlhDC	codA//
Cra_GntR_KdgR	yiaK//
Cra_GntR_KdgR_PhoB	gltA//
Cra_MarA_SoxS	nanK//
Cra_PdeL	hycF//
Cra_SgrR	kbaZ//
Cra_TyrR	ahpC//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	xylA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	fumC//ulaD//
CusR_PhoB_YedW	ubiC//
CysB_H-NS	cyoE//dsdA//entD//
CysB_HypT_IHF	ftsI//
CysB_IHF	entD//gloA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	chbF//
DinJ-YafQ_LexA	entH//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	fumA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	mhpE//
FNR_FhlA_NarL_NarP	gatY//puuD//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	poxB//
FNR_Fis_IHF_ModE_NarL	nirD//
FNR_Fis_IHF_NarL	ynfG//
FNR_Fis_IHF_NarL_RstA	mnmG//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	citF//
FNR_FlhDC_ModE_NarL_NarP	lsrK//
FNR_Fur	nagB//xylA//
FNR_Fur_GadE	galM//
FNR_Fur_GadX_NtrC	fucK//
FNR_Fur_H-NS	folA//mhpA//astE//
FNR_Fur_MetR_NsrR	murC//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	gapA//
FNR_Fur_OxyR	ynfG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	ilvI//
FNR_H-NS_NrdR	ascB//ynfE//
FNR_IHF	aceE//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	glpX//
FNR_IHF_PhoB	
FNR_MalT	caiB//nagB//
FNR_ModE	
FNR_NarL	paaH//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	purD//sgbH//
FNR_NarL_NikR	ilvM//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	fumC//dadX//
FNR_YqjI	
FabR_FadR	gloA//atoA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	glpB//caiA//
FhlA_IHF_NsrR	
Fis_Fur	moeB//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	frdA//
Fis_IHF	
Fis_IHF_NtrC	cysM//pck//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	aceF//
Fis_NarL	tnaA//
Fis_NarL_NarP_NsrR	
Fis_PurR	uxuB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	prpE//
Fur_H-NS	gltB//lsrF//
Fur_IHF_IscR_NsrR_OxyR	ddlB//
Fur_IscR_NrdR	glpA//
Fur_MetR	nanE//
Fur_MntR	lyxK//
Fur_MntR_OxyR	pyrC//
Fur_OxyR	
Fur_PurR	fadE//
Fur_RcnR	entB//
Fur_RutR	galE//
Fur_SoxS_Zur	
Fur_YqjI	rutD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	dmsC//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	nemA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	pgaD//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	napC//
H-NS_Lrp_NhaR_RcsB	murQ//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	glpK//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	eda//
HU_IHF_TyrR	cyoE//
HigA_HigB-HigA	bglB//
HipAB_HipB_IHF	codA//
HypT_MetJ	fdhF//
HypT_MetJ_PhoP	moaA//ilvI//
IHF_Lrp	hyaC//gatY//tdcD//fumC//metB//
IHF_NsrR	
IHF_NtrC	murG//
IHF_PhoP	
IHF_PspF	fadJ//
IHF_RcsAB	
IHF_RtcR	gatZ//ppiA//
IHF_TyrR	nagA//
IHF_UlaR	relA//
LexA_MraZ_PdhR	epd//araA//sucD//paaJ//napH//citX//srlD//ssuE//treC//acnA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	dmsB//rutD//
MarA_PhoP_Rob_SoxS	nrfD//ilvA//cadA//pgaD//aceF//recF//tam//glyA//moaD//
MarA_Rob_SoxS	narI//araD//
MarA_SoxS	dmsA//citF//mazG//
MetJ_MetR	lpxD//
MetJ_OxyR	rhaA//
MetR_PurR	sucA//
MraZ_PdhR	caiA//
Nac_PurR	fucO//napB//
NarL_TorR	caiD//
NemR_RutR	betA//appA//
NhaR_OmpR	mraY//nrdE//ssuD//
NorR_NsrR	
NsrR_PhoB	dusB//
OxyR_SoxS	
PdhR_PhoP	mhpA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	tauD//adhE//
RelB_RelB-RelE	yiaK//
TrpR_TyrR	murC//
YefM_YefM-YoeB	hyaB//
