# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	gcd//entD//
ArcA_CRP_GlpR	rbsK//
ArcA_CRP_IHF	atoD//
ArcA_CRP_PuuR	ubiA//hcp//glyA//caiD//
ArcA_CRP_RhaS	rimK//
ArcA_CRP_TreR	nrdD//tam//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ynfF//rutA//
ArcA_Cra	malY//
ArcA_Cra_FNR_H-NS_HypT	udp//
ArcA_CysB_FNR	
ArcA_FNR	paaK//idnK//deoA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	purD//
ArcA_FNR_Fis_IHF_NarL	ynfF//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	mnmG//sodB//
ArcA_FNR_IHF_NarL	paaB//fabB//
ArcA_FNR_NarL	astD//deoD//garK//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	pgaD//sucD//
ArcA_FadR	aspC//citE//aceE//
ArcA_FadR_Fis	entB//dusB//
ArcA_Fur_Lrp_ModE	fadA//astA//
ArcA_GlcC_IHF_PdhR	hyaB//prpC//glpB//
ArcA_LexA	lpxA//
ArcA_LldR	ackA//atoD//
ArcA_NarL	murE//
ArcA_NtrC_PhoP_RutR	lpd//dadX//sdhA//rbsD//tdcE//tnaA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	galM//
ArgP_CRP_FNR_Fur_Nac	ilvG_2//
ArgP_DnaA	nrdA//
ArgP_Lrp	gcvH//nanE//
ArgP_LysR	garL//
ArgP_PhoB	
ArgR_CRP	astA//
ArgR_CRP_Fis	deoB//sdhC//puuD//
ArgR_Fis_IHF_PepA_PurR_RutR	nrdA//
ArgR_H-NS_NtrC	rhaB//dmsC//
ArgR_NtrC	ftsI//adiA//prpC//rbsD//hyaC//
ArgR_PhoP	deoD//
AscG_CRP	murE//aroL//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	hycD//
AtoC_IHF	sodB//ynfE//ilvI//
BaeR_CpxR	prpD//
BaeR_CpxR_EvgA	gcvP//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	moaD//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	idnK//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	lsrK//fadJ//glpA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	lhgO//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	puuD//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	metK//hemL//nanM//lpd//nrdE//nanA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	puuA//fadB//atoB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	galK//glpX//mhpF//
CRP_Cra_Mlc_NagC	hycG//metE//ynfH//moeA//
CRP_Cra_PrpR	gcvT//entE//mtlD//pyrD//
CRP_CreB_Fis_MalT	hcp//
CRP_CsiR_H-NS_Lrp	moeA//
CRP_CsiR_H-NS_Lrp_Nac	mpl//puuD//glcF//
CRP_CspA_Fis	cadA//
CRP_CytR	bglB//
CRP_CytR_DeoR	appA//caiB//
CRP_CytR_DeoR_Fis_ModE	narI//gdhA//glpK//deoB//
CRP_CytR_Nac	ddlB//
CRP_CytR_NsrR	napC//
CRP_DcuR_FNR_NarL	ddlB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	fabZ//ynfG//
CRP_DpiA_ExuR	garK//
CRP_DsdC	hpt//ynfG//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	guaB//
CRP_ExuR	glgP//
CRP_ExuR_FNR	uxuA//ynfF//
CRP_ExuR_OxyR_UxuR	gltB//citF//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	malY//
CRP_FNR_Fis	aldA//hypF//
CRP_FNR_Fis_GlpR_IHF	atoB//idnO//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	ilvM//paaB//cysG//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	nrdA//fadE//hypB//garL//garR//
CRP_FNR_NarL	glcB//sdhD//
CRP_FeaR_NsrR	glpA//
CRP_Fis	metB//nagA//nrfC//
CRP_Fis_FlhDC_GalR_GalS	lyxK//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	pnp//ilvE//
CRP_Fis_IHF	fucA//pdeR//glpA//
CRP_Fis_NanR	citC//cysH//glpX//lpd//
CRP_Fis_NtrC	astB//
CRP_Fis_XylR	murQ//
CRP_FlhDC_GalR_GalS	uxuB//
CRP_FucR	eda//atoD//gutQ//hyaA//deoD//zwf//
CRP_Fur	ubiA//entH//carB//mazG//paaI//metK//carA//paaJ//tam//rutD//
CRP_Fur_HypT_PdhR	rutE//tdcG//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	puuD//dmsB//uxaA//mhpC//
CRP_GalR_GalS_NagC	lhgO//
CRP_GlpR	citD//kbaZ//paaF//
CRP_GntR	entH//
CRP_GntR_IdnR	gltB//carB//uvrA//hpt//glcE//gapA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	uvrA//galM//cdd//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	gcvH//
CRP_H-NS_LacI	citD//prpC//hycF//
CRP_H-NS_LeuO	glyA//
CRP_H-NS_MqsA	
CRP_IHF	galT//mhpF//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	lsrF//
CRP_IHF_PaaX	hyaC//ilvG_2//hycC//prmC//yiaK//pflB//ahpC//frdD//
CRP_IHF_UlaR	ynfG//galT//nrdF//murE//
CRP_IHF_YiaJ	ubiC//narH//folA//nemA//gutQ//pgaD//
CRP_LexA	
CRP_Lrp	folA//moeA//glcF//hemA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	ynfF//
CRP_LsrR	melA//gltA//ldtB//lldD//paaE//
CRP_MalI	xylA//glgC//
CRP_MalT	pflB//galM//
CRP_MalT_PhoP	yqjH//
CRP_MelR	fdhF//nfsA//
CRP_MetJ	pdeL//
CRP_MhpR	yqjH//sucA//atoD//pck//accC//citF//
CRP_Mlc	
CRP_ModE	betB//
CRP_MurR	rnpB//prpC//rsmH//
CRP_Nac_NsrR_PhoB	
CRP_NadR	deoD//
CRP_NagC	hycG//hycG//yiaK//gcd//pnp//
CRP_NagC_NanR	nrfA//serC//
CRP_NagC_PhoP	uvrA//
CRP_OxyR	
CRP_OxyR_UxuR	gcvH//
CRP_PhoB	paaZ//aroL//
CRP_PhoP	hycF//pck//edd//
CRP_PutA	icd//
CRP_RbsR	tdcG//atoA//tdcB//
CRP_RhaR_RhaS	
CRP_RhaS	frdC//astC//ynfG//
CRP_Rob	aroL//
CRP_TorR	fucK//fadE//
CRP_UhpA_UvrY	torC//
CRP_UidR_UxuR	mhpC//feaB//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	fucK//sucB//
Cbl_CysB_FNR_IHF	lacA//udp//gadB//
CdaR_FNR_Fis_Fur_H-NS	ilvI//fbaA//
CdaR_FNR_Fur_H-NS	gcvH//dadA//pdeR//tdcG//
CpxR_CsgD_FliZ	
CpxR_CysB	atoB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	gapA//
CpxR_GadE	guaB//narI//eda//
CpxR_H-NS	aldA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	frdC//
Cra_FNR_Fis_Lrp_NarL	nanA//
Cra_FNR_Fur_MarA_Rob_SoxS	gcvP//
Cra_FhlA_FlhDC	hycG//
Cra_GntR_KdgR	gapA//
Cra_GntR_KdgR_PhoB	mhpA//
Cra_MarA_SoxS	acnA//
Cra_PdeL	malS//
Cra_SgrR	entH//
Cra_TyrR	aceF//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nfsA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	ubiA//murD//
CusR_PhoB_YedW	hemL//
CysB_H-NS	ubiA//ndh//citX//
CysB_HypT_IHF	gnd//
CysB_IHF	paaH//ilvH//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	nrdB//
DinJ-YafQ_LexA	aceE//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	carA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	narH//
FNR_FhlA_NarL_NarP	ldtB//prpC//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	aldA//
FNR_Fis_IHF_ModE_NarL	sucD//
FNR_Fis_IHF_NarL	puuE//
FNR_Fis_IHF_NarL_RstA	sucB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	tdcB//
FNR_FlhDC_ModE_NarL_NarP	aspC//
FNR_Fur	glpD//paaC//
FNR_Fur_GadE	pgaC//
FNR_Fur_GadX_NtrC	hemA//
FNR_Fur_H-NS	purH//cysM//hpt//
FNR_Fur_MetR_NsrR	rnpB//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	rhaD//
FNR_Fur_OxyR	mhpA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	poxB//
FNR_H-NS_NrdR	lsrF//puuE//
FNR_IHF	paaC//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	sdhD//
FNR_IHF_PhoB	
FNR_MalT	deoC//fucU//
FNR_ModE	
FNR_NarL	mazG//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	prpD//tnaA//
FNR_NarL_NikR	katE//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	nfsA//cysG//
FNR_YqjI	
FabR_FadR	paaG//glpB//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	rutA//dadA//
FhlA_IHF_NsrR	
Fis_Fur	fumA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	malY//
Fis_IHF	
Fis_IHF_NtrC	cadA//tauD//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	rimK//
Fis_NarL	cyoE//
Fis_NarL_NarP_NsrR	
Fis_PurR	hypB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	aceB//
Fur_H-NS	serC//nrfC//
Fur_IHF_IscR_NsrR_OxyR	puuA//
Fur_IscR_NrdR	bglB//
Fur_MetR	aldA//
Fur_MntR	fbaA//
Fur_MntR_OxyR	fabA//
Fur_OxyR	
Fur_PurR	garL//
Fur_RcnR	napG//
Fur_RutR	acnA//
Fur_SoxS_Zur	
Fur_YqjI	lsrK//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	aldB//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	fumB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	prpC//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	ynfH//
H-NS_Lrp_NhaR_RcsB	glgA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	hycG//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	aspC//
HU_IHF_TyrR	citE//
HigA_HigB-HigA	rhaD//
HipAB_HipB_IHF	purA//
HypT_MetJ	fdhF//
HypT_MetJ_PhoP	sucD//araA//
IHF_Lrp	gloA//glpB//hmp//rbsD//atoA//
IHF_NsrR	
IHF_NtrC	napC//
IHF_PhoP	
IHF_PspF	fadD//
IHF_RcsAB	
IHF_RtcR	mraY//dmsC//
IHF_TyrR	astE//
IHF_UlaR	tdcB//
LexA_MraZ_PdhR	cyoE//sdhC//deoB//metK//gabD//glgC//puuD//fes//paaE//hycF//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	ppiA//nrfA//
MarA_PhoP_Rob_SoxS	garL//moeA//caiD//glgC//gabD//citE//relA//fumC//prmC//
MarA_Rob_SoxS	sufS//betA//
MarA_SoxS	glpK//glgP//frdC//
MetJ_MetR	melA//
MetJ_OxyR	pdeL//
MetR_PurR	lacZ//
MraZ_PdhR	uxaA//
Nac_PurR	rbsK//fabA//
NarL_TorR	gltA//
NemR_RutR	uidA//hycG//
NhaR_OmpR	purM//ilvM//ascB//
NorR_NsrR	
NsrR_PhoB	murG//
OxyR_SoxS	
PdhR_PhoP	caiC//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	guaA//fdhF//
RelB_RelB-RelE	paaH//
TrpR_TyrR	lysA//
YefM_YefM-YoeB	cdd//
