# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ddlB//glgA//
ArcA_CRP_IHF	rutA//
ArcA_CRP_PuuR	aroL//yqjH//metH//galT//
ArcA_CRP_RhaS	sucA//
ArcA_CRP_TreR	sufS//idnO//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	malS//glcB//
ArcA_Cra	napA//
ArcA_Cra_FNR_H-NS_HypT	putA//
ArcA_CysB_FNR	
ArcA_FNR	lhgO//deoD//hycF//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	mpl//
ArcA_FNR_Fis_IHF_NarL	uxaC//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	dmsC//narG//
ArcA_FNR_IHF_NarL	aldB//sufS//
ArcA_FNR_NarL	mdh//narI//glcD//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	astA//gntK//
ArcA_FadR	carB//murC//rimK//
ArcA_FadR_Fis	sgbH//puuA//
ArcA_Fur_Lrp_ModE	pyrC//lpd//
ArcA_GlcC_IHF_PdhR	entE//ansB//lysA//
ArcA_LexA	astD//
ArcA_LldR	sgbE//rutE//
ArcA_NarL	ilvH//
ArcA_NtrC_PhoP_RutR	ahpC//mhpB//relA//adiA//nirD//paaH//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	lpxA//
ArgP_CRP_FNR_Fur_Nac	nanM//
ArgP_DnaA	gcvH//
ArgP_Lrp	adhE//atoB//
ArgP_LysR	tdcE//
ArgP_PhoB	
ArgR_CRP	uxaA//
ArgR_CRP_Fis	ssuE//adiA//gatY//
ArgR_Fis_IHF_PepA_PurR_RutR	recF//
ArgR_H-NS_NtrC	caiA//nagA//
ArgR_NtrC	nirD//fbaA//chbF//glpX//hypB//
ArgR_PhoP	sgbE//
AscG_CRP	glpQ//paaC//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	cysG//
AtoC_IHF	glpD//argD//sgbE//
BaeR_CpxR	hpt//
BaeR_CpxR_EvgA	katG//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	entE//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	betB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	lpd//mhpA//cysG//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	kbaZ//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	deoB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	paaC//malP//nrdF//sucD//frdA//narI//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	folA//sdhD//dgcZ//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	betA//rutE//chbG//
CRP_Cra_Mlc_NagC	fadD//entB//ulaG//tauD//
CRP_Cra_PrpR	hycG//moeA//idnK//mazG//
CRP_CreB_Fis_MalT	dmsC//
CRP_CsiR_H-NS_Lrp	gntK//
CRP_CsiR_H-NS_Lrp_Nac	nanK//hpt//paaF//
CRP_CspA_Fis	mhpB//
CRP_CytR	narG//
CRP_CytR_DeoR	sdhA//fucO//
CRP_CytR_DeoR_Fis_ModE	prpC//hmp//nagB//ahpC//
CRP_CytR_Nac	lpxC//
CRP_CytR_NsrR	gabD//
CRP_DcuR_FNR_NarL	glcD//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	atoA//poxB//
CRP_DpiA_ExuR	nfsB//
CRP_DsdC	glpX//entA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	frdA//
CRP_ExuR	ubiA//
CRP_ExuR_FNR	acnA//putA//
CRP_ExuR_OxyR_UxuR	mnmG//araA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	ugpQ//
CRP_FNR_Fis	glnA//astC//
CRP_FNR_Fis_GlpR_IHF	cysH//patA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	waaH//uxuA//purM//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	glgC//eda//rutB//ubiA//gntK//
CRP_FNR_NarL	fadD//pdeR//
CRP_FeaR_NsrR	ndh//
CRP_Fis	chbF//hcp//ansB//
CRP_Fis_FlhDC_GalR_GalS	glpC//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	araA//glgP//
CRP_Fis_IHF	epd//nirB//relA//
CRP_Fis_NanR	hycE//aldA//galK//ppiA//
CRP_Fis_NtrC	aspC//
CRP_Fis_XylR	araA//
CRP_FlhDC_GalR_GalS	narI//
CRP_FucR	carB//acnB//araA//fadE//glpQ//prpB//
CRP_Fur	rsmH//lacZ//uxuA//narH//hycB//melA//glpK//fumC//moaE//guaB//
CRP_Fur_HypT_PdhR	nrfB//glcE//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	gloA//paaJ//nrfA//sdhD//
CRP_GalR_GalS_NagC	sufS//
CRP_GlpR	waaH//cyoE//murD//
CRP_GntR	recF//
CRP_GntR_IdnR	glpB//aroG//epd//gatD//garL//moaA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	garK//putA//hypF//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	lacZ//
CRP_H-NS_LacI	chbF//ackA//torC//
CRP_H-NS_LeuO	nanK//
CRP_H-NS_MqsA	
CRP_IHF	rutB//sdhC//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	folA//
CRP_IHF_PaaX	srlD//uxaB//fdhF//xylA//garL//mnmG//hycF//ldtB//
CRP_IHF_UlaR	paaJ//mdh//lacZ//rbsK//
CRP_IHF_YiaJ	yiaK//ulaE//feaB//rutB//hypF//gcvH//
CRP_LexA	
CRP_Lrp	ilvD//pgaD//hycB//feaB//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	cysI//
CRP_LsrR	nrdE//cysG//ilvI//prpE//pspE//
CRP_MalI	mdh//entE//
CRP_MalT	ulaE//fes//
CRP_MalT_PhoP	xylA//
CRP_MelR	frdD//ahpF//
CRP_MetJ	malP//
CRP_MhpR	katE//pnp//galT//prpC//ogt//cysI//
CRP_Mlc	
CRP_ModE	idnK//
CRP_MurR	tauD//moaA//fau//
CRP_Nac_NsrR_PhoB	
CRP_NadR	lsrG//
CRP_NagC	recF//guaB//malQ//fabZ//ilvI//
CRP_NagC_NanR	caiC//rutE//
CRP_NagC_PhoP	sdhC//
CRP_OxyR	
CRP_OxyR_UxuR	glcE//
CRP_PhoB	atoD//fucO//
CRP_PhoP	puuA//frdC//murE//
CRP_PutA	fau//
CRP_RbsR	pnp//malQ//sgbE//
CRP_RhaR_RhaS	
CRP_RhaS	rbsK//ulaG//uxaB//
CRP_Rob	aroG//
CRP_TorR	aroL//glpD//
CRP_UhpA_UvrY	gdhA//
CRP_UidR_UxuR	fabB//entD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	cysH//napH//
Cbl_CysB_FNR_IHF	xylB//nrfA//nanM//
CdaR_FNR_Fis_Fur_H-NS	citC//ynfG//
CdaR_FNR_Fur_H-NS	pncB//lpxA//sgbE//dmsA//
CpxR_CsgD_FliZ	
CpxR_CysB	nanK//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	entC//
CpxR_GadE	accC//fucI//rutC//
CpxR_H-NS	sucD//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	paaI//
Cra_FNR_Fis_Lrp_NarL	fumA//
Cra_FNR_Fur_MarA_Rob_SoxS	sdhB//
Cra_FhlA_FlhDC	gabD//
Cra_GntR_KdgR	hycD//
Cra_GntR_KdgR_PhoB	cysJ//
Cra_MarA_SoxS	nagA//
Cra_PdeL	mdh//
Cra_SgrR	frdD//
Cra_TyrR	ackA//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	cysH//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	puuC//puuE//
CusR_PhoB_YedW	torC//
CysB_H-NS	caiD//prmC//deoC//
CysB_HypT_IHF	frdD//
CysB_IHF	ulaF//purH//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	pgk//
DinJ-YafQ_LexA	lhgO//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	rutB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	feaB//
FNR_FhlA_NarL_NarP	narG//poxB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	prpE//
FNR_Fis_IHF_ModE_NarL	araB//
FNR_Fis_IHF_NarL	prpB//
FNR_Fis_IHF_NarL_RstA	epd//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	astA//
FNR_FlhDC_ModE_NarL_NarP	hycE//
FNR_Fur	paaF//nagB//
FNR_Fur_GadE	fabB//
FNR_Fur_GadX_NtrC	malS//
FNR_Fur_H-NS	murE//cysH//aceE//
FNR_Fur_MetR_NsrR	purN//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	zwf//
FNR_Fur_OxyR	entB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	sucC//
FNR_H-NS_NrdR	aceB//aroL//
FNR_IHF	astE//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	mhpB//
FNR_IHF_PhoB	
FNR_MalT	ackA//fabZ//
FNR_ModE	
FNR_NarL	napC//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	betB//dusB//
FNR_NarL_NikR	mtlD//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	hycF//garR//
FNR_YqjI	
FabR_FadR	malQ//pgk//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	puuB//fabA//
FhlA_IHF_NsrR	
Fis_Fur	nanK//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	paaH//
Fis_IHF	
Fis_IHF_NtrC	rimK//adiA//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	appA//
Fis_NarL	paaI//
Fis_NarL_NarP_NsrR	
Fis_PurR	rutE//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	ilvG_2//
Fur_H-NS	hycG//nrdB//
Fur_IHF_IscR_NsrR_OxyR	malY//
Fur_IscR_NrdR	nagB//
Fur_MetR	ulaE//
Fur_MntR	lpxA//
Fur_MntR_OxyR	moeB//
Fur_OxyR	
Fur_PurR	metH//
Fur_RcnR	murE//
Fur_RutR	frdA//
Fur_SoxS_Zur	
Fur_YqjI	tam//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	napC//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	gloA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	astD//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	murQ//
H-NS_Lrp_NhaR_RcsB	purM//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	napB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	frdC//
HU_IHF_TyrR	hycC//
HigA_HigB-HigA	epd//
HipAB_HipB_IHF	aceE//
HypT_MetJ	garK//
HypT_MetJ_PhoP	sdhA//napC//
IHF_Lrp	entB//deoB//nrdD//idnK//caiC//
IHF_NsrR	
IHF_NtrC	cysI//
IHF_PhoP	
IHF_PspF	dadX//
IHF_RcsAB	
IHF_RtcR	fucK//sdhC//
IHF_TyrR	astD//
IHF_UlaR	cdd//
LexA_MraZ_PdhR	paaJ//xylA//ansB//codA//accB//glcB//fau//adhE//dsdA//pck//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	tauD//cadA//
MarA_PhoP_Rob_SoxS	mhpA//adhE//melA//gcvH//nrfB//feaB//ubiA//rimK//rutE//
MarA_Rob_SoxS	ackA//fabB//
MarA_SoxS	ubiC//uxaB//gcvP//
MetJ_MetR	aspC//
MetJ_OxyR	purM//
MetR_PurR	caiD//
MraZ_PdhR	sdhB//
Nac_PurR	ascB//entD//
NarL_TorR	sdhD//
NemR_RutR	murE//serA//
NhaR_OmpR	gnd//fumB//ilvH//
NorR_NsrR	
NsrR_PhoB	napA//
OxyR_SoxS	
PdhR_PhoP	nemA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	garR//sodA//
RelB_RelB-RelE	ulaG//
TrpR_TyrR	fumC//
YefM_YefM-YoeB	pdeL//
