# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	aldA//fucA//
ArcA_CRP_IHF	ynfE//
ArcA_CRP_PuuR	dadX//fau//metB//ulaF//
ArcA_CRP_RhaS	astE//
ArcA_CRP_TreR	mnmG//xylA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ubiC//gcvT//
ArcA_Cra	caiA//
ArcA_Cra_FNR_H-NS_HypT	atoB//
ArcA_CysB_FNR	
ArcA_FNR	accB//glpC//mnmG//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	patA//
ArcA_FNR_Fis_IHF_NarL	fadJ//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	gcvP//mhpC//
ArcA_FNR_IHF_NarL	hyaA//glpA//
ArcA_FNR_NarL	fadJ//katG//argD//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	zwf//nrfA//
ArcA_FadR	fabZ//sucA//dusB//
ArcA_FadR_Fis	paaZ//accC//
ArcA_Fur_Lrp_ModE	ugpQ//napG//
ArcA_GlcC_IHF_PdhR	rhaD//nirD//fes//
ArcA_LexA	gcvT//
ArcA_LldR	glcE//aspA//
ArcA_NarL	nrdD//
ArcA_NtrC_PhoP_RutR	dadX//nanM//hpt//patA//nirB//rbsD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	ogt//
ArgP_CRP_FNR_Fur_Nac	idnD//
ArgP_DnaA	glcF//
ArgP_Lrp	nrdE//chbF//
ArgP_LysR	eda//
ArgP_PhoB	
ArgR_CRP	metL//
ArgR_CRP_Fis	ansB//rbsD//relA//
ArgR_Fis_IHF_PepA_PurR_RutR	fumA//
ArgR_H-NS_NtrC	aldA//recF//
ArgR_NtrC	mhpB//lsrG//cysH//dadA//codA//
ArgR_PhoP	patA//
AscG_CRP	glgA//gntK//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	paaZ//
AtoC_IHF	ackA//ubiA//rnpB//
BaeR_CpxR	acnA//
BaeR_CpxR_EvgA	nfsA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	purH//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	dsdA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	pgaB//katE//treC//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	puuE//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	napB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	gcvH//glpC//rimK//deoA//fdhF//mnmG//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	aroL//glgC//lpd//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	glgC//sodA//ogt//
CRP_Cra_Mlc_NagC	paaZ//paaB//gatD//adhE//
CRP_Cra_PrpR	mnmG//fadI//citE//pflB//
CRP_CreB_Fis_MalT	tauD//
CRP_CsiR_H-NS_Lrp	lysA//
CRP_CsiR_H-NS_Lrp_Nac	chbG//caiB//glgA//
CRP_CspA_Fis	accB//
CRP_CytR	glcE//
CRP_CytR_DeoR	gadB//dusB//
CRP_CytR_DeoR_Fis_ModE	rhaA//serA//waaY//pflB//
CRP_CytR_Nac	epd//
CRP_CytR_NsrR	lpxA//
CRP_DcuR_FNR_NarL	gltD//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	narH//astB//
CRP_DpiA_ExuR	edd//
CRP_DsdC	gltA//astC//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	guaB//
CRP_ExuR	fabZ//
CRP_ExuR_FNR	caiC//hyaB//
CRP_ExuR_OxyR_UxuR	mhpC//rhaB//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	glpA//
CRP_FNR_Fis	napA//nagA//
CRP_FNR_Fis_GlpR_IHF	lysA//umpH//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	paaI//narI//uvrA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	nrfB//waaZ//aroA//purH//glgC//
CRP_FNR_NarL	frdB//lysA//
CRP_FeaR_NsrR	cysH//
CRP_Fis	eda//fucU//garR//
CRP_Fis_FlhDC_GalR_GalS	glpA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	guaA//paaE//
CRP_Fis_IHF	moeA//aroG//accB//
CRP_Fis_NanR	gatZ//moeA//zwf//chbG//
CRP_Fis_NtrC	waaZ//
CRP_Fis_XylR	puuB//
CRP_FlhDC_GalR_GalS	torA//
CRP_FucR	mhpF//gltD//mhpE//pdeL//sodA//lpd//
CRP_Fur	sgbH//prpB//sufS//rutB//gntK//ynfH//lhgO//moaA//sdhD//cyoE//
CRP_Fur_HypT_PdhR	mpl//moaD//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	lacA//nrfD//kbaZ//lacZ//
CRP_GalR_GalS_NagC	srlD//
CRP_GlpR	ynfF//frdA//waaZ//
CRP_GntR	ulaE//
CRP_GntR_IdnR	nrdB//pgaD//ackA//cysM//feaB//pgaD//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	murF//fadJ//ftnA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	entF//
CRP_H-NS_LacI	cysM//paaG//idnD//
CRP_H-NS_LeuO	aceE//
CRP_H-NS_MqsA	
CRP_IHF	idnD//citD//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	torA//
CRP_IHF_PaaX	frdC//araA//accB//ubiA//prmC//tdcG//citE//lsrG//
CRP_IHF_UlaR	glpC//glcB//ahpC//astA//
CRP_IHF_YiaJ	deoC//hpt//cysI//nanE//entH//rbsK//
CRP_LexA	
CRP_Lrp	narI//torC//fabA//sucA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	araD//
CRP_LsrR	entD//pgaC//gadA//garK//dmsB//
CRP_MalI	glcF//waaH//
CRP_MalT	ndh//uxaC//
CRP_MalT_PhoP	dusB//
CRP_MelR	melA//sgbH//
CRP_MetJ	nrdB//
CRP_MhpR	mtlD//aldB//glcD//nanE//mhpF//lpxD//
CRP_Mlc	
CRP_ModE	nagB//
CRP_MurR	ilvM//rutA//metL//
CRP_Nac_NsrR_PhoB	
CRP_NadR	deoD//
CRP_NagC	puuE//purA//ftnA//epd//citD//
CRP_NagC_NanR	lpxD//sucB//
CRP_NagC_PhoP	purM//
CRP_OxyR	
CRP_OxyR_UxuR	ubiC//
CRP_PhoB	pnp//moaD//
CRP_PhoP	puuD//sgbH//nrfD//
CRP_PutA	moeB//
CRP_RbsR	rhaA//fadD//mhpE//
CRP_RhaR_RhaS	
CRP_RhaS	gltB//ubiA//cysM//
CRP_Rob	entE//
CRP_TorR	hycD//galM//
CRP_UhpA_UvrY	paaI//
CRP_UidR_UxuR	moeA//waaZ//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	murD//glpB//
Cbl_CysB_FNR_IHF	fadA//mpl//gatZ//
CdaR_FNR_Fis_Fur_H-NS	atoD//deoB//
CdaR_FNR_Fur_H-NS	narI//murC//paaK//napG//
CpxR_CsgD_FliZ	
CpxR_CysB	ftnA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	pgaC//
CpxR_GadE	ogt//edd//hypB//
CpxR_H-NS	putA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	nanE//
Cra_FNR_Fis_Lrp_NarL	mazG//
Cra_FNR_Fur_MarA_Rob_SoxS	umpH//
Cra_FhlA_FlhDC	mazG//
Cra_GntR_KdgR	cysG//
Cra_GntR_KdgR_PhoB	nrfD//
Cra_MarA_SoxS	ulaD//
Cra_PdeL	tauD//
Cra_SgrR	yiaK//
Cra_TyrR	glnA//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	epd//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	glcE//paaI//
CusR_PhoB_YedW	dgcZ//
CysB_H-NS	prmC//caiB//mhpE//
CysB_HypT_IHF	ynfH//
CysB_IHF	prmC//xylA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	idnK//
DinJ-YafQ_LexA	lacA//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	ilvE//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	astA//
FNR_FhlA_NarL_NarP	gatY//napG//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	pgaC//
FNR_Fis_IHF_ModE_NarL	ugpQ//
FNR_Fis_IHF_NarL	gcd//
FNR_Fis_IHF_NarL_RstA	malY//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	guaA//
FNR_FlhDC_ModE_NarL_NarP	napG//
FNR_Fur	mraY//ppiA//
FNR_Fur_GadE	garR//
FNR_Fur_GadX_NtrC	fucA//
FNR_Fur_H-NS	yiaK//nrfA//acnB//
FNR_Fur_MetR_NsrR	rutA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	uxuB//
FNR_Fur_OxyR	idnK//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	rnpB//
FNR_H-NS_NrdR	hcp//astE//
FNR_IHF	uxuB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	sodA//
FNR_IHF_PhoB	
FNR_MalT	glgP//dadX//
FNR_ModE	
FNR_NarL	rutB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	gltA//gcd//
FNR_NarL_NikR	recF//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	torA//serC//
FNR_YqjI	
FabR_FadR	moeA//deoC//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	nanA//garL//
FhlA_IHF_NsrR	
Fis_Fur	galM//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	gcd//
Fis_IHF	
Fis_IHF_NtrC	ilvH//paaA//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	hpt//
Fis_NarL	garK//
Fis_NarL_NarP_NsrR	
Fis_PurR	paaF//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	murQ//
Fur_H-NS	paaE//galM//
Fur_IHF_IscR_NsrR_OxyR	nirD//
Fur_IscR_NrdR	nrfC//
Fur_MetR	ldtB//
Fur_MntR	aspA//
Fur_MntR_OxyR	argG//
Fur_OxyR	
Fur_PurR	mpl//
Fur_RcnR	chbF//
Fur_RutR	guaA//
Fur_SoxS_Zur	
Fur_YqjI	acnB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	sufS//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	relA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	fumC//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	fadB//
H-NS_Lrp_NhaR_RcsB	edd//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	deoB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	dusB//
HU_IHF_TyrR	dadX//
HigA_HigB-HigA	sdhB//
HipAB_HipB_IHF	paaA//
HypT_MetJ	ynfE//
HypT_MetJ_PhoP	hycD//fadJ//
IHF_Lrp	ilvI//yqjH//paaJ//recF//pck//
IHF_NsrR	
IHF_NtrC	napG//
IHF_PhoP	
IHF_PspF	lhgO//
IHF_RcsAB	
IHF_RtcR	mhpF//fes//
IHF_TyrR	lacA//
IHF_UlaR	betB//
LexA_MraZ_PdhR	gadB//nrdF//edd//uxaB//metB//hcp//fabZ//araB//tam//entA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	moaD//fau//
MarA_PhoP_Rob_SoxS	guaB//dsdA//edd//uxaB//prmC//aceA//mhpB//hyaB//betB//
MarA_Rob_SoxS	hycF//uxaC//
MarA_SoxS	galE//paaB//patA//
MetJ_MetR	garL//
MetJ_OxyR	ilvM//
MetR_PurR	accC//
MraZ_PdhR	paaC//
Nac_PurR	fadH//prpD//
NarL_TorR	nanK//
NemR_RutR	uxaA//serC//
NhaR_OmpR	lpxD//fadB//ansB//
NorR_NsrR	
NsrR_PhoB	aldA//
OxyR_SoxS	
PdhR_PhoP	gcvT//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	torC//mhpB//
RelB_RelB-RelE	gadB//
TrpR_TyrR	frdA//
YefM_YefM-YoeB	gutQ//
