# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	sufS//lldD//
ArcA_CRP_IHF	pck//
ArcA_CRP_PuuR	relA//hpt//puuD//gcvT//
ArcA_CRP_RhaS	atoA//
ArcA_CRP_TreR	ogt//entB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	argG//murE//
ArcA_Cra	pgaB//
ArcA_Cra_FNR_H-NS_HypT	fes//
ArcA_CysB_FNR	
ArcA_FNR	fucO//malP//idnD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	hycG//
ArcA_FNR_Fis_IHF_NarL	sgbE//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	prpB//paaC//
ArcA_FNR_IHF_NarL	ilvE//pspE//
ArcA_FNR_NarL	ynfF//glpK//ssuD//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	purH//idnK//
ArcA_FadR	dadX//ahpC//pgaB//
ArcA_FadR_Fis	treC//aspC//
ArcA_Fur_Lrp_ModE	glcE//lsrK//
ArcA_GlcC_IHF_PdhR	ulaE//astD//pyrC//
ArcA_LexA	nagA//
ArcA_LldR	entH//puuE//
ArcA_NarL	ssuE//
ArcA_NtrC_PhoP_RutR	purD//ilvE//hycC//entE//sucD//hycG//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	mpl//
ArgP_CRP_FNR_Fur_Nac	accC//
ArgP_DnaA	lpxD//
ArgP_Lrp	glcD//moaE//
ArgP_LysR	fadA//
ArgP_PhoB	
ArgR_CRP	chbG//
ArgR_CRP_Fis	citX//guaB//feaB//
ArgR_Fis_IHF_PepA_PurR_RutR	gcvT//
ArgR_H-NS_NtrC	ssuD//gatD//
ArgR_NtrC	ssuE//hypB//galK//nfsA//napA//
ArgR_PhoP	treC//
AscG_CRP	araB//entD//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	aroL//
AtoC_IHF	ynfF//garR//folA//
BaeR_CpxR	hycC//
BaeR_CpxR_EvgA	metK//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ubiC//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	puuD//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	paaA//glpK//ynfE//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	gcd//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	appA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	putA//tdcD//srlD//tnaA//glcD//glnA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	ilvE//idnO//glpD//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	feaB//aroA//aldA//
CRP_Cra_Mlc_NagC	rutA//pgaB//lpxA//entA//
CRP_Cra_PrpR	cysG//glpX//dmsB//gapA//
CRP_CreB_Fis_MalT	fumC//
CRP_CsiR_H-NS_Lrp	aroA//
CRP_CsiR_H-NS_Lrp_Nac	fucU//fbaA//moaE//
CRP_CspA_Fis	cysH//
CRP_CytR	glgP//
CRP_CytR_DeoR	citD//entA//
CRP_CytR_DeoR_Fis_ModE	metH//ulaD//guaA//astD//
CRP_CytR_Nac	rbsD//
CRP_CytR_NsrR	fadJ//
CRP_DcuR_FNR_NarL	ssuD//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	idnO//idnD//
CRP_DpiA_ExuR	mraY//
CRP_DsdC	relA//hyaA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	hemA//
CRP_ExuR	ftsI//
CRP_ExuR_FNR	mhpB//narI//
CRP_ExuR_OxyR_UxuR	malS//entF//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	hycF//
CRP_FNR_Fis	lpxA//uxuA//
CRP_FNR_Fis_GlpR_IHF	srlD//dadA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	hemA//cysM//pgaD//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	narI//frdA//pnp//rbsD//gutQ//
CRP_FNR_NarL	gadB//citD//
CRP_FeaR_NsrR	zwf//
CRP_Fis	deoD//hcp//rutC//
CRP_Fis_FlhDC_GalR_GalS	glpK//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	carB//fau//
CRP_Fis_IHF	fadJ//edd//glcB//
CRP_Fis_NanR	hyaA//nfsB//metL//caiD//
CRP_Fis_NtrC	caiC//
CRP_Fis_XylR	lacZ//
CRP_FlhDC_GalR_GalS	purH//
CRP_FucR	nrdA//paaZ//moaA//nrdE//fadD//tdcB//
CRP_Fur	putA//puuA//nanA//paaG//gltB//ascB//ddlB//nrdB//rhaA//rhaB//
CRP_Fur_HypT_PdhR	fadD//lpxC//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	citD//entA//gabD//waaZ//
CRP_GalR_GalS_NagC	carB//
CRP_GlpR	prpC//pnp//uxaA//
CRP_GntR	mhpE//
CRP_GntR_IdnR	paaE//astA//aldA//ilvE//astE//fadH//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	hyaB//mhpE//fdhF//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	fdhF//
CRP_H-NS_LacI	eda//murQ//glnA//
CRP_H-NS_LeuO	dadX//
CRP_H-NS_MqsA	
CRP_IHF	ansB//fbaA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	ynfF//
CRP_IHF_PaaX	ugpQ//relA//puuB//melA//aceB//cdd//nagB//pncB//
CRP_IHF_UlaR	purN//dadX//mnmG//rimK//
CRP_IHF_YiaJ	metL//entA//sufS//carA//treC//putA//
CRP_LexA	
CRP_Lrp	pspE//fabA//betA//dadX//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	fumB//
CRP_LsrR	truB//nrfC//araA//tdcB//ilvA//
CRP_MalI	waaZ//napB//
CRP_MalT	sgbE//sucD//
CRP_MalT_PhoP	pgaC//
CRP_MelR	ynfG//sucC//
CRP_MetJ	metB//
CRP_MhpR	lpxA//yqjH//deoD//ndh//gcvH//lpxC//
CRP_Mlc	
CRP_ModE	cysI//
CRP_MurR	hycC//appA//fdhF//
CRP_Nac_NsrR_PhoB	
CRP_NadR	paaK//
CRP_NagC	hyaA//paaK//paaK//tdcG//lpxD//
CRP_NagC_NanR	fes//idnO//
CRP_NagC_PhoP	uvrA//
CRP_OxyR	
CRP_OxyR_UxuR	malP//
CRP_PhoB	araD//betB//
CRP_PhoP	tdcG//murE//acnA//
CRP_PutA	sdhD//
CRP_RbsR	gcvP//aceF//argG//
CRP_RhaR_RhaS	
CRP_RhaS	ynfH//caiC//sgbH//
CRP_Rob	astE//
CRP_TorR	aspC//adhE//
CRP_UhpA_UvrY	ilvG_2//
CRP_UidR_UxuR	rutB//astC//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	ilvG_1//ubiC//
Cbl_CysB_FNR_IHF	dgcZ//pspE//frdA//
CdaR_FNR_Fis_Fur_H-NS	atoD//glpX//
CdaR_FNR_Fur_H-NS	metK//entB//atoA//ilvA//
CpxR_CsgD_FliZ	
CpxR_CysB	fucI//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	sucC//
CpxR_GadE	puuB//yiaK//tdcG//
CpxR_H-NS	putA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	lsrK//
Cra_FNR_Fis_Lrp_NarL	tnaA//
Cra_FNR_Fur_MarA_Rob_SoxS	napC//
Cra_FhlA_FlhDC	entH//
Cra_GntR_KdgR	sucC//
Cra_GntR_KdgR_PhoB	glgC//
Cra_MarA_SoxS	frdC//
Cra_PdeL	astE//
Cra_SgrR	pck//
Cra_TyrR	mhpE//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	eda//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	relA//dmsB//
CusR_PhoB_YedW	nanM//
CysB_H-NS	caiD//gnd//metB//
CysB_HypT_IHF	cysJ//
CysB_IHF	paaF//waaY//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	pnp//
DinJ-YafQ_LexA	ilvH//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	deoD//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	entE//
FNR_FhlA_NarL_NarP	aspA//ansB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	ddlB//
FNR_Fis_IHF_ModE_NarL	eda//
FNR_Fis_IHF_NarL	glcE//
FNR_Fis_IHF_NarL_RstA	ascB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	chbG//
FNR_FlhDC_ModE_NarL_NarP	garR//
FNR_Fur	lldD//lysA//
FNR_Fur_GadE	rutB//
FNR_Fur_GadX_NtrC	dadX//
FNR_Fur_H-NS	nfsB//citF//galK//
FNR_Fur_MetR_NsrR	bglB//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	nfsA//
FNR_Fur_OxyR	fes//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	aceE//
FNR_H-NS_NrdR	pgaB//ilvD//
FNR_IHF	gabD//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	napA//
FNR_IHF_PhoB	
FNR_MalT	ppiA//ackA//
FNR_ModE	
FNR_NarL	ynfH//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	gapA//mhpD//
FNR_NarL_NikR	sdhC//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	ddlB//aceB//
FNR_YqjI	
FabR_FadR	accB//pdeR//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	murE//puuE//
FhlA_IHF_NsrR	
Fis_Fur	caiA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	ftsI//
Fis_IHF	
Fis_IHF_NtrC	citD//garL//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	nirD//
Fis_NarL	caiD//
Fis_NarL_NarP_NsrR	
Fis_PurR	napG//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	lhgO//
Fur_H-NS	nanK//araA//
Fur_IHF_IscR_NsrR_OxyR	deoB//
Fur_IscR_NrdR	yqjH//
Fur_MetR	pncB//
Fur_MntR	astD//
Fur_MntR_OxyR	metH//
Fur_OxyR	
Fur_PurR	nirD//
Fur_RcnR	nagA//
Fur_RutR	citG//
Fur_SoxS_Zur	
Fur_YqjI	hyaC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	argG//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	galT//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	pflB//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	purD//
H-NS_Lrp_NhaR_RcsB	aldA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	rutA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	mraY//
HU_IHF_TyrR	edd//
HigA_HigB-HigA	prpC//
HipAB_HipB_IHF	gdhA//
HypT_MetJ	mdh//
HypT_MetJ_PhoP	moeA//fumC//
IHF_Lrp	aceF//lpd//aceE//dgcZ//recF//
IHF_NsrR	
IHF_NtrC	gutQ//
IHF_PhoP	
IHF_PspF	puuC//
IHF_RcsAB	
IHF_RtcR	serC//bglB//
IHF_TyrR	fabB//
IHF_UlaR	lldD//
LexA_MraZ_PdhR	paaA//dmsC//argG//hycG//fabB//gatD//napA//rnpB//gcvH//dmsB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	aspC//uxuA//
MarA_PhoP_Rob_SoxS	purD//ssuD//ppiA//sucC//aspC//frdD//mazG//cysH//paaK//
MarA_Rob_SoxS	rimK//citX//
MarA_SoxS	katE//fau//garK//
MetJ_MetR	paaI//
MetJ_OxyR	ulaD//
MetR_PurR	gcd//
MraZ_PdhR	napA//
Nac_PurR	fabB//citD//
NarL_TorR	aroL//
NemR_RutR	rhaA//prpE//
NhaR_OmpR	paaG//sgbE//hycB//
NorR_NsrR	
NsrR_PhoB	treC//
OxyR_SoxS	
PdhR_PhoP	waaZ//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	nrdE//gatZ//
RelB_RelB-RelE	chbG//
TrpR_TyrR	narH//
YefM_YefM-YoeB	nirD//
