# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	fadJ//fadJ//
ArcA_CRP_IHF	fucK//
ArcA_CRP_PuuR	rutC//idnO//fau//purD//
ArcA_CRP_RhaS	nirB//
ArcA_CRP_TreR	dmsA//sucC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	katE//nemA//
ArcA_Cra	aspC//
ArcA_Cra_FNR_H-NS_HypT	citE//
ArcA_CysB_FNR	
ArcA_FNR	glpK//uxuB//lyxK//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	paaK//
ArcA_FNR_Fis_IHF_NarL	nirB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	lpxC//carB//
ArcA_FNR_IHF_NarL	xylB//sgbE//
ArcA_FNR_NarL	napG//fabA//recF//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	caiA//uvrA//
ArcA_FadR	aceB//astD//lhgO//
ArcA_FadR_Fis	accB//pnp//
ArcA_Fur_Lrp_ModE	citC//ndh//
ArcA_GlcC_IHF_PdhR	fadI//chbF//hyaC//
ArcA_LexA	entC//
ArcA_LldR	hycE//glgP//
ArcA_NarL	puuB//
ArcA_NtrC_PhoP_RutR	gdhA//astA//aldA//recF//glpA//aroL//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	carA//
ArgP_CRP_FNR_Fur_Nac	glpX//
ArgP_DnaA	purM//
ArgP_Lrp	acnA//torA//
ArgP_LysR	malP//
ArgP_PhoB	
ArgR_CRP	aroG//
ArgR_CRP_Fis	mhpC//puuB//paaE//
ArgR_Fis_IHF_PepA_PurR_RutR	uidA//
ArgR_H-NS_NtrC	purD//paaH//
ArgR_NtrC	garK//fucA//lsrG//paaC//pspE//
ArgR_PhoP	mhpE//
AscG_CRP	mtlD//fucA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	pnp//
AtoC_IHF	citE//ugpQ//citE//
BaeR_CpxR	ahpC//
BaeR_CpxR_EvgA	aspC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	fadD//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	sgbH//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	fadB//glpQ//ugpQ//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	paaA//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	lldD//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	lsrG//ddlB//fau//xylB//ulaE//sucD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	cysJ//hyaB//lpxC//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	rnpB//lhgO//lacZ//
CRP_Cra_Mlc_NagC	nemA//mazG//carA//tdcE//
CRP_Cra_PrpR	yqjH//ogt//glcE//frdA//
CRP_CreB_Fis_MalT	narG//
CRP_CsiR_H-NS_Lrp	deoB//
CRP_CsiR_H-NS_Lrp_Nac	glgA//paaE//ftnA//
CRP_CspA_Fis	sucC//
CRP_CytR	betB//
CRP_CytR_DeoR	puuA//glpA//
CRP_CytR_DeoR_Fis_ModE	tdcG//pdeR//malQ//metK//
CRP_CytR_Nac	idnD//
CRP_CytR_NsrR	nrfA//
CRP_DcuR_FNR_NarL	ahpC//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	gadB//acnB//
CRP_DpiA_ExuR	patA//
CRP_DsdC	fucU//entB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	hycB//
CRP_ExuR	deoA//
CRP_ExuR_FNR	lpxD//rutA//
CRP_ExuR_OxyR_UxuR	hyaB//puuB//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	ssuD//
CRP_FNR_Fis	entE//sodB//
CRP_FNR_Fis_GlpR_IHF	lyxK//fadH//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	fabZ//astB//prpD//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	argD//aroA//idnD//astE//glcB//
CRP_FNR_NarL	kbaZ//gatD//
CRP_FeaR_NsrR	gabD//
CRP_Fis	mraY//paaC//lsrK//
CRP_Fis_FlhDC_GalR_GalS	fucU//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	moaA//rutB//
CRP_Fis_IHF	garL//mhpB//nrfB//
CRP_Fis_NanR	garL//paaF//udp//paaI//
CRP_Fis_NtrC	prpC//
CRP_Fis_XylR	aldA//
CRP_FlhDC_GalR_GalS	sucC//
CRP_FucR	rutC//glcB//adiA//ssuE//murG//glcB//
CRP_Fur	glpQ//ppiA//nagA//ulaG//sucA//uxuB//torA//entC//glpB//umpH//
CRP_Fur_HypT_PdhR	nagB//hypF//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	narI//prmC//rnpB//nagA//
CRP_GalR_GalS_NagC	fadH//
CRP_GlpR	fucK//pgk//ilvH//
CRP_GntR	acnB//
CRP_GntR_IdnR	pncB//fadD//metL//hyaA//ilvD//rbsD//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	argG//relA//malP//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	prpE//
CRP_H-NS_LacI	ulaF//fadI//gadA//
CRP_H-NS_LeuO	rutA//
CRP_H-NS_MqsA	
CRP_IHF	ackA//rbsK//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	purH//
CRP_IHF_PaaX	prpB//dadX//folA//rutB//murE//entH//ftsI//sgbE//
CRP_IHF_UlaR	ynfF//puuA//galT//mhpB//
CRP_IHF_YiaJ	ftsI//lacA//gatY//pdeR//betA//ilvE//
CRP_LexA	
CRP_Lrp	hycF//astD//caiA//fabA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	deoA//
CRP_LsrR	uvrA//ynfH//sucC//aceB//purD//
CRP_MalI	lhgO//dmsC//
CRP_MalT	nagA//moeB//
CRP_MalT_PhoP	waaY//
CRP_MelR	carB//ilvA//
CRP_MetJ	uvrA//
CRP_MhpR	ulaG//accC//astC//dusB//malY//mhpD//
CRP_Mlc	
CRP_ModE	glpX//
CRP_MurR	prpD//fes//serC//
CRP_Nac_NsrR_PhoB	
CRP_NadR	nfsA//
CRP_NagC	napH//srlD//lpd//rsmH//mazG//
CRP_NagC_NanR	glgA//xylA//
CRP_NagC_PhoP	citC//
CRP_OxyR	
CRP_OxyR_UxuR	hycD//
CRP_PhoB	torA//nrfD//
CRP_PhoP	edd//glpD//glcD//
CRP_PutA	uxuA//
CRP_RbsR	uxuB//waaY//frdC//
CRP_RhaR_RhaS	
CRP_RhaS	paaH//aceF//ftnA//
CRP_Rob	frdC//
CRP_TorR	aceB//nirB//
CRP_UhpA_UvrY	pyrC//
CRP_UidR_UxuR	argD//cysI//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	puuC//nrdD//
Cbl_CysB_FNR_IHF	zwf//paaI//citG//
CdaR_FNR_Fis_Fur_H-NS	ynfE//aroL//
CdaR_FNR_Fur_H-NS	entH//lysA//gntK//rutC//
CpxR_CsgD_FliZ	
CpxR_CysB	chbF//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	rbsD//
CpxR_GadE	rutB//fadE//aroG//
CpxR_H-NS	sodB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	entH//
Cra_FNR_Fis_Lrp_NarL	prpB//
Cra_FNR_Fur_MarA_Rob_SoxS	purD//
Cra_FhlA_FlhDC	gdhA//
Cra_GntR_KdgR	patA//
Cra_GntR_KdgR_PhoB	aldA//
Cra_MarA_SoxS	cysH//
Cra_PdeL	glyA//
Cra_SgrR	cysH//
Cra_TyrR	deoA//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	entB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	codA//feaB//
CusR_PhoB_YedW	gdhA//
CysB_H-NS	chbG//gcvT//aldA//
CysB_HypT_IHF	pncB//
CysB_IHF	rbsK//hypF//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	mhpD//
DinJ-YafQ_LexA	torC//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	narI//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	acnA//
FNR_FhlA_NarL_NarP	fucA//nrfA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	glgP//
FNR_Fis_IHF_ModE_NarL	atoB//
FNR_Fis_IHF_NarL	moeA//
FNR_Fis_IHF_NarL_RstA	ulaG//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	purH//
FNR_FlhDC_ModE_NarL_NarP	sucD//
FNR_Fur	purA//ugpQ//
FNR_Fur_GadE	sgbU//
FNR_Fur_GadX_NtrC	yiaK//
FNR_Fur_H-NS	nanE//aspC//nagA//
FNR_Fur_MetR_NsrR	rutC//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	hycE//
FNR_Fur_OxyR	hycG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	nanA//
FNR_H-NS_NrdR	aldB//ssuD//
FNR_IHF	ilvM//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	glcE//
FNR_IHF_PhoB	
FNR_MalT	hyaA//rutA//
FNR_ModE	
FNR_NarL	entD//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	tdcB//paaZ//
FNR_NarL_NikR	chbG//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	glpQ//frdA//
FNR_YqjI	
FabR_FadR	astB//hemA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	cysG//napG//
FhlA_IHF_NsrR	
Fis_Fur	uvrA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	dmsA//
Fis_IHF	
Fis_IHF_NtrC	lpxA//hyaB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	chbF//
Fis_NarL	gcvH//
Fis_NarL_NarP_NsrR	
Fis_PurR	folA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	glnA//
Fur_H-NS	fadH//deoA//
Fur_IHF_IscR_NsrR_OxyR	ulaF//
Fur_IscR_NrdR	yiaK//
Fur_MetR	ilvM//
Fur_MntR	puuB//
Fur_MntR_OxyR	entD//
Fur_OxyR	
Fur_PurR	glpA//
Fur_RcnR	nagA//
Fur_RutR	rhaB//
Fur_SoxS_Zur	
Fur_YqjI	glpQ//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	idnO//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	mhpC//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	aceF//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	fucA//
H-NS_Lrp_NhaR_RcsB	idnD//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	sgbH//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	guaB//
HU_IHF_TyrR	epd//
HigA_HigB-HigA	puuC//
HipAB_HipB_IHF	gloA//
HypT_MetJ	accC//
HypT_MetJ_PhoP	guaA//ilvH//
IHF_Lrp	uxaA//pck//dmsB//cdd//astA//
IHF_NsrR	
IHF_NtrC	purN//
IHF_PhoP	
IHF_PspF	fadI//
IHF_RcsAB	
IHF_RtcR	hycC//glcF//
IHF_TyrR	cysJ//
IHF_UlaR	ynfE//
LexA_MraZ_PdhR	betB//pgaC//tdcG//eda//sgbU//tnaA//atoA//entF//citG//recF//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	purM//nfsA//
MarA_PhoP_Rob_SoxS	cdd//hcp//dmsA//prpB//aspA//gltB//tdcG//nagB//mhpE//
MarA_Rob_SoxS	pck//ppiA//
MarA_SoxS	ilvE//paaF//bglB//
MetJ_MetR	dadX//
MetJ_OxyR	hypB//
MetR_PurR	nrdD//
MraZ_PdhR	udp//
Nac_PurR	fadJ//rutC//
NarL_TorR	ilvH//
NemR_RutR	dmsA//ahpC//
NhaR_OmpR	ulaF//hypB//katE//
NorR_NsrR	
NsrR_PhoB	mhpD//
OxyR_SoxS	
PdhR_PhoP	narG//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	hycE//pdeR//
RelB_RelB-RelE	mhpA//
TrpR_TyrR	fabB//
YefM_YefM-YoeB	glcB//
