# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	paaF//ulaE//
ArcA_CRP_IHF	murD//
ArcA_CRP_PuuR	nrfB//astC//sgbH//garK//
ArcA_CRP_RhaS	moeB//
ArcA_CRP_TreR	nanM//moeA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	entE//gatZ//
ArcA_Cra	uxaC//
ArcA_Cra_FNR_H-NS_HypT	ddlB//
ArcA_CysB_FNR	
ArcA_FNR	aroL//fucO//citD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	fabB//
ArcA_FNR_Fis_IHF_NarL	entF//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	fadA//puuB//
ArcA_FNR_IHF_NarL	fadI//eda//
ArcA_FNR_NarL	nirD//metL//yiaK//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	nrfA//gutQ//
ArcA_FadR	atoA//fumC//carA//
ArcA_FadR_Fis	fumC//xylA//
ArcA_Fur_Lrp_ModE	paaJ//gadA//
ArcA_GlcC_IHF_PdhR	fadH//ftsI//betA//
ArcA_LexA	paaK//
ArcA_LldR	dmsA//sgbH//
ArcA_NarL	folA//
ArcA_NtrC_PhoP_RutR	hcp//xylA//gcvP//frdB//sufS//mhpD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	cadA//
ArgP_CRP_FNR_Fur_Nac	aceF//
ArgP_DnaA	ackA//
ArgP_Lrp	purA//moeB//
ArgP_LysR	fau//
ArgP_PhoB	
ArgR_CRP	pflB//
ArgR_CRP_Fis	galE//gcvP//puuC//
ArgR_Fis_IHF_PepA_PurR_RutR	cysJ//
ArgR_H-NS_NtrC	ulaF//aceA//
ArgR_NtrC	patA//garL//ssuD//gcvP//ddlB//
ArgR_PhoP	ynfE//
AscG_CRP	hypB//malQ//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	mhpD//
AtoC_IHF	frdC//cysI//hycG//
BaeR_CpxR	mhpA//
BaeR_CpxR_EvgA	bglB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	adiA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	metH//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	gdhA//sgbH//nrfC//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	mhpF//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ynfH//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	fadJ//cysM//dsdA//lsrG//waaZ//araD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	fadD//narG//glpB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	fucK//nrfB//ynfF//
CRP_Cra_Mlc_NagC	entE//glpQ//pdeR//hyaC//
CRP_Cra_PrpR	ilvD//fucA//caiD//hpt//
CRP_CreB_Fis_MalT	folA//
CRP_CsiR_H-NS_Lrp	nirD//
CRP_CsiR_H-NS_Lrp_Nac	gcvH//aroL//prpE//
CRP_CspA_Fis	galM//
CRP_CytR	entC//
CRP_CytR_DeoR	nemA//glpQ//
CRP_CytR_DeoR_Fis_ModE	paaF//aspC//malY//tdcB//
CRP_CytR_Nac	nagB//
CRP_CytR_NsrR	aldA//
CRP_DcuR_FNR_NarL	cyoE//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	mhpE//fucK//
CRP_DpiA_ExuR	pdeR//
CRP_DsdC	fumA//citE//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	prpD//
CRP_ExuR	ugpQ//
CRP_ExuR_FNR	dmsB//sufS//
CRP_ExuR_OxyR_UxuR	katE//murD//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	lacZ//
CRP_FNR_Fis	fabB//fabB//
CRP_FNR_Fis_GlpR_IHF	gabT//caiA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	atoA//lysA//ahpC//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	truB//hycD//pgk//metL//entF//
CRP_FNR_NarL	moeA//sodB//
CRP_FeaR_NsrR	bglB//
CRP_Fis	folA//acnB//ahpC//
CRP_Fis_FlhDC_GalR_GalS	uxuA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	murQ//mnmG//
CRP_Fis_IHF	rutA//acnA//pflB//
CRP_Fis_NanR	cysG//pyrC//accC//pgaC//
CRP_Fis_NtrC	nrfC//
CRP_Fis_XylR	glpQ//
CRP_FlhDC_GalR_GalS	dgcZ//
CRP_FucR	pdeR//purM//hycE//frdB//uxaA//murQ//
CRP_Fur	astB//aceA//purM//citC//acnB//murD//ynfF//mnmG//ulaG//nanK//
CRP_Fur_HypT_PdhR	hycF//dadA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	rsmH//glcD//katE//hemA//
CRP_GalR_GalS_NagC	adiA//
CRP_GlpR	sgbE//rbsD//nrdA//
CRP_GntR	citD//
CRP_GntR_IdnR	moaD//glpB//guaB//frdD//hycD//ssuE//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	araD//rutD//paaE//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	nirD//
CRP_H-NS_LacI	nirD//mhpD//fumA//
CRP_H-NS_LeuO	glcE//
CRP_H-NS_MqsA	
CRP_IHF	murF//argD//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	gatD//
CRP_IHF_PaaX	gadA//metB//waaZ//eda//nirB//gadA//entF//appA//
CRP_IHF_UlaR	galE//frdD//prpE//gltB//
CRP_IHF_YiaJ	uxuB//ftsI//purN//napG//hycC//aceB//
CRP_LexA	
CRP_Lrp	nrdD//gatY//ubiA//malP//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	caiD//
CRP_LsrR	adhE//lyxK//fumB//lacA//cdd//
CRP_MalI	pncB//ynfF//
CRP_MalT	adhE//poxB//
CRP_MalT_PhoP	hyaA//
CRP_MelR	carA//rbsD//
CRP_MetJ	paaH//
CRP_MhpR	napA//fadE//mazG//sdhA//fumB//pdeL//
CRP_Mlc	
CRP_ModE	fumA//
CRP_MurR	ugpQ//lsrG//ftnA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	waaY//
CRP_NagC	lpxC//nrfC//ilvH//rhaA//gltB//
CRP_NagC_NanR	waaZ//accC//
CRP_NagC_PhoP	ynfG//
CRP_OxyR	
CRP_OxyR_UxuR	sodA//
CRP_PhoB	araD//dadX//
CRP_PhoP	glpC//nrfB//glgP//
CRP_PutA	pgaD//
CRP_RbsR	argD//acnB//caiA//
CRP_RhaR_RhaS	
CRP_RhaS	murG//atoA//fucI//
CRP_Rob	prpB//
CRP_TorR	fes//gcd//
CRP_UhpA_UvrY	uxuB//
CRP_UidR_UxuR	glpC//hycG//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	entE//recF//
Cbl_CysB_FNR_IHF	astE//gltB//gltA//
CdaR_FNR_Fis_Fur_H-NS	nrdF//carA//
CdaR_FNR_Fur_H-NS	metL//sufS//rbsK//cysJ//
CpxR_CsgD_FliZ	
CpxR_CysB	rutB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	rbsD//
CpxR_GadE	sodA//ilvD//waaZ//
CpxR_H-NS	glpB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	pdeR//
Cra_FNR_Fis_Lrp_NarL	patA//
Cra_FNR_Fur_MarA_Rob_SoxS	murD//
Cra_FhlA_FlhDC	aldB//
Cra_GntR_KdgR	malY//
Cra_GntR_KdgR_PhoB	mazG//
Cra_MarA_SoxS	carA//
Cra_PdeL	katE//
Cra_SgrR	purM//
Cra_TyrR	paaH//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	rsmH//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	aceA//aldA//
CusR_PhoB_YedW	dadX//
CysB_H-NS	lsrG//acs//glpX//
CysB_HypT_IHF	paaH//
CysB_IHF	nrdD//serC//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	hemL//
DinJ-YafQ_LexA	lpxA//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	gnd//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	citE//
FNR_FhlA_NarL_NarP	ddlB//citF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gadB//
FNR_Fis_IHF_ModE_NarL	rsmH//
FNR_Fis_IHF_NarL	patA//
FNR_Fis_IHF_NarL_RstA	feaB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	ulaD//
FNR_FlhDC_ModE_NarL_NarP	frdD//
FNR_Fur	malS//rsmH//
FNR_Fur_GadE	gcvH//
FNR_Fur_GadX_NtrC	epd//
FNR_Fur_H-NS	ldtB//entB//fumA//
FNR_Fur_MetR_NsrR	paaK//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	puuE//
FNR_Fur_OxyR	ftnA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	murC//
FNR_H-NS_NrdR	dgcZ//adiA//
FNR_IHF	citF//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	accC//
FNR_IHF_PhoB	
FNR_MalT	ilvM//lpxD//
FNR_ModE	
FNR_NarL	adiA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	lhgO//fumA//
FNR_NarL_NikR	gcvH//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	prmC//icd//
FNR_YqjI	
FabR_FadR	prpE//appA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	acnA//dmsA//
FhlA_IHF_NsrR	
Fis_Fur	mhpE//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	ppiA//
Fis_IHF	
Fis_IHF_NtrC	gadA//araB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	uxuB//
Fis_NarL	nrfA//
Fis_NarL_NarP_NsrR	
Fis_PurR	rbsK//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	murD//
Fur_H-NS	pspE//mdh//
Fur_IHF_IscR_NsrR_OxyR	ascB//
Fur_IscR_NrdR	acs//
Fur_MetR	moaA//
Fur_MntR	lysA//
Fur_MntR_OxyR	malP//
Fur_OxyR	
Fur_PurR	deoB//
Fur_RcnR	araD//
Fur_RutR	ssuE//
Fur_SoxS_Zur	
Fur_YqjI	ddlB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	galT//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	sucB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	gabD//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	aroG//
H-NS_Lrp_NhaR_RcsB	ilvD//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	pgaD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	galE//
HU_IHF_TyrR	lsrK//
HigA_HigB-HigA	bglB//
HipAB_HipB_IHF	dmsA//
HypT_MetJ	aspC//
HypT_MetJ_PhoP	sdhA//folA//
IHF_Lrp	umpH//glpQ//katG//puuE//moaA//
IHF_NsrR	
IHF_NtrC	ilvG_1//
IHF_PhoP	
IHF_PspF	citX//
IHF_RcsAB	
IHF_RtcR	purD//sufS//
IHF_TyrR	idnK//
IHF_UlaR	ilvA//
LexA_MraZ_PdhR	waaH//fadD//chbG//rutA//frdD//paaZ//edd//fumB//purM//pgk//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	nrdA//ahpC//
MarA_PhoP_Rob_SoxS	nfsA//paaI//lysA//gutQ//fumA//napB//aldA//glgC//argG//
MarA_Rob_SoxS	atoA//lsrK//
MarA_SoxS	ndh//betB//garL//
MetJ_MetR	aceB//
MetJ_OxyR	nrfA//
MetR_PurR	gatZ//
MraZ_PdhR	deoD//
Nac_PurR	dsdA//napC//
NarL_TorR	tdcD//
NemR_RutR	mhpA//entC//
NhaR_OmpR	cysJ//ilvA//hycC//
NorR_NsrR	
NsrR_PhoB	nfsB//
OxyR_SoxS	
PdhR_PhoP	gltA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	ftsI//cdd//
RelB_RelB-RelE	ansB//
TrpR_TyrR	malS//
YefM_YefM-YoeB	fumA//
