# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	aceB//guaB//
ArcA_CRP_GlpR	glpK//
ArcA_CRP_IHF	puuC//
ArcA_CRP_PuuR	gnd//mhpC//fumC//mhpB//
ArcA_CRP_RhaS	fadE//
ArcA_CRP_TreR	ynfE//murF//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	fadI//sgbU//
ArcA_Cra	gnd//
ArcA_Cra_FNR_H-NS_HypT	sucA//
ArcA_CysB_FNR	
ArcA_FNR	sdhB//entH//gnd//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	nfsA//
ArcA_FNR_Fis_IHF_NarL	galK//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	moaA//lpxA//
ArcA_FNR_IHF_NarL	adhE//srlD//
ArcA_FNR_NarL	entF//aspA//ynfE//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	sdhD//yiaK//
ArcA_FadR	astA//ulaD//gntK//
ArcA_FadR_Fis	adhE//appA//
ArcA_Fur_Lrp_ModE	ppiA//ackA//
ArcA_GlcC_IHF_PdhR	waaZ//torA//sodA//
ArcA_LexA	mdh//
ArcA_LldR	nrfC//glcD//
ArcA_NarL	gntK//
ArcA_NtrC_PhoP_RutR	deoA//relA//moaE//ilvA//ilvM//katE//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	waaY//
ArgP_CRP_FNR_Fur_Nac	puuE//
ArgP_DnaA	feaB//
ArgP_Lrp	uxuA//aroL//
ArgP_LysR	fadI//
ArgP_PhoB	
ArgR_CRP	xylA//
ArgR_CRP_Fis	edd//nrdA//aroA//
ArgR_Fis_IHF_PepA_PurR_RutR	glnA//
ArgR_H-NS_NtrC	torA//gabT//
ArgR_NtrC	nrdB//hycB//fabB//fumA//serC//
ArgR_PhoP	murF//
AscG_CRP	ilvE//frdC//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	ulaF//
AtoC_IHF	glpQ//ilvE//pnp//
BaeR_CpxR	ilvD//
BaeR_CpxR_EvgA	hypF//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ilvA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	atoB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	lacZ//glpQ//torC//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	purM//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	uidA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	puuA//entC//uxaB//fucK//waaH//ilvG_1//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	serA//puuD//fucO//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	puuC//hycF//ndh//
CRP_Cra_Mlc_NagC	puuE//rbsD//katG//citG//
CRP_Cra_PrpR	waaZ//citG//edd//acnA//
CRP_CreB_Fis_MalT	carB//
CRP_CsiR_H-NS_Lrp	ubiC//
CRP_CsiR_H-NS_Lrp_Nac	fucO//idnO//gltB//
CRP_CspA_Fis	lacZ//
CRP_CytR	fdhF//
CRP_CytR_DeoR	rbsK//glnA//
CRP_CytR_DeoR_Fis_ModE	mazG//nrdF//accB//glgC//
CRP_CytR_Nac	ynfE//
CRP_CytR_NsrR	fadA//
CRP_DcuR_FNR_NarL	entH//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	gatY//narG//
CRP_DpiA_ExuR	napH//
CRP_DsdC	deoB//uxaB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	deoA//
CRP_ExuR	cysG//
CRP_ExuR_FNR	nrfA//ascB//
CRP_ExuR_OxyR_UxuR	frdA//glgP//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	entD//
CRP_FNR_Fis	sucC//yqjH//
CRP_FNR_Fis_GlpR_IHF	frdA//torA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	glgC//accB//ilvI//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	pflB//ndh//mraY//guaB//nanE//
CRP_FNR_NarL	aceB//lsrF//
CRP_FeaR_NsrR	aceA//
CRP_Fis	citG//gdhA//malS//
CRP_Fis_FlhDC_GalR_GalS	poxB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	ilvD//lyxK//
CRP_Fis_IHF	argG//ilvG_2//gloA//
CRP_Fis_NanR	prpE//puuC//puuB//tnaA//
CRP_Fis_NtrC	citX//
CRP_Fis_XylR	fadI//
CRP_FlhDC_GalR_GalS	pncB//
CRP_FucR	adiA//mraY//fucO//puuC//gltD//prpD//
CRP_Fur	ugpQ//aroL//serA//hyaA//moeA//tam//sdhD//frdC//deoC//napA//
CRP_Fur_HypT_PdhR	glpB//ssuE//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	nrdA//mnmG//nrfD//fadJ//
CRP_GalR_GalS_NagC	hyaA//
CRP_GlpR	paaZ//mhpC//caiB//
CRP_GntR	dgcZ//
CRP_GntR_IdnR	fumA//fumB//dadA//pnp//ascB//sodA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	paaB//truB//murE//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	ugpQ//
CRP_H-NS_LacI	gcvP//nfsB//murD//
CRP_H-NS_LeuO	ackA//
CRP_H-NS_MqsA	
CRP_IHF	hyaC//caiA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	folA//
CRP_IHF_PaaX	puuB//eda//hycF//aceA//galM//katG//araA//hycD//
CRP_IHF_UlaR	cadA//rhaA//lsrK//lhgO//
CRP_IHF_YiaJ	aspA//idnO//pdeR//betA//galM//gntK//
CRP_LexA	
CRP_Lrp	mraY//paaZ//sucC//entH//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	cysJ//
CRP_LsrR	zwf//patA//mazG//ubiA//yqjH//
CRP_MalI	pgaB//guaA//
CRP_MalT	gltA//waaY//
CRP_MalT_PhoP	fadB//
CRP_MelR	citE//tauD//
CRP_MetJ	gatZ//
CRP_MhpR	murC//lpxD//paaG//ubiC//atoD//entD//
CRP_Mlc	
CRP_ModE	mhpE//
CRP_MurR	deoD//mazG//prpE//
CRP_Nac_NsrR_PhoB	
CRP_NadR	garR//
CRP_NagC	ftnA//caiD//murQ//puuB//rbsK//
CRP_NagC_NanR	gabT//ftsI//
CRP_NagC_PhoP	purH//
CRP_OxyR	
CRP_OxyR_UxuR	xylB//
CRP_PhoB	prpE//uidA//
CRP_PhoP	galK//lysA//ogt//
CRP_PutA	fucU//
CRP_RbsR	caiB//dsdA//mpl//
CRP_RhaR_RhaS	
CRP_RhaS	fumB//mraY//entA//
CRP_Rob	fadA//
CRP_TorR	pdeL//hmp//
CRP_UhpA_UvrY	nirB//
CRP_UidR_UxuR	deoC//rbsD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	glgA//pck//
Cbl_CysB_FNR_IHF	sucA//torA//lysA//
CdaR_FNR_Fis_Fur_H-NS	fabZ//fadB//
CdaR_FNR_Fur_H-NS	entC//yiaK//deoC//aceA//
CpxR_CsgD_FliZ	
CpxR_CysB	sdhD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	entB//
CpxR_GadE	fucU//deoB//cdd//
CpxR_H-NS	glcB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	sdhA//
Cra_FNR_Fis_Lrp_NarL	puuD//
Cra_FNR_Fur_MarA_Rob_SoxS	deoC//
Cra_FhlA_FlhDC	citE//
Cra_GntR_KdgR	accC//
Cra_GntR_KdgR_PhoB	gatZ//
Cra_MarA_SoxS	citF//
Cra_PdeL	recF//
Cra_SgrR	paaF//
Cra_TyrR	hypF//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	astB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	bglB//lysA//
CusR_PhoB_YedW	ppiA//
CysB_H-NS	idnO//lldD//gabD//
CysB_HypT_IHF	murF//
CysB_IHF	ogt//purH//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	gntK//
DinJ-YafQ_LexA	codA//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	kbaZ//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	glpQ//
FNR_FhlA_NarL_NarP	icd//pck//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	paaZ//
FNR_Fis_IHF_ModE_NarL	idnK//
FNR_Fis_IHF_NarL	uxuB//
FNR_Fis_IHF_NarL_RstA	poxB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	frdB//
FNR_FlhDC_ModE_NarL_NarP	torA//
FNR_Fur	mraY//fadJ//
FNR_Fur_GadE	ulaE//
FNR_Fur_GadX_NtrC	chbG//
FNR_Fur_H-NS	xylA//hpt//treC//
FNR_Fur_MetR_NsrR	sucA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	deoD//
FNR_Fur_OxyR	paaH//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	fucK//
FNR_H-NS_NrdR	hycC//puuE//
FNR_IHF	astA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	cyoE//
FNR_IHF_PhoB	
FNR_MalT	gltB//narI//
FNR_ModE	
FNR_NarL	citG//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	napA//entH//
FNR_NarL_NikR	fadJ//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	idnO//aspA//
FNR_YqjI	
FabR_FadR	gcvH//moaD//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	cysI//sgbU//
FhlA_IHF_NsrR	
Fis_Fur	hyaA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	ppiA//
Fis_IHF	
Fis_IHF_NtrC	ldtB//mpl//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	udp//
Fis_NarL	gdhA//
Fis_NarL_NarP_NsrR	
Fis_PurR	hycB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	lsrG//
Fur_H-NS	yiaK//dmsA//
Fur_IHF_IscR_NsrR_OxyR	mnmG//
Fur_IscR_NrdR	ilvG_1//
Fur_MetR	astB//
Fur_MntR	citX//
Fur_MntR_OxyR	ssuD//
Fur_OxyR	
Fur_PurR	ilvI//
Fur_RcnR	frdB//
Fur_RutR	fabA//
Fur_SoxS_Zur	
Fur_YqjI	ilvM//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	yqjH//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	ilvH//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	murQ//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	fau//
H-NS_Lrp_NhaR_RcsB	rutC//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	chbG//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	hycC//
HU_IHF_TyrR	cysJ//
HigA_HigB-HigA	edd//
HipAB_HipB_IHF	paaZ//
HypT_MetJ	murD//
HypT_MetJ_PhoP	citD//puuA//
IHF_Lrp	uxuA//xylA//frdB//uidA//deoA//
IHF_NsrR	
IHF_NtrC	galK//
IHF_PhoP	
IHF_PspF	fadE//
IHF_RcsAB	
IHF_RtcR	torA//prpE//
IHF_TyrR	ynfH//
IHF_UlaR	tdcE//
LexA_MraZ_PdhR	fucK//gcd//fucO//cdd//argD//hpt//hycF//entA//nanM//puuC//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	astB//ynfF//
MarA_PhoP_Rob_SoxS	purN//glpB//fadE//nirD//sdhD//hycE//lhgO//frdD//hemA//
MarA_Rob_SoxS	murG//hycC//
MarA_SoxS	moaA//glgC//glpX//
MetJ_MetR	ddlB//
MetJ_OxyR	deoA//
MetR_PurR	fadE//
MraZ_PdhR	cyoE//
Nac_PurR	napH//guaA//
NarL_TorR	astD//
NemR_RutR	gdhA//gltA//
NhaR_OmpR	ackA//uxuA//melA//
NorR_NsrR	
NsrR_PhoB	paaJ//
OxyR_SoxS	
PdhR_PhoP	rbsD//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	pgaC//nrdF//
RelB_RelB-RelE	fumA//
TrpR_TyrR	aceF//
YefM_YefM-YoeB	fadJ//
