# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ndh//fucA//
ArcA_CRP_IHF	fbaA//
ArcA_CRP_PuuR	gcd//acnA//ynfG//katG//
ArcA_CRP_RhaS	caiD//
ArcA_CRP_TreR	fabB//dusB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	fadI//sucC//
ArcA_Cra	mhpF//
ArcA_Cra_FNR_H-NS_HypT	guaA//
ArcA_CysB_FNR	
ArcA_FNR	gloA//appA//galE//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	sodA//
ArcA_FNR_Fis_IHF_NarL	astA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	hemL//citF//
ArcA_FNR_IHF_NarL	metB//treC//
ArcA_FNR_NarL	pdeL//tdcB//serA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	hcp//murQ//
ArcA_FadR	murC//astB//lacZ//
ArcA_FadR_Fis	frdB//mhpA//
ArcA_Fur_Lrp_ModE	uxaB//nirD//
ArcA_GlcC_IHF_PdhR	frdD//relA//rnpB//
ArcA_LexA	ppiA//
ArcA_LldR	cysH//sgbU//
ArcA_NarL	ynfE//
ArcA_NtrC_PhoP_RutR	pgaD//ugpQ//dgcZ//ppiA//prpD//purM//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	pgaD//
ArgP_CRP_FNR_Fur_Nac	gabD//
ArgP_DnaA	galK//
ArgP_Lrp	pdeR//paaH//
ArgP_LysR	fabA//
ArgP_PhoB	
ArgR_CRP	pflB//
ArgR_CRP_Fis	caiB//patA//waaY//
ArgR_Fis_IHF_PepA_PurR_RutR	pnp//
ArgR_H-NS_NtrC	torA//pck//
ArgR_NtrC	sucB//aceB//aceA//ulaF//entE//
ArgR_PhoP	napG//
AscG_CRP	moaD//epd//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	galE//
AtoC_IHF	hpt//appA//pspE//
BaeR_CpxR	moaA//
BaeR_CpxR_EvgA	acs//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	tdcB//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	glpX//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	fes//fabB//cyoE//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	pgk//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ogt//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	paaH//puuA//entF//xylA//napB//pck//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	fau//nanK//purA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	bglB//gatD//rhaA//
CRP_Cra_Mlc_NagC	gcvP//lpxD//melA//glgA//
CRP_Cra_PrpR	citF//rhaA//purH//hycB//
CRP_CreB_Fis_MalT	dadX//
CRP_CsiR_H-NS_Lrp	pgaD//
CRP_CsiR_H-NS_Lrp_Nac	prmC//fes//glcB//
CRP_CspA_Fis	gdhA//
CRP_CytR	lpxC//
CRP_CytR_DeoR	xylA//cysJ//
CRP_CytR_DeoR_Fis_ModE	fadJ//gadA//nrdB//ulaG//
CRP_CytR_Nac	sdhC//
CRP_CytR_NsrR	hycD//
CRP_DcuR_FNR_NarL	napA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	torA//gltA//
CRP_DpiA_ExuR	lyxK//
CRP_DsdC	feaB//kbaZ//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	hycG//
CRP_ExuR	putA//
CRP_ExuR_FNR	sodB//hycD//
CRP_ExuR_OxyR_UxuR	waaY//ynfG//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	frdA//
CRP_FNR_Fis	lysA//lacZ//
CRP_FNR_Fis_GlpR_IHF	hypB//serA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	ahpC//sucC//zwf//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	pdeL//pyrD//purD//fumB//atoB//
CRP_FNR_NarL	garL//nanA//
CRP_FeaR_NsrR	murF//
CRP_Fis	fadE//ubiC//carB//
CRP_Fis_FlhDC_GalR_GalS	truB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	ynfF//lhgO//
CRP_Fis_IHF	ilvE//cysJ//argD//
CRP_Fis_NanR	fadI//moaA//fadD//bglB//
CRP_Fis_NtrC	lsrK//
CRP_Fis_XylR	guaB//
CRP_FlhDC_GalR_GalS	codA//
CRP_FucR	rhaA//nfsA//nanA//nagB//citF//dmsC//
CRP_Fur	paaZ//lysA//malY//idnO//sodB//dmsC//serC//sucA//cysJ//nanK//
CRP_Fur_HypT_PdhR	moeB//fau//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	moeB//nagB//ahpF//fumB//
CRP_GalR_GalS_NagC	pck//
CRP_GlpR	truB//fucK//ftnA//
CRP_GntR	puuB//
CRP_GntR_IdnR	puuB//sucD//paaB//aspC//metH//fumC//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	fadE//sufS//nrdB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	glpD//
CRP_H-NS_LacI	napC//ilvA//astE//
CRP_H-NS_LeuO	mhpE//
CRP_H-NS_MqsA	
CRP_IHF	gltA//hpt//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	hycG//
CRP_IHF_PaaX	hyaA//gcvH//fdhF//citF//folA//hycG//paaH//fadB//
CRP_IHF_UlaR	fau//hypF//gdhA//galK//
CRP_IHF_YiaJ	paaE//lpxD//gltD//nrdB//purH//adhE//
CRP_LexA	
CRP_Lrp	mhpE//deoC//astC//glgP//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	puuC//
CRP_LsrR	ftnA//paaI//pflB//mpl//fadI//
CRP_MalI	dsdA//acnA//
CRP_MalT	gatZ//pgaC//
CRP_MalT_PhoP	tdcD//
CRP_MelR	dadX//sodA//
CRP_MetJ	tdcE//
CRP_MhpR	malQ//gltD//malS//sucA//astD//waaH//
CRP_Mlc	
CRP_ModE	appA//
CRP_MurR	deoD//astD//ascB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	mazG//
CRP_NagC	edd//nanM//sucA//pyrD//murE//
CRP_NagC_NanR	cysJ//acnB//
CRP_NagC_PhoP	dadA//
CRP_OxyR	
CRP_OxyR_UxuR	nrfB//
CRP_PhoB	cysI//aceE//
CRP_PhoP	hycB//narH//nanA//
CRP_PutA	caiD//
CRP_RbsR	gcvT//glpB//udp//
CRP_RhaR_RhaS	
CRP_RhaS	astE//gltD//caiA//
CRP_Rob	pyrD//
CRP_TorR	pncB//purA//
CRP_UhpA_UvrY	hycD//
CRP_UidR_UxuR	putA//astC//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	zwf//glpD//
Cbl_CysB_FNR_IHF	gltA//frdA//narG//
CdaR_FNR_Fis_Fur_H-NS	prmC//glcF//
CdaR_FNR_Fur_H-NS	metL//sodA//puuC//napH//
CpxR_CsgD_FliZ	
CpxR_CysB	truB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	pdeR//
CpxR_GadE	cadA//prpE//napB//
CpxR_H-NS	ilvA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	narH//
Cra_FNR_Fis_Lrp_NarL	sdhC//
Cra_FNR_Fur_MarA_Rob_SoxS	deoA//
Cra_FhlA_FlhDC	paaE//
Cra_GntR_KdgR	nrfB//
Cra_GntR_KdgR_PhoB	paaG//
Cra_MarA_SoxS	paaK//
Cra_PdeL	fadJ//
Cra_SgrR	glpD//
Cra_TyrR	chbG//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	glpB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	malS//nrdA//
CusR_PhoB_YedW	gabT//
CysB_H-NS	purA//hypB//murF//
CysB_HypT_IHF	accC//
CysB_IHF	gcvP//gntK//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	deoD//
DinJ-YafQ_LexA	rbsD//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	paaA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	murD//
FNR_FhlA_NarL_NarP	edd//lacZ//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	acnA//
FNR_Fis_IHF_ModE_NarL	zwf//
FNR_Fis_IHF_NarL	sdhB//
FNR_Fis_IHF_NarL_RstA	pnp//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	glpX//
FNR_FlhDC_ModE_NarL_NarP	ilvM//
FNR_Fur	lldD//entA//
FNR_Fur_GadE	entA//
FNR_Fur_GadX_NtrC	metB//
FNR_Fur_H-NS	ogt//edd//citX//
FNR_Fur_MetR_NsrR	caiD//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	ogt//
FNR_Fur_OxyR	ugpQ//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	waaH//
FNR_H-NS_NrdR	lacA//glpD//
FNR_IHF	ilvH//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	dmsA//
FNR_IHF_PhoB	
FNR_MalT	gatD//puuD//
FNR_ModE	
FNR_NarL	pgk//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	lpxD//aceB//
FNR_NarL_NikR	hmp//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	malP//citE//
FNR_YqjI	
FabR_FadR	accB//nrfA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	waaH//entA//
FhlA_IHF_NsrR	
Fis_Fur	ilvH//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	lsrK//
Fis_IHF	
Fis_IHF_NtrC	mhpB//eda//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	putA//
Fis_NarL	fes//
Fis_NarL_NarP_NsrR	
Fis_PurR	uxuA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	paaH//
Fur_H-NS	ftsI//hcp//
Fur_IHF_IscR_NsrR_OxyR	gloA//
Fur_IscR_NrdR	glcF//
Fur_MetR	murC//
Fur_MntR	glcF//
Fur_MntR_OxyR	malY//
Fur_OxyR	
Fur_PurR	pgk//
Fur_RcnR	lldD//
Fur_RutR	pgaB//
Fur_SoxS_Zur	
Fur_YqjI	paaF//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	fucA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	pgaB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	ndh//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	puuA//
H-NS_Lrp_NhaR_RcsB	fes//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	ssuD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	sdhB//
HU_IHF_TyrR	gatD//
HigA_HigB-HigA	fabZ//
HipAB_HipB_IHF	ansB//
HypT_MetJ	frdC//
HypT_MetJ_PhoP	paaA//napG//
IHF_Lrp	fucA//mazG//rhaD//napC//citD//
IHF_NsrR	
IHF_NtrC	nrdA//
IHF_PhoP	
IHF_PspF	sufS//
IHF_RcsAB	
IHF_RtcR	rutD//nrdD//
IHF_TyrR	sgbH//
IHF_UlaR	moeA//
LexA_MraZ_PdhR	murQ//nanA//tdcG//ilvH//dsdA//kbaZ//caiD//moaE//xylB//cadA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	nanE//aroL//
MarA_PhoP_Rob_SoxS	cysH//gcd//frdA//fbaA//yqjH//aroA//ldtB//sucA//pgaC//
MarA_Rob_SoxS	fadE//rutD//
MarA_SoxS	glpD//tam//hycF//
MetJ_MetR	citF//
MetJ_OxyR	caiD//
MetR_PurR	recF//
MraZ_PdhR	fes//
Nac_PurR	ubiA//paaK//
NarL_TorR	codA//
NemR_RutR	purH//hycB//
NhaR_OmpR	waaY//metB//lldD//
NorR_NsrR	
NsrR_PhoB	ascB//
OxyR_SoxS	
PdhR_PhoP	astE//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	sdhD//rhaA//
RelB_RelB-RelE	garL//
TrpR_TyrR	pspE//
YefM_YefM-YoeB	metE//
