# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	caiB//hcp//
ArcA_CRP_IHF	araA//
ArcA_CRP_PuuR	ynfG//puuC//carA//ugpQ//
ArcA_CRP_RhaS	atoB//
ArcA_CRP_TreR	dadX//hyaC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	frdB//ilvH//
ArcA_Cra	paaH//
ArcA_Cra_FNR_H-NS_HypT	argD//
ArcA_CysB_FNR	
ArcA_FNR	betA//prpC//dusB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	pck//
ArcA_FNR_Fis_IHF_NarL	sodB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	fau//sodA//
ArcA_FNR_IHF_NarL	rbsK//citE//
ArcA_FNR_NarL	ldtB//tam//frdB//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	tam//ilvH//
ArcA_FadR	moaA//poxB//pnp//
ArcA_FadR_Fis	fabA//glpD//
ArcA_Fur_Lrp_ModE	araB//mhpD//
ArcA_GlcC_IHF_PdhR	accB//paaK//codA//
ArcA_LexA	umpH//
ArcA_LldR	dmsB//mhpE//
ArcA_NarL	hycE//
ArcA_NtrC_PhoP_RutR	glnA//idnD//gutQ//ilvH//metE//hycE//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	gabD//
ArgP_CRP_FNR_Fur_Nac	mhpF//
ArgP_DnaA	katE//
ArgP_Lrp	fes//cysM//
ArgP_LysR	cysG//
ArgP_PhoB	
ArgR_CRP	gcvP//
ArgR_CRP_Fis	atoB//aldA//fucK//
ArgR_Fis_IHF_PepA_PurR_RutR	idnK//
ArgR_H-NS_NtrC	ilvI//gnd//
ArgR_NtrC	rutD//ynfE//gltD//prpE//fadE//
ArgR_PhoP	dsdA//
AscG_CRP	betB//glpC//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	rhaA//
AtoC_IHF	glpC//nirD//napG//
BaeR_CpxR	rhaD//
BaeR_CpxR_EvgA	ansB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	recF//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	puuB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	paaK//gutQ//entF//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	zwf//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	deoC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	ogt//napA//puuC//nanA//ldtB//araA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	ssuE//lsrK//codA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	torA//accC//aceA//
CRP_Cra_Mlc_NagC	citX//deoD//paaA//nfsA//
CRP_Cra_PrpR	hcp//serA//ubiC//sdhB//
CRP_CreB_Fis_MalT	lpxD//
CRP_CsiR_H-NS_Lrp	aroA//
CRP_CsiR_H-NS_Lrp_Nac	metK//aspA//fadB//
CRP_CspA_Fis	rbsK//
CRP_CytR	pgaC//
CRP_CytR_DeoR	ynfG//nanM//
CRP_CytR_DeoR_Fis_ModE	serA//gabT//narI//idnK//
CRP_CytR_Nac	caiA//
CRP_CytR_NsrR	acnB//
CRP_DcuR_FNR_NarL	metH//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	ulaF//ulaG//
CRP_DpiA_ExuR	sodB//
CRP_DsdC	murE//citF//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	malQ//
CRP_ExuR	rbsK//
CRP_ExuR_FNR	patA//citD//
CRP_ExuR_OxyR_UxuR	fadB//sgbE//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	araB//
CRP_FNR_Fis	lsrG//mhpB//
CRP_FNR_Fis_GlpR_IHF	sgbU//aldB//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	astE//aceA//chbF//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	mazG//rutC//tam//mhpF//rhaA//
CRP_FNR_NarL	glcF//gapA//
CRP_FeaR_NsrR	hyaA//
CRP_Fis	fadH//gltB//sdhD//
CRP_Fis_FlhDC_GalR_GalS	glcB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	ilvH//yiaK//
CRP_Fis_IHF	pgaD//aceB//nrdB//
CRP_Fis_NanR	feaB//aspC//patA//gloA//
CRP_Fis_NtrC	srlD//
CRP_Fis_XylR	idnD//
CRP_FlhDC_GalR_GalS	lsrG//
CRP_FucR	glyA//frdD//glgA//gcvH//fucA//fabB//
CRP_Fur	paaC//carA//lpxD//gcvP//ulaD//ynfG//araA//caiA//lacA//aroA//
CRP_Fur_HypT_PdhR	rutE//aspA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	nanK//nagB//ilvM//ilvI//
CRP_GalR_GalS_NagC	malY//
CRP_GlpR	puuD//ilvA//rutD//
CRP_GntR	srlD//
CRP_GntR_IdnR	cysG//codA//paaF//adhE//sgbU//glcE//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	gadA//dsdA//appA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	paaJ//
CRP_H-NS_LacI	fau//aroG//gcd//
CRP_H-NS_LeuO	cyoE//
CRP_H-NS_MqsA	
CRP_IHF	epd//ulaG//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	cysJ//
CRP_IHF_PaaX	prpC//ssuE//sgbU//truB//cyoE//gcvH//dadX//lsrF//
CRP_IHF_UlaR	citG//lacA//paaI//sucC//
CRP_IHF_YiaJ	entE//deoC//aceA//cyoE//rsmH//betB//
CRP_LexA	
CRP_Lrp	hpt//hemA//nanE//puuB//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	eda//
CRP_LsrR	pncB//ackA//ynfH//cadA//narH//
CRP_MalI	malQ//accC//
CRP_MalT	fbaA//nrdF//
CRP_MalT_PhoP	purM//
CRP_MelR	napG//deoA//
CRP_MetJ	galE//
CRP_MhpR	citX//caiA//waaH//pck//glcE//hycB//
CRP_Mlc	
CRP_ModE	betB//
CRP_MurR	uxuB//nfsB//glpK//
CRP_Nac_NsrR_PhoB	
CRP_NadR	serC//
CRP_NagC	ftnA//ynfH//gatZ//narI//ubiC//
CRP_NagC_NanR	folA//narG//
CRP_NagC_PhoP	garR//
CRP_OxyR	
CRP_OxyR_UxuR	cysG//
CRP_PhoB	uxuB//ynfE//
CRP_PhoP	ssuD//betB//epd//
CRP_PutA	ynfH//
CRP_RbsR	gltB//hemL//lpxA//
CRP_RhaR_RhaS	
CRP_RhaS	waaY//folA//purM//
CRP_Rob	ldtB//
CRP_TorR	recF//zwf//
CRP_UhpA_UvrY	purN//
CRP_UidR_UxuR	lysA//ssuE//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	lldD//adhE//
Cbl_CysB_FNR_IHF	aldA//cdd//citX//
CdaR_FNR_Fis_Fur_H-NS	eda//cdd//
CdaR_FNR_Fur_H-NS	pdeL//fadH//dmsA//garK//
CpxR_CsgD_FliZ	
CpxR_CysB	cysI//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	malP//
CpxR_GadE	glcF//atoA//ulaE//
CpxR_H-NS	malQ//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	deoA//
Cra_FNR_Fis_Lrp_NarL	fdhF//
Cra_FNR_Fur_MarA_Rob_SoxS	citG//
Cra_FhlA_FlhDC	metL//
Cra_GntR_KdgR	mnmG//
Cra_GntR_KdgR_PhoB	fadJ//
Cra_MarA_SoxS	acnA//
Cra_PdeL	cysJ//
Cra_SgrR	murQ//
Cra_TyrR	idnK//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	lpd//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	codA//metE//
CusR_PhoB_YedW	caiD//
CysB_H-NS	serA//ndh//appA//
CysB_HypT_IHF	prpC//
CysB_IHF	hmp//lacZ//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	entB//
DinJ-YafQ_LexA	gatZ//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	astD//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	astB//
FNR_FhlA_NarL_NarP	torA//putA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	uxaC//
FNR_Fis_IHF_ModE_NarL	fdhF//
FNR_Fis_IHF_NarL	lysA//
FNR_Fis_IHF_NarL_RstA	poxB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	tdcB//
FNR_FlhDC_ModE_NarL_NarP	glnA//
FNR_Fur	araD//araA//
FNR_Fur_GadE	metK//
FNR_Fur_GadX_NtrC	aspC//
FNR_Fur_H-NS	mhpE//sucC//gcvP//
FNR_Fur_MetR_NsrR	ppiA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	mhpF//
FNR_Fur_OxyR	lhgO//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	ugpQ//
FNR_H-NS_NrdR	recF//icd//
FNR_IHF	hypB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	putA//
FNR_IHF_PhoB	
FNR_MalT	pnp//mdh//
FNR_ModE	
FNR_NarL	rutA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	rhaB//icd//
FNR_NarL_NikR	rutB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	sdhC//lpxC//
FNR_YqjI	
FabR_FadR	gatZ//sdhD//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	nrfC//gatY//
FhlA_IHF_NsrR	
Fis_Fur	nanM//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	fau//
Fis_IHF	
Fis_IHF_NtrC	sgbH//glyA//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	deoA//
Fis_NarL	bglB//
Fis_NarL_NarP_NsrR	
Fis_PurR	hycD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	metH//
Fur_H-NS	paaF//mnmG//
Fur_IHF_IscR_NsrR_OxyR	ubiC//
Fur_IscR_NrdR	dusB//
Fur_MetR	mazG//
Fur_MntR	torA//
Fur_MntR_OxyR	hpt//
Fur_OxyR	
Fur_PurR	prpD//
Fur_RcnR	puuD//
Fur_RutR	carB//
Fur_SoxS_Zur	
Fur_YqjI	malY//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	glgC//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	frdD//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	sodA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	entF//
H-NS_Lrp_NhaR_RcsB	atoA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	entF//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	fadH//
HU_IHF_TyrR	aspC//
HigA_HigB-HigA	glpQ//
HipAB_HipB_IHF	murF//
HypT_MetJ	murD//
HypT_MetJ_PhoP	gapA//puuA//
IHF_Lrp	hycE//rimK//prpB//umpH//fumA//
IHF_NsrR	
IHF_NtrC	paaK//
IHF_PhoP	
IHF_PspF	pgk//
IHF_RcsAB	
IHF_RtcR	gnd//nanA//
IHF_TyrR	gcvP//
IHF_UlaR	lyxK//
LexA_MraZ_PdhR	gutQ//hyaC//lacZ//caiD//hycG//glcB//ynfG//frdD//gadA//waaY//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	glcB//napG//
MarA_PhoP_Rob_SoxS	mazG//ndh//ynfG//nfsB//argG//galK//glpQ//sgbU//nrdF//
MarA_Rob_SoxS	araB//paaE//
MarA_SoxS	cyoE//murE//atoA//
MetJ_MetR	ppiA//
MetJ_OxyR	nrdF//
MetR_PurR	pyrD//
MraZ_PdhR	puuA//
Nac_PurR	purD//tdcD//
NarL_TorR	nanA//
NemR_RutR	moaD//gltB//
NhaR_OmpR	fadH//gnd//narH//
NorR_NsrR	
NsrR_PhoB	sdhA//
OxyR_SoxS	
PdhR_PhoP	astB//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	glgA//ansB//
RelB_RelB-RelE	moaE//
TrpR_TyrR	gltB//
YefM_YefM-YoeB	araD//
