# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ahpF//paaC//
ArcA_CRP_IHF	fumB//
ArcA_CRP_PuuR	glcF//ppiA//cysG//ilvG_2//
ArcA_CRP_RhaS	garK//
ArcA_CRP_TreR	purM//lpxC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	araD//frdC//
ArcA_Cra	metB//
ArcA_Cra_FNR_H-NS_HypT	hycF//
ArcA_CysB_FNR	
ArcA_FNR	fbaA//aroA//acnB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	murE//
ArcA_FNR_Fis_IHF_NarL	nrdE//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	napB//lyxK//
ArcA_FNR_IHF_NarL	metH//gdhA//
ArcA_FNR_NarL	dgcZ//rbsK//citE//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	aroL//nrfA//
ArcA_FadR	edd//tam//sdhD//
ArcA_FadR_Fis	nemA//gatZ//
ArcA_Fur_Lrp_ModE	nrfB//sdhB//
ArcA_GlcC_IHF_PdhR	sdhD//hyaC//moaD//
ArcA_LexA	entD//
ArcA_LldR	sgbH//tdcE//
ArcA_NarL	eda//
ArcA_NtrC_PhoP_RutR	nrdE//mdh//yqjH//prpB//kbaZ//tdcD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	nagB//
ArgP_CRP_FNR_Fur_Nac	gcvP//
ArgP_DnaA	fumB//
ArgP_Lrp	aspC//pspE//
ArgP_LysR	paaK//
ArgP_PhoB	
ArgR_CRP	mhpF//
ArgR_CRP_Fis	lsrG//xylA//mraY//
ArgR_Fis_IHF_PepA_PurR_RutR	nagB//
ArgR_H-NS_NtrC	sucA//glcE//
ArgR_NtrC	prpB//sdhA//gatZ//pdeR//pgk//
ArgR_PhoP	caiD//
AscG_CRP	moaA//nrdD//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	nanA//
AtoC_IHF	entD//hyaB//codA//
BaeR_CpxR	pgk//
BaeR_CpxR_EvgA	entB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	glpA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	dsdA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	ubiA//lpxC//purD//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	ynfG//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	aspC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	hemA//narH//chbF//garL//hypB//deoD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	aceF//nanM//eda//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	bglB//waaY//gatD//
CRP_Cra_Mlc_NagC	appA//tam//edd//frdA//
CRP_Cra_PrpR	napA//serC//paaH//ynfF//
CRP_CreB_Fis_MalT	astC//
CRP_CsiR_H-NS_Lrp	frdD//
CRP_CsiR_H-NS_Lrp_Nac	acnA//srlD//nemA//
CRP_CspA_Fis	aceF//
CRP_CytR	citX//
CRP_CytR_DeoR	mhpB//gatZ//
CRP_CytR_DeoR_Fis_ModE	accC//nanK//acs//narH//
CRP_CytR_Nac	mdh//
CRP_CytR_NsrR	hemL//
CRP_DcuR_FNR_NarL	gutQ//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	gntK//metH//
CRP_DpiA_ExuR	aceB//
CRP_DsdC	ilvD//rhaB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	fabZ//
CRP_ExuR	acs//
CRP_ExuR_FNR	gdhA//truB//
CRP_ExuR_OxyR_UxuR	pdeL//moeA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	ahpF//
CRP_FNR_Fis	ubiA//puuA//
CRP_FNR_Fis_GlpR_IHF	srlD//nrdA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	recF//mhpE//fucA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	zwf//fucA//hycG//accC//sdhA//
CRP_FNR_NarL	ynfF//moaD//
CRP_FeaR_NsrR	ascB//
CRP_Fis	astD//galT//ogt//
CRP_Fis_FlhDC_GalR_GalS	gatD//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	ilvD//acnA//
CRP_Fis_IHF	kbaZ//paaA//nirB//
CRP_Fis_NanR	fumA//katE//hemL//rnpB//
CRP_Fis_NtrC	metK//
CRP_Fis_XylR	carB//
CRP_FlhDC_GalR_GalS	fadD//
CRP_FucR	uxaB//ilvG_2//dusB//garK//galK//metE//
CRP_Fur	purN//moaE//nanE//purA//fumA//fadD//ilvA//mhpD//pck//citX//
CRP_Fur_HypT_PdhR	metK//ulaF//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	astA//purM//caiD//gatZ//
CRP_GalR_GalS_NagC	moeB//
CRP_GlpR	cysG//lldD//ulaE//
CRP_GntR	rhaA//
CRP_GntR_IdnR	entC//deoC//citF//paaB//rhaD//lacZ//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	acnB//sufS//frdB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	fucA//
CRP_H-NS_LacI	rhaA//fadE//lpxD//
CRP_H-NS_LeuO	fadI//
CRP_H-NS_MqsA	
CRP_IHF	mhpF//accB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	gatZ//
CRP_IHF_PaaX	fucU//ubiC//citD//ppiA//murQ//hycF//xylA//ilvD//
CRP_IHF_UlaR	fumA//xylB//fumA//rhaB//
CRP_IHF_YiaJ	yiaK//adhE//gdhA//gadA//murG//glpD//
CRP_LexA	
CRP_Lrp	nrdE//sdhB//rnpB//purN//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	rbsD//
CRP_LsrR	araB//rhaB//nrdE//nrfD//puuD//
CRP_MalI	hycF//rutD//
CRP_MalT	hyaC//frdD//
CRP_MalT_PhoP	aceE//
CRP_MelR	glpK//pgaD//
CRP_MetJ	prmC//
CRP_MhpR	gcvT//prpC//glgP//citE//mpl//frdD//
CRP_Mlc	
CRP_ModE	glpX//
CRP_MurR	rutC//ulaF//fadE//
CRP_Nac_NsrR_PhoB	
CRP_NadR	entD//
CRP_NagC	uvrA//hyaC//malP//rhaA//gnd//
CRP_NagC_NanR	entA//fumC//
CRP_NagC_PhoP	ppiA//
CRP_OxyR	
CRP_OxyR_UxuR	gadB//
CRP_PhoB	araA//uvrA//
CRP_PhoP	glgA//aceA//moeA//
CRP_PutA	paaC//
CRP_RbsR	puuC//glgC//ndh//
CRP_RhaR_RhaS	
CRP_RhaS	cyoE//gltD//moaE//
CRP_Rob	yqjH//
CRP_TorR	treC//glgP//
CRP_UhpA_UvrY	prpD//
CRP_UidR_UxuR	sdhD//glpB//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	glpC//adiA//
Cbl_CysB_FNR_IHF	rbsK//caiC//carA//
CdaR_FNR_Fis_Fur_H-NS	fadJ//moeA//
CdaR_FNR_Fur_H-NS	nanM//kbaZ//icd//uxaC//
CpxR_CsgD_FliZ	
CpxR_CysB	tauD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	dadA//
CpxR_GadE	ftnA//mnmG//betA//
CpxR_H-NS	prpE//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	mhpB//
Cra_FNR_Fis_Lrp_NarL	uxaC//
Cra_FNR_Fur_MarA_Rob_SoxS	umpH//
Cra_FhlA_FlhDC	ddlB//
Cra_GntR_KdgR	cdd//
Cra_GntR_KdgR_PhoB	gcvH//
Cra_MarA_SoxS	moeA//
Cra_PdeL	gatY//
Cra_SgrR	appA//
Cra_TyrR	sgbU//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	entA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	yiaK//murD//
CusR_PhoB_YedW	puuA//
CysB_H-NS	murG//paaA//nrdA//
CysB_HypT_IHF	sgbH//
CysB_IHF	narI//lpxA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	accB//
DinJ-YafQ_LexA	fumC//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	tdcE//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	ulaF//
FNR_FhlA_NarL_NarP	frdC//caiC//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	fucI//
FNR_Fis_IHF_ModE_NarL	ldtB//
FNR_Fis_IHF_NarL	fucK//
FNR_Fis_IHF_NarL_RstA	lsrK//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	fadI//
FNR_FlhDC_ModE_NarL_NarP	ascB//
FNR_Fur	sdhB//xylA//
FNR_Fur_GadE	astB//
FNR_Fur_GadX_NtrC	yiaK//
FNR_Fur_H-NS	ilvH//rimK//galE//
FNR_Fur_MetR_NsrR	frdA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	lacA//
FNR_Fur_OxyR	glgA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	paaG//
FNR_H-NS_NrdR	metH//katG//
FNR_IHF	tam//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	ubiC//
FNR_IHF_PhoB	
FNR_MalT	gdhA//garL//
FNR_ModE	
FNR_NarL	paaC//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	acnA//galE//
FNR_NarL_NikR	glpX//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	atoD//udp//
FNR_YqjI	
FabR_FadR	gcvH//ugpQ//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	astC//fadA//
FhlA_IHF_NsrR	
Fis_Fur	astA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	mpl//
Fis_IHF	
Fis_IHF_NtrC	nrdD//lpxA//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	ilvM//
Fis_NarL	rbsK//
Fis_NarL_NarP_NsrR	
Fis_PurR	narG//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	rhaB//
Fur_H-NS	dmsB//cdd//
Fur_IHF_IscR_NsrR_OxyR	nfsB//
Fur_IscR_NrdR	gcvP//
Fur_MetR	cysG//
Fur_MntR	sgbU//
Fur_MntR_OxyR	sodA//
Fur_OxyR	
Fur_PurR	glgC//
Fur_RcnR	aroG//
Fur_RutR	pgaB//
Fur_SoxS_Zur	
Fur_YqjI	glgP//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	nrfA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	fabB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	glgC//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	fumB//
H-NS_Lrp_NhaR_RcsB	nrfC//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	nrdD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	paaC//
HU_IHF_TyrR	aspA//
HigA_HigB-HigA	moeA//
HipAB_HipB_IHF	katE//
HypT_MetJ	waaH//
HypT_MetJ_PhoP	lsrK//malQ//
IHF_Lrp	tnaA//narI//idnO//rimK//lpd//
IHF_NsrR	
IHF_NtrC	paaF//
IHF_PhoP	
IHF_PspF	astE//
IHF_RcsAB	
IHF_RtcR	ndh//hycB//
IHF_TyrR	astB//
IHF_UlaR	icd//
LexA_MraZ_PdhR	atoB//fadA//feaB//fucK//hyaC//rutD//cysI//caiB//glcF//mnmG//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	garL//galE//
MarA_PhoP_Rob_SoxS	deoA//edd//cysH//frdC//frdB//ynfE//glpD//sucB//uxuA//
MarA_Rob_SoxS	dmsA//gcvP//
MarA_SoxS	gadB//gapA//murG//
MetJ_MetR	gcvT//
MetJ_OxyR	hycD//
MetR_PurR	dgcZ//
MraZ_PdhR	cyoE//
Nac_PurR	gadB//ilvA//
NarL_TorR	ascB//
NemR_RutR	moaA//glcF//
NhaR_OmpR	rutD//puuD//rimK//
NorR_NsrR	
NsrR_PhoB	idnD//
OxyR_SoxS	
PdhR_PhoP	fadI//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	atoD//xylB//
RelB_RelB-RelE	moaE//
TrpR_TyrR	dmsA//
YefM_YefM-YoeB	pgk//
