# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	mraY//uxuB//
ArcA_CRP_IHF	gapA//
ArcA_CRP_PuuR	waaH//metK//purM//glpQ//
ArcA_CRP_RhaS	fadD//
ArcA_CRP_TreR	gatZ//mnmG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	lpd//acnB//
ArcA_Cra	paaE//
ArcA_Cra_FNR_H-NS_HypT	fucA//
ArcA_CysB_FNR	
ArcA_FNR	citF//umpH//fucA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	dadA//
ArcA_FNR_Fis_IHF_NarL	bglB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	kbaZ//dgcZ//
ArcA_FNR_IHF_NarL	glpK//astA//
ArcA_FNR_NarL	sdhD//edd//folA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	fucK//ynfH//
ArcA_FadR	hypB//fadA//fucO//
ArcA_FadR_Fis	chbF//gatY//
ArcA_Fur_Lrp_ModE	pgaD//ppiA//
ArcA_GlcC_IHF_PdhR	pdeL//hpt//srlD//
ArcA_LexA	epd//
ArcA_LldR	aroG//cyoE//
ArcA_NarL	deoD//
ArcA_NtrC_PhoP_RutR	gatY//mnmG//glcB//acnB//dadX//pdeL//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	hycE//
ArgP_CRP_FNR_Fur_Nac	pdeL//
ArgP_DnaA	fadA//
ArgP_Lrp	lacZ//aspC//
ArgP_LysR	entA//
ArgP_PhoB	
ArgR_CRP	moeB//
ArgR_CRP_Fis	idnD//fumA//lyxK//
ArgR_Fis_IHF_PepA_PurR_RutR	umpH//
ArgR_H-NS_NtrC	pdeL//ilvD//
ArgR_NtrC	hycF//nrdD//serA//nanE//fumA//
ArgR_PhoP	rsmH//
AscG_CRP	nanA//gatY//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	idnD//
AtoC_IHF	aroL//pck//yqjH//
BaeR_CpxR	entC//
BaeR_CpxR_EvgA	napA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	fadJ//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	puuA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	nanE//nrfA//moeB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	nrdD//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	fadD//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	hypB//napH//murF//gatZ//sdhD//purA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	codA//lldD//metL//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	cysI//guaA//puuD//
CRP_Cra_Mlc_NagC	aldA//lsrG//prpC//ubiA//
CRP_Cra_PrpR	ilvI//fucI//betA//narI//
CRP_CreB_Fis_MalT	dmsB//
CRP_CsiR_H-NS_Lrp	pgaD//
CRP_CsiR_H-NS_Lrp_Nac	hycE//pdeR//hypF//
CRP_CspA_Fis	fes//
CRP_CytR	puuC//
CRP_CytR_DeoR	tam//srlD//
CRP_CytR_DeoR_Fis_ModE	caiB//poxB//ppiA//nrdA//
CRP_CytR_Nac	hypB//
CRP_CytR_NsrR	lsrG//
CRP_DcuR_FNR_NarL	paaA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	nrfD//hycC//
CRP_DpiA_ExuR	nanM//
CRP_DsdC	fucA//caiA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	puuA//
CRP_ExuR	glcE//
CRP_ExuR_FNR	citE//moaA//
CRP_ExuR_OxyR_UxuR	deoB//poxB//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	glpC//
CRP_FNR_Fis	fadH//narG//
CRP_FNR_Fis_GlpR_IHF	ynfE//metB//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	nrdB//garK//citG//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	fumB//katE//ubiC//sucD//srlD//
CRP_FNR_NarL	gatZ//paaG//
CRP_FeaR_NsrR	murQ//
CRP_Fis	mhpA//narI//recF//
CRP_Fis_FlhDC_GalR_GalS	nanE//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	zwf//gutQ//
CRP_Fis_IHF	hycB//malY//murG//
CRP_Fis_NanR	recF//uxaA//nrdA//rutC//
CRP_Fis_NtrC	entC//
CRP_Fis_XylR	lpxC//
CRP_FlhDC_GalR_GalS	frdD//
CRP_FucR	acnA//waaZ//puuE//gcvH//accC//ynfG//
CRP_Fur	mhpB//ahpF//fumC//deoB//lsrF//gabT//astD//ynfE//mdh//idnD//
CRP_Fur_HypT_PdhR	ynfH//ubiC//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	fadJ//ynfG//garK//astC//
CRP_GalR_GalS_NagC	nagB//
CRP_GlpR	puuC//aspA//betA//
CRP_GntR	paaA//
CRP_GntR_IdnR	cysM//sdhA//nfsA//entC//moaD//murF//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	prpC//glpA//pck//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	pyrD//
CRP_H-NS_LacI	prpE//uxuA//metK//
CRP_H-NS_LeuO	citF//
CRP_H-NS_MqsA	
CRP_IHF	prmC//entD//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	aroG//
CRP_IHF_PaaX	fbaA//nirB//yiaK//aceE//glpX//deoC//caiA//guaA//
CRP_IHF_UlaR	paaI//fumA//mhpF//serA//
CRP_IHF_YiaJ	umpH//astE//prpC//ynfE//mhpE//deoD//
CRP_LexA	
CRP_Lrp	glcE//lpxD//uidA//glcD//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	katE//
CRP_LsrR	paaC//aroL//hyaB//nrdA//pflB//
CRP_MalI	dmsA//nrdA//
CRP_MalT	astC//torA//
CRP_MalT_PhoP	paaI//
CRP_MelR	mhpA//gcvP//
CRP_MetJ	prpE//
CRP_MhpR	malY//ndh//pflB//nrdF//glyA//gatD//
CRP_Mlc	
CRP_ModE	torA//
CRP_MurR	metE//ulaE//dadX//
CRP_Nac_NsrR_PhoB	
CRP_NadR	frdC//
CRP_NagC	guaB//nagB//paaG//hpt//cdd//
CRP_NagC_NanR	tnaA//nanA//
CRP_NagC_PhoP	deoA//
CRP_OxyR	
CRP_OxyR_UxuR	pyrC//
CRP_PhoB	paaJ//glpK//
CRP_PhoP	eda//rnpB//paaE//
CRP_PutA	nrfC//
CRP_RbsR	cysI//moaA//idnD//
CRP_RhaR_RhaS	
CRP_RhaS	aceE//relA//dmsA//
CRP_Rob	entB//
CRP_TorR	accB//gloA//
CRP_UhpA_UvrY	nrfA//
CRP_UidR_UxuR	hypB//glgA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	glgP//hcp//
Cbl_CysB_FNR_IHF	gltD//poxB//gltA//
CdaR_FNR_Fis_Fur_H-NS	murD//bglB//
CdaR_FNR_Fur_H-NS	sucD//yiaK//citD//ilvI//
CpxR_CsgD_FliZ	
CpxR_CysB	nrdD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ahpF//
CpxR_GadE	fadD//waaY//gdhA//
CpxR_H-NS	ppiA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	aceE//
Cra_FNR_Fis_Lrp_NarL	nfsB//
Cra_FNR_Fur_MarA_Rob_SoxS	cyoE//
Cra_FhlA_FlhDC	accC//
Cra_GntR_KdgR	ulaG//
Cra_GntR_KdgR_PhoB	ulaE//
Cra_MarA_SoxS	poxB//
Cra_PdeL	aroL//
Cra_SgrR	gabD//
Cra_TyrR	murG//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	betB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	acs//glpX//
CusR_PhoB_YedW	rbsK//
CysB_H-NS	yqjH//moeB//entF//
CysB_HypT_IHF	rutB//
CysB_IHF	galT//paaZ//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	kbaZ//
DinJ-YafQ_LexA	aroG//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	hycB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	guaB//
FNR_FhlA_NarL_NarP	tam//citE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	betA//
FNR_Fis_IHF_ModE_NarL	fucI//
FNR_Fis_IHF_NarL	pdeR//
FNR_Fis_IHF_NarL_RstA	idnD//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	fucU//
FNR_FlhDC_ModE_NarL_NarP	betB//
FNR_Fur	putA//gcvH//
FNR_Fur_GadE	entB//
FNR_Fur_GadX_NtrC	pnp//
FNR_Fur_H-NS	nrdD//rutC//gadB//
FNR_Fur_MetR_NsrR	purA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	entC//
FNR_Fur_OxyR	tdcG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	puuC//
FNR_H-NS_NrdR	gdhA//pgaB//
FNR_IHF	icd//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	carB//
FNR_IHF_PhoB	
FNR_MalT	moeA//glpQ//
FNR_ModE	
FNR_NarL	paaK//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	ilvE//uxaC//
FNR_NarL_NikR	paaC//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	katE//accC//
FNR_YqjI	
FabR_FadR	pyrC//rutD//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	hyaA//nagA//
FhlA_IHF_NsrR	
Fis_Fur	murQ//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	aceE//
Fis_IHF	
Fis_IHF_NtrC	sdhA//malQ//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	nrfB//
Fis_NarL	pncB//
Fis_NarL_NarP_NsrR	
Fis_PurR	kbaZ//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	srlD//
Fur_H-NS	hycC//feaB//
Fur_IHF_IscR_NsrR_OxyR	sucC//
Fur_IscR_NrdR	malS//
Fur_MetR	glcE//
Fur_MntR	citE//
Fur_MntR_OxyR	nrfD//
Fur_OxyR	
Fur_PurR	prpB//
Fur_RcnR	garL//
Fur_RutR	ftnA//
Fur_SoxS_Zur	
Fur_YqjI	hycB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	glcD//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	garL//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	waaH//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	truB//
H-NS_Lrp_NhaR_RcsB	astA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	rhaD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	bglB//
HU_IHF_TyrR	uxaA//
HigA_HigB-HigA	fes//
HipAB_HipB_IHF	icd//
HypT_MetJ	dadA//
HypT_MetJ_PhoP	lsrK//adiA//
IHF_Lrp	fdhF//accC//pgk//hmp//folA//
IHF_NsrR	
IHF_NtrC	lpxD//
IHF_PhoP	
IHF_PspF	eda//
IHF_RcsAB	
IHF_RtcR	kbaZ//patA//
IHF_TyrR	mhpB//
IHF_UlaR	patA//
LexA_MraZ_PdhR	gadA//gltD//fes//gltD//ascB//lpxC//lpxA//cysM//glcB//fadB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	moaE//fucO//
MarA_PhoP_Rob_SoxS	acs//tnaA//napB//pdeR//eda//glpD//fucA//folA//pspE//
MarA_Rob_SoxS	purD//relA//
MarA_SoxS	hycF//purM//sucC//
MetJ_MetR	feaB//
MetJ_OxyR	relA//
MetR_PurR	ugpQ//
MraZ_PdhR	mhpC//
Nac_PurR	paaJ//ilvI//
NarL_TorR	dusB//
NemR_RutR	araB//aroA//
NhaR_OmpR	sucD//cyoE//citX//
NorR_NsrR	
NsrR_PhoB	astC//
OxyR_SoxS	
PdhR_PhoP	dmsC//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	accB//acs//
RelB_RelB-RelE	ldtB//
TrpR_TyrR	murE//
YefM_YefM-YoeB	purN//
