# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	gloA//ahpF//
ArcA_CRP_IHF	dadX//
ArcA_CRP_PuuR	bglB//astC//rsmH//glgC//
ArcA_CRP_RhaS	fucA//
ArcA_CRP_TreR	puuA//fes//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	sufS//fadI//
ArcA_Cra	entE//
ArcA_Cra_FNR_H-NS_HypT	astE//
ArcA_CysB_FNR	
ArcA_FNR	puuE//atoD//araB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	aroL//
ArcA_FNR_Fis_IHF_NarL	recF//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	sgbE//narH//
ArcA_FNR_IHF_NarL	ilvA//betB//
ArcA_FNR_NarL	pyrC//adiA//glpQ//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	pgk//araD//
ArcA_FadR	udp//paaB//lpxD//
ArcA_FadR_Fis	entB//nagA//
ArcA_Fur_Lrp_ModE	pncB//dmsA//
ArcA_GlcC_IHF_PdhR	ftnA//recF//mhpE//
ArcA_LexA	fumA//
ArcA_LldR	cdd//lsrG//
ArcA_NarL	glcB//
ArcA_NtrC_PhoP_RutR	treC//gntK//adhE//puuC//citC//astB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	dsdA//
ArgP_CRP_FNR_Fur_Nac	torA//
ArgP_DnaA	paaA//
ArgP_Lrp	glpX//paaJ//
ArgP_LysR	chbG//
ArgP_PhoB	
ArgR_CRP	paaK//
ArgR_CRP_Fis	moeB//katG//deoC//
ArgR_Fis_IHF_PepA_PurR_RutR	hycB//
ArgR_H-NS_NtrC	patA//katE//
ArgR_NtrC	fadE//folA//ssuD//lpxA//sgbU//
ArgR_PhoP	moeA//
AscG_CRP	glyA//paaK//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	rimK//
AtoC_IHF	glpQ//hmp//hycB//
BaeR_CpxR	gadA//
BaeR_CpxR_EvgA	moaE//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	glcE//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	citC//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	paaF//dmsA//sodB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	hypB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	frdC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	purH//purA//narI//tdcG//ackA//glpB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	mraY//nagB//xylA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	narH//betA//fadA//
CRP_Cra_Mlc_NagC	sucC//fucI//sdhD//icd//
CRP_Cra_PrpR	fadJ//purM//cysH//dmsB//
CRP_CreB_Fis_MalT	galK//
CRP_CsiR_H-NS_Lrp	moeB//
CRP_CsiR_H-NS_Lrp_Nac	gcd//hypB//mdh//
CRP_CspA_Fis	nanM//
CRP_CytR	moaE//
CRP_CytR_DeoR	rsmH//citF//
CRP_CytR_DeoR_Fis_ModE	paaC//lldD//mdh//araB//
CRP_CytR_Nac	mtlD//
CRP_CytR_NsrR	glcD//
CRP_DcuR_FNR_NarL	aceF//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	acnA//nrdF//
CRP_DpiA_ExuR	adiA//
CRP_DsdC	purM//dsdA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	prpD//
CRP_ExuR	sucB//
CRP_ExuR_FNR	deoB//moaE//
CRP_ExuR_OxyR_UxuR	fadJ//fumB//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	udp//
CRP_FNR_Fis	icd//rsmH//
CRP_FNR_Fis_GlpR_IHF	eda//cdd//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	acnA//murC//betB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	fucA//nagA//fadD//nrdF//ilvE//
CRP_FNR_NarL	hycF//ilvM//
CRP_FeaR_NsrR	gntK//
CRP_Fis	galT//malP//prmC//
CRP_Fis_FlhDC_GalR_GalS	glcE//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	glpB//gcvP//
CRP_Fis_IHF	gcvH//hypF//araB//
CRP_Fis_NanR	nfsA//pgaC//hcp//waaY//
CRP_Fis_NtrC	tdcD//
CRP_Fis_XylR	hycE//
CRP_FlhDC_GalR_GalS	ilvH//
CRP_FucR	caiA//aldB//entF//gltA//ahpF//ascB//
CRP_Fur	caiA//lpxA//gcvT//udp//prpB//uidA//gatY//sgbH//fau//sucC//
CRP_Fur_HypT_PdhR	rhaD//araA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	hemA//gatZ//entA//nrfB//
CRP_GalR_GalS_NagC	argD//
CRP_GlpR	rnpB//guaB//napC//
CRP_GntR	lyxK//
CRP_GntR_IdnR	paaA//malY//fucI//argD//fadA//ssuE//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	dadX//hycC//lsrG//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	fumA//
CRP_H-NS_LacI	glpC//puuE//nrdA//
CRP_H-NS_LeuO	adhE//
CRP_H-NS_MqsA	
CRP_IHF	entF//lyxK//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	deoC//
CRP_IHF_PaaX	uvrA//yqjH//gcd//atoA//rnpB//tauD//idnK//appA//
CRP_IHF_UlaR	uxaC//fabA//hemA//paaE//
CRP_IHF_YiaJ	rnpB//chbF//icd//malY//carA//xylB//
CRP_LexA	
CRP_Lrp	folA//hycB//umpH//lyxK//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	fucA//
CRP_LsrR	entH//napB//mhpB//gadA//galM//
CRP_MalI	glpA//lysA//
CRP_MalT	mpl//udp//
CRP_MalT_PhoP	nanE//
CRP_MelR	paaB//purH//
CRP_MetJ	aspC//
CRP_MhpR	napC//ddlB//ynfG//paaC//aldB//pflB//
CRP_Mlc	
CRP_ModE	metE//
CRP_MurR	puuB//glcD//uidA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	rsmH//
CRP_NagC	purH//deoD//atoA//glpA//hycF//
CRP_NagC_NanR	fadI//tdcE//
CRP_NagC_PhoP	gadB//
CRP_OxyR	
CRP_OxyR_UxuR	purH//
CRP_PhoB	icd//fucK//
CRP_PhoP	glpB//rutA//sdhA//
CRP_PutA	rutC//
CRP_RbsR	fadB//aspC//waaY//
CRP_RhaR_RhaS	
CRP_RhaS	glpB//ackA//ahpC//
CRP_Rob	malP//
CRP_TorR	ilvI//glpC//
CRP_UhpA_UvrY	recF//
CRP_UidR_UxuR	chbF//paaF//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	dmsA//argG//
Cbl_CysB_FNR_IHF	dmsA//rhaD//serA//
CdaR_FNR_Fis_Fur_H-NS	aspC//carA//
CdaR_FNR_Fur_H-NS	glpB//ilvI//gutQ//garK//
CpxR_CsgD_FliZ	
CpxR_CysB	ssuD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	malY//
CpxR_GadE	aceE//tdcD//hyaB//
CpxR_H-NS	aceF//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	kbaZ//
Cra_FNR_Fis_Lrp_NarL	citC//
Cra_FNR_Fur_MarA_Rob_SoxS	moaE//
Cra_FhlA_FlhDC	ulaF//
Cra_GntR_KdgR	cyoE//
Cra_GntR_KdgR_PhoB	waaY//
Cra_MarA_SoxS	tdcB//
Cra_PdeL	sodA//
Cra_SgrR	murF//
Cra_TyrR	xylB//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	recF//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	moeA//narI//
CusR_PhoB_YedW	narG//
CysB_H-NS	lpxC//umpH//glpK//
CysB_HypT_IHF	gatD//
CysB_IHF	rhaD//paaG//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	entH//
DinJ-YafQ_LexA	gadA//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	ilvG_2//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	garL//
FNR_FhlA_NarL_NarP	prpC//ilvG_2//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	sucD//
FNR_Fis_IHF_ModE_NarL	sdhA//
FNR_Fis_IHF_NarL	tdcE//
FNR_Fis_IHF_NarL_RstA	acnB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	sufS//
FNR_FlhDC_ModE_NarL_NarP	aldB//
FNR_Fur	prpE//fadJ//
FNR_Fur_GadE	gutQ//
FNR_Fur_GadX_NtrC	carB//
FNR_Fur_H-NS	betB//moaE//ynfF//
FNR_Fur_MetR_NsrR	srlD//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	paaJ//
FNR_Fur_OxyR	fau//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	accB//
FNR_H-NS_NrdR	glpX//lsrK//
FNR_IHF	aceE//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	glpB//
FNR_IHF_PhoB	
FNR_MalT	glpX//mhpF//
FNR_ModE	
FNR_NarL	glyA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	fucO//fadD//
FNR_NarL_NikR	nanE//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	fadH//pnp//
FNR_YqjI	
FabR_FadR	nfsB//dadA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	puuB//moaD//
FhlA_IHF_NsrR	
Fis_Fur	garL//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	murC//
Fis_IHF	
Fis_IHF_NtrC	sodB//sdhA//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	fadA//
Fis_NarL	araA//
Fis_NarL_NarP_NsrR	
Fis_PurR	galT//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	fabB//
Fur_H-NS	fucI//nanK//
Fur_IHF_IscR_NsrR_OxyR	frdB//
Fur_IscR_NrdR	paaK//
Fur_MetR	ndh//
Fur_MntR	aceF//
Fur_MntR_OxyR	xylA//
Fur_OxyR	
Fur_PurR	fadI//
Fur_RcnR	cysG//
Fur_RutR	sucD//
Fur_SoxS_Zur	
Fur_YqjI	aceB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	galT//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	araB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	aspA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	kbaZ//
H-NS_Lrp_NhaR_RcsB	caiA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	ugpQ//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	sucD//
HU_IHF_TyrR	tam//
HigA_HigB-HigA	pnp//
HipAB_HipB_IHF	paaB//
HypT_MetJ	ilvH//
HypT_MetJ_PhoP	gltD//tdcB//
IHF_Lrp	betB//icd//nagB//accC//chbG//
IHF_NsrR	
IHF_NtrC	hyaC//
IHF_PhoP	
IHF_PspF	ssuE//
IHF_RcsAB	
IHF_RtcR	nfsB//metK//
IHF_TyrR	glgC//
IHF_UlaR	argG//
LexA_MraZ_PdhR	hyaC//lpxD//ogt//citE//garK//entD//lpxC//puuB//entH//cdd//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	lpxD//katG//
MarA_PhoP_Rob_SoxS	glgA//fumB//xylB//hycB//ldtB//cysJ//dadA//betA//paaI//
MarA_Rob_SoxS	lsrF//aroL//
MarA_SoxS	torC//waaH//gatY//
MetJ_MetR	galK//
MetJ_OxyR	atoA//
MetR_PurR	glpB//
MraZ_PdhR	uxaB//
Nac_PurR	ddlB//lhgO//
NarL_TorR	mhpA//
NemR_RutR	torA//rbsK//
NhaR_OmpR	moeB//pgaD//gatD//
NorR_NsrR	
NsrR_PhoB	tauD//
OxyR_SoxS	
PdhR_PhoP	rhaD//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	fau//idnD//
RelB_RelB-RelE	mhpC//
TrpR_TyrR	ilvG_1//
YefM_YefM-YoeB	gapA//
