# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	citE//gltB//
ArcA_CRP_IHF	araA//
ArcA_CRP_PuuR	ulaG//ilvA//moaE//uxaB//
ArcA_CRP_RhaS	glcF//
ArcA_CRP_TreR	glgP//gabD//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	malS//prpB//
ArcA_Cra	xylA//
ArcA_Cra_FNR_H-NS_HypT	astB//
ArcA_CysB_FNR	
ArcA_FNR	pgk//astC//argD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	waaZ//
ArcA_FNR_Fis_IHF_NarL	malQ//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	hyaC//dmsA//
ArcA_FNR_IHF_NarL	gabD//mtlD//
ArcA_FNR_NarL	betB//gltD//udp//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	rutD//rimK//
ArcA_FadR	cyoE//astA//frdD//
ArcA_FadR_Fis	hcp//appA//
ArcA_Fur_Lrp_ModE	malP//nrfD//
ArcA_GlcC_IHF_PdhR	tdcG//acnB//idnD//
ArcA_LexA	pck//
ArcA_LldR	gntK//caiA//
ArcA_NarL	fucA//
ArcA_NtrC_PhoP_RutR	nrfA//paaA//uxuB//argG//deoD//pyrD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	dgcZ//
ArgP_CRP_FNR_Fur_Nac	ssuD//
ArgP_DnaA	rutE//
ArgP_Lrp	uxaB//paaA//
ArgP_LysR	pspE//
ArgP_PhoB	
ArgR_CRP	uxaA//
ArgR_CRP_Fis	cysI//citX//citX//
ArgR_Fis_IHF_PepA_PurR_RutR	lysA//
ArgR_H-NS_NtrC	glpC//glcF//
ArgR_NtrC	atoA//relA//murQ//ilvA//ilvG_2//
ArgR_PhoP	uvrA//
AscG_CRP	aceF//hycE//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	moaD//
AtoC_IHF	murF//ulaG//napH//
BaeR_CpxR	ftsI//
BaeR_CpxR_EvgA	hyaB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	nanM//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	purH//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	paaC//cysH//lldD//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	atoB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	feaB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	cdd//rbsD//ftnA//caiD//eda//sgbH//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	cdd//mpl//uxuB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	nagB//chbF//mpl//
CRP_Cra_Mlc_NagC	purM//malY//prmC//purD//
CRP_Cra_PrpR	uxaB//astB//uxaC//hypF//
CRP_CreB_Fis_MalT	hyaB//
CRP_CsiR_H-NS_Lrp	hycC//
CRP_CsiR_H-NS_Lrp_Nac	frdA//dgcZ//tnaA//
CRP_CspA_Fis	hypF//
CRP_CytR	puuB//
CRP_CytR_DeoR	glgP//fadE//
CRP_CytR_DeoR_Fis_ModE	nfsA//araB//melA//hemL//
CRP_CytR_Nac	ansB//
CRP_CytR_NsrR	lacZ//
CRP_DcuR_FNR_NarL	pflB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	puuC//uxuB//
CRP_DpiA_ExuR	rsmH//
CRP_DsdC	uxaA//purH//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ndh//
CRP_ExuR	glgP//
CRP_ExuR_FNR	ilvM//hypB//
CRP_ExuR_OxyR_UxuR	guaA//murC//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	guaB//
CRP_FNR_Fis	sufS//sdhD//
CRP_FNR_Fis_GlpR_IHF	gabT//acs//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	nrdD//ilvG_2//fucO//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	galM//uidA//idnK//deoB//aspA//
CRP_FNR_NarL	gnd//ogt//
CRP_FeaR_NsrR	katE//
CRP_Fis	rhaB//paaK//fadJ//
CRP_Fis_FlhDC_GalR_GalS	ppiA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	hyaB//gnd//
CRP_Fis_IHF	fucA//caiB//ogt//
CRP_Fis_NanR	dgcZ//tnaA//melA//purD//
CRP_Fis_NtrC	frdC//
CRP_Fis_XylR	codA//
CRP_FlhDC_GalR_GalS	deoA//
CRP_FucR	sdhD//nanM//codA//rutA//paaE//idnK//
CRP_Fur	lpd//tdcG//nfsB//gcd//ynfG//lyxK//mhpC//moaE//gatY//murD//
CRP_Fur_HypT_PdhR	pdeL//pdeL//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	glpK//ndh//rutE//eda//
CRP_GalR_GalS_NagC	astE//
CRP_GlpR	glgP//citG//purH//
CRP_GntR	rbsD//
CRP_GntR_IdnR	betA//nrfC//metL//adiA//hycG//aceA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	sgbU//ugpQ//gadA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	relA//
CRP_H-NS_LacI	gadA//entB//entA//
CRP_H-NS_LeuO	relA//
CRP_H-NS_MqsA	
CRP_IHF	ynfF//malS//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	ndh//
CRP_IHF_PaaX	malQ//fadE//aldB//glgA//argG//relA//hemL//paaA//
CRP_IHF_UlaR	mhpF//fucK//fumB//umpH//
CRP_IHF_YiaJ	prpE//gatD//ilvE//prmC//astC//ssuE//
CRP_LexA	
CRP_Lrp	aceE//glpK//lpxC//ynfG//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	ldtB//
CRP_LsrR	uxaA//narI//codA//yiaK//citF//
CRP_MalI	paaK//hycB//
CRP_MalT	serA//poxB//
CRP_MalT_PhoP	galT//
CRP_MelR	gcvT//lsrK//
CRP_MetJ	gloA//
CRP_MhpR	fabB//carB//glpQ//galM//astC//hycG//
CRP_Mlc	
CRP_ModE	malS//
CRP_MurR	fucK//fadA//udp//
CRP_Nac_NsrR_PhoB	
CRP_NadR	uidA//
CRP_NagC	gltD//ilvE//ilvI//napH//hycF//
CRP_NagC_NanR	hemA//poxB//
CRP_NagC_PhoP	citD//
CRP_OxyR	
CRP_OxyR_UxuR	waaH//
CRP_PhoB	sgbU//puuC//
CRP_PhoP	nemA//mhpD//ynfG//
CRP_PutA	fes//
CRP_RbsR	nanK//tdcG//fadD//
CRP_RhaR_RhaS	
CRP_RhaS	paaK//citG//umpH//
CRP_Rob	malY//
CRP_TorR	glyA//metL//
CRP_UhpA_UvrY	codA//
CRP_UidR_UxuR	murG//ssuE//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	metE//ilvE//
Cbl_CysB_FNR_IHF	mtlD//ansB//rutA//
CdaR_FNR_Fis_Fur_H-NS	entH//katG//
CdaR_FNR_Fur_H-NS	paaJ//katE//araB//gutQ//
CpxR_CsgD_FliZ	
CpxR_CysB	torC//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	fucU//
CpxR_GadE	dsdA//pgaC//rbsK//
CpxR_H-NS	uxaC//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	fumC//
Cra_FNR_Fis_Lrp_NarL	gltB//
Cra_FNR_Fur_MarA_Rob_SoxS	relA//
Cra_FhlA_FlhDC	entH//
Cra_GntR_KdgR	umpH//
Cra_GntR_KdgR_PhoB	gltA//
Cra_MarA_SoxS	serC//
Cra_PdeL	pnp//
Cra_SgrR	glgA//
Cra_TyrR	gatD//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	uxaB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	nirD//araB//
CusR_PhoB_YedW	ansB//
CysB_H-NS	torC//glpK//pgk//
CysB_HypT_IHF	lsrK//
CysB_IHF	citC//fucO//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	malQ//
DinJ-YafQ_LexA	uxaC//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	galK//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	aroG//
FNR_FhlA_NarL_NarP	ddlB//tam//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gatZ//
FNR_Fis_IHF_ModE_NarL	poxB//
FNR_Fis_IHF_NarL	ilvD//
FNR_Fis_IHF_NarL_RstA	ilvG_2//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	ulaF//
FNR_FlhDC_ModE_NarL_NarP	rbsK//
FNR_Fur	metH//ahpC//
FNR_Fur_GadE	cysJ//
FNR_Fur_GadX_NtrC	xylB//
FNR_Fur_H-NS	pgk//ulaD//srlD//
FNR_Fur_MetR_NsrR	rhaB//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	entA//
FNR_Fur_OxyR	astB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	lacZ//
FNR_H-NS_NrdR	glgC//fumC//
FNR_IHF	gutQ//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	dgcZ//
FNR_IHF_PhoB	
FNR_MalT	puuB//ftsI//
FNR_ModE	
FNR_NarL	galK//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	nagB//dsdA//
FNR_NarL_NikR	fadD//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	prpB//gatD//
FNR_YqjI	
FabR_FadR	hyaA//relA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	garL//hpt//
FhlA_IHF_NsrR	
Fis_Fur	lacA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	tnaA//
Fis_IHF	
Fis_IHF_NtrC	narH//ynfF//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	argD//
Fis_NarL	pdeR//
Fis_NarL_NarP_NsrR	
Fis_PurR	lpxA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	nrdD//
Fur_H-NS	paaF//aspC//
Fur_IHF_IscR_NsrR_OxyR	sucC//
Fur_IscR_NrdR	glpX//
Fur_MetR	aceA//
Fur_MntR	gapA//
Fur_MntR_OxyR	murD//
Fur_OxyR	
Fur_PurR	hemL//
Fur_RcnR	fdhF//
Fur_RutR	fabB//
Fur_SoxS_Zur	
Fur_YqjI	hycD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	ilvH//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	aspC//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	ssuE//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	fucK//
H-NS_Lrp_NhaR_RcsB	napH//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	acnB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	aroA//
HU_IHF_TyrR	acnA//
HigA_HigB-HigA	paaF//
HipAB_HipB_IHF	paaE//
HypT_MetJ	mtlD//
HypT_MetJ_PhoP	uxuA//hyaB//
IHF_Lrp	ddlB//ldtB//gadA//chbG//nanM//
IHF_NsrR	
IHF_NtrC	hemA//
IHF_PhoP	
IHF_PspF	cysH//
IHF_RcsAB	
IHF_RtcR	uxaC//fes//
IHF_TyrR	lsrF//
IHF_UlaR	idnK//
LexA_MraZ_PdhR	tnaA//nrfA//entF//citG//pyrD//mhpC//nrdF//citX//glpX//frdC//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	glgC//mhpF//
MarA_PhoP_Rob_SoxS	uxaC//prmC//torC//ppiA//fucK//purH//glgC//gltB//ulaD//
MarA_Rob_SoxS	paaG//chbG//
MarA_SoxS	fumA//galE//betB//
MetJ_MetR	tauD//
MetJ_OxyR	mazG//
MetR_PurR	mazG//
MraZ_PdhR	dgcZ//
Nac_PurR	paaF//prpB//
NarL_TorR	murD//
NemR_RutR	rutB//srlD//
NhaR_OmpR	hemA//xylB//pyrC//
NorR_NsrR	
NsrR_PhoB	yiaK//
OxyR_SoxS	
PdhR_PhoP	waaH//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	deoD//ilvI//
RelB_RelB-RelE	metK//
TrpR_TyrR	caiB//
YefM_YefM-YoeB	pyrC//
