# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	garR//purD//
ArcA_CRP_IHF	entF//
ArcA_CRP_PuuR	metH//paaC//glgA//lsrF//
ArcA_CRP_RhaS	citF//
ArcA_CRP_TreR	murF//puuC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	fabA//puuC//
ArcA_Cra	fucI//
ArcA_Cra_FNR_H-NS_HypT	fucI//
ArcA_CysB_FNR	
ArcA_FNR	rbsD//dmsB//metB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	tdcG//
ArcA_FNR_Fis_IHF_NarL	glpQ//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	murF//nanM//
ArcA_FNR_IHF_NarL	pyrC//rimK//
ArcA_FNR_NarL	sodB//citE//gcvP//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	glpD//deoB//
ArcA_FadR	sucD//paaB//ddlB//
ArcA_FadR_Fis	aceE//uvrA//
ArcA_Fur_Lrp_ModE	lacA//tdcB//
ArcA_GlcC_IHF_PdhR	nrdA//cyoE//prmC//
ArcA_LexA	waaH//
ArcA_LldR	pgaC//torC//
ArcA_NarL	acnB//
ArcA_NtrC_PhoP_RutR	uvrA//ynfF//katE//codA//aroA//hycD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	tdcB//
ArgP_CRP_FNR_Fur_Nac	glpB//
ArgP_DnaA	metL//
ArgP_Lrp	nfsB//carA//
ArgP_LysR	aspA//
ArgP_PhoB	
ArgR_CRP	nagB//
ArgR_CRP_Fis	melA//nrdA//pdeL//
ArgR_Fis_IHF_PepA_PurR_RutR	gloA//
ArgR_H-NS_NtrC	glpX//nirB//
ArgR_NtrC	sodA//ilvI//glpQ//sucD//ndh//
ArgR_PhoP	citG//
AscG_CRP	hpt//aspC//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	gapA//
AtoC_IHF	ubiC//prpC//aroL//
BaeR_CpxR	moaE//
BaeR_CpxR_EvgA	lacZ//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	glnA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	fumC//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	xylB//mhpF//deoD//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	frdD//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	dsdA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	ilvG_1//fdhF//fucA//fes//hycD//lpxA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	prpE//murG//prpD//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	tdcD//gutQ//entA//
CRP_Cra_Mlc_NagC	sodB//prpE//fucI//ubiC//
CRP_Cra_PrpR	torC//atoD//pyrC//cadA//
CRP_CreB_Fis_MalT	pgaD//
CRP_CsiR_H-NS_Lrp	ynfG//
CRP_CsiR_H-NS_Lrp_Nac	nirD//sufS//metE//
CRP_CspA_Fis	fadH//
CRP_CytR	nagB//
CRP_CytR_DeoR	rhaB//metL//
CRP_CytR_DeoR_Fis_ModE	metE//dmsA//ldtB//puuA//
CRP_CytR_Nac	carB//
CRP_CytR_NsrR	glcD//
CRP_DcuR_FNR_NarL	tdcB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	glcB//pgaC//
CRP_DpiA_ExuR	aroL//
CRP_DsdC	waaZ//glyA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	aspC//
CRP_ExuR	fau//
CRP_ExuR_FNR	uidA//aspA//
CRP_ExuR_OxyR_UxuR	dsdA//serC//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	metL//
CRP_FNR_Fis	idnK//hemL//
CRP_FNR_Fis_GlpR_IHF	entF//mtlD//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	hycC//aldB//ynfG//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	caiD//accC//ldtB//astA//paaE//
CRP_FNR_NarL	ilvI//aceA//
CRP_FeaR_NsrR	sdhB//
CRP_Fis	gutQ//cysJ//puuA//
CRP_Fis_FlhDC_GalR_GalS	truB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	epd//idnK//
CRP_Fis_IHF	serC//dmsA//nrfB//
CRP_Fis_NanR	sgbE//moeA//astE//ilvD//
CRP_Fis_NtrC	ackA//
CRP_Fis_XylR	umpH//
CRP_FlhDC_GalR_GalS	aroL//
CRP_FucR	narI//lyxK//betA//uxuA//hyaA//lacZ//
CRP_Fur	deoD//ftsI//entA//astC//ilvE//ynfE//araA//ilvG_2//dadA//folA//
CRP_Fur_HypT_PdhR	ynfE//fabB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	paaH//gabT//ilvG_1//caiB//
CRP_GalR_GalS_NagC	uidA//
CRP_GlpR	fucA//ilvA//adiA//
CRP_GntR	mdh//
CRP_GntR_IdnR	acs//glgC//hyaB//murE//kbaZ//araD//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	nirB//sdhD//malQ//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	lsrF//
CRP_H-NS_LacI	cysM//adhE//treC//
CRP_H-NS_LeuO	fucK//
CRP_H-NS_MqsA	
CRP_IHF	mhpD//rhaA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	hycB//
CRP_IHF_PaaX	hyaB//sgbE//sgbE//frdA//sufS//fbaA//puuE//fadI//
CRP_IHF_UlaR	edd//hycC//carB//fadE//
CRP_IHF_YiaJ	rnpB//murE//rnpB//sdhD//lpxC//fadB//
CRP_LexA	
CRP_Lrp	carB//ascB//carB//truB//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	deoC//
CRP_LsrR	serC//ubiA//lacA//gadB//puuC//
CRP_MalI	prpD//nrfB//
CRP_MalT	ilvM//gapA//
CRP_MalT_PhoP	mazG//
CRP_MelR	cysG//fes//
CRP_MetJ	serA//
CRP_MhpR	metH//ynfE//paaZ//garR//garL//ilvG_2//
CRP_Mlc	
CRP_ModE	truB//
CRP_MurR	hycE//nanA//aroL//
CRP_Nac_NsrR_PhoB	
CRP_NadR	nanE//
CRP_NagC	glpB//ilvG_2//garR//pck//rhaB//
CRP_NagC_NanR	lyxK//hemA//
CRP_NagC_PhoP	feaB//
CRP_OxyR	
CRP_OxyR_UxuR	citE//
CRP_PhoB	udp//astD//
CRP_PhoP	gcvP//guaB//hpt//
CRP_PutA	dgcZ//
CRP_RbsR	tdcB//waaY//citC//
CRP_RhaR_RhaS	
CRP_RhaS	puuA//glpB//mdh//
CRP_Rob	srlD//
CRP_TorR	lpxA//gatZ//
CRP_UhpA_UvrY	entB//
CRP_UidR_UxuR	moeA//paaF//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	narH//malP//
Cbl_CysB_FNR_IHF	galT//gntK//gnd//
CdaR_FNR_Fis_Fur_H-NS	uxuA//puuB//
CdaR_FNR_Fur_H-NS	napG//moaA//garK//fadH//
CpxR_CsgD_FliZ	
CpxR_CysB	waaH//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	fadH//
CpxR_GadE	gatD//uvrA//rhaB//
CpxR_H-NS	purM//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	atoB//
Cra_FNR_Fis_Lrp_NarL	edd//
Cra_FNR_Fur_MarA_Rob_SoxS	waaY//
Cra_FhlA_FlhDC	acs//
Cra_GntR_KdgR	glgP//
Cra_GntR_KdgR_PhoB	atoA//
Cra_MarA_SoxS	nrfB//
Cra_PdeL	glpA//
Cra_SgrR	rsmH//
Cra_TyrR	gntK//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	hycB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	glpB//nrdB//
CusR_PhoB_YedW	nanE//
CysB_H-NS	hycD//fau//metE//
CysB_HypT_IHF	fdhF//
CysB_IHF	napH//narH//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	fbaA//
DinJ-YafQ_LexA	pflB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	nirD//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	hyaB//
FNR_FhlA_NarL_NarP	dadX//hycE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	serA//
FNR_Fis_IHF_ModE_NarL	glcF//
FNR_Fis_IHF_NarL	metH//
FNR_Fis_IHF_NarL_RstA	hycE//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	epd//
FNR_FlhDC_ModE_NarL_NarP	nagA//
FNR_Fur	rimK//malS//
FNR_Fur_GadE	caiB//
FNR_Fur_GadX_NtrC	lpxC//
FNR_Fur_H-NS	gcd//ulaD//paaC//
FNR_Fur_MetR_NsrR	epd//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	moeA//
FNR_Fur_OxyR	sgbH//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	lldD//
FNR_H-NS_NrdR	waaH//tauD//
FNR_IHF	galT//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	uidA//
FNR_IHF_PhoB	
FNR_MalT	uvrA//gadA//
FNR_ModE	
FNR_NarL	patA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	mhpF//gcd//
FNR_NarL_NikR	pncB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	murC//pgaB//
FNR_YqjI	
FabR_FadR	aroG//ynfE//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	paaA//chbG//
FhlA_IHF_NsrR	
Fis_Fur	astA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	sucD//
Fis_IHF	
Fis_IHF_NtrC	cadA//lpxA//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	acnA//
Fis_NarL	ilvI//
Fis_NarL_NarP_NsrR	
Fis_PurR	serA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	purA//
Fur_H-NS	puuE//treC//
Fur_IHF_IscR_NsrR_OxyR	narH//
Fur_IscR_NrdR	fadJ//
Fur_MetR	chbG//
Fur_MntR	glpC//
Fur_MntR_OxyR	gapA//
Fur_OxyR	
Fur_PurR	fumA//
Fur_RcnR	rutE//
Fur_RutR	waaH//
Fur_SoxS_Zur	
Fur_YqjI	fabZ//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	araB//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	glyA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	hpt//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	fabA//
H-NS_Lrp_NhaR_RcsB	nemA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	araD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	fabB//
HU_IHF_TyrR	tdcE//
HigA_HigB-HigA	mhpE//
HipAB_HipB_IHF	carB//
HypT_MetJ	pncB//
HypT_MetJ_PhoP	sucD//hyaA//
IHF_Lrp	malS//tdcG//astB//narH//glyA//
IHF_NsrR	
IHF_NtrC	glcB//
IHF_PhoP	
IHF_PspF	gnd//
IHF_RcsAB	
IHF_RtcR	gltB//paaJ//
IHF_TyrR	ilvH//
IHF_UlaR	ahpC//
LexA_MraZ_PdhR	malS//idnD//ynfH//ppiA//hypF//gatZ//hemL//mraY//entC//gcvH//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	glpC//pdeL//
MarA_PhoP_Rob_SoxS	hycD//nrdE//gapA//serA//nanK//frdB//citD//tdcG//puuA//
MarA_Rob_SoxS	napH//purN//
MarA_SoxS	mhpF//xylA//araA//
MetJ_MetR	ssuD//
MetJ_OxyR	glcB//
MetR_PurR	dmsC//
MraZ_PdhR	aroL//
Nac_PurR	dmsC//entF//
NarL_TorR	glgC//
NemR_RutR	sucB//recF//
NhaR_OmpR	ssuD//hypB//lacZ//
NorR_NsrR	
NsrR_PhoB	hycC//
OxyR_SoxS	
PdhR_PhoP	aldA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	gcvH//fucI//
RelB_RelB-RelE	entE//
TrpR_TyrR	murC//
YefM_YefM-YoeB	frdB//
