# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	prpD//sucB//
ArcA_CRP_IHF	rutE//
ArcA_CRP_PuuR	hycC//lsrK//nrdD//lhgO//
ArcA_CRP_RhaS	ilvD//
ArcA_CRP_TreR	yqjH//mnmG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	malS//cadA//
ArcA_Cra	folA//
ArcA_Cra_FNR_H-NS_HypT	mhpD//
ArcA_CysB_FNR	
ArcA_FNR	pgk//atoD//frdD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	deoB//
ArcA_FNR_Fis_IHF_NarL	metE//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	fucI//paaZ//
ArcA_FNR_IHF_NarL	murF//idnD//
ArcA_FNR_NarL	astC//paaH//cysH//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	dmsC//galM//
ArcA_FadR	ynfH//icd//rutE//
ArcA_FadR_Fis	sdhD//sgbE//
ArcA_Fur_Lrp_ModE	fadJ//aceA//
ArcA_GlcC_IHF_PdhR	hyaC//hemL//galT//
ArcA_LexA	cysM//
ArcA_LldR	fucU//mtlD//
ArcA_NarL	hycB//
ArcA_NtrC_PhoP_RutR	pspE//fadB//fumB//gltA//rutE//yqjH//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	lacA//
ArgP_CRP_FNR_Fur_Nac	hycG//
ArgP_DnaA	puuD//
ArgP_Lrp	sucA//hemL//
ArgP_LysR	lsrF//
ArgP_PhoB	
ArgR_CRP	ndh//
ArgR_CRP_Fis	mhpE//aroL//rimK//
ArgR_Fis_IHF_PepA_PurR_RutR	ppiA//
ArgR_H-NS_NtrC	frdA//truB//
ArgR_NtrC	ilvM//uxuB//araD//caiD//sufS//
ArgR_PhoP	deoA//
AscG_CRP	citG//ndh//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	fucU//
AtoC_IHF	hpt//nrfA//gatD//
BaeR_CpxR	gntK//
BaeR_CpxR_EvgA	ugpQ//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	katG//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	cdd//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	nrdF//cysH//gcvP//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	ahpC//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	uxaB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	carB//caiD//glgA//hypB//puuD//rimK//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	ascB//carB//gcvH//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	ugpQ//ulaG//gntK//
CRP_Cra_Mlc_NagC	betB//glcE//atoB//paaF//
CRP_Cra_PrpR	dadX//aldA//aceE//ahpC//
CRP_CreB_Fis_MalT	moeA//
CRP_CsiR_H-NS_Lrp	napA//
CRP_CsiR_H-NS_Lrp_Nac	gadA//sodA//recF//
CRP_CspA_Fis	nanA//
CRP_CytR	fbaA//
CRP_CytR_DeoR	puuB//udp//
CRP_CytR_DeoR_Fis_ModE	pgaB//aroL//lpxA//puuE//
CRP_CytR_Nac	purA//
CRP_CytR_NsrR	melA//
CRP_DcuR_FNR_NarL	truB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	glcD//hycG//
CRP_DpiA_ExuR	galK//
CRP_DsdC	nanK//gatZ//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	hyaC//
CRP_ExuR	paaG//
CRP_ExuR_FNR	rhaB//bglB//
CRP_ExuR_OxyR_UxuR	bglB//hycE//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	hcp//
CRP_FNR_Fis	idnO//hemL//
CRP_FNR_Fis_GlpR_IHF	putA//gnd//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	tdcG//gutQ//entB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	argD//ynfE//astD//entF//hemA//
CRP_FNR_NarL	fucK//eda//
CRP_FeaR_NsrR	ynfE//
CRP_Fis	araA//aroG//glpB//
CRP_Fis_FlhDC_GalR_GalS	rnpB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	fbaA//hycC//
CRP_Fis_IHF	aceF//codA//mraY//
CRP_Fis_NanR	paaB//pncB//fadE//ogt//
CRP_Fis_NtrC	cdd//
CRP_Fis_XylR	gadA//
CRP_FlhDC_GalR_GalS	citC//
CRP_FucR	treC//frdB//puuE//pflB//serC//garL//
CRP_Fur	rutA//paaC//nrdF//garK//putA//napG//glgP//carA//nrdE//napG//
CRP_Fur_HypT_PdhR	nrdF//glpQ//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	ftsI//ilvI//nrdB//atoD//
CRP_GalR_GalS_NagC	metL//
CRP_GlpR	rsmH//napA//pflB//
CRP_GntR	nagA//
CRP_GntR_IdnR	napG//hypF//sdhB//ftsI//cysH//ackA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	sodB//hycC//citC//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	nanK//
CRP_H-NS_LacI	lpd//prpD//purD//
CRP_H-NS_LeuO	murD//
CRP_H-NS_MqsA	
CRP_IHF	hycE//hyaB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	gntK//
CRP_IHF_PaaX	glgP//rsmH//lacZ//atoD//malP//caiC//ddlB//gadA//
CRP_IHF_UlaR	pdeL//ilvA//paaH//umpH//
CRP_IHF_YiaJ	fdhF//icd//dmsC//metL//sodA//purH//
CRP_LexA	
CRP_Lrp	mhpE//astA//uvrA//lsrK//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	nrdF//
CRP_LsrR	nrfB//galM//fadE//chbG//lysA//
CRP_MalI	garL//melA//
CRP_MalT	sdhC//adiA//
CRP_MalT_PhoP	ddlB//
CRP_MelR	ynfG//aldB//
CRP_MetJ	nrfB//
CRP_MhpR	lacZ//torC//cysM//dmsB//fes//moaD//
CRP_Mlc	
CRP_ModE	aceB//
CRP_MurR	nfsA//lsrF//recF//
CRP_Nac_NsrR_PhoB	
CRP_NadR	guaB//
CRP_NagC	fucK//appA//araA//fucU//pgaD//
CRP_NagC_NanR	napG//sucB//
CRP_NagC_PhoP	rbsK//
CRP_OxyR	
CRP_OxyR_UxuR	rutB//
CRP_PhoB	astB//rbsK//
CRP_PhoP	melA//malP//atoA//
CRP_PutA	entF//
CRP_RbsR	ftnA//pdeR//serC//
CRP_RhaR_RhaS	
CRP_RhaS	sucD//frdC//citF//
CRP_Rob	ascB//
CRP_TorR	serA//hmp//
CRP_UhpA_UvrY	fbaA//
CRP_UidR_UxuR	yiaK//sgbH//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	sodA//lysA//
Cbl_CysB_FNR_IHF	gltA//gabD//caiA//
CdaR_FNR_Fis_Fur_H-NS	fadD//tdcE//
CdaR_FNR_Fur_H-NS	edd//pyrC//hcp//idnK//
CpxR_CsgD_FliZ	
CpxR_CysB	edd//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	serC//
CpxR_GadE	cysI//hemA//hyaA//
CpxR_H-NS	rutC//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	cysH//
Cra_FNR_Fis_Lrp_NarL	tauD//
Cra_FNR_Fur_MarA_Rob_SoxS	xylB//
Cra_FhlA_FlhDC	deoB//
Cra_GntR_KdgR	murF//
Cra_GntR_KdgR_PhoB	fucK//
Cra_MarA_SoxS	tdcD//
Cra_PdeL	dmsB//
Cra_SgrR	rutC//
Cra_TyrR	ilvH//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	entE//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	sgbE//fucA//
CusR_PhoB_YedW	paaG//
CysB_H-NS	nrdB//pdeR//ogt//
CysB_HypT_IHF	lsrG//
CysB_IHF	gloA//nemA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	gcvP//
DinJ-YafQ_LexA	malQ//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	aceB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	murG//
FNR_FhlA_NarL_NarP	glgA//napB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gdhA//
FNR_Fis_IHF_ModE_NarL	fabA//
FNR_Fis_IHF_NarL	pspE//
FNR_Fis_IHF_NarL_RstA	ftnA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	aroA//
FNR_FlhDC_ModE_NarL_NarP	guaA//
FNR_Fur	bglB//cysM//
FNR_Fur_GadE	gcvH//
FNR_Fur_GadX_NtrC	puuB//
FNR_Fur_H-NS	ndh//lpxC//appA//
FNR_Fur_MetR_NsrR	ascB//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	icd//
FNR_Fur_OxyR	dadA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	glpA//
FNR_H-NS_NrdR	ddlB//ilvH//
FNR_IHF	aceA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	glnA//
FNR_IHF_PhoB	
FNR_MalT	betA//entH//
FNR_ModE	
FNR_NarL	glpB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	moeB//fucA//
FNR_NarL_NikR	hypB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	purM//fucU//
FNR_YqjI	
FabR_FadR	paaZ//tnaA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	glpA//puuC//
FhlA_IHF_NsrR	
Fis_Fur	glcE//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	fdhF//
Fis_IHF	
Fis_IHF_NtrC	sodB//paaJ//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	pspE//
Fis_NarL	xylB//
Fis_NarL_NarP_NsrR	
Fis_PurR	lsrF//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	moeB//
Fur_H-NS	glcE//fabB//
Fur_IHF_IscR_NsrR_OxyR	murF//
Fur_IscR_NrdR	glgC//
Fur_MetR	ftnA//
Fur_MntR	nemA//
Fur_MntR_OxyR	dmsA//
Fur_OxyR	
Fur_PurR	sgbE//
Fur_RcnR	frdD//
Fur_RutR	xylA//
Fur_SoxS_Zur	
Fur_YqjI	prpE//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	dgcZ//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	paaZ//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	gabD//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	ahpF//
H-NS_Lrp_NhaR_RcsB	gcvP//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	gcvP//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	acs//
HU_IHF_TyrR	sgbH//
HigA_HigB-HigA	fumC//
HipAB_HipB_IHF	narH//
HypT_MetJ	murD//
HypT_MetJ_PhoP	aceB//paaH//
IHF_Lrp	ackA//fabA//acs//narH//ndh//
IHF_NsrR	
IHF_NtrC	caiB//
IHF_PhoP	
IHF_PspF	hemL//
IHF_RcsAB	
IHF_RtcR	puuB//nrfA//
IHF_TyrR	moaD//
IHF_UlaR	feaB//
LexA_MraZ_PdhR	torA//sdhA//hemA//lpxA//fadJ//ftsI//mnmG//aldB//edd//xylB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	glgP//caiB//
MarA_PhoP_Rob_SoxS	lacZ//hypB//rsmH//ilvD//glpC//malQ//patA//malQ//citG//
MarA_Rob_SoxS	adiA//ilvA//
MarA_SoxS	idnO//pgaB//hypF//
MetJ_MetR	argG//
MetJ_OxyR	tam//
MetR_PurR	ackA//
MraZ_PdhR	truB//
Nac_PurR	guaA//deoA//
NarL_TorR	waaH//
NemR_RutR	atoA//araB//
NhaR_OmpR	katG//frdB//mtlD//
NorR_NsrR	
NsrR_PhoB	pdeR//
OxyR_SoxS	
PdhR_PhoP	acnA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	ulaF//epd//
RelB_RelB-RelE	pdeL//
TrpR_TyrR	lpxA//
YefM_YefM-YoeB	torC//
