# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	accC//ynfF//
ArcA_CRP_IHF	acnB//
ArcA_CRP_PuuR	lpxA//citD//frdD//udp//
ArcA_CRP_RhaS	fadJ//
ArcA_CRP_TreR	hycF//entB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	citG//gcvH//
ArcA_Cra	aldB//
ArcA_Cra_FNR_H-NS_HypT	paaE//
ArcA_CysB_FNR	
ArcA_FNR	pgaD//fucA//katE//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	idnO//
ArcA_FNR_Fis_IHF_NarL	moeB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	pgaC//guaB//
ArcA_FNR_IHF_NarL	nrfA//murG//
ArcA_FNR_NarL	hycF//fumC//sufS//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	aspA//mhpD//
ArcA_FadR	gatY//hycC//katG//
ArcA_FadR_Fis	nrfD//mnmG//
ArcA_Fur_Lrp_ModE	ilvG_1//adhE//
ArcA_GlcC_IHF_PdhR	napA//argD//araD//
ArcA_LexA	citD//
ArcA_LldR	aldB//poxB//
ArcA_NarL	xylA//
ArcA_NtrC_PhoP_RutR	waaH//nrdA//folA//entF//lacZ//srlD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	rsmH//
ArgP_CRP_FNR_Fur_Nac	lpxC//
ArgP_DnaA	aroA//
ArgP_Lrp	napA//napA//
ArgP_LysR	ilvD//
ArgP_PhoB	
ArgR_CRP	galK//
ArgR_CRP_Fis	epd//prpB//fbaA//
ArgR_Fis_IHF_PepA_PurR_RutR	yiaK//
ArgR_H-NS_NtrC	paaF//glpC//
ArgR_NtrC	frdB//fumC//waaY//paaK//atoA//
ArgR_PhoP	nrdD//
AscG_CRP	araA//cysJ//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	hpt//
AtoC_IHF	puuB//ascB//entA//
BaeR_CpxR	nemA//
BaeR_CpxR_EvgA	srlD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	rutE//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	atoD//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	aroG//sdhD//nemA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	galE//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	uvrA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	rimK//frdB//chbG//entB//nrdE//galE//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	murE//ansB//citC//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	paaE//gadA//tdcB//
CRP_Cra_Mlc_NagC	putA//hycF//aroG//argD//
CRP_Cra_PrpR	narI//deoC//ldtB//nrdB//
CRP_CreB_Fis_MalT	purD//
CRP_CsiR_H-NS_Lrp	cysG//
CRP_CsiR_H-NS_Lrp_Nac	ilvA//idnO//paaB//
CRP_CspA_Fis	poxB//
CRP_CytR	fumA//
CRP_CytR_DeoR	prpB//gcvT//
CRP_CytR_DeoR_Fis_ModE	nanA//puuC//glpQ//rutB//
CRP_CytR_Nac	hycC//
CRP_CytR_NsrR	glpD//
CRP_DcuR_FNR_NarL	lysA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	fes//galT//
CRP_DpiA_ExuR	mhpF//
CRP_DsdC	pgk//ftsI//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ynfE//
CRP_ExuR	fadE//
CRP_ExuR_FNR	glgP//ssuD//
CRP_ExuR_OxyR_UxuR	paaF//hyaC//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	eda//
CRP_FNR_Fis	frdB//frdC//
CRP_FNR_Fis_GlpR_IHF	lldD//metK//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	fadA//ddlB//srlD//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	tauD//serA//idnD//hypF//hyaA//
CRP_FNR_NarL	entF//tauD//
CRP_FeaR_NsrR	pncB//
CRP_Fis	glnA//nemA//gcd//
CRP_Fis_FlhDC_GalR_GalS	entH//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	fucO//cysM//
CRP_Fis_IHF	mraY//xylA//bglB//
CRP_Fis_NanR	citE//rhaA//dmsA//malY//
CRP_Fis_NtrC	gltB//
CRP_Fis_XylR	ilvI//
CRP_FlhDC_GalR_GalS	murG//
CRP_FucR	uxaB//feaB//gapA//fucO//mhpC//ulaF//
CRP_Fur	glgP//ogt//aceA//pgaB//ddlB//sucC//moaA//nfsB//cdd//codA//
CRP_Fur_HypT_PdhR	sdhB//icd//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	idnD//gltB//fumC//frdC//
CRP_GalR_GalS_NagC	nagB//
CRP_GlpR	prpC//garL//metE//
CRP_GntR	fadH//
CRP_GntR_IdnR	idnD//glpB//ynfF//hyaB//fabA//nanE//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	sodB//murQ//citX//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	puuA//
CRP_H-NS_LacI	ilvE//caiB//rutD//
CRP_H-NS_LeuO	pgaB//
CRP_H-NS_MqsA	
CRP_IHF	acnA//gadB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	rhaD//
CRP_IHF_PaaX	puuD//fabB//cyoE//hmp//fabB//fadB//gcvP//mnmG//
CRP_IHF_UlaR	pnp//rutC//sdhC//nrfB//
CRP_IHF_YiaJ	glcE//napH//puuE//tdcD//dmsB//nfsA//
CRP_LexA	
CRP_Lrp	nrfB//nrfD//serA//fadB//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	ddlB//
CRP_LsrR	torA//metK//guaA//frdB//gltD//
CRP_MalI	pyrD//pgaD//
CRP_MalT	pspE//epd//
CRP_MalT_PhoP	gloA//
CRP_MelR	ascB//malQ//
CRP_MetJ	putA//
CRP_MhpR	ilvE//deoA//katG//purM//atoD//astA//
CRP_Mlc	
CRP_ModE	ilvG_1//
CRP_MurR	idnD//glyA//dusB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	mhpC//
CRP_NagC	gadB//gabD//ftnA//recF//garR//
CRP_NagC_NanR	poxB//gltD//
CRP_NagC_PhoP	hyaA//
CRP_OxyR	
CRP_OxyR_UxuR	puuA//
CRP_PhoB	putA//cysH//
CRP_PhoP	eda//fucO//dadX//
CRP_PutA	purM//
CRP_RbsR	dsdA//sgbE//lacZ//
CRP_RhaR_RhaS	
CRP_RhaS	hycD//lsrF//sdhA//
CRP_Rob	rutA//
CRP_TorR	deoB//rutE//
CRP_UhpA_UvrY	murF//
CRP_UidR_UxuR	deoB//sucB//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	paaB//ahpF//
Cbl_CysB_FNR_IHF	dmsB//sdhA//carA//
CdaR_FNR_Fis_Fur_H-NS	nrfC//gltD//
CdaR_FNR_Fur_H-NS	napH//glpX//gcvH//glpK//
CpxR_CsgD_FliZ	
CpxR_CysB	dsdA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	murF//
CpxR_GadE	fucK//ulaD//gatY//
CpxR_H-NS	aspC//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	ilvM//
Cra_FNR_Fis_Lrp_NarL	moaD//
Cra_FNR_Fur_MarA_Rob_SoxS	gltB//
Cra_FhlA_FlhDC	fadB//
Cra_GntR_KdgR	hyaC//
Cra_GntR_KdgR_PhoB	nrfA//
Cra_MarA_SoxS	nemA//
Cra_PdeL	serA//
Cra_SgrR	sgbH//
Cra_TyrR	astA//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	gcvP//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	araD//aceB//
CusR_PhoB_YedW	accB//
CysB_H-NS	mhpF//hycE//aceA//
CysB_HypT_IHF	moeA//
CysB_IHF	sucC//fau//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	garK//
DinJ-YafQ_LexA	glgC//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	metE//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	nanE//
FNR_FhlA_NarL_NarP	treC//citE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	paaZ//
FNR_Fis_IHF_ModE_NarL	waaH//
FNR_Fis_IHF_NarL	glpC//
FNR_Fis_IHF_NarL_RstA	fes//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	acnA//
FNR_FlhDC_ModE_NarL_NarP	pgaD//
FNR_Fur	rutB//entB//
FNR_Fur_GadE	carB//
FNR_Fur_GadX_NtrC	ahpC//
FNR_Fur_H-NS	cysI//nirD//cysG//
FNR_Fur_MetR_NsrR	nanA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	paaK//
FNR_Fur_OxyR	astE//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	carB//
FNR_H-NS_NrdR	glpK//sucD//
FNR_IHF	dmsC//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	putA//
FNR_IHF_PhoB	
FNR_MalT	purA//ogt//
FNR_ModE	
FNR_NarL	tdcG//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	entD//uxaC//
FNR_NarL_NikR	edd//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	malS//glcE//
FNR_YqjI	
FabR_FadR	nanE//lpxD//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	tdcE//dsdA//
FhlA_IHF_NsrR	
Fis_Fur	murE//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	pdeL//
Fis_IHF	
Fis_IHF_NtrC	tdcB//puuB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	cysI//
Fis_NarL	hycG//
Fis_NarL_NarP_NsrR	
Fis_PurR	murD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	serC//
Fur_H-NS	sgbE//rutC//
Fur_IHF_IscR_NsrR_OxyR	fdhF//
Fur_IscR_NrdR	entF//
Fur_MetR	uxaA//
Fur_MntR	paaZ//
Fur_MntR_OxyR	aceA//
Fur_OxyR	
Fur_PurR	serC//
Fur_RcnR	gltD//
Fur_RutR	glpK//
Fur_SoxS_Zur	
Fur_YqjI	puuC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	mtlD//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	gntK//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	citD//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	hemL//
H-NS_Lrp_NhaR_RcsB	ddlB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	lhgO//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	gloA//
HU_IHF_TyrR	lpxA//
HigA_HigB-HigA	lacA//
HipAB_HipB_IHF	purA//
HypT_MetJ	dsdA//
HypT_MetJ_PhoP	fumA//cysG//
IHF_Lrp	ssuE//pck//entH//betB//rutA//
IHF_NsrR	
IHF_NtrC	rhaB//
IHF_PhoP	
IHF_PspF	waaY//
IHF_RcsAB	
IHF_RtcR	argG//tdcE//
IHF_TyrR	mhpB//
IHF_UlaR	bglB//
LexA_MraZ_PdhR	atoB//dusB//murG//ftnA//chbG//fadD//ilvA//gcd//nrdE//serA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	fabA//purD//
MarA_PhoP_Rob_SoxS	fbaA//gltD//purM//sdhB//ilvM//metE//fadH//dsdA//ilvG_1//
MarA_Rob_SoxS	gltA//atoA//
MarA_SoxS	aceA//lysA//chbF//
MetJ_MetR	cdd//
MetJ_OxyR	atoB//
MetR_PurR	lsrG//
MraZ_PdhR	prpC//
Nac_PurR	tauD//fucK//
NarL_TorR	metK//
NemR_RutR	purA//glgC//
NhaR_OmpR	dsdA//melA//hyaA//
NorR_NsrR	
NsrR_PhoB	chbG//
OxyR_SoxS	
PdhR_PhoP	entD//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	ynfH//mtlD//
RelB_RelB-RelE	glpA//
TrpR_TyrR	gcvH//
YefM_YefM-YoeB	rhaA//
