# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	uxaB//fadI//
ArcA_CRP_IHF	prpC//
ArcA_CRP_PuuR	glgP//gapA//zwf//rsmH//
ArcA_CRP_RhaS	fumA//
ArcA_CRP_TreR	serA//gdhA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	nrdF//gnd//
ArcA_Cra	rhaB//
ArcA_Cra_FNR_H-NS_HypT	frdB//
ArcA_CysB_FNR	
ArcA_FNR	lysA//appA//nirD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	relA//
ArcA_FNR_Fis_IHF_NarL	mhpB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	paaE//gabD//
ArcA_FNR_IHF_NarL	puuD//puuA//
ArcA_FNR_NarL	prpD//nanE//pgk//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	idnO//ssuD//
ArcA_FadR	nrdE//tdcD//paaJ//
ArcA_FadR_Fis	frdA//uxaA//
ArcA_Fur_Lrp_ModE	sgbU//araB//
ArcA_GlcC_IHF_PdhR	paaH//napG//acnB//
ArcA_LexA	nrdB//
ArcA_LldR	pgaB//glgC//
ArcA_NarL	ilvG_2//
ArcA_NtrC_PhoP_RutR	gcvH//sucA//ftsI//metL//cysJ//betA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	lsrF//
ArgP_CRP_FNR_Fur_Nac	ilvM//
ArgP_DnaA	pflB//
ArgP_Lrp	lpxA//paaA//
ArgP_LysR	guaB//
ArgP_PhoB	
ArgR_CRP	murF//
ArgR_CRP_Fis	dgcZ//patA//zwf//
ArgR_Fis_IHF_PepA_PurR_RutR	pgk//
ArgR_H-NS_NtrC	dmsA//entF//
ArgR_NtrC	treC//murD//glcB//sucC//ynfG//
ArgR_PhoP	malQ//
AscG_CRP	gatD//acnB//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	nrdD//
AtoC_IHF	garK//napC//gadB//
BaeR_CpxR	glpB//
BaeR_CpxR_EvgA	fucU//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	rutD//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	ilvM//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	idnD//hcp//gdhA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	hycC//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	moeA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	metH//nrdF//pgk//fau//dmsC//chbG//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	lacA//tdcB//glpC//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	ilvE//lsrF//mazG//
CRP_Cra_Mlc_NagC	citX//fabZ//fadA//fadJ//
CRP_Cra_PrpR	rnpB//ilvG_2//pdeL//ldtB//
CRP_CreB_Fis_MalT	ldtB//
CRP_CsiR_H-NS_Lrp	folA//
CRP_CsiR_H-NS_Lrp_Nac	sgbH//tdcG//deoD//
CRP_CspA_Fis	moeA//
CRP_CytR	dadA//
CRP_CytR_DeoR	gcvP//guaB//
CRP_CytR_DeoR_Fis_ModE	glgP//deoA//yqjH//pgaD//
CRP_CytR_Nac	ascB//
CRP_CytR_NsrR	dsdA//
CRP_DcuR_FNR_NarL	aroL//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	pncB//rsmH//
CRP_DpiA_ExuR	ahpC//
CRP_DsdC	glpX//udp//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	mpl//
CRP_ExuR	fadI//
CRP_ExuR_FNR	accB//nanE//
CRP_ExuR_OxyR_UxuR	nfsB//gutQ//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	nrfA//
CRP_FNR_Fis	gatZ//narH//
CRP_FNR_Fis_GlpR_IHF	gcvT//aspA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	nanK//moaD//astD//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	pgk//rimK//fbaA//glcB//lpxD//
CRP_FNR_NarL	ynfG//lhgO//
CRP_FeaR_NsrR	lldD//
CRP_Fis	entA//puuC//purM//
CRP_Fis_FlhDC_GalR_GalS	uxuA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	adhE//nrdA//
CRP_Fis_IHF	nrfA//pgk//hypB//
CRP_Fis_NanR	glcB//murG//chbG//napB//
CRP_Fis_NtrC	astC//
CRP_Fis_XylR	pflB//
CRP_FlhDC_GalR_GalS	puuB//
CRP_FucR	nrdD//ynfH//sgbH//serA//nfsB//prpD//
CRP_Fur	dmsC//gltD//glpB//garK//rutB//appA//uidA//gutQ//chbF//citG//
CRP_Fur_HypT_PdhR	xylB//mhpC//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	prpB//idnD//yqjH//accB//
CRP_GalR_GalS_NagC	codA//
CRP_GlpR	fadJ//gatD//murD//
CRP_GntR	paaC//
CRP_GntR_IdnR	recF//purA//pgaD//fabA//ilvI//nagA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	carA//narI//murF//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	chbG//
CRP_H-NS_LacI	sucD//glnA//chbG//
CRP_H-NS_LeuO	metH//
CRP_H-NS_MqsA	
CRP_IHF	ynfF//murC//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	cysH//
CRP_IHF_PaaX	entE//dgcZ//deoC//cysM//galK//paaB//fau//gntK//
CRP_IHF_UlaR	moeB//fes//lpxC//idnO//
CRP_IHF_YiaJ	prpD//sgbE//puuB//paaA//fadJ//ulaG//
CRP_LexA	
CRP_Lrp	fau//udp//waaZ//ftsI//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	caiD//
CRP_LsrR	ldtB//entF//rutB//purH//glgC//
CRP_MalI	astB//citE//
CRP_MalT	icd//sucA//
CRP_MalT_PhoP	gutQ//
CRP_MelR	gltD//gatD//
CRP_MetJ	ilvA//
CRP_MhpR	caiA//xylB//tam//moaE//garL//nanE//
CRP_Mlc	
CRP_ModE	glcB//
CRP_MurR	edd//murE//fabA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	poxB//
CRP_NagC	fadD//napA//ilvA//gabD//prpE//
CRP_NagC_NanR	chbG//ldtB//
CRP_NagC_PhoP	gcvT//
CRP_OxyR	
CRP_OxyR_UxuR	astA//
CRP_PhoB	aceA//poxB//
CRP_PhoP	edd//poxB//sdhD//
CRP_PutA	cysJ//
CRP_RbsR	metE//purN//ascB//
CRP_RhaR_RhaS	
CRP_RhaS	nrfA//prpE//malQ//
CRP_Rob	moaE//
CRP_TorR	idnO//moaA//
CRP_UhpA_UvrY	glpX//
CRP_UidR_UxuR	waaZ//aspC//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	gabT//dmsA//
Cbl_CysB_FNR_IHF	ilvG_2//nrdA//waaH//
CdaR_FNR_Fis_Fur_H-NS	nrfB//gcd//
CdaR_FNR_Fur_H-NS	prpD//mraY//nrfA//epd//
CpxR_CsgD_FliZ	
CpxR_CysB	epd//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ubiC//
CpxR_GadE	ilvM//serA//napG//
CpxR_H-NS	fadE//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	acnB//
Cra_FNR_Fis_Lrp_NarL	ulaE//
Cra_FNR_Fur_MarA_Rob_SoxS	rhaA//
Cra_FhlA_FlhDC	ugpQ//
Cra_GntR_KdgR	uxuB//
Cra_GntR_KdgR_PhoB	sucB//
Cra_MarA_SoxS	nrdA//
Cra_PdeL	glpB//
Cra_SgrR	galT//
Cra_TyrR	hpt//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	citD//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	glpQ//cysI//
CusR_PhoB_YedW	murE//
CysB_H-NS	dsdA//cysJ//eda//
CysB_HypT_IHF	entD//
CysB_IHF	idnK//glpC//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	uxaB//
DinJ-YafQ_LexA	treC//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	glpX//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	ascB//
FNR_FhlA_NarL_NarP	fumB//mraY//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	rsmH//
FNR_Fis_IHF_ModE_NarL	ftsI//
FNR_Fis_IHF_NarL	murF//
FNR_Fis_IHF_NarL_RstA	torC//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	fbaA//
FNR_FlhDC_ModE_NarL_NarP	paaI//
FNR_Fur	poxB//dmsC//
FNR_Fur_GadE	ilvG_2//
FNR_Fur_GadX_NtrC	gloA//
FNR_Fur_H-NS	rbsD//appA//sdhB//
FNR_Fur_MetR_NsrR	galT//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	paaE//
FNR_Fur_OxyR	metB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	dmsB//
FNR_H-NS_NrdR	paaK//nagA//
FNR_IHF	paaF//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	astE//
FNR_IHF_PhoB	
FNR_MalT	fabZ//pgaB//
FNR_ModE	
FNR_NarL	paaB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	sucA//rhaD//
FNR_NarL_NikR	ndh//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	entD//napH//
FNR_YqjI	
FabR_FadR	pncB//galK//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	gdhA//ugpQ//
FhlA_IHF_NsrR	
Fis_Fur	napC//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	waaY//
Fis_IHF	
Fis_IHF_NtrC	pck//gloA//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	nagA//
Fis_NarL	adhE//
Fis_NarL_NarP_NsrR	
Fis_PurR	fabZ//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	mpl//
Fur_H-NS	aspC//dgcZ//
Fur_IHF_IscR_NsrR_OxyR	lacZ//
Fur_IscR_NrdR	fumB//
Fur_MetR	rutB//
Fur_MntR	murF//
Fur_MntR_OxyR	idnK//
Fur_OxyR	
Fur_PurR	mhpE//
Fur_RcnR	nanK//
Fur_RutR	paaE//
Fur_SoxS_Zur	
Fur_YqjI	sdhD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	lsrF//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	nanM//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	cysH//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	pyrC//
H-NS_Lrp_NhaR_RcsB	dmsA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	glcF//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	carB//
HU_IHF_TyrR	lpxD//
HigA_HigB-HigA	accC//
HipAB_HipB_IHF	tdcD//
HypT_MetJ	pnp//
HypT_MetJ_PhoP	puuA//ulaE//
IHF_Lrp	nanE//sucA//fabZ//lacA//pgk//
IHF_NsrR	
IHF_NtrC	nfsB//
IHF_PhoP	
IHF_PspF	malS//
IHF_RcsAB	
IHF_RtcR	tam//pck//
IHF_TyrR	argG//
IHF_UlaR	carA//
LexA_MraZ_PdhR	glpB//pck//hpt//hypB//lpxA//malY//hypF//frdC//lhgO//fumB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	nemA//lsrG//
MarA_PhoP_Rob_SoxS	ulaE//tdcD//deoB//paaI//prmC//nanE//gadA//ldtB//napG//
MarA_Rob_SoxS	atoA//pflB//
MarA_SoxS	nagB//bglB//fadJ//
MetJ_MetR	galE//
MetJ_OxyR	fucU//
MetR_PurR	atoD//
MraZ_PdhR	glgA//
Nac_PurR	ilvG_2//acs//
NarL_TorR	uvrA//
NemR_RutR	pdeL//carA//
NhaR_OmpR	uxaA//metH//idnD//
NorR_NsrR	
NsrR_PhoB	fucO//
OxyR_SoxS	
PdhR_PhoP	puuC//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	hyaB//gapA//
RelB_RelB-RelE	cadA//
TrpR_TyrR	carB//
YefM_YefM-YoeB	araA//
