# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	zwf//nrfD//
ArcA_CRP_GlpR	torA//
ArcA_CRP_IHF	ubiA//
ArcA_CRP_PuuR	mhpD//waaY//paaZ//entC//
ArcA_CRP_RhaS	puuE//
ArcA_CRP_TreR	idnO//ilvH//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	gatZ//malP//
ArcA_Cra	sdhA//
ArcA_Cra_FNR_H-NS_HypT	fabZ//
ArcA_CysB_FNR	
ArcA_FNR	nagA//ilvM//pck//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	hycB//
ArcA_FNR_Fis_IHF_NarL	hpt//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	acnB//waaH//
ArcA_FNR_IHF_NarL	paaF//galM//
ArcA_FNR_NarL	uxaB//sdhB//pdeL//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	glyA//moeA//
ArcA_FadR	nanE//xylA//gltA//
ArcA_FadR_Fis	nrdF//fucO//
ArcA_Fur_Lrp_ModE	sgbU//glcE//
ArcA_GlcC_IHF_PdhR	poxB//cysM//ilvI//
ArcA_LexA	cyoE//
ArcA_LldR	treC//lsrG//
ArcA_NarL	narG//
ArcA_NtrC_PhoP_RutR	glpD//galK//nanK//citE//prpB//nfsA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	murE//
ArgP_CRP_FNR_Fur_Nac	pdeL//
ArgP_DnaA	pncB//
ArgP_Lrp	fbaA//frdA//
ArgP_LysR	tauD//
ArgP_PhoB	
ArgR_CRP	katE//
ArgR_CRP_Fis	lacA//gatZ//srlD//
ArgR_Fis_IHF_PepA_PurR_RutR	aldB//
ArgR_H-NS_NtrC	nagA//waaY//
ArgR_NtrC	malP//nfsA//cysG//nrfC//acnB//
ArgR_PhoP	cdd//
AscG_CRP	waaY//nrfB//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	ilvE//
AtoC_IHF	metK//metL//uidA//
BaeR_CpxR	glpQ//
BaeR_CpxR_EvgA	xylB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	murQ//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	cysI//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	dmsB//galT//garK//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	fucK//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	hypF//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	fadB//yiaK//napA//ulaE//gltB//paaJ//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	astB//glyA//fabA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	hycG//idnK//prpD//
CRP_Cra_Mlc_NagC	cyoE//gabT//nfsA//fucO//
CRP_Cra_PrpR	tnaA//galM//dusB//dsdA//
CRP_CreB_Fis_MalT	uxaC//
CRP_CsiR_H-NS_Lrp	cysJ//
CRP_CsiR_H-NS_Lrp_Nac	fucU//argG//entB//
CRP_CspA_Fis	glpA//
CRP_CytR	zwf//
CRP_CytR_DeoR	pdeL//mpl//
CRP_CytR_DeoR_Fis_ModE	ilvG_2//entD//frdC//rutD//
CRP_CytR_Nac	sucD//
CRP_CytR_NsrR	entH//
CRP_DcuR_FNR_NarL	dusB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	mhpF//hemL//
CRP_DpiA_ExuR	nrdE//
CRP_DsdC	aceE//hypF//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	accB//
CRP_ExuR	paaJ//
CRP_ExuR_FNR	atoA//aceA//
CRP_ExuR_OxyR_UxuR	fadD//galM//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	ssuE//
CRP_FNR_Fis	rbsK//paaK//
CRP_FNR_Fis_GlpR_IHF	nagA//uxuB//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	gntK//paaH//nrdB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	ddlB//tdcG//glpD//gdhA//puuE//
CRP_FNR_NarL	fbaA//ahpC//
CRP_FeaR_NsrR	nrdA//
CRP_Fis	hpt//caiA//pnp//
CRP_Fis_FlhDC_GalR_GalS	ugpQ//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	paaI//pnp//
CRP_Fis_IHF	rbsK//mhpF//dmsC//
CRP_Fis_NanR	ulaE//fadB//murC//fau//
CRP_Fis_NtrC	carB//
CRP_Fis_XylR	codA//
CRP_FlhDC_GalR_GalS	sdhB//
CRP_FucR	fabZ//kbaZ//acnB//gatZ//paaF//paaG//
CRP_Fur	mhpE//ftnA//paaK//citD//purH//hcp//ilvI//rhaD//ubiA//moaA//
CRP_Fur_HypT_PdhR	glcE//nagB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	aldA//putA//gdhA//nfsA//
CRP_GalR_GalS_NagC	cyoE//
CRP_GlpR	napH//kbaZ//pgaB//
CRP_GntR	epd//
CRP_GntR_IdnR	guaB//ynfF//tdcB//betA//codA//guaB//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	sdhA//nemA//serC//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	cysH//
CRP_H-NS_LacI	cadA//hcp//entE//
CRP_H-NS_LeuO	araD//
CRP_H-NS_MqsA	
CRP_IHF	pyrC//dmsB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	paaH//
CRP_IHF_PaaX	ubiA//aldB//rutA//gatZ//atoB//ilvD//hycC//paaJ//
CRP_IHF_UlaR	citF//araD//murG//katE//
CRP_IHF_YiaJ	mazG//sucB//malP//glpB//nrdA//ftnA//
CRP_LexA	
CRP_Lrp	srlD//fumA//uvrA//fucO//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	fes//
CRP_LsrR	ugpQ//ddlB//hemL//entF//idnO//
CRP_MalI	uxuB//xylB//
CRP_MalT	fucI//gltD//
CRP_MalT_PhoP	rbsK//
CRP_MelR	fes//nagB//
CRP_MetJ	cdd//
CRP_MhpR	mdh//deoB//ynfF//entA//accC//napA//
CRP_Mlc	
CRP_ModE	lpxD//
CRP_MurR	prmC//mdh//fadB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	fau//
CRP_NagC	edd//argG//pgaC//garK//codA//
CRP_NagC_NanR	dusB//rsmH//
CRP_NagC_PhoP	lacZ//
CRP_OxyR	
CRP_OxyR_UxuR	glpQ//
CRP_PhoB	entC//fucA//
CRP_PhoP	chbF//betB//feaB//
CRP_PutA	nanA//
CRP_RbsR	fes//ascB//mhpD//
CRP_RhaR_RhaS	
CRP_RhaS	purD//srlD//garK//
CRP_Rob	prpD//
CRP_TorR	kbaZ//aceB//
CRP_UhpA_UvrY	ynfE//
CRP_UidR_UxuR	mraY//cysH//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	malQ//ddlB//
Cbl_CysB_FNR_IHF	katG//nirB//nfsB//
CdaR_FNR_Fis_Fur_H-NS	sufS//napC//
CdaR_FNR_Fur_H-NS	nanK//melA//metK//deoC//
CpxR_CsgD_FliZ	
CpxR_CysB	aldB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	tdcE//
CpxR_GadE	dmsA//umpH//dusB//
CpxR_H-NS	fadD//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	icd//
Cra_FNR_Fis_Lrp_NarL	fabB//
Cra_FNR_Fur_MarA_Rob_SoxS	narH//
Cra_FhlA_FlhDC	betB//
Cra_GntR_KdgR	aceB//
Cra_GntR_KdgR_PhoB	putA//
Cra_MarA_SoxS	lpd//
Cra_PdeL	frdA//
Cra_SgrR	araB//
Cra_TyrR	pdeR//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	xylA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	lysA//entD//
CusR_PhoB_YedW	astD//
CysB_H-NS	pspE//glgC//betB//
CysB_HypT_IHF	ugpQ//
CysB_IHF	ulaD//paaC//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	rutE//
DinJ-YafQ_LexA	carA//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	hycC//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	adhE//
FNR_FhlA_NarL_NarP	citG//fumC//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	patA//
FNR_Fis_IHF_ModE_NarL	sgbE//
FNR_Fis_IHF_NarL	mdh//
FNR_Fis_IHF_NarL_RstA	feaB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	ilvA//
FNR_FlhDC_ModE_NarL_NarP	zwf//
FNR_Fur	pgaB//caiC//
FNR_Fur_GadE	cysJ//
FNR_Fur_GadX_NtrC	recF//
FNR_Fur_H-NS	glpC//lysA//acnB//
FNR_Fur_MetR_NsrR	relA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	aceA//
FNR_Fur_OxyR	paaJ//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	fucU//
FNR_H-NS_NrdR	caiB//carB//
FNR_IHF	hycF//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	ubiC//
FNR_IHF_PhoB	
FNR_MalT	nanK//caiC//
FNR_ModE	
FNR_NarL	malY//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	nrdF//frdC//
FNR_NarL_NikR	gadB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	purA//araD//
FNR_YqjI	
FabR_FadR	fadA//lyxK//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	garL//gatY//
FhlA_IHF_NsrR	
Fis_Fur	deoC//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	icd//
Fis_IHF	
Fis_IHF_NtrC	uidA//katG//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	uxuB//
Fis_NarL	aldA//
Fis_NarL_NarP_NsrR	
Fis_PurR	nagB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	mhpD//
Fur_H-NS	purM//fadI//
Fur_IHF_IscR_NsrR_OxyR	truB//
Fur_IscR_NrdR	fucI//
Fur_MetR	umpH//
Fur_MntR	ugpQ//
Fur_MntR_OxyR	frdA//
Fur_OxyR	
Fur_PurR	napA//
Fur_RcnR	metK//
Fur_RutR	araB//
Fur_SoxS_Zur	
Fur_YqjI	rnpB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	cyoE//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	uxuA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	lpxC//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	tauD//
H-NS_Lrp_NhaR_RcsB	ulaF//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	murD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	fumC//
HU_IHF_TyrR	narI//
HigA_HigB-HigA	mhpF//
HipAB_HipB_IHF	nrfB//
HypT_MetJ	malQ//
HypT_MetJ_PhoP	ulaG//uxaA//
IHF_Lrp	frdD//kbaZ//cdd//argD//ilvH//
IHF_NsrR	
IHF_NtrC	gltB//
IHF_PhoP	
IHF_PspF	metB//
IHF_RcsAB	
IHF_RtcR	rbsD//aroL//
IHF_TyrR	rutD//
IHF_UlaR	deoC//
LexA_MraZ_PdhR	hpt//glgC//ulaE//entC//malY//fabZ//cysM//gatZ//aceF//murC//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	ssuE//nrdB//
MarA_PhoP_Rob_SoxS	mtlD//mhpF//mpl//patA//aceA//chbG//hemA//citE//fadI//
MarA_Rob_SoxS	gcd//ilvG_2//
MarA_SoxS	fau//garR//nanE//
MetJ_MetR	nfsB//
MetJ_OxyR	pgk//
MetR_PurR	araA//
MraZ_PdhR	araD//
Nac_PurR	acnB//argG//
NarL_TorR	gltB//
NemR_RutR	ilvI//mhpF//
NhaR_OmpR	prmC//aroG//ilvE//
NorR_NsrR	
NsrR_PhoB	ilvG_2//
OxyR_SoxS	
PdhR_PhoP	fumA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	gltD//tdcE//
RelB_RelB-RelE	lacA//
TrpR_TyrR	fumC//
YefM_YefM-YoeB	paaE//
