# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	glnA//ilvE//
ArcA_CRP_IHF	gltD//
ArcA_CRP_PuuR	ubiA//fbaA//mraY//paaB//
ArcA_CRP_RhaS	dgcZ//
ArcA_CRP_TreR	fadA//sdhD//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	adiA//fabZ//
ArcA_Cra	hemL//
ArcA_Cra_FNR_H-NS_HypT	fadB//
ArcA_CysB_FNR	
ArcA_FNR	rutA//ansB//mraY//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	narG//
ArcA_FNR_Fis_IHF_NarL	prpC//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	cysM//aroL//
ArcA_FNR_IHF_NarL	uxuA//paaB//
ArcA_FNR_NarL	lpxA//deoB//melA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	garR//ynfH//
ArcA_FadR	waaH//aspA//folA//
ArcA_FadR_Fis	gatZ//ynfF//
ArcA_Fur_Lrp_ModE	pdeL//hycG//
ArcA_GlcC_IHF_PdhR	hycD//astE//araD//
ArcA_LexA	cysH//
ArcA_LldR	napG//zwf//
ArcA_NarL	kbaZ//
ArcA_NtrC_PhoP_RutR	ubiC//ftnA//entB//garL//pck//ynfG//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	lsrF//
ArgP_CRP_FNR_Fur_Nac	pyrD//
ArgP_DnaA	ulaD//
ArgP_Lrp	nrdF//hycD//
ArgP_LysR	hemL//
ArgP_PhoB	
ArgR_CRP	srlD//
ArgR_CRP_Fis	poxB//glcD//sucA//
ArgR_Fis_IHF_PepA_PurR_RutR	nrdA//
ArgR_H-NS_NtrC	torA//rutD//
ArgR_NtrC	galK//nfsB//narH//guaB//paaA//
ArgR_PhoP	cysI//
AscG_CRP	mhpD//narG//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	waaY//
AtoC_IHF	ulaD//pspE//glnA//
BaeR_CpxR	ssuE//
BaeR_CpxR_EvgA	fdhF//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	nfsA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	ddlB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	lhgO//waaH//paaC//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	kbaZ//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	aroG//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	caiB//hyaA//prpC//lldD//fabB//paaZ//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	gloA//gltA//mhpA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	uxaC//narG//glnA//
CRP_Cra_Mlc_NagC	nanM//cysH//caiC//prpC//
CRP_Cra_PrpR	uxuB//citD//cysM//citF//
CRP_CreB_Fis_MalT	ynfG//
CRP_CsiR_H-NS_Lrp	aceA//
CRP_CsiR_H-NS_Lrp_Nac	moaE//gcvP//dadA//
CRP_CspA_Fis	sodB//
CRP_CytR	ubiC//
CRP_CytR_DeoR	galT//glcE//
CRP_CytR_DeoR_Fis_ModE	narG//nanK//cyoE//tdcB//
CRP_CytR_Nac	gcvP//
CRP_CytR_NsrR	relA//
CRP_DcuR_FNR_NarL	prmC//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	ftnA//uxaA//
CRP_DpiA_ExuR	mpl//
CRP_DsdC	garK//srlD//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	fabB//
CRP_ExuR	relA//
CRP_ExuR_FNR	lsrG//entA//
CRP_ExuR_OxyR_UxuR	gloA//galE//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	gutQ//
CRP_FNR_Fis	atoB//nrdF//
CRP_FNR_Fis_GlpR_IHF	hycE//fau//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	sgbU//ftsI//galT//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	uxuA//cysI//glpQ//paaI//lpxD//
CRP_FNR_NarL	araD//nagB//
CRP_FeaR_NsrR	mhpC//
CRP_Fis	sodB//purN//glpA//
CRP_Fis_FlhDC_GalR_GalS	tnaA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	accC//citC//
CRP_Fis_IHF	entC//gatD//lpxD//
CRP_Fis_NanR	ugpQ//pyrD//mhpE//icd//
CRP_Fis_NtrC	fumB//
CRP_Fis_XylR	lpxC//
CRP_FlhDC_GalR_GalS	sodA//
CRP_FucR	fumA//astA//glnA//pncB//dmsA//uxuA//
CRP_Fur	citX//nanM//pgaB//nrfB//aldB//truB//napH//gltB//ilvG_2//melA//
CRP_Fur_HypT_PdhR	glcE//frdD//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	puuA//tdcE//truB//aspC//
CRP_GalR_GalS_NagC	fdhF//
CRP_GlpR	mhpC//rutC//caiC//
CRP_GntR	ynfG//
CRP_GntR_IdnR	dmsA//aroA//galE//sdhB//cysH//katE//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	relA//patA//glcE//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	sodA//
CRP_H-NS_LacI	nrfC//yiaK//appA//
CRP_H-NS_LeuO	rhaB//
CRP_H-NS_MqsA	
CRP_IHF	rutD//udp//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	nrdB//
CRP_IHF_PaaX	moeB//yqjH//ilvH//katG//fucO//fbaA//rutC//pdeL//
CRP_IHF_UlaR	dusB//fau//katE//sufS//
CRP_IHF_YiaJ	waaY//fabZ//appA//gcvH//puuA//fbaA//
CRP_LexA	
CRP_Lrp	rimK//idnK//rhaB//ahpF//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	aceA//
CRP_LsrR	waaZ//chbG//nrdD//gdhA//narH//
CRP_MalI	prpB//paaH//
CRP_MalT	fucI//ubiA//
CRP_MalT_PhoP	xylB//
CRP_MelR	ndh//recF//
CRP_MetJ	sucB//
CRP_MhpR	acnA//waaY//nrdA//galT//mhpB//nemA//
CRP_Mlc	
CRP_ModE	gatY//
CRP_MurR	citF//frdB//murQ//
CRP_Nac_NsrR_PhoB	
CRP_NadR	citC//
CRP_NagC	napB//gatD//lpxD//araA//murC//
CRP_NagC_NanR	puuA//puuC//
CRP_NagC_PhoP	ackA//
CRP_OxyR	
CRP_OxyR_UxuR	fadE//
CRP_PhoB	rutA//galT//
CRP_PhoP	ynfH//garK//uvrA//
CRP_PutA	garR//
CRP_RbsR	chbG//gcd//murG//
CRP_RhaR_RhaS	
CRP_RhaS	astD//betB//paaZ//
CRP_Rob	sodB//
CRP_TorR	gdhA//fucA//
CRP_UhpA_UvrY	sucB//
CRP_UidR_UxuR	moeB//puuA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	pck//gatD//
Cbl_CysB_FNR_IHF	malQ//fucI//frdC//
CdaR_FNR_Fis_Fur_H-NS	glpD//yqjH//
CdaR_FNR_Fur_H-NS	lpd//hemA//paaC//napC//
CpxR_CsgD_FliZ	
CpxR_CysB	lpxA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	astB//
CpxR_GadE	nemA//hyaC//glpK//
CpxR_H-NS	paaG//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	moeB//
Cra_FNR_Fis_Lrp_NarL	rbsD//
Cra_FNR_Fur_MarA_Rob_SoxS	gatZ//
Cra_FhlA_FlhDC	uxaB//
Cra_GntR_KdgR	ilvA//
Cra_GntR_KdgR_PhoB	aspC//
Cra_MarA_SoxS	gdhA//
Cra_PdeL	mhpE//
Cra_SgrR	moaE//
Cra_TyrR	citG//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	adhE//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	gutQ//pyrC//
CusR_PhoB_YedW	glcE//
CysB_H-NS	glyA//gcvH//atoA//
CysB_HypT_IHF	moaD//
CysB_IHF	tdcE//entF//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	dsdA//
DinJ-YafQ_LexA	dgcZ//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	ilvM//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	ftnA//
FNR_FhlA_NarL_NarP	ilvH//acnB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	hemL//
FNR_Fis_IHF_ModE_NarL	ilvM//
FNR_Fis_IHF_NarL	purA//
FNR_Fis_IHF_NarL_RstA	ssuD//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	napB//
FNR_FlhDC_ModE_NarL_NarP	icd//
FNR_Fur	edd//aceB//
FNR_Fur_GadE	accC//
FNR_Fur_GadX_NtrC	fucI//
FNR_Fur_H-NS	ynfH//mpl//fumB//
FNR_Fur_MetR_NsrR	ahpF//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	guaA//
FNR_Fur_OxyR	citC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	lyxK//
FNR_H-NS_NrdR	hyaA//gatY//
FNR_IHF	napB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	sucC//
FNR_IHF_PhoB	
FNR_MalT	fucI//moaA//
FNR_ModE	
FNR_NarL	napG//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	acnA//fbaA//
FNR_NarL_NikR	citG//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	glpX//rutB//
FNR_YqjI	
FabR_FadR	glpB//mhpB//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	cyoE//tnaA//
FhlA_IHF_NsrR	
Fis_Fur	mhpA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	malS//
Fis_IHF	
Fis_IHF_NtrC	fadH//paaH//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	citX//
Fis_NarL	sdhD//
Fis_NarL_NarP_NsrR	
Fis_PurR	moeA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	melA//
Fur_H-NS	puuA//ynfH//
Fur_IHF_IscR_NsrR_OxyR	gntK//
Fur_IscR_NrdR	pdeR//
Fur_MetR	gnd//
Fur_MntR	ascB//
Fur_MntR_OxyR	lpxA//
Fur_OxyR	
Fur_PurR	entB//
Fur_RcnR	edd//
Fur_RutR	metK//
Fur_SoxS_Zur	
Fur_YqjI	cdd//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	fadD//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	ynfG//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	ftnA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	nagB//
H-NS_Lrp_NhaR_RcsB	nanA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	argG//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	deoB//
HU_IHF_TyrR	fumB//
HigA_HigB-HigA	metB//
HipAB_HipB_IHF	hemL//
HypT_MetJ	moeB//
HypT_MetJ_PhoP	citX//mraY//
IHF_Lrp	fadI//frdD//dgcZ//murE//icd//
IHF_NsrR	
IHF_NtrC	pspE//
IHF_PhoP	
IHF_PspF	mpl//
IHF_RcsAB	
IHF_RtcR	frdC//fadJ//
IHF_TyrR	paaI//
IHF_UlaR	ilvG_1//
LexA_MraZ_PdhR	citX//paaG//purN//metE//sucC//mhpD//sdhB//uxaB//ssuE//aspA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	ubiA//chbF//
MarA_PhoP_Rob_SoxS	betB//glpB//rhaA//pck//cysI//cysI//dadX//aroG//waaZ//
MarA_Rob_SoxS	cysH//metL//
MarA_SoxS	uidA//fdhF//fadE//
MetJ_MetR	gabD//
MetJ_OxyR	citD//
MetR_PurR	prpB//
MraZ_PdhR	mraY//
Nac_PurR	mtlD//nfsA//
NarL_TorR	ilvG_2//
NemR_RutR	pgk//paaH//
NhaR_OmpR	astD//mhpE//glpQ//
NorR_NsrR	
NsrR_PhoB	ilvD//
OxyR_SoxS	
PdhR_PhoP	rhaB//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	fabA//ahpC//
RelB_RelB-RelE	paaH//
TrpR_TyrR	rutA//
YefM_YefM-YoeB	aceE//
