# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ssuD//adhE//
ArcA_CRP_GlpR	entA//
ArcA_CRP_IHF	waaH//
ArcA_CRP_PuuR	cadA//idnK//lpxA//deoD//
ArcA_CRP_RhaS	nrdB//
ArcA_CRP_TreR	serA//hycF//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	idnO//entE//
ArcA_Cra	acs//
ArcA_Cra_FNR_H-NS_HypT	entH//
ArcA_CysB_FNR	
ArcA_FNR	guaA//hyaB//frdD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	murF//
ArcA_FNR_Fis_IHF_NarL	ynfE//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	mhpC//epd//
ArcA_FNR_IHF_NarL	prmC//yqjH//
ArcA_FNR_NarL	hypF//entD//pgaB//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	rhaB//nrdD//
ArcA_FadR	moeA//hmp//mhpF//
ArcA_FadR_Fis	nirB//zwf//
ArcA_Fur_Lrp_ModE	ulaE//moeA//
ArcA_GlcC_IHF_PdhR	idnD//relA//hycB//
ArcA_LexA	araD//
ArcA_LldR	ftsI//napB//
ArcA_NarL	garK//
ArcA_NtrC_PhoP_RutR	hycB//nrdA//malS//ahpF//puuC//nrdE//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	accB//
ArgP_CRP_FNR_Fur_Nac	galT//
ArgP_DnaA	chbG//
ArgP_Lrp	codA//aroA//
ArgP_LysR	citF//
ArgP_PhoB	
ArgR_CRP	citG//
ArgR_CRP_Fis	gloA//mazG//ynfF//
ArgR_Fis_IHF_PepA_PurR_RutR	katG//
ArgR_H-NS_NtrC	hypF//poxB//
ArgR_NtrC	pgaB//purH//glpK//ynfH//mpl//
ArgR_PhoP	gcvH//
AscG_CRP	kbaZ//prpC//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	paaH//
AtoC_IHF	udp//umpH//nrdE//
BaeR_CpxR	deoD//
BaeR_CpxR_EvgA	glgA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ahpC//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	pgaC//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	ynfF//hycE//moeB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	murE//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	kbaZ//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	paaG//mraY//cysJ//waaY//hycE//ansB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	gadA//prpB//ansB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	murD//ubiC//mhpB//
CRP_Cra_Mlc_NagC	pgaB//aceE//gadB//ppiA//
CRP_Cra_PrpR	garR//prmC//aspC//narH//
CRP_CreB_Fis_MalT	rutC//
CRP_CsiR_H-NS_Lrp	yiaK//
CRP_CsiR_H-NS_Lrp_Nac	tauD//galT//napB//
CRP_CspA_Fis	fucI//
CRP_CytR	carA//
CRP_CytR_DeoR	moeA//fadI//
CRP_CytR_DeoR_Fis_ModE	frdC//aldA//entA//adhE//
CRP_CytR_Nac	gcvP//
CRP_CytR_NsrR	ilvH//
CRP_DcuR_FNR_NarL	metB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	fadH//pdeL//
CRP_DpiA_ExuR	paaB//
CRP_DsdC	ftsI//cysI//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	puuC//
CRP_ExuR	ldtB//
CRP_ExuR_FNR	hcp//hycE//
CRP_ExuR_OxyR_UxuR	cysI//hycG//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	argD//
CRP_FNR_Fis	murG//fadB//
CRP_FNR_Fis_GlpR_IHF	puuC//mhpE//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	nrfC//uxaC//entF//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	sufS//puuA//glyA//uxaC//fadJ//
CRP_FNR_NarL	mhpF//appA//
CRP_FeaR_NsrR	glyA//
CRP_Fis	codA//nrfD//nrfB//
CRP_Fis_FlhDC_GalR_GalS	recF//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	dmsB//napA//
CRP_Fis_IHF	katE//moaD//aroG//
CRP_Fis_NanR	glcF//murE//sdhD//entH//
CRP_Fis_NtrC	murE//
CRP_Fis_XylR	ilvA//
CRP_FlhDC_GalR_GalS	fabA//
CRP_FucR	rutE//malY//mhpF//galE//rutC//glpC//
CRP_Fur	purM//rutC//nanK//frdB//garK//rbsK//malP//icd//deoB//recF//
CRP_Fur_HypT_PdhR	pyrD//napA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	nanA//aroL//xylB//glcE//
CRP_GalR_GalS_NagC	ilvG_2//
CRP_GlpR	putA//idnK//hycD//
CRP_GntR	waaH//
CRP_GntR_IdnR	hemA//ynfG//metB//dusB//nrfD//pgaC//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	cdd//aroA//murG//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	sodB//
CRP_H-NS_LacI	malP//ilvD//acs//
CRP_H-NS_LeuO	ascB//
CRP_H-NS_MqsA	
CRP_IHF	hyaB//garL//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	garK//
CRP_IHF_PaaX	puuA//ansB//uxuA//pgaB//malQ//cysM//tdcE//narG//
CRP_IHF_UlaR	melA//ldtB//rhaA//gabD//
CRP_IHF_YiaJ	pgaD//fumB//rutB//cysM//astD//adiA//
CRP_LexA	
CRP_Lrp	ssuD//ddlB//paaZ//mdh//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	gutQ//
CRP_LsrR	nagB//narH//chbG//betA//nrfD//
CRP_MalI	caiB//uxaA//
CRP_MalT	ddlB//napH//
CRP_MalT_PhoP	ynfG//
CRP_MelR	rhaB//poxB//
CRP_MetJ	prpE//
CRP_MhpR	ilvE//ynfF//rutE//zwf//nrdE//sgbH//
CRP_Mlc	
CRP_ModE	garK//
CRP_MurR	lsrG//fadE//galT//
CRP_Nac_NsrR_PhoB	
CRP_NadR	pgaC//
CRP_NagC	rimK//atoD//hycB//rutA//cysJ//
CRP_NagC_NanR	hyaC//dmsA//
CRP_NagC_PhoP	hypB//
CRP_OxyR	
CRP_OxyR_UxuR	aspA//
CRP_PhoB	aldB//astC//
CRP_PhoP	xylA//ahpC//pgaD//
CRP_PutA	hycC//
CRP_RbsR	citC//gltA//waaH//
CRP_RhaR_RhaS	
CRP_RhaS	umpH//prpE//rutD//
CRP_Rob	nrfC//
CRP_TorR	caiC//aceF//
CRP_UhpA_UvrY	galE//
CRP_UidR_UxuR	purD//yqjH//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	bglB//atoB//
Cbl_CysB_FNR_IHF	garL//fucA//acnA//
CdaR_FNR_Fis_Fur_H-NS	murD//araA//
CdaR_FNR_Fur_H-NS	gadB//caiB//nrfB//gabD//
CpxR_CsgD_FliZ	
CpxR_CysB	gatZ//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	mnmG//
CpxR_GadE	entE//ftnA//ubiA//
CpxR_H-NS	moaD//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	araB//
Cra_FNR_Fis_Lrp_NarL	rutE//
Cra_FNR_Fur_MarA_Rob_SoxS	rutE//
Cra_FhlA_FlhDC	prpB//
Cra_GntR_KdgR	ssuE//
Cra_GntR_KdgR_PhoB	poxB//
Cra_MarA_SoxS	carB//
Cra_PdeL	uxuA//
Cra_SgrR	paaZ//
Cra_TyrR	uidA//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	tauD//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	astC//torC//
CusR_PhoB_YedW	hycG//
CysB_H-NS	astC//argD//gntK//
CysB_HypT_IHF	entD//
CysB_IHF	entD//galE//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	puuD//
DinJ-YafQ_LexA	ulaF//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	ilvG_2//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	frdA//
FNR_FhlA_NarL_NarP	aceA//nfsB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	metL//
FNR_Fis_IHF_ModE_NarL	ugpQ//
FNR_Fis_IHF_NarL	xylB//
FNR_Fis_IHF_NarL_RstA	ilvG_1//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	napC//
FNR_FlhDC_ModE_NarL_NarP	glpQ//
FNR_Fur	ynfE//prmC//
FNR_Fur_GadE	tdcB//
FNR_Fur_GadX_NtrC	citX//
FNR_Fur_H-NS	mhpA//ilvG_1//gatD//
FNR_Fur_MetR_NsrR	prpE//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	dsdA//
FNR_Fur_OxyR	ilvI//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	tdcG//
FNR_H-NS_NrdR	hemA//hycE//
FNR_IHF	glpB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	ilvD//
FNR_IHF_PhoB	
FNR_MalT	citX//mhpB//
FNR_ModE	
FNR_NarL	argG//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	gapA//lhgO//
FNR_NarL_NikR	ulaD//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	recF//ilvI//
FNR_YqjI	
FabR_FadR	rbsD//caiD//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	fucU//rbsD//
FhlA_IHF_NsrR	
Fis_Fur	argD//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	malS//
Fis_IHF	
Fis_IHF_NtrC	serA//fdhF//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	tdcD//
Fis_NarL	aspC//
Fis_NarL_NarP_NsrR	
Fis_PurR	betA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	narH//
Fur_H-NS	metL//aroA//
Fur_IHF_IscR_NsrR_OxyR	paaJ//
Fur_IscR_NrdR	hycE//
Fur_MetR	citG//
Fur_MntR	bglB//
Fur_MntR_OxyR	entE//
Fur_OxyR	
Fur_PurR	hycF//
Fur_RcnR	lsrG//
Fur_RutR	gnd//
Fur_SoxS_Zur	
Fur_YqjI	nemA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	purN//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	nemA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	ahpF//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	napH//
H-NS_Lrp_NhaR_RcsB	caiA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	puuA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	murD//
HU_IHF_TyrR	citG//
HigA_HigB-HigA	epd//
HipAB_HipB_IHF	rbsD//
HypT_MetJ	deoC//
HypT_MetJ_PhoP	gltA//pdeL//
IHF_Lrp	mhpC//prpD//glgP//purH//entB//
IHF_NsrR	
IHF_NtrC	glpQ//
IHF_PhoP	
IHF_PspF	mraY//
IHF_RcsAB	
IHF_RtcR	caiA//fumA//
IHF_TyrR	hycF//
IHF_UlaR	tdcB//
LexA_MraZ_PdhR	ilvA//relA//cysH//rsmH//truB//truB//lsrG//codA//pspE//lsrF//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	fau//serC//
MarA_PhoP_Rob_SoxS	rutE//ahpF//zwf//fadH//tnaA//fbaA//citE//citC//betB//
MarA_Rob_SoxS	prmC//acnB//
MarA_SoxS	atoB//tdcE//aroA//
MetJ_MetR	citC//
MetJ_OxyR	ilvD//
MetR_PurR	serC//
MraZ_PdhR	ugpQ//
Nac_PurR	yqjH//purH//
NarL_TorR	sdhA//
NemR_RutR	citD//putA//
NhaR_OmpR	putA//chbF//prpE//
NorR_NsrR	
NsrR_PhoB	paaK//
OxyR_SoxS	
PdhR_PhoP	torC//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	prpE//pck//
RelB_RelB-RelE	aroG//
TrpR_TyrR	pgk//
YefM_YefM-YoeB	hpt//
