# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	sgbE//lpxC//
ArcA_CRP_IHF	yqjH//
ArcA_CRP_PuuR	ahpC//moeA//ssuD//glpA//
ArcA_CRP_RhaS	treC//
ArcA_CRP_TreR	lldD//nrdF//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	rutA//nanM//
ArcA_Cra	carB//
ArcA_Cra_FNR_H-NS_HypT	uvrA//
ArcA_CysB_FNR	
ArcA_FNR	patA//carB//waaH//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	narH//
ArcA_FNR_Fis_IHF_NarL	napC//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	nanA//sdhD//
ArcA_FNR_IHF_NarL	aroG//chbG//
ArcA_FNR_NarL	purH//cysH//sdhB//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	tdcE//narI//
ArcA_FadR	sgbE//hypB//fadD//
ArcA_FadR_Fis	sgbU//hycG//
ArcA_Fur_Lrp_ModE	moeA//cdd//
ArcA_GlcC_IHF_PdhR	relA//malQ//uxuA//
ArcA_LexA	ftsI//
ArcA_LldR	moeB//aldA//
ArcA_NarL	hmp//
ArcA_NtrC_PhoP_RutR	prpB//rutC//pgaD//fadB//paaF//hemA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	epd//
ArgP_CRP_FNR_Fur_Nac	ilvM//
ArgP_DnaA	tdcD//
ArgP_Lrp	chbF//bglB//
ArgP_LysR	hypF//
ArgP_PhoB	
ArgR_CRP	uxaA//
ArgR_CRP_Fis	hyaC//murD//cdd//
ArgR_Fis_IHF_PepA_PurR_RutR	pspE//
ArgR_H-NS_NtrC	cysJ//entB//
ArgR_NtrC	pgk//torC//nrfD//deoA//xylB//
ArgR_PhoP	prpD//
AscG_CRP	napC//fucU//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	araD//
AtoC_IHF	rhaB//uxuA//mhpE//
BaeR_CpxR	murD//
BaeR_CpxR_EvgA	sodA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	hyaA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	napB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	sucC//frdA//pyrD//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	cyoE//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	accB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	ldtB//adhE//hpt//mhpE//idnD//carB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	purN//cysH//napA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	tdcG//gatY//glgP//
CRP_Cra_Mlc_NagC	aceF//pflB//uxuA//hyaC//
CRP_Cra_PrpR	dadX//fucO//adhE//lhgO//
CRP_CreB_Fis_MalT	deoD//
CRP_CsiR_H-NS_Lrp	rbsK//
CRP_CsiR_H-NS_Lrp_Nac	fumA//metK//citD//
CRP_CspA_Fis	pnp//
CRP_CytR	glpX//
CRP_CytR_DeoR	fadH//frdA//
CRP_CytR_DeoR_Fis_ModE	nrdD//sgbU//ynfF//sdhB//
CRP_CytR_Nac	hyaB//
CRP_CytR_NsrR	yqjH//
CRP_DcuR_FNR_NarL	acs//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	caiA//ugpQ//
CRP_DpiA_ExuR	ilvI//
CRP_DsdC	ynfE//ilvH//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ahpF//
CRP_ExuR	relA//
CRP_ExuR_FNR	fau//putA//
CRP_ExuR_OxyR_UxuR	citE//nanK//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	sgbU//
CRP_FNR_Fis	lsrG//glgC//
CRP_FNR_Fis_GlpR_IHF	ulaG//aldA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	paaI//umpH//betB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	ilvM//lacZ//ilvG_1//lhgO//gabT//
CRP_FNR_NarL	citG//aldB//
CRP_FeaR_NsrR	nrfD//
CRP_Fis	uxaC//garK//accB//
CRP_Fis_FlhDC_GalR_GalS	zwf//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	galE//rutC//
CRP_Fis_IHF	hyaA//caiA//sdhD//
CRP_Fis_NanR	aceE//treC//ubiA//aldA//
CRP_Fis_NtrC	dsdA//
CRP_Fis_XylR	hyaB//
CRP_FlhDC_GalR_GalS	ulaD//
CRP_FucR	ftnA//nanM//codA//paaB//pgaD//carA//
CRP_Fur	paaJ//prpD//narI//rbsD//chbF//uidA//puuE//puuE//caiB//nrfD//
CRP_Fur_HypT_PdhR	ascB//serA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	glpC//napH//malS//rhaA//
CRP_GalR_GalS_NagC	acnA//
CRP_GlpR	mdh//accB//gdhA//
CRP_GntR	aceF//
CRP_GntR_IdnR	mnmG//frdD//napG//mraY//sdhA//gatY//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	ynfH//malQ//hycG//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	hmp//
CRP_H-NS_LacI	pncB//srlD//idnD//
CRP_H-NS_LeuO	gcvP//
CRP_H-NS_MqsA	
CRP_IHF	uxuB//glpQ//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	recF//
CRP_IHF_PaaX	prmC//ackA//pgaB//uxaC//nagB//murQ//atoA//galK//
CRP_IHF_UlaR	uxuB//pgaD//fucA//ulaD//
CRP_IHF_YiaJ	relA//entA//napB//rutD//rhaA//yqjH//
CRP_LexA	
CRP_Lrp	paaA//prmC//gatZ//mdh//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	ynfF//
CRP_LsrR	sodA//puuB//astE//deoC//nanE//
CRP_MalI	ilvA//napH//
CRP_MalT	dadX//frdB//
CRP_MalT_PhoP	entA//
CRP_MelR	mraY//galE//
CRP_MetJ	gloA//
CRP_MhpR	hypF//paaI//purM//astD//araD//ynfG//
CRP_Mlc	
CRP_ModE	nfsA//
CRP_MurR	uxuA//mhpE//aldB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	lldD//
CRP_NagC	hemA//galE//fadE//purD//sgbE//
CRP_NagC_NanR	frdA//poxB//
CRP_NagC_PhoP	chbG//
CRP_OxyR	
CRP_OxyR_UxuR	gapA//
CRP_PhoB	lacA//nrfD//
CRP_PhoP	nrdA//rutD//purD//
CRP_PutA	fucU//
CRP_RbsR	waaH//gnd//cysG//
CRP_RhaR_RhaS	
CRP_RhaS	mraY//gltB//nrdA//
CRP_Rob	ilvD//
CRP_TorR	lpd//paaC//
CRP_UhpA_UvrY	pdeL//
CRP_UidR_UxuR	sdhA//tdcE//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	narG//purD//
Cbl_CysB_FNR_IHF	ilvA//ddlB//fadI//
CdaR_FNR_Fis_Fur_H-NS	gloA//ynfG//
CdaR_FNR_Fur_H-NS	epd//hyaC//fes//gabT//
CpxR_CsgD_FliZ	
CpxR_CysB	dmsA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	hycB//
CpxR_GadE	deoA//paaH//ansB//
CpxR_H-NS	gatZ//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	adiA//
Cra_FNR_Fis_Lrp_NarL	serC//
Cra_FNR_Fur_MarA_Rob_SoxS	ulaF//
Cra_FhlA_FlhDC	ssuD//
Cra_GntR_KdgR	paaA//
Cra_GntR_KdgR_PhoB	ascB//
Cra_MarA_SoxS	rhaA//
Cra_PdeL	nanM//
Cra_SgrR	hemL//
Cra_TyrR	nemA//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	entH//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	nagA//gadB//
CusR_PhoB_YedW	entB//
CysB_H-NS	sucC//kbaZ//mhpE//
CysB_HypT_IHF	sucA//
CysB_IHF	mhpF//fucK//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	prpC//
DinJ-YafQ_LexA	sufS//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	ppiA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	glpD//
FNR_FhlA_NarL_NarP	paaE//relA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	cdd//
FNR_Fis_IHF_ModE_NarL	ldtB//
FNR_Fis_IHF_NarL	ldtB//
FNR_Fis_IHF_NarL_RstA	melA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	astA//
FNR_FlhDC_ModE_NarL_NarP	pgaB//
FNR_Fur	ynfG//mtlD//
FNR_Fur_GadE	glgC//
FNR_Fur_GadX_NtrC	ynfF//
FNR_Fur_H-NS	deoC//ldtB//glpB//
FNR_Fur_MetR_NsrR	murQ//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	narI//
FNR_Fur_OxyR	napG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	hyaC//
FNR_H-NS_NrdR	ulaG//puuE//
FNR_IHF	fadA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	sgbH//
FNR_IHF_PhoB	
FNR_MalT	nemA//glpX//
FNR_ModE	
FNR_NarL	sgbH//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	fabB//mnmG//
FNR_NarL_NikR	purN//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	moeB//lpxD//
FNR_YqjI	
FabR_FadR	mraY//lacZ//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	lpxA//galK//
FhlA_IHF_NsrR	
Fis_Fur	narI//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	puuB//
Fis_IHF	
Fis_IHF_NtrC	fumC//tauD//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	tauD//
Fis_NarL	eda//
Fis_NarL_NarP_NsrR	
Fis_PurR	codA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	udp//
Fur_H-NS	purN//garK//
Fur_IHF_IscR_NsrR_OxyR	hycE//
Fur_IscR_NrdR	fabA//
Fur_MetR	gltA//
Fur_MntR	nrfC//
Fur_MntR_OxyR	idnO//
Fur_OxyR	
Fur_PurR	metB//
Fur_RcnR	srlD//
Fur_RutR	citE//
Fur_SoxS_Zur	
Fur_YqjI	garR//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	mdh//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	narI//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	citG//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	acnB//
H-NS_Lrp_NhaR_RcsB	lpd//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	aceF//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	paaF//
HU_IHF_TyrR	galE//
HigA_HigB-HigA	mnmG//
HipAB_HipB_IHF	purM//
HypT_MetJ	rutC//
HypT_MetJ_PhoP	napG//astE//
IHF_Lrp	yqjH//katE//lldD//napG//glcD//
IHF_NsrR	
IHF_NtrC	fucO//
IHF_PhoP	
IHF_PspF	xylA//
IHF_RcsAB	
IHF_RtcR	purN//torA//
IHF_TyrR	hemL//
IHF_UlaR	aldB//
LexA_MraZ_PdhR	rhaB//caiA//mdh//sgbE//fucK//mazG//puuA//gatY//pgk//torC//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	lldD//uxuA//
MarA_PhoP_Rob_SoxS	folA//yiaK//rbsD//pck//aldB//ulaF//citD//rutE//aroA//
MarA_Rob_SoxS	ilvM//gadA//
MarA_SoxS	codA//nrfB//astC//
MetJ_MetR	mhpD//
MetJ_OxyR	ynfH//
MetR_PurR	murQ//
MraZ_PdhR	idnD//
Nac_PurR	rhaD//rutC//
NarL_TorR	aceA//
NemR_RutR	prpB//glcE//
NhaR_OmpR	entA//frdD//astA//
NorR_NsrR	
NsrR_PhoB	frdB//
OxyR_SoxS	
PdhR_PhoP	codA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	rbsD//moaD//
RelB_RelB-RelE	lsrF//
TrpR_TyrR	waaY//
YefM_YefM-YoeB	deoA//
