# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	nrdE//fadB//
ArcA_CRP_IHF	aceF//
ArcA_CRP_PuuR	deoD//rutE//mdh//frdC//
ArcA_CRP_RhaS	deoD//
ArcA_CRP_TreR	gutQ//relA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	prpD//astD//
ArcA_Cra	fbaA//
ArcA_Cra_FNR_H-NS_HypT	mhpD//
ArcA_CysB_FNR	
ArcA_FNR	rbsD//ackA//glcE//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	puuD//
ArcA_FNR_Fis_IHF_NarL	nfsA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	treC//deoB//
ArcA_FNR_IHF_NarL	pgaD//katG//
ArcA_FNR_NarL	gatD//ansB//fadH//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	caiD//paaE//
ArcA_FadR	glcB//pgaB//gcvP//
ArcA_FadR_Fis	nanM//astE//
ArcA_Fur_Lrp_ModE	mhpB//frdB//
ArcA_GlcC_IHF_PdhR	pgaD//pgaD//metL//
ArcA_LexA	hycB//
ArcA_LldR	puuE//hycE//
ArcA_NarL	cysI//
ArcA_NtrC_PhoP_RutR	sgbH//dadX//gntK//murE//nanM//feaB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	dadX//
ArgP_CRP_FNR_Fur_Nac	caiB//
ArgP_DnaA	nfsB//
ArgP_Lrp	waaY//nrdF//
ArgP_LysR	mhpC//
ArgP_PhoB	
ArgR_CRP	paaI//
ArgR_CRP_Fis	bglB//citF//hyaB//
ArgR_Fis_IHF_PepA_PurR_RutR	ulaE//
ArgR_H-NS_NtrC	hyaC//purH//
ArgR_NtrC	prmC//frdD//uxaC//rsmH//frdC//
ArgR_PhoP	rbsD//
AscG_CRP	malQ//eda//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	sodA//
AtoC_IHF	nfsB//aldB//katG//
BaeR_CpxR	frdD//
BaeR_CpxR_EvgA	fabZ//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	malQ//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	poxB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	aceB//glcE//glpX//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	nanM//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	nrfC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	chbF//sucA//ilvA//ilvI//lysA//astE//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	paaH//lysA//pspE//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	glcD//frdC//nrdB//
CRP_Cra_Mlc_NagC	nrfC//prpD//chbF//katE//
CRP_Cra_PrpR	paaE//paaG//ilvM//galT//
CRP_CreB_Fis_MalT	fadB//
CRP_CsiR_H-NS_Lrp	caiA//
CRP_CsiR_H-NS_Lrp_Nac	sgbH//sucD//guaA//
CRP_CspA_Fis	epd//
CRP_CytR	katG//
CRP_CytR_DeoR	rutD//rutB//
CRP_CytR_DeoR_Fis_ModE	aroA//galT//glpQ//pflB//
CRP_CytR_Nac	dadA//
CRP_CytR_NsrR	lpxD//
CRP_DcuR_FNR_NarL	uidA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	nanA//hpt//
CRP_DpiA_ExuR	uxuB//
CRP_DsdC	ubiC//aceB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	galK//
CRP_ExuR	entE//
CRP_ExuR_FNR	truB//cysM//
CRP_ExuR_OxyR_UxuR	fabB//araA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	sdhD//
CRP_FNR_Fis	paaE//melA//
CRP_FNR_Fis_GlpR_IHF	murE//waaY//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	glgP//katG//gcvH//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	sdhB//paaA//gapA//sgbH//srlD//
CRP_FNR_NarL	ilvA//acs//
CRP_FeaR_NsrR	lsrK//
CRP_Fis	ddlB//entD//sodB//
CRP_Fis_FlhDC_GalR_GalS	mhpC//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	malY//paaZ//
CRP_Fis_IHF	murD//atoB//dmsC//
CRP_Fis_NanR	rutC//prmC//aroA//sdhC//
CRP_Fis_NtrC	ssuE//
CRP_Fis_XylR	pgaC//
CRP_FlhDC_GalR_GalS	argD//
CRP_FucR	paaK//chbF//glpC//fumA//uidA//citF//
CRP_Fur	deoC//nrfC//tdcE//glpA//hycE//moeB//hmp//ynfE//pgaD//aroG//
CRP_Fur_HypT_PdhR	katG//truB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	feaB//purN//dadA//aspC//
CRP_GalR_GalS_NagC	putA//
CRP_GlpR	icd//nanE//purM//
CRP_GntR	gabD//
CRP_GntR_IdnR	accC//atoA//hpt//hyaB//umpH//hypF//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	mhpC//paaK//pncB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	hpt//
CRP_H-NS_LacI	pgaB//glpX//malY//
CRP_H-NS_LeuO	poxB//
CRP_H-NS_MqsA	
CRP_IHF	frdA//recF//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	fadH//
CRP_IHF_PaaX	ilvI//hycD//entH//entH//zwf//lpd//tnaA//fadH//
CRP_IHF_UlaR	accC//hyaA//fadH//gntK//
CRP_IHF_YiaJ	rutB//metK//paaJ//ftnA//fucI//chbF//
CRP_LexA	
CRP_Lrp	truB//ilvM//mhpE//nagA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	nrfB//
CRP_LsrR	argD//relA//ndh//garR//sufS//
CRP_MalI	fabA//caiA//
CRP_MalT	gatY//pck//
CRP_MalT_PhoP	ansB//
CRP_MelR	paaZ//metB//
CRP_MetJ	murQ//
CRP_MhpR	adiA//lyxK//nrdE//nagA//puuA//fadJ//
CRP_Mlc	
CRP_ModE	galM//
CRP_MurR	astA//uxuA//entC//
CRP_Nac_NsrR_PhoB	
CRP_NadR	accB//
CRP_NagC	mhpC//fabA//frdB//dadA//lyxK//
CRP_NagC_NanR	puuD//ubiA//
CRP_NagC_PhoP	zwf//
CRP_OxyR	
CRP_OxyR_UxuR	paaF//
CRP_PhoB	sucD//edd//
CRP_PhoP	prmC//entH//murE//
CRP_PutA	glpD//
CRP_RbsR	lacA//cysI//murQ//
CRP_RhaR_RhaS	
CRP_RhaS	fdhF//ilvG_2//chbF//
CRP_Rob	accC//
CRP_TorR	glcF//paaF//
CRP_UhpA_UvrY	hycF//
CRP_UidR_UxuR	glpX//paaH//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	hycD//citC//
Cbl_CysB_FNR_IHF	entD//paaZ//pspE//
CdaR_FNR_Fis_Fur_H-NS	edd//paaJ//
CdaR_FNR_Fur_H-NS	galM//gnd//tdcE//araD//
CpxR_CsgD_FliZ	
CpxR_CysB	mhpA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	aroA//
CpxR_GadE	aroA//citD//tdcD//
CpxR_H-NS	lysA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	lysA//
Cra_FNR_Fis_Lrp_NarL	rnpB//
Cra_FNR_Fur_MarA_Rob_SoxS	nirD//
Cra_FhlA_FlhDC	nrfD//
Cra_GntR_KdgR	lacZ//
Cra_GntR_KdgR_PhoB	xylA//
Cra_MarA_SoxS	nemA//
Cra_PdeL	frdC//
Cra_SgrR	aspA//
Cra_TyrR	gatD//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	ahpC//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	malS//torA//
CusR_PhoB_YedW	aldA//
CysB_H-NS	malQ//acnA//pnp//
CysB_HypT_IHF	gabT//
CysB_IHF	ilvA//glyA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	uxuB//
DinJ-YafQ_LexA	napH//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	prmC//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	napA//
FNR_FhlA_NarL_NarP	fadB//uvrA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	hycC//
FNR_Fis_IHF_ModE_NarL	carA//
FNR_Fis_IHF_NarL	citC//
FNR_Fis_IHF_NarL_RstA	sgbE//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	gabT//
FNR_FlhDC_ModE_NarL_NarP	astE//
FNR_Fur	ulaD//purM//
FNR_Fur_GadE	citD//
FNR_Fur_GadX_NtrC	malS//
FNR_Fur_H-NS	mpl//fumB//betB//
FNR_Fur_MetR_NsrR	cysI//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	galK//
FNR_Fur_OxyR	uvrA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	mraY//
FNR_H-NS_NrdR	pdeR//mazG//
FNR_IHF	rhaB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	gutQ//
FNR_IHF_PhoB	
FNR_MalT	uxuB//sucD//
FNR_ModE	
FNR_NarL	prpD//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	uxaA//narI//
FNR_NarL_NikR	puuC//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	argG//pyrD//
FNR_YqjI	
FabR_FadR	ppiA//ynfF//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	srlD//gltD//
FhlA_IHF_NsrR	
Fis_Fur	garL//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	argD//
Fis_IHF	
Fis_IHF_NtrC	sufS//gltA//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	rbsD//
Fis_NarL	epd//
Fis_NarL_NarP_NsrR	
Fis_PurR	ssuE//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	acnA//
Fur_H-NS	idnD//glyA//
Fur_IHF_IscR_NsrR_OxyR	citF//
Fur_IscR_NrdR	guaA//
Fur_MetR	edd//
Fur_MntR	galE//
Fur_MntR_OxyR	sgbU//
Fur_OxyR	
Fur_PurR	paaE//
Fur_RcnR	moeA//
Fur_RutR	lyxK//
Fur_SoxS_Zur	
Fur_YqjI	fumB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	glpC//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	acnA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	hycC//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	melA//
H-NS_Lrp_NhaR_RcsB	glcD//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	cysJ//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	gcvT//
HU_IHF_TyrR	ascB//
HigA_HigB-HigA	napG//
HipAB_HipB_IHF	dgcZ//
HypT_MetJ	glcE//
HypT_MetJ_PhoP	hycG//glcF//
IHF_Lrp	cysJ//atoD//ilvH//ilvD//sodA//
IHF_NsrR	
IHF_NtrC	murC//
IHF_PhoP	
IHF_PspF	tam//
IHF_RcsAB	
IHF_RtcR	glpA//prpD//
IHF_TyrR	napB//
IHF_UlaR	waaY//
LexA_MraZ_PdhR	fumA//moaA//fadH//gapA//malP//fabZ//rbsD//fucI//glgP//glgC//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	sodA//aroA//
MarA_PhoP_Rob_SoxS	ahpF//rhaD//mnmG//garR//guaA//metK//argD//icd//ynfH//
MarA_Rob_SoxS	astB//aldA//
MarA_SoxS	torA//lpxD//citC//
MetJ_MetR	malQ//
MetJ_OxyR	gcvT//
MetR_PurR	cyoE//
MraZ_PdhR	caiA//
Nac_PurR	hycD//ftnA//
NarL_TorR	dadX//
NemR_RutR	aldB//pyrC//
NhaR_OmpR	dsdA//ackA//nrfD//
NorR_NsrR	
NsrR_PhoB	glcE//
OxyR_SoxS	
PdhR_PhoP	lsrK//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	uxaA//serC//
RelB_RelB-RelE	relA//
TrpR_TyrR	tdcB//
YefM_YefM-YoeB	purM//
