# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	aroL//mhpB//
ArcA_CRP_IHF	metE//
ArcA_CRP_PuuR	aceB//guaA//ansB//dmsA//
ArcA_CRP_RhaS	paaE//
ArcA_CRP_TreR	nirB//ogt//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ansB//dmsC//
ArcA_Cra	pck//
ArcA_Cra_FNR_H-NS_HypT	nrdB//
ArcA_CysB_FNR	
ArcA_FNR	fabB//nrfD//waaY//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	aldA//
ArcA_FNR_Fis_IHF_NarL	napC//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	rbsD//prpE//
ArcA_FNR_IHF_NarL	lysA//purM//
ArcA_FNR_NarL	caiC//prpC//paaI//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	ynfG//puuE//
ArcA_FadR	rbsK//murD//ackA//
ArcA_FadR_Fis	gloA//astD//
ArcA_Fur_Lrp_ModE	ssuE//rutC//
ArcA_GlcC_IHF_PdhR	murD//napB//pnp//
ArcA_LexA	tauD//
ArcA_LldR	aroA//purH//
ArcA_NarL	cysM//
ArcA_NtrC_PhoP_RutR	ahpF//purH//acnB//lldD//carB//puuC//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	sufS//
ArgP_CRP_FNR_Fur_Nac	murQ//
ArgP_DnaA	kbaZ//
ArgP_Lrp	argG//tdcE//
ArgP_LysR	cysH//
ArgP_PhoB	
ArgR_CRP	entH//
ArgR_CRP_Fis	mhpE//mhpA//glgC//
ArgR_Fis_IHF_PepA_PurR_RutR	astB//
ArgR_H-NS_NtrC	glpX//galM//
ArgR_NtrC	paaC//truB//glcF//cadA//aspA//
ArgR_PhoP	nrfD//
AscG_CRP	argD//araA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	galM//
AtoC_IHF	rbsK//aspC//ilvH//
BaeR_CpxR	rhaB//
BaeR_CpxR_EvgA	purM//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	sgbU//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	uxaB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	paaC//katE//citE//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	hycB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	fucU//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	citE//entA//betA//purH//fumA//mdh//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	ackA//glgP//ilvM//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	udp//mhpE//fucA//
CRP_Cra_Mlc_NagC	galK//cysH//rnpB//garK//
CRP_Cra_PrpR	gltD//ilvG_2//ilvG_1//ahpF//
CRP_CreB_Fis_MalT	sufS//
CRP_CsiR_H-NS_Lrp	ftnA//
CRP_CsiR_H-NS_Lrp_Nac	truB//rnpB//paaI//
CRP_CspA_Fis	feaB//
CRP_CytR	pncB//
CRP_CytR_DeoR	guaA//lsrG//
CRP_CytR_DeoR_Fis_ModE	glcF//fumB//dsdA//poxB//
CRP_CytR_Nac	serA//
CRP_CytR_NsrR	nanA//
CRP_DcuR_FNR_NarL	fabA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	caiB//gltD//
CRP_DpiA_ExuR	ynfE//
CRP_DsdC	garR//yiaK//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	moaD//
CRP_ExuR	fabB//
CRP_ExuR_FNR	gntK//idnO//
CRP_ExuR_OxyR_UxuR	nirB//serA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	uxaB//
CRP_FNR_Fis	narG//lysA//
CRP_FNR_Fis_GlpR_IHF	atoA//narG//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	hemA//uxaC//ilvI//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	malQ//moaD//poxB//ynfH//tdcB//
CRP_FNR_NarL	mdh//araB//
CRP_FeaR_NsrR	deoC//
CRP_Fis	nanE//napB//murQ//
CRP_Fis_FlhDC_GalR_GalS	glgA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	tdcE//frdA//
CRP_Fis_IHF	tdcE//tam//gltA//
CRP_Fis_NanR	garL//uxaC//entB//puuC//
CRP_Fis_NtrC	ynfH//
CRP_Fis_XylR	aldA//
CRP_FlhDC_GalR_GalS	acnB//
CRP_FucR	lsrG//citG//aceB//entB//ilvG_1//ynfE//
CRP_Fur	gltA//prpB//hycB//carB//rbsD//galK//dmsA//paaF//nrfB//galE//
CRP_Fur_HypT_PdhR	fucA//caiA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	putA//carB//nirD//ansB//
CRP_GalR_GalS_NagC	prpD//
CRP_GlpR	zwf//idnD//fdhF//
CRP_GntR	cyoE//
CRP_GntR_IdnR	cadA//gcd//adhE//fadD//lsrK//entH//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	rsmH//truB//frdC//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	dusB//
CRP_H-NS_LacI	metL//serA//gcd//
CRP_H-NS_LeuO	fucK//
CRP_H-NS_MqsA	
CRP_IHF	cysI//rimK//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	lpd//
CRP_IHF_PaaX	citD//metH//fbaA//fucO//paaZ//nfsA//melA//murQ//
CRP_IHF_UlaR	prpB//hyaA//purH//uxaB//
CRP_IHF_YiaJ	uxuB//glpD//gdhA//serC//torC//mpl//
CRP_LexA	
CRP_Lrp	mhpA//murD//caiC//pyrD//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	appA//
CRP_LsrR	sdhB//guaA//nemA//fes//gnd//
CRP_MalI	fdhF//gntK//
CRP_MalT	uidA//acs//
CRP_MalT_PhoP	chbF//
CRP_MelR	aldA//malS//
CRP_MetJ	sufS//
CRP_MhpR	rnpB//lldD//ilvE//napA//moaD//sucC//
CRP_Mlc	
CRP_ModE	hycB//
CRP_MurR	nagA//hcp//mhpA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	paaG//
CRP_NagC	pck//mhpF//gatZ//guaA//fumC//
CRP_NagC_NanR	purD//fau//
CRP_NagC_PhoP	uxaA//
CRP_OxyR	
CRP_OxyR_UxuR	yiaK//
CRP_PhoB	lhgO//aceF//
CRP_PhoP	poxB//aceA//metB//
CRP_PutA	paaI//
CRP_RbsR	icd//uidA//mpl//
CRP_RhaR_RhaS	
CRP_RhaS	moeB//idnD//atoD//
CRP_Rob	relA//
CRP_TorR	treC//ubiA//
CRP_UhpA_UvrY	treC//
CRP_UidR_UxuR	ogt//gcvH//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	ilvD//nrdF//
Cbl_CysB_FNR_IHF	deoC//uxaC//entB//
CdaR_FNR_Fis_Fur_H-NS	truB//tnaA//
CdaR_FNR_Fur_H-NS	gloA//rhaB//sgbH//mpl//
CpxR_CsgD_FliZ	
CpxR_CysB	betB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	lacA//
CpxR_GadE	moaA//srlD//sucA//
CpxR_H-NS	uxuB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	caiC//
Cra_FNR_Fis_Lrp_NarL	guaA//
Cra_FNR_Fur_MarA_Rob_SoxS	paaI//
Cra_FhlA_FlhDC	frdD//
Cra_GntR_KdgR	nagB//
Cra_GntR_KdgR_PhoB	caiD//
Cra_MarA_SoxS	glcE//
Cra_PdeL	entA//
Cra_SgrR	pdeR//
Cra_TyrR	hycF//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	fes//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	serA//nrdB//
CusR_PhoB_YedW	ulaF//
CysB_H-NS	dmsA//caiD//glyA//
CysB_HypT_IHF	malQ//
CysB_IHF	sufS//umpH//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	aspC//
DinJ-YafQ_LexA	ilvM//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	aceF//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	udp//
FNR_FhlA_NarL_NarP	hcp//sucA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gdhA//
FNR_Fis_IHF_ModE_NarL	lysA//
FNR_Fis_IHF_NarL	gcvT//
FNR_Fis_IHF_NarL_RstA	hycD//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	gloA//
FNR_FlhDC_ModE_NarL_NarP	gabT//
FNR_Fur	glpK//prpC//
FNR_Fur_GadE	fadA//
FNR_Fur_GadX_NtrC	puuC//
FNR_Fur_H-NS	rbsK//murG//entH//
FNR_Fur_MetR_NsrR	malY//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	lacZ//
FNR_Fur_OxyR	rbsD//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	purA//
FNR_H-NS_NrdR	nrdE//rhaA//
FNR_IHF	sdhB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	fadH//
FNR_IHF_PhoB	
FNR_MalT	tauD//glcF//
FNR_ModE	
FNR_NarL	fadA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	cysI//entH//
FNR_NarL_NikR	rbsD//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	cysI//pgaD//
FNR_YqjI	
FabR_FadR	tauD//nrdA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	galK//mhpD//
FhlA_IHF_NsrR	
Fis_Fur	fadB//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	gltA//
Fis_IHF	
Fis_IHF_NtrC	fumC//nrdD//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	gatD//
Fis_NarL	lsrG//
Fis_NarL_NarP_NsrR	
Fis_PurR	nrdB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	ilvD//
Fur_H-NS	galE//dusB//
Fur_IHF_IscR_NsrR_OxyR	rnpB//
Fur_IscR_NrdR	hpt//
Fur_MetR	uxuA//
Fur_MntR	hycC//
Fur_MntR_OxyR	yqjH//
Fur_OxyR	
Fur_PurR	malP//
Fur_RcnR	rbsD//
Fur_RutR	frdA//
Fur_SoxS_Zur	
Fur_YqjI	fumB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	gatZ//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	fadI//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	murE//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	accB//
H-NS_Lrp_NhaR_RcsB	katG//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	pgaD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	ulaG//
HU_IHF_TyrR	uxaC//
HigA_HigB-HigA	edd//
HipAB_HipB_IHF	ppiA//
HypT_MetJ	cysM//
HypT_MetJ_PhoP	mhpC//rsmH//
IHF_Lrp	sufS//pgaC//glpK//malQ//moaA//
IHF_NsrR	
IHF_NtrC	garK//
IHF_PhoP	
IHF_PspF	atoA//
IHF_RcsAB	
IHF_RtcR	idnO//udp//
IHF_TyrR	sucB//
IHF_UlaR	moaD//
LexA_MraZ_PdhR	feaB//ynfG//uxaC//relA//fucK//paaB//lsrF//glpD//tdcG//lsrG//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	nemA//rutC//
MarA_PhoP_Rob_SoxS	glgP//adhE//gnd//paaG//narH//tauD//entE//cdd//gloA//
MarA_Rob_SoxS	poxB//aceA//
MarA_SoxS	sgbU//poxB//nrdF//
MetJ_MetR	hmp//
MetJ_OxyR	adhE//
MetR_PurR	uxuB//
MraZ_PdhR	ftsI//
Nac_PurR	gdhA//napH//
NarL_TorR	cadA//
NemR_RutR	lhgO//astB//
NhaR_OmpR	glpA//eda//metE//
NorR_NsrR	
NsrR_PhoB	epd//
OxyR_SoxS	
PdhR_PhoP	paaC//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	katG//entB//
RelB_RelB-RelE	rutE//
TrpR_TyrR	paaF//
YefM_YefM-YoeB	uxaA//
