# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	paaE//katE//
ArcA_CRP_GlpR	glpC//
ArcA_CRP_IHF	moaE//
ArcA_CRP_PuuR	metK//adhE//gcvH//deoA//
ArcA_CRP_RhaS	chbF//
ArcA_CRP_TreR	ynfH//sucB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	nrfB//lsrG//
ArcA_Cra	folA//
ArcA_Cra_FNR_H-NS_HypT	nrfA//
ArcA_CysB_FNR	
ArcA_FNR	garR//hcp//nrdA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	recF//
ArcA_FNR_Fis_IHF_NarL	katG//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	glcE//nanM//
ArcA_FNR_IHF_NarL	fdhF//ubiA//
ArcA_FNR_NarL	dmsC//fucK//purN//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	entF//astB//
ArcA_FadR	prpC//murF//mhpE//
ArcA_FadR_Fis	glnA//entE//
ArcA_Fur_Lrp_ModE	narG//truB//
ArcA_GlcC_IHF_PdhR	epd//ahpF//astB//
ArcA_LexA	gcvT//
ArcA_LldR	gabT//frdC//
ArcA_NarL	pyrC//
ArcA_NtrC_PhoP_RutR	ackA//pgaB//deoA//waaH//murD//ulaD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	hyaB//
ArgP_CRP_FNR_Fur_Nac	astA//
ArgP_DnaA	nrfD//
ArgP_Lrp	fes//nrdB//
ArgP_LysR	fadI//
ArgP_PhoB	
ArgR_CRP	rutD//
ArgR_CRP_Fis	puuB//fbaA//deoB//
ArgR_Fis_IHF_PepA_PurR_RutR	malS//
ArgR_H-NS_NtrC	metL//idnO//
ArgR_NtrC	ynfH//rhaB//putA//paaZ//rhaD//
ArgR_PhoP	dmsC//
AscG_CRP	gadB//rhaA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	icd//
AtoC_IHF	nrfD//ynfH//entC//
BaeR_CpxR	glpX//
BaeR_CpxR_EvgA	nrfC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	nrdA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	galM//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	fumB//cadA//nrfB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	mhpF//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	glpX//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	ftnA//astA//tdcE//hycG//hmp//lldD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	chbG//aceB//gatD//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	idnD//fucA//ulaG//
CRP_Cra_Mlc_NagC	fucI//aspC//glcE//mhpA//
CRP_Cra_PrpR	gnd//frdB//gatY//pdeR//
CRP_CreB_Fis_MalT	paaI//
CRP_CsiR_H-NS_Lrp	ynfF//
CRP_CsiR_H-NS_Lrp_Nac	metL//idnD//aspC//
CRP_CspA_Fis	puuB//
CRP_CytR	astB//
CRP_CytR_DeoR	purM//rhaD//
CRP_CytR_DeoR_Fis_ModE	treC//lpxD//recF//glnA//
CRP_CytR_Nac	aceE//
CRP_CytR_NsrR	narG//
CRP_DcuR_FNR_NarL	napC//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	napB//hypF//
CRP_DpiA_ExuR	edd//
CRP_DsdC	tdcE//narI//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	pspE//
CRP_ExuR	citC//
CRP_ExuR_FNR	rutA//fadD//
CRP_ExuR_OxyR_UxuR	lpxA//fucI//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	sdhA//
CRP_FNR_Fis	gltA//glpK//
CRP_FNR_Fis_GlpR_IHF	sdhC//nagA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	caiC//appA//gcd//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	poxB//nanK//citG//gcvP//lsrF//
CRP_FNR_NarL	idnK//fadH//
CRP_FeaR_NsrR	cysI//
CRP_Fis	dgcZ//sdhA//galM//
CRP_Fis_FlhDC_GalR_GalS	tdcE//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	puuA//malS//
CRP_Fis_IHF	citX//rutB//prpD//
CRP_Fis_NanR	rnpB//folA//puuE//ansB//
CRP_Fis_NtrC	rutC//
CRP_Fis_XylR	adhE//
CRP_FlhDC_GalR_GalS	paaJ//
CRP_FucR	pck//idnD//gabT//fadD//katG//nagB//
CRP_Fur	narH//paaI//adhE//ynfF//araB//fumC//acnB//astE//torA//nfsB//
CRP_Fur_HypT_PdhR	moaD//deoA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	zwf//lpxC//lsrG//lsrK//
CRP_GalR_GalS_NagC	glcE//
CRP_GlpR	deoB//gcvH//napA//
CRP_GntR	deoC//
CRP_GntR_IdnR	glcE//nfsA//paaH//chbF//lyxK//citF//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	deoD//rnpB//fucU//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	metK//
CRP_H-NS_LacI	gltB//cadA//aspC//
CRP_H-NS_LeuO	atoB//
CRP_H-NS_MqsA	
CRP_IHF	icd//ilvA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	fadA//
CRP_IHF_PaaX	katG//napH//treC//mpl//udp//aceB//napA//idnO//
CRP_IHF_UlaR	chbF//sodA//hycG//aroA//
CRP_IHF_YiaJ	waaH//mpl//nagA//fabA//hycF//puuC//
CRP_LexA	
CRP_Lrp	sgbH//aceA//moaA//lacA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	rsmH//
CRP_LsrR	gabT//glgC//puuE//fbaA//caiD//
CRP_MalI	purA//purD//
CRP_MalT	bglB//gltA//
CRP_MalT_PhoP	dadA//
CRP_MelR	uxaA//aroA//
CRP_MetJ	ynfF//
CRP_MhpR	guaA//gatZ//aceA//lysA//gnd//prpC//
CRP_Mlc	
CRP_ModE	glcB//
CRP_MurR	glgA//garR//nrdD//
CRP_Nac_NsrR_PhoB	
CRP_NadR	napC//
CRP_NagC	caiD//argD//lpd//mazG//nfsB//
CRP_NagC_NanR	entA//feaB//
CRP_NagC_PhoP	puuB//
CRP_OxyR	
CRP_OxyR_UxuR	paaE//
CRP_PhoB	glcE//pnp//
CRP_PhoP	gntK//hypF//astA//
CRP_PutA	fumA//
CRP_RbsR	glgC//paaB//citE//
CRP_RhaR_RhaS	
CRP_RhaS	putA//glgC//metE//
CRP_Rob	glpC//
CRP_TorR	caiA//aldB//
CRP_UhpA_UvrY	gatD//
CRP_UidR_UxuR	lpxA//gadA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	patA//glcD//
Cbl_CysB_FNR_IHF	ssuD//galK//accB//
CdaR_FNR_Fis_Fur_H-NS	waaZ//argG//
CdaR_FNR_Fur_H-NS	aspA//glcB//lpxD//deoC//
CpxR_CsgD_FliZ	
CpxR_CysB	prmC//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	citF//
CpxR_GadE	chbG//entB//hypB//
CpxR_H-NS	aroA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	nanE//
Cra_FNR_Fis_Lrp_NarL	ldtB//
Cra_FNR_Fur_MarA_Rob_SoxS	xylB//
Cra_FhlA_FlhDC	murF//
Cra_GntR_KdgR	pgaC//
Cra_GntR_KdgR_PhoB	folA//
Cra_MarA_SoxS	pyrC//
Cra_PdeL	xylA//
Cra_SgrR	araD//
Cra_TyrR	glpQ//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	glpX//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	pdeR//tam//
CusR_PhoB_YedW	malQ//
CysB_H-NS	pncB//moaA//hmp//
CysB_HypT_IHF	glgC//
CysB_IHF	nfsA//nagB//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	torA//
DinJ-YafQ_LexA	araD//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	murG//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	waaH//
FNR_FhlA_NarL_NarP	sdhC//nanM//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	dadA//
FNR_Fis_IHF_ModE_NarL	aroL//
FNR_Fis_IHF_NarL	moaA//
FNR_Fis_IHF_NarL_RstA	galK//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	hcp//
FNR_FlhDC_ModE_NarL_NarP	nrdD//
FNR_Fur	rnpB//glpD//
FNR_Fur_GadE	astC//
FNR_Fur_GadX_NtrC	cysM//
FNR_Fur_H-NS	mhpE//gatY//pyrD//
FNR_Fur_MetR_NsrR	glpK//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	nrfC//
FNR_Fur_OxyR	acnA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	fumB//
FNR_H-NS_NrdR	narI//dsdA//
FNR_IHF	hpt//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	entA//
FNR_IHF_PhoB	
FNR_MalT	hemL//moaE//
FNR_ModE	
FNR_NarL	uxaB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	nirD//serC//
FNR_NarL_NikR	acnA//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	hyaA//entD//
FNR_YqjI	
FabR_FadR	adiA//argG//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	rutC//torC//
FhlA_IHF_NsrR	
Fis_Fur	aceB//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	uxuB//
Fis_IHF	
Fis_IHF_NtrC	gabD//treC//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	ppiA//
Fis_NarL	gatD//
Fis_NarL_NarP_NsrR	
Fis_PurR	aceF//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	frdD//
Fur_H-NS	cysG//frdC//
Fur_IHF_IscR_NsrR_OxyR	gltD//
Fur_IscR_NrdR	hypF//
Fur_MetR	ubiA//
Fur_MntR	uxaA//
Fur_MntR_OxyR	rbsD//
Fur_OxyR	
Fur_PurR	mhpE//
Fur_RcnR	cysM//
Fur_RutR	garR//
Fur_SoxS_Zur	
Fur_YqjI	malY//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	recF//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	gabT//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	xylB//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	aceA//
H-NS_Lrp_NhaR_RcsB	accB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	ansB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	zwf//
HU_IHF_TyrR	gloA//
HigA_HigB-HigA	ldtB//
HipAB_HipB_IHF	entE//
HypT_MetJ	uxuB//
HypT_MetJ_PhoP	ynfH//dmsB//
IHF_Lrp	astA//recF//umpH//nrdF//ynfH//
IHF_NsrR	
IHF_NtrC	ftsI//
IHF_PhoP	
IHF_PspF	waaH//
IHF_RcsAB	
IHF_RtcR	melA//hmp//
IHF_TyrR	prpE//
IHF_UlaR	cysI//
LexA_MraZ_PdhR	sodB//ulaE//moeA//hypB//idnK//betB//galE//lacZ//pspE//glnA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	prpB//ppiA//
MarA_PhoP_Rob_SoxS	atoD//citX//pck//paaC//ftnA//epd//mhpE//sodA//pspE//
MarA_Rob_SoxS	tdcG//rnpB//
MarA_SoxS	garK//hypB//rhaB//
MetJ_MetR	purH//
MetJ_OxyR	ftsI//
MetR_PurR	ftnA//
MraZ_PdhR	hycG//
Nac_PurR	ilvG_1//cysH//
NarL_TorR	fabB//
NemR_RutR	lhgO//citE//
NhaR_OmpR	cysG//tdcB//caiD//
NorR_NsrR	
NsrR_PhoB	edd//
OxyR_SoxS	
PdhR_PhoP	adhE//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	pyrD//rutE//
RelB_RelB-RelE	tam//
TrpR_TyrR	nanE//
YefM_YefM-YoeB	fadJ//
