# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	carB//caiD//
ArcA_CRP_IHF	frdD//
ArcA_CRP_PuuR	caiD//gltB//ftsI//carB//
ArcA_CRP_RhaS	sucD//
ArcA_CRP_TreR	ftsI//ftsI//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ulaE//mhpF//
ArcA_Cra	dadA//
ArcA_Cra_FNR_H-NS_HypT	lsrK//
ArcA_CysB_FNR	
ArcA_FNR	moaD//sdhC//rnpB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	malP//
ArcA_FNR_Fis_IHF_NarL	narG//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	citX//nanA//
ArcA_FNR_IHF_NarL	appA//gatZ//
ArcA_FNR_NarL	yiaK//moaA//gutQ//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	nrfC//torA//
ArcA_FadR	cysJ//atoA//glgA//
ArcA_FadR_Fis	astE//hycB//
ArcA_Fur_Lrp_ModE	cysH//murC//
ArcA_GlcC_IHF_PdhR	pgk//acnB//rutC//
ArcA_LexA	rbsD//
ArcA_LldR	mazG//pgk//
ArcA_NarL	uxaB//
ArcA_NtrC_PhoP_RutR	ftsI//gatD//prpB//lhgO//atoA//truB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	murF//
ArgP_CRP_FNR_Fur_Nac	nfsA//
ArgP_DnaA	paaE//
ArgP_Lrp	napH//fadH//
ArgP_LysR	mhpB//
ArgP_PhoB	
ArgR_CRP	truB//
ArgR_CRP_Fis	murG//aceE//araB//
ArgR_Fis_IHF_PepA_PurR_RutR	mhpE//
ArgR_H-NS_NtrC	mhpC//appA//
ArgR_NtrC	gltA//purN//cysG//hycC//glpQ//
ArgR_PhoP	galE//
AscG_CRP	lsrK//nrdF//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	fabZ//
AtoC_IHF	metB//srlD//accC//
BaeR_CpxR	pgaC//
BaeR_CpxR_EvgA	astD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	rbsK//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	pdeL//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	mtlD//gadB//nfsA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	lyxK//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	rbsD//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	tauD//ilvD//murE//rhaA//citF//ldtB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	xylA//sgbU//ackA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	dgcZ//acnA//eda//
CRP_Cra_Mlc_NagC	aroA//ftsI//fabZ//tdcD//
CRP_Cra_PrpR	patA//glpQ//ackA//hycC//
CRP_CreB_Fis_MalT	tdcE//
CRP_CsiR_H-NS_Lrp	pgk//
CRP_CsiR_H-NS_Lrp_Nac	hycG//betA//uxuA//
CRP_CspA_Fis	fbaA//
CRP_CytR	melA//
CRP_CytR_DeoR	paaC//moeA//
CRP_CytR_DeoR_Fis_ModE	caiD//nagA//ssuE//ulaE//
CRP_CytR_Nac	uxuB//
CRP_CytR_NsrR	napB//
CRP_DcuR_FNR_NarL	ilvD//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	ynfG//katE//
CRP_DpiA_ExuR	dmsB//
CRP_DsdC	katE//puuC//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ftsI//
CRP_ExuR	metB//
CRP_ExuR_FNR	galK//citD//
CRP_ExuR_OxyR_UxuR	fucU//dadA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	hyaA//
CRP_FNR_Fis	ddlB//nanM//
CRP_FNR_Fis_GlpR_IHF	malQ//kbaZ//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	glpA//ilvG_1//rimK//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	nrfC//xylB//ppiA//cdd//puuC//
CRP_FNR_NarL	citC//puuB//
CRP_FeaR_NsrR	tam//
CRP_Fis	gabD//fumC//ddlB//
CRP_Fis_FlhDC_GalR_GalS	icd//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	hyaA//kbaZ//
CRP_Fis_IHF	ahpF//uxaC//nfsA//
CRP_Fis_NanR	dmsA//paaI//fabA//fadD//
CRP_Fis_NtrC	bglB//
CRP_Fis_XylR	pdeR//
CRP_FlhDC_GalR_GalS	nfsB//
CRP_FucR	tdcD//astE//zwf//argD//nanM//araA//
CRP_Fur	fucI//mhpB//ulaG//murG//entE//treC//pyrC//hemL//sucC//ftsI//
CRP_Fur_HypT_PdhR	feaB//rhaA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	nrfD//cysM//srlD//hycB//
CRP_GalR_GalS_NagC	dmsA//
CRP_GlpR	hycG//truB//ogt//
CRP_GntR	ansB//
CRP_GntR_IdnR	aldB//lldD//nagA//glgP//prmC//galE//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	hemL//fucU//patA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	entB//
CRP_H-NS_LacI	paaZ//truB//sucA//
CRP_H-NS_LeuO	garR//
CRP_H-NS_MqsA	
CRP_IHF	ndh//hemL//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	poxB//
CRP_IHF_PaaX	xylA//atoB//rutC//murQ//folA//betA//serC//gcvH//
CRP_IHF_UlaR	nanK//torC//aceE//gcvH//
CRP_IHF_YiaJ	astB//fadB//glpD//frdD//gcvT//sgbU//
CRP_LexA	
CRP_Lrp	gltA//glpD//betA//nrdE//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	uidA//
CRP_LsrR	sufS//pdeR//moaE//ilvH//treC//
CRP_MalI	aspC//nrdA//
CRP_MalT	rhaD//gutQ//
CRP_MalT_PhoP	pncB//
CRP_MelR	aroL//prpB//
CRP_MetJ	murD//
CRP_MhpR	fucO//nrfB//tdcB//torC//umpH//lacA//
CRP_Mlc	
CRP_ModE	lldD//
CRP_MurR	murE//waaZ//gabT//
CRP_Nac_NsrR_PhoB	
CRP_NadR	argG//
CRP_NagC	purH//nrfC//glyA//glgA//purD//
CRP_NagC_NanR	ugpQ//waaH//
CRP_NagC_PhoP	aldA//
CRP_OxyR	
CRP_OxyR_UxuR	fbaA//
CRP_PhoB	uxaC//sdhD//
CRP_PhoP	araA//dmsB//aceB//
CRP_PutA	mhpD//
CRP_RbsR	guaA//tam//aroA//
CRP_RhaR_RhaS	
CRP_RhaS	ilvA//lpd//ddlB//
CRP_Rob	nanM//
CRP_TorR	citD//ilvM//
CRP_UhpA_UvrY	ddlB//
CRP_UidR_UxuR	acs//chbG//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	gdhA//ilvA//
Cbl_CysB_FNR_IHF	fabB//rutD//napH//
CdaR_FNR_Fis_Fur_H-NS	guaA//ftnA//
CdaR_FNR_Fur_H-NS	glgP//purA//hyaB//frdB//
CpxR_CsgD_FliZ	
CpxR_CysB	astE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	fadI//
CpxR_GadE	fabB//lsrG//frdB//
CpxR_H-NS	yqjH//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	ulaG//
Cra_FNR_Fis_Lrp_NarL	gadB//
Cra_FNR_Fur_MarA_Rob_SoxS	gatZ//
Cra_FhlA_FlhDC	fbaA//
Cra_GntR_KdgR	bglB//
Cra_GntR_KdgR_PhoB	ulaE//
Cra_MarA_SoxS	ilvM//
Cra_PdeL	epd//
Cra_SgrR	glcB//
Cra_TyrR	nrfC//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	melA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	gatZ//nfsA//
CusR_PhoB_YedW	malP//
CysB_H-NS	napC//umpH//cysM//
CysB_HypT_IHF	garK//
CysB_IHF	fabA//mraY//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	gltD//
DinJ-YafQ_LexA	caiC//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	gcvH//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	fumC//
FNR_FhlA_NarL_NarP	ulaF//rutD//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	xylA//
FNR_Fis_IHF_ModE_NarL	araB//
FNR_Fis_IHF_NarL	guaB//
FNR_Fis_IHF_NarL_RstA	hycF//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	glpC//
FNR_FlhDC_ModE_NarL_NarP	nanA//
FNR_Fur	tdcG//nrfC//
FNR_Fur_GadE	acnA//
FNR_Fur_GadX_NtrC	pspE//
FNR_Fur_H-NS	fadD//ulaD//uxaC//
FNR_Fur_MetR_NsrR	metE//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	ilvE//
FNR_Fur_OxyR	galT//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	sgbU//
FNR_H-NS_NrdR	cysI//zwf//
FNR_IHF	dadA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	pyrD//
FNR_IHF_PhoB	
FNR_MalT	moaA//fucU//
FNR_ModE	
FNR_NarL	nirB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	caiA//gcvP//
FNR_NarL_NikR	glpB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	lysA//puuD//
FNR_YqjI	
FabR_FadR	glyA//pyrC//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	nemA//cyoE//
FhlA_IHF_NsrR	
Fis_Fur	nfsA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	sucD//
Fis_IHF	
Fis_IHF_NtrC	mpl//rbsK//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	fucA//
Fis_NarL	tnaA//
Fis_NarL_NarP_NsrR	
Fis_PurR	frdC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	uxuA//
Fur_H-NS	paaH//sdhB//
Fur_IHF_IscR_NsrR_OxyR	paaI//
Fur_IscR_NrdR	aroG//
Fur_MetR	waaH//
Fur_MntR	puuB//
Fur_MntR_OxyR	nanA//
Fur_OxyR	
Fur_PurR	fumB//
Fur_RcnR	lsrK//
Fur_RutR	ynfH//
Fur_SoxS_Zur	
Fur_YqjI	lldD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	zwf//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	nirB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	moaD//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	pyrD//
H-NS_Lrp_NhaR_RcsB	ilvG_1//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	frdD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	fabB//
HU_IHF_TyrR	entH//
HigA_HigB-HigA	pgaC//
HipAB_HipB_IHF	lsrK//
HypT_MetJ	sucB//
HypT_MetJ_PhoP	bglB//mhpE//
IHF_Lrp	paaG//sufS//rnpB//mhpB//pflB//
IHF_NsrR	
IHF_NtrC	nagA//
IHF_PhoP	
IHF_PspF	pyrC//
IHF_RcsAB	
IHF_RtcR	sucD//deoC//
IHF_TyrR	ynfH//
IHF_UlaR	lpxA//
LexA_MraZ_PdhR	moeB//entB//fadE//tnaA//idnK//dadX//glpD//paaK//lldD//paaK//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	ynfH//murD//
MarA_PhoP_Rob_SoxS	tdcE//frdB//purH//cysJ//metK//nrdB//argD//astA//gltA//
MarA_Rob_SoxS	hycF//metB//
MarA_SoxS	mhpE//caiA//prmC//
MetJ_MetR	lsrF//
MetJ_OxyR	edd//
MetR_PurR	entF//
MraZ_PdhR	entA//
Nac_PurR	hycF//glpQ//
NarL_TorR	deoB//
NemR_RutR	treC//uxuA//
NhaR_OmpR	hpt//glcE//caiD//
NorR_NsrR	
NsrR_PhoB	araA//
OxyR_SoxS	
PdhR_PhoP	pncB//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	dadX//accB//
RelB_RelB-RelE	glcF//
TrpR_TyrR	malQ//
YefM_YefM-YoeB	citG//
