# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	murF//nrfA//
ArcA_CRP_IHF	lhgO//
ArcA_CRP_PuuR	fbaA//fumA//tdcD//araD//
ArcA_CRP_RhaS	moeA//
ArcA_CRP_TreR	cadA//napA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	gutQ//guaB//
ArcA_Cra	sucB//
ArcA_Cra_FNR_H-NS_HypT	fumC//
ArcA_CysB_FNR	
ArcA_FNR	nagA//sdhA//garR//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	aceF//
ArcA_FNR_Fis_IHF_NarL	paaG//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	ilvE//purM//
ArcA_FNR_IHF_NarL	dgcZ//rimK//
ArcA_FNR_NarL	frdB//fadB//paaG//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	aroG//paaI//
ArcA_FadR	metK//aroG//ftsI//
ArcA_FadR_Fis	chbG//lsrG//
ArcA_Fur_Lrp_ModE	waaY//accC//
ArcA_GlcC_IHF_PdhR	napA//feaB//napG//
ArcA_LexA	idnK//
ArcA_LldR	entC//glcE//
ArcA_NarL	glpQ//
ArcA_NtrC_PhoP_RutR	rnpB//glpA//hcp//glpX//gntK//dmsA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	pyrD//
ArgP_CRP_FNR_Fur_Nac	waaZ//
ArgP_DnaA	moeA//
ArgP_Lrp	fdhF//argD//
ArgP_LysR	ulaG//
ArgP_PhoB	
ArgR_CRP	carA//
ArgR_CRP_Fis	fucI//ahpF//caiD//
ArgR_Fis_IHF_PepA_PurR_RutR	ansB//
ArgR_H-NS_NtrC	acnB//tnaA//
ArgR_NtrC	ubiA//ilvH//glgC//prpE//moeB//
ArgR_PhoP	fumA//
AscG_CRP	gltA//pspE//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	rnpB//
AtoC_IHF	xylB//astB//fucK//
BaeR_CpxR	paaK//
BaeR_CpxR_EvgA	fadB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	garK//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	araD//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	nanA//gnd//entD//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	dsdA//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	carB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	pflB//moaD//murG//hycE//murC//pgaC//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	cysI//fucO//gatY//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	dmsC//fadA//cdd//
CRP_Cra_Mlc_NagC	lyxK//frdA//nanK//entF//
CRP_Cra_PrpR	ilvA//aceF//gutQ//fdhF//
CRP_CreB_Fis_MalT	mpl//
CRP_CsiR_H-NS_Lrp	pdeL//
CRP_CsiR_H-NS_Lrp_Nac	ynfG//ulaF//relA//
CRP_CspA_Fis	betB//
CRP_CytR	nagB//
CRP_CytR_DeoR	lacZ//pgk//
CRP_CytR_DeoR_Fis_ModE	sdhC//napH//astA//nrfB//
CRP_CytR_Nac	sodB//
CRP_CytR_NsrR	bglB//
CRP_DcuR_FNR_NarL	sucB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	lpd//tnaA//
CRP_DpiA_ExuR	acnA//
CRP_DsdC	ssuD//aspC//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	mhpC//
CRP_ExuR	paaE//
CRP_ExuR_FNR	malQ//nrfB//
CRP_ExuR_OxyR_UxuR	astB//purD//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	ssuD//
CRP_FNR_Fis	pgaC//hycB//
CRP_FNR_Fis_GlpR_IHF	ssuE//paaF//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	fadI//entC//rhaD//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	murC//ahpF//nanA//dgcZ//cysM//
CRP_FNR_NarL	eda//fucK//
CRP_FeaR_NsrR	katG//
CRP_Fis	ynfH//rbsK//gcvH//
CRP_Fis_FlhDC_GalR_GalS	sucB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	lyxK//garR//
CRP_Fis_IHF	nrdA//glyA//gabD//
CRP_Fis_NanR	sucD//uxaB//hemL//moaE//
CRP_Fis_NtrC	ynfH//
CRP_Fis_XylR	dadA//
CRP_FlhDC_GalR_GalS	nrdD//
CRP_FucR	paaZ//lpxD//ppiA//hycF//nrfC//hycE//
CRP_Fur	katE//rutB//sucA//argG//argG//mraY//argG//betA//ilvH//pspE//
CRP_Fur_HypT_PdhR	caiB//recF//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	narH//citF//fadD//icd//
CRP_GalR_GalS_NagC	fadJ//
CRP_GlpR	waaY//tdcD//fadJ//
CRP_GntR	lldD//
CRP_GntR_IdnR	cysJ//fumA//metE//paaK//atoA//atoA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	fucA//rutA//treC//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	ahpC//
CRP_H-NS_LacI	fadJ//serA//cyoE//
CRP_H-NS_LeuO	adiA//
CRP_H-NS_MqsA	
CRP_IHF	napH//sucD//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	truB//
CRP_IHF_PaaX	fadD//paaA//rutB//cysG//nrfB//murC//uxaC//rhaD//
CRP_IHF_UlaR	fabB//nrdD//hmp//patA//
CRP_IHF_YiaJ	frdD//ilvA//lsrK//ndh//paaB//citX//
CRP_LexA	
CRP_Lrp	moeB//nrfA//paaB//prmC//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	lldD//
CRP_LsrR	gadA//gcd//kbaZ//xylB//prpD//
CRP_MalI	glyA//eda//
CRP_MalT	rhaD//feaB//
CRP_MalT_PhoP	uvrA//
CRP_MelR	uxaA//paaA//
CRP_MetJ	entC//
CRP_MhpR	caiA//pgaD//carB//paaA//mhpE//yiaK//
CRP_Mlc	
CRP_ModE	hemA//
CRP_MurR	cdd//guaA//metB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	ynfH//
CRP_NagC	entF//cysH//aroA//ulaE//puuD//
CRP_NagC_NanR	sucB//puuD//
CRP_NagC_PhoP	sodB//
CRP_OxyR	
CRP_OxyR_UxuR	guaA//
CRP_PhoB	fdhF//galE//
CRP_PhoP	carA//entE//ssuD//
CRP_PutA	rimK//
CRP_RbsR	pyrC//glpC//uxaB//
CRP_RhaR_RhaS	
CRP_RhaS	paaG//napH//aroG//
CRP_Rob	nrdE//
CRP_TorR	pncB//sdhC//
CRP_UhpA_UvrY	entE//
CRP_UidR_UxuR	katG//astA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	gntK//ftsI//
Cbl_CysB_FNR_IHF	mhpA//feaB//glcF//
CdaR_FNR_Fis_Fur_H-NS	recF//ugpQ//
CdaR_FNR_Fur_H-NS	puuE//hypF//paaI//frdD//
CpxR_CsgD_FliZ	
CpxR_CysB	lacA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	moaE//
CpxR_GadE	galM//tdcG//accB//
CpxR_H-NS	entB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	glcB//
Cra_FNR_Fis_Lrp_NarL	malY//
Cra_FNR_Fur_MarA_Rob_SoxS	puuB//
Cra_FhlA_FlhDC	paaF//
Cra_GntR_KdgR	argG//
Cra_GntR_KdgR_PhoB	ilvM//
Cra_MarA_SoxS	icd//
Cra_PdeL	ilvD//
Cra_SgrR	atoA//
Cra_TyrR	ilvG_2//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	puuB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	frdB//hypF//
CusR_PhoB_YedW	uidA//
CysB_H-NS	narI//deoA//fadD//
CysB_HypT_IHF	ynfH//
CysB_IHF	sodA//fadD//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	metL//
DinJ-YafQ_LexA	hpt//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	dadX//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	nanE//
FNR_FhlA_NarL_NarP	paaH//yqjH//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	aspA//
FNR_Fis_IHF_ModE_NarL	hemL//
FNR_Fis_IHF_NarL	cysG//
FNR_Fis_IHF_NarL_RstA	serC//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	pck//
FNR_FlhDC_ModE_NarL_NarP	ndh//
FNR_Fur	ppiA//glpK//
FNR_Fur_GadE	caiC//
FNR_Fur_GadX_NtrC	entF//
FNR_Fur_H-NS	fdhF//truB//malY//
FNR_Fur_MetR_NsrR	nanE//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	guaA//
FNR_Fur_OxyR	atoB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	prpC//
FNR_H-NS_NrdR	paaF//lysA//
FNR_IHF	adhE//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	ndh//
FNR_IHF_PhoB	
FNR_MalT	waaH//murD//
FNR_ModE	
FNR_NarL	nrdD//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	ynfH//entE//
FNR_NarL_NikR	argD//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	paaJ//ppiA//
FNR_YqjI	
FabR_FadR	narG//argG//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	hypB//fbaA//
FhlA_IHF_NsrR	
Fis_Fur	epd//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	puuE//
Fis_IHF	
Fis_IHF_NtrC	citC//glpX//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	aldA//
Fis_NarL	ulaE//
Fis_NarL_NarP_NsrR	
Fis_PurR	fbaA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	ascB//
Fur_H-NS	nagA//entH//
Fur_IHF_IscR_NsrR_OxyR	malY//
Fur_IscR_NrdR	sucC//
Fur_MetR	zwf//
Fur_MntR	gloA//
Fur_MntR_OxyR	moaA//
Fur_OxyR	
Fur_PurR	nirD//
Fur_RcnR	glgA//
Fur_RutR	garL//
Fur_SoxS_Zur	
Fur_YqjI	napA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	napB//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	frdC//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	lsrK//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	prpD//
H-NS_Lrp_NhaR_RcsB	aroA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	gntK//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	rutC//
HU_IHF_TyrR	hyaC//
HigA_HigB-HigA	ppiA//
HipAB_HipB_IHF	atoA//
HypT_MetJ	gadB//
HypT_MetJ_PhoP	murF//entE//
IHF_Lrp	uvrA//ubiC//frdB//gcd//gltB//
IHF_NsrR	
IHF_NtrC	glpB//
IHF_PhoP	
IHF_PspF	cysI//
IHF_RcsAB	
IHF_RtcR	torC//carA//
IHF_TyrR	puuB//
IHF_UlaR	nirD//
LexA_MraZ_PdhR	pgk//tauD//nanM//aroG//nfsB//citE//deoA//pgaD//hcp//xylA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	entE//astC//
MarA_PhoP_Rob_SoxS	prpB//fadA//fucO//rutE//murF//ssuE//purA//glpD//glcD//
MarA_Rob_SoxS	serC//rhaA//
MarA_SoxS	adiA//aspA//mtlD//
MetJ_MetR	sucD//
MetJ_OxyR	rhaD//
MetR_PurR	astB//
MraZ_PdhR	idnD//
Nac_PurR	waaY//ilvD//
NarL_TorR	galK//
NemR_RutR	entB//ftsI//
NhaR_OmpR	acnB//acs//ilvD//
NorR_NsrR	
NsrR_PhoB	ndh//
OxyR_SoxS	
PdhR_PhoP	araB//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	paaJ//ilvI//
RelB_RelB-RelE	glpA//
TrpR_TyrR	atoA//
YefM_YefM-YoeB	tdcD//
