# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	puuA//mhpC//
ArcA_CRP_IHF	xylA//
ArcA_CRP_PuuR	ascB//moaA//galK//rsmH//
ArcA_CRP_RhaS	pyrD//
ArcA_CRP_TreR	sodA//dadA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ftsI//ilvG_1//
ArcA_Cra	deoC//
ArcA_Cra_FNR_H-NS_HypT	lacA//
ArcA_CysB_FNR	
ArcA_FNR	gatZ//glyA//lsrG//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	deoD//
ArcA_FNR_Fis_IHF_NarL	sdhC//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	entD//tdcD//
ArcA_FNR_IHF_NarL	gadB//fumB//
ArcA_FNR_NarL	mhpE//nfsB//fes//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	dusB//galM//
ArcA_FadR	dsdA//paaB//mhpA//
ArcA_FadR_Fis	napB//ilvM//
ArcA_Fur_Lrp_ModE	idnK//prpB//
ArcA_GlcC_IHF_PdhR	purA//katE//entC//
ArcA_LexA	fumB//
ArcA_LldR	ssuD//dmsC//
ArcA_NarL	putA//
ArcA_NtrC_PhoP_RutR	aldB//appA//ftsI//lhgO//tdcE//katG//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	paaE//
ArgP_CRP_FNR_Fur_Nac	puuD//
ArgP_DnaA	ilvM//
ArgP_Lrp	nanK//frdC//
ArgP_LysR	aroL//
ArgP_PhoB	
ArgR_CRP	fbaA//
ArgR_CRP_Fis	sucA//rbsD//araB//
ArgR_Fis_IHF_PepA_PurR_RutR	aldB//
ArgR_H-NS_NtrC	accB//acnB//
ArgR_NtrC	hyaB//aspC//entB//dadA//dsdA//
ArgR_PhoP	entE//
AscG_CRP	sdhB//prpE//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	fabB//
AtoC_IHF	atoB//fadJ//puuE//
BaeR_CpxR	cysJ//
BaeR_CpxR_EvgA	glcF//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	paaG//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	poxB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	fumA//rnpB//fabZ//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	ddlB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	pgaD//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	hycC//gdhA//ilvG_2//srlD//fumC//yqjH//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	lpxD//fucU//cysG//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	gdhA//accC//nirB//
CRP_Cra_Mlc_NagC	ftnA//gadA//caiD//pgk//
CRP_Cra_PrpR	garK//waaY//purN//mhpB//
CRP_CreB_Fis_MalT	guaA//
CRP_CsiR_H-NS_Lrp	dgcZ//
CRP_CsiR_H-NS_Lrp_Nac	paaJ//cadA//narH//
CRP_CspA_Fis	nanK//
CRP_CytR	sucD//
CRP_CytR_DeoR	hycE//lyxK//
CRP_CytR_DeoR_Fis_ModE	adiA//malS//torC//galM//
CRP_CytR_Nac	hypF//
CRP_CytR_NsrR	cadA//
CRP_DcuR_FNR_NarL	gcd//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	eda//glpD//
CRP_DpiA_ExuR	hyaA//
CRP_DsdC	adiA//ssuD//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	uvrA//
CRP_ExuR	entE//
CRP_ExuR_FNR	aceE//atoB//
CRP_ExuR_OxyR_UxuR	ilvD//gabD//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	aroA//
CRP_FNR_Fis	hmp//ilvE//
CRP_FNR_Fis_GlpR_IHF	sdhA//carB//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	sodB//aldB//ilvA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	fumC//gltB//paaC//paaB//narG//
CRP_FNR_NarL	cysG//aroA//
CRP_FeaR_NsrR	narH//
CRP_Fis	puuD//araD//gapA//
CRP_Fis_FlhDC_GalR_GalS	napH//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	metH//glpQ//
CRP_Fis_IHF	atoD//prpD//cysM//
CRP_Fis_NanR	cysG//astE//hyaB//fadB//
CRP_Fis_NtrC	sucD//
CRP_Fis_XylR	nrfA//
CRP_FlhDC_GalR_GalS	pdeR//
CRP_FucR	murD//fadI//lpd//ndh//nfsB//cdd//
CRP_Fur	aceB//patA//astD//citG//fucK//nanM//malP//fucK//paaZ//ynfH//
CRP_Fur_HypT_PdhR	caiA//aroL//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	prpB//paaC//hypB//narG//
CRP_GalR_GalS_NagC	gatD//
CRP_GlpR	sodB//moaE//paaC//
CRP_GntR	betB//
CRP_GntR_IdnR	glgC//metB//torA//nanA//aceE//sodA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	moaE//sdhA//acnA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	purH//
CRP_H-NS_LacI	sdhD//paaE//serA//
CRP_H-NS_LeuO	fucU//
CRP_H-NS_MqsA	
CRP_IHF	gatZ//glpQ//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	gdhA//
CRP_IHF_PaaX	zwf//waaH//uidA//ynfG//ynfF//frdA//guaA//hypF//
CRP_IHF_UlaR	lpxA//pgaC//dadA//yqjH//
CRP_IHF_YiaJ	purD//ilvE//glgA//fucA//nanE//glcD//
CRP_LexA	
CRP_Lrp	tauD//idnD//nirB//murF//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	purM//
CRP_LsrR	atoD//gapA//hmp//aceF//nrdD//
CRP_MalI	glpK//fabZ//
CRP_MalT	gabT//carB//
CRP_MalT_PhoP	bglB//
CRP_MelR	aceB//purA//
CRP_MetJ	ddlB//
CRP_MhpR	hyaB//appA//sucD//feaB//rhaB//waaZ//
CRP_Mlc	
CRP_ModE	puuB//
CRP_MurR	gabD//sucC//mtlD//
CRP_Nac_NsrR_PhoB	
CRP_NadR	dusB//
CRP_NagC	gloA//pgaD//ugpQ//ahpC//gabD//
CRP_NagC_NanR	entD//paaZ//
CRP_NagC_PhoP	deoA//
CRP_OxyR	
CRP_OxyR_UxuR	ascB//
CRP_PhoB	lhgO//paaZ//
CRP_PhoP	citG//ilvA//nrdB//
CRP_PutA	glgA//
CRP_RbsR	gapA//ldtB//mhpE//
CRP_RhaR_RhaS	
CRP_RhaS	ahpC//ynfE//fumC//
CRP_Rob	rutD//
CRP_TorR	atoD//kbaZ//
CRP_UhpA_UvrY	dadA//
CRP_UidR_UxuR	narI//pgk//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	tdcB//caiB//
Cbl_CysB_FNR_IHF	ilvG_1//fbaA//fadB//
CdaR_FNR_Fis_Fur_H-NS	entF//deoA//
CdaR_FNR_Fur_H-NS	feaB//rutE//fucI//ilvG_1//
CpxR_CsgD_FliZ	
CpxR_CysB	pnp//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	fumA//
CpxR_GadE	ssuE//accB//idnK//
CpxR_H-NS	ynfG//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	aroG//
Cra_FNR_Fis_Lrp_NarL	aldB//
Cra_FNR_Fur_MarA_Rob_SoxS	cysJ//
Cra_FhlA_FlhDC	paaE//
Cra_GntR_KdgR	paaB//
Cra_GntR_KdgR_PhoB	chbF//
Cra_MarA_SoxS	lacZ//
Cra_PdeL	dmsA//
Cra_SgrR	waaZ//
Cra_TyrR	ahpF//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	garL//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	glgP//lpxC//
CusR_PhoB_YedW	paaA//
CysB_H-NS	fumA//ppiA//fabB//
CysB_HypT_IHF	glnA//
CysB_IHF	nfsB//metL//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	rhaD//
DinJ-YafQ_LexA	sucB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	glyA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	ahpF//
FNR_FhlA_NarL_NarP	waaZ//frdD//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	astE//
FNR_Fis_IHF_ModE_NarL	accC//
FNR_Fis_IHF_NarL	ahpC//
FNR_Fis_IHF_NarL_RstA	napC//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	lpd//
FNR_FlhDC_ModE_NarL_NarP	ndh//
FNR_Fur	malP//citX//
FNR_Fur_GadE	murC//
FNR_Fur_GadX_NtrC	moaD//
FNR_Fur_H-NS	citG//uidA//sdhC//
FNR_Fur_MetR_NsrR	torC//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	caiB//
FNR_Fur_OxyR	ilvG_2//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	sdhD//
FNR_H-NS_NrdR	nemA//uxuB//
FNR_IHF	frdA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	garL//
FNR_IHF_PhoB	
FNR_MalT	hycB//moaD//
FNR_ModE	
FNR_NarL	astD//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	aldA//putA//
FNR_NarL_NikR	hycC//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	puuD//deoC//
FNR_YqjI	
FabR_FadR	appA//ftsI//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	purA//zwf//
FhlA_IHF_NsrR	
Fis_Fur	tdcG//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	acnA//
Fis_IHF	
Fis_IHF_NtrC	ndh//gatY//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	dmsB//
Fis_NarL	ulaF//
Fis_NarL_NarP_NsrR	
Fis_PurR	glpA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	nrfD//
Fur_H-NS	lpxD//waaH//
Fur_IHF_IscR_NsrR_OxyR	epd//
Fur_IscR_NrdR	epd//
Fur_MetR	astD//
Fur_MntR	patA//
Fur_MntR_OxyR	citE//
Fur_OxyR	
Fur_PurR	accB//
Fur_RcnR	argD//
Fur_RutR	ssuD//
Fur_SoxS_Zur	
Fur_YqjI	sucB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	melA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	aceA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	entC//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	murQ//
H-NS_Lrp_NhaR_RcsB	rhaD//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	ascB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	cysH//
HU_IHF_TyrR	glpC//
HigA_HigB-HigA	glcE//
HipAB_HipB_IHF	serA//
HypT_MetJ	fadE//
HypT_MetJ_PhoP	fau//glpA//
IHF_Lrp	folA//nanA//aldA//nrfA//lsrF//
IHF_NsrR	
IHF_NtrC	pdeL//
IHF_PhoP	
IHF_PspF	napG//
IHF_RcsAB	
IHF_RtcR	glgC//lpd//
IHF_TyrR	napG//
IHF_UlaR	glgA//
LexA_MraZ_PdhR	rutD//uxuA//guaB//chbG//hcp//entA//glcF//gcd//hyaA//pyrD//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	citG//melA//
MarA_PhoP_Rob_SoxS	atoD//yiaK//gutQ//sdhC//lyxK//metB//ftsI//ugpQ//gcvT//
MarA_Rob_SoxS	galM//hemL//
MarA_SoxS	lldD//fabA//glpD//
MetJ_MetR	nrdE//
MetJ_OxyR	prpE//
MetR_PurR	uidA//
MraZ_PdhR	nagB//
Nac_PurR	carA//folA//
NarL_TorR	hycC//
NemR_RutR	prpD//feaB//
NhaR_OmpR	glpC//gloA//moeA//
NorR_NsrR	
NsrR_PhoB	gapA//
OxyR_SoxS	
PdhR_PhoP	paaH//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	fumB//sdhD//
RelB_RelB-RelE	glgP//
TrpR_TyrR	uxaC//
YefM_YefM-YoeB	uxuA//
