# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ldtB//eda//
ArcA_CRP_IHF	betB//
ArcA_CRP_PuuR	nrdA//ynfE//paaG//sgbE//
ArcA_CRP_RhaS	katG//
ArcA_CRP_TreR	astA//deoB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	metH//nfsA//
ArcA_Cra	dsdA//
ArcA_Cra_FNR_H-NS_HypT	aroA//
ArcA_CysB_FNR	
ArcA_FNR	hypF//murE//glpA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	narH//
ArcA_FNR_Fis_IHF_NarL	gabT//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	malP//lacA//
ArcA_FNR_IHF_NarL	waaZ//guaB//
ArcA_FNR_NarL	fumA//uvrA//mnmG//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	lpxD//idnK//
ArcA_FadR	ilvI//nrdA//aroG//
ArcA_FadR_Fis	paaJ//cysH//
ArcA_Fur_Lrp_ModE	mhpA//rutA//
ArcA_GlcC_IHF_PdhR	hycC//frdB//gatD//
ArcA_LexA	appA//
ArcA_LldR	entC//mazG//
ArcA_NarL	paaK//
ArcA_NtrC_PhoP_RutR	ilvI//gnd//entD//nrfD//cdd//glyA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	ilvI//
ArgP_CRP_FNR_Fur_Nac	glpC//
ArgP_DnaA	frdB//
ArgP_Lrp	uxaB//malS//
ArgP_LysR	entA//
ArgP_PhoB	
ArgR_CRP	astC//
ArgR_CRP_Fis	appA//cysM//rsmH//
ArgR_Fis_IHF_PepA_PurR_RutR	guaA//
ArgR_H-NS_NtrC	prpD//sgbH//
ArgR_NtrC	dmsB//malP//aceB//nrdF//xylA//
ArgR_PhoP	mhpE//
AscG_CRP	paaE//glpC//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	fucI//
AtoC_IHF	galT//nanK//uxaB//
BaeR_CpxR	mhpB//
BaeR_CpxR_EvgA	argD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	lacA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	nanM//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	melA//nrfA//araB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	ascB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	fbaA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	uvrA//gadB//rutB//torA//hycF//rhaA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	hmp//moaA//hycD//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	fumC//dmsB//fucU//
CRP_Cra_Mlc_NagC	ackA//aceF//idnK//serA//
CRP_Cra_PrpR	pyrD//srlD//prpB//gatD//
CRP_CreB_Fis_MalT	sdhA//
CRP_CsiR_H-NS_Lrp	araB//
CRP_CsiR_H-NS_Lrp_Nac	xylB//metB//yiaK//
CRP_CspA_Fis	mhpD//
CRP_CytR	hycD//
CRP_CytR_DeoR	aceA//nrdE//
CRP_CytR_DeoR_Fis_ModE	nemA//mtlD//mhpD//prpC//
CRP_CytR_Nac	dsdA//
CRP_CytR_NsrR	mpl//
CRP_DcuR_FNR_NarL	purD//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	entF//hycF//
CRP_DpiA_ExuR	citF//
CRP_DsdC	frdB//entE//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	codA//
CRP_ExuR	entD//
CRP_ExuR_FNR	atoB//dadA//
CRP_ExuR_OxyR_UxuR	chbG//fbaA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	fadA//
CRP_FNR_Fis	narI//icd//
CRP_FNR_Fis_GlpR_IHF	citC//lpd//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	galM//moaA//rutD//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	hycB//aceB//metE//nrdB//galK//
CRP_FNR_NarL	mtlD//yqjH//
CRP_FeaR_NsrR	carA//
CRP_Fis	serC//ilvA//paaE//
CRP_Fis_FlhDC_GalR_GalS	ulaD//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	aroG//malY//
CRP_Fis_IHF	serC//paaZ//fumB//
CRP_Fis_NanR	cdd//uvrA//udp//prpC//
CRP_Fis_NtrC	betA//
CRP_Fis_XylR	cysJ//
CRP_FlhDC_GalR_GalS	ftsI//
CRP_FucR	mhpE//metK//aldB//rutA//deoC//astD//
CRP_Fur	paaC//ulaG//garR//cysG//fadH//ilvA//chbG//zwf//yqjH//yqjH//
CRP_Fur_HypT_PdhR	mpl//rbsK//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	paaB//acnA//fucU//gcvH//
CRP_GalR_GalS_NagC	lpxC//
CRP_GlpR	acnA//ppiA//lldD//
CRP_GntR	lacZ//
CRP_GntR_IdnR	truB//glyA//icd//entF//prpC//rbsK//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	garR//sdhD//bglB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	glnA//
CRP_H-NS_LacI	gltA//ulaD//nirB//
CRP_H-NS_LeuO	nagB//
CRP_H-NS_MqsA	
CRP_IHF	torC//icd//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	murQ//
CRP_IHF_PaaX	fau//citX//fadE//nirD//metL//paaH//hyaA//tnaA//
CRP_IHF_UlaR	hyaB//rnpB//aspC//purA//
CRP_IHF_YiaJ	aldB//fumB//citE//deoC//yiaK//aroG//
CRP_LexA	
CRP_Lrp	fucK//napG//caiA//purD//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	sdhC//
CRP_LsrR	sgbE//nrdB//gabD//glcD//fadJ//
CRP_MalI	lsrK//glgC//
CRP_MalT	hycB//gltB//
CRP_MalT_PhoP	relA//
CRP_MelR	nrdF//pgaC//
CRP_MetJ	ilvH//
CRP_MhpR	sodA//garR//entC//ogt//hyaB//gltA//
CRP_Mlc	
CRP_ModE	araD//
CRP_MurR	murD//fucU//aspC//
CRP_Nac_NsrR_PhoB	
CRP_NadR	pyrD//
CRP_NagC	mdh//epd//moaD//sufS//udp//
CRP_NagC_NanR	mhpB//araA//
CRP_NagC_PhoP	nrfB//
CRP_OxyR	
CRP_OxyR_UxuR	paaB//
CRP_PhoB	nfsB//glpX//
CRP_PhoP	pgaB//sdhD//sdhC//
CRP_PutA	gatD//
CRP_RbsR	mazG//nrdF//folA//
CRP_RhaR_RhaS	
CRP_RhaS	fabZ//lsrF//aceB//
CRP_Rob	sucD//
CRP_TorR	poxB//napB//
CRP_UhpA_UvrY	cyoE//
CRP_UidR_UxuR	ulaE//citE//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	cysM//glcE//
Cbl_CysB_FNR_IHF	yiaK//mdh//aceA//
CdaR_FNR_Fis_Fur_H-NS	ugpQ//mdh//
CdaR_FNR_Fur_H-NS	fucU//cadA//paaI//nfsA//
CpxR_CsgD_FliZ	
CpxR_CysB	malP//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	aspA//
CpxR_GadE	entF//ackA//sdhC//
CpxR_H-NS	carB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	ubiA//
Cra_FNR_Fis_Lrp_NarL	moeA//
Cra_FNR_Fur_MarA_Rob_SoxS	fabB//
Cra_FhlA_FlhDC	aspC//
Cra_GntR_KdgR	fucI//
Cra_GntR_KdgR_PhoB	ubiA//
Cra_MarA_SoxS	entD//
Cra_PdeL	aspC//
Cra_SgrR	pdeL//
Cra_TyrR	araD//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	uxuA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	pdeR//dmsC//
CusR_PhoB_YedW	garR//
CysB_H-NS	nirD//nanE//chbF//
CysB_HypT_IHF	truB//
CysB_IHF	glyA//aceA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	cdd//
DinJ-YafQ_LexA	caiD//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	garR//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	aroL//
FNR_FhlA_NarL_NarP	entF//recF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	entA//
FNR_Fis_IHF_ModE_NarL	nrdE//
FNR_Fis_IHF_NarL	ulaD//
FNR_Fis_IHF_NarL_RstA	entH//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	serA//
FNR_FlhDC_ModE_NarL_NarP	paaJ//
FNR_Fur	glpQ//galK//
FNR_Fur_GadE	paaZ//
FNR_Fur_GadX_NtrC	paaZ//
FNR_Fur_H-NS	galE//cysG//sdhD//
FNR_Fur_MetR_NsrR	poxB//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	gltA//
FNR_Fur_OxyR	rutB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	rsmH//
FNR_H-NS_NrdR	ahpF//hyaA//
FNR_IHF	nanE//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	malQ//
FNR_IHF_PhoB	
FNR_MalT	sucB//murG//
FNR_ModE	
FNR_NarL	nagB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	pspE//patA//
FNR_NarL_NikR	dmsB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	uvrA//gabT//
FNR_YqjI	
FabR_FadR	betA//glpB//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	hycG//moaD//
FhlA_IHF_NsrR	
Fis_Fur	caiC//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	pgk//
Fis_IHF	
Fis_IHF_NtrC	citG//glcB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	moaE//
Fis_NarL	gcvP//
Fis_NarL_NarP_NsrR	
Fis_PurR	sodB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	paaG//
Fur_H-NS	nrfA//fucI//
Fur_IHF_IscR_NsrR_OxyR	ackA//
Fur_IscR_NrdR	pflB//
Fur_MetR	napG//
Fur_MntR	puuA//
Fur_MntR_OxyR	hycE//
Fur_OxyR	
Fur_PurR	pyrC//
Fur_RcnR	lsrF//
Fur_RutR	nrfB//
Fur_SoxS_Zur	
Fur_YqjI	sgbU//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	sgbU//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	carB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	uxaC//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	malQ//
H-NS_Lrp_NhaR_RcsB	fumB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	pyrD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	nrfC//
HU_IHF_TyrR	paaF//
HigA_HigB-HigA	dmsA//
HipAB_HipB_IHF	sdhA//
HypT_MetJ	gabT//
HypT_MetJ_PhoP	hpt//ahpC//
IHF_Lrp	astE//entD//nirD//fadB//chbG//
IHF_NsrR	
IHF_NtrC	gapA//
IHF_PhoP	
IHF_PspF	puuC//
IHF_RcsAB	
IHF_RtcR	purD//hemL//
IHF_TyrR	moaA//
IHF_UlaR	narI//
LexA_MraZ_PdhR	hyaC//caiD//ulaF//puuA//uxaA//yqjH//frdB//guaB//accB//acnB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	entE//carA//
MarA_PhoP_Rob_SoxS	ulaD//nrdE//hyaC//uidA//uxaA//lpxA//paaZ//ilvI//ulaD//
MarA_Rob_SoxS	argD//uxaC//
MarA_SoxS	galK//narI//glgA//
MetJ_MetR	aspA//
MetJ_OxyR	gadB//
MetR_PurR	astD//
MraZ_PdhR	adhE//
Nac_PurR	ilvH//caiB//
NarL_TorR	pflB//
NemR_RutR	umpH//murC//
NhaR_OmpR	citC//acs//aceB//
NorR_NsrR	
NsrR_PhoB	paaJ//
OxyR_SoxS	
PdhR_PhoP	yqjH//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	rhaA//lpd//
RelB_RelB-RelE	gcd//
TrpR_TyrR	paaB//
YefM_YefM-YoeB	sucA//
