# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	udp//puuA//
ArcA_CRP_GlpR	ddlB//
ArcA_CRP_IHF	araB//
ArcA_CRP_PuuR	ilvH//ugpQ//aceE//hcp//
ArcA_CRP_RhaS	metH//
ArcA_CRP_TreR	carB//acnB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	fumB//fumB//
ArcA_Cra	ogt//
ArcA_Cra_FNR_H-NS_HypT	caiD//
ArcA_CysB_FNR	
ArcA_FNR	acnA//waaY//hpt//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	dsdA//
ArcA_FNR_Fis_IHF_NarL	astB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	paaI//mhpB//
ArcA_FNR_IHF_NarL	narH//prpE//
ArcA_FNR_NarL	folA//ugpQ//glgA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	aspA//acs//
ArcA_FadR	katG//purM//ogt//
ArcA_FadR_Fis	dmsA//sodA//
ArcA_Fur_Lrp_ModE	ubiC//ulaG//
ArcA_GlcC_IHF_PdhR	caiC//malQ//galE//
ArcA_LexA	caiD//
ArcA_LldR	glpC//glpK//
ArcA_NarL	deoC//
ArcA_NtrC_PhoP_RutR	napH//cyoE//serA//metB//astB//acs//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	rutA//
ArgP_CRP_FNR_Fur_Nac	lsrK//
ArgP_DnaA	pyrC//
ArgP_Lrp	gltD//mhpC//
ArgP_LysR	gatD//
ArgP_PhoB	
ArgR_CRP	hycG//
ArgR_CRP_Fis	ynfG//gatY//carA//
ArgR_Fis_IHF_PepA_PurR_RutR	prmC//
ArgR_H-NS_NtrC	nanK//metL//
ArgR_NtrC	hycF//sgbH//idnK//rnpB//gatD//
ArgR_PhoP	gadB//
AscG_CRP	gadA//deoD//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	prpB//
AtoC_IHF	sodA//uxaA//ubiA//
BaeR_CpxR	mhpE//
BaeR_CpxR_EvgA	metE//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	chbF//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	aroL//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	astA//metH//ulaD//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	chbG//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	chbG//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	dmsB//metL//fau//chbF//argD//dmsA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	aldB//cysI//gcvH//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	deoD//dmsC//lpd//
CRP_Cra_Mlc_NagC	ulaD//pyrD//paaJ//ynfH//
CRP_Cra_PrpR	tdcB//nrfB//adhE//hycE//
CRP_CreB_Fis_MalT	nirB//
CRP_CsiR_H-NS_Lrp	glyA//
CRP_CsiR_H-NS_Lrp_Nac	cysG//garL//lsrG//
CRP_CspA_Fis	malS//
CRP_CytR	nagA//
CRP_CytR_DeoR	puuC//dmsC//
CRP_CytR_DeoR_Fis_ModE	adhE//rhaB//eda//ilvM//
CRP_CytR_Nac	gabD//
CRP_CytR_NsrR	pgaB//
CRP_DcuR_FNR_NarL	dadX//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	waaY//purM//
CRP_DpiA_ExuR	napG//
CRP_DsdC	sufS//ynfF//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	glnA//
CRP_ExuR	fumB//
CRP_ExuR_FNR	prpB//dmsA//
CRP_ExuR_OxyR_UxuR	murD//hycF//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	dsdA//
CRP_FNR_Fis	sucD//gatZ//
CRP_FNR_Fis_GlpR_IHF	dsdA//gabD//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	ldtB//rnpB//acs//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	sgbU//mazG//ogt//prmC//lsrF//
CRP_FNR_NarL	gcvH//deoA//
CRP_FeaR_NsrR	serA//
CRP_Fis	purN//sgbE//galK//
CRP_Fis_FlhDC_GalR_GalS	pncB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	ansB//kbaZ//
CRP_Fis_IHF	glpA//sufS//gcvH//
CRP_Fis_NanR	fau//gltA//entA//serA//
CRP_Fis_NtrC	glyA//
CRP_Fis_XylR	metK//
CRP_FlhDC_GalR_GalS	hyaC//
CRP_FucR	ubiC//gltA//carA//sodA//glgP//codA//
CRP_Fur	hyaC//mraY//malY//fucO//moaE//astC//ogt//argD//aspA//fadE//
CRP_Fur_HypT_PdhR	ahpF//ppiA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	pspE//rbsK//acnB//paaJ//
CRP_GalR_GalS_NagC	zwf//
CRP_GlpR	fadA//prpD//argG//
CRP_GntR	fumA//
CRP_GntR_IdnR	puuC//nrfD//purN//citD//fadE//atoA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	fumC//fadB//fumB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	accB//
CRP_H-NS_LacI	gatZ//fucO//citC//
CRP_H-NS_LeuO	ilvD//
CRP_H-NS_MqsA	
CRP_IHF	citD//srlD//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	relA//
CRP_IHF_PaaX	galT//fucI//aroG//srlD//hmp//deoC//idnD//ldtB//
CRP_IHF_UlaR	fadD//paaH//folA//waaH//
CRP_IHF_YiaJ	lpxC//sucD//tdcE//ackA//gutQ//nirB//
CRP_LexA	
CRP_Lrp	mazG//gltD//sdhA//codA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	entB//
CRP_LsrR	xylB//aroG//garK//fumC//glcE//
CRP_MalI	nrdB//tdcB//
CRP_MalT	fabB//galT//
CRP_MalT_PhoP	ynfE//
CRP_MelR	uxaC//dsdA//
CRP_MetJ	paaH//
CRP_MhpR	cdd//astA//hycE//ilvI//glpX//sucC//
CRP_Mlc	
CRP_ModE	galT//
CRP_MurR	aldA//citF//pnp//
CRP_Nac_NsrR_PhoB	
CRP_NadR	hmp//
CRP_NagC	murE//sdhD//atoB//nrfD//glcE//
CRP_NagC_NanR	glcB//ynfF//
CRP_NagC_PhoP	galE//
CRP_OxyR	
CRP_OxyR_UxuR	paaJ//
CRP_PhoB	nirD//cyoE//
CRP_PhoP	hyaB//gnd//aceF//
CRP_PutA	paaZ//
CRP_RbsR	gabD//garK//caiD//
CRP_RhaR_RhaS	
CRP_RhaS	aroA//prpB//astE//
CRP_Rob	gadB//
CRP_TorR	galE//ugpQ//
CRP_UhpA_UvrY	murE//
CRP_UidR_UxuR	aceE//aroG//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	cysG//deoD//
Cbl_CysB_FNR_IHF	pck//fadH//nrdE//
CdaR_FNR_Fis_Fur_H-NS	glgP//pyrD//
CdaR_FNR_Fur_H-NS	glpB//gltD//nrdE//uvrA//
CpxR_CsgD_FliZ	
CpxR_CysB	srlD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ansB//
CpxR_GadE	gatY//hycF//mhpA//
CpxR_H-NS	moaD//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	nrfC//
Cra_FNR_Fis_Lrp_NarL	glpK//
Cra_FNR_Fur_MarA_Rob_SoxS	pgaC//
Cra_FhlA_FlhDC	idnK//
Cra_GntR_KdgR	acnA//
Cra_GntR_KdgR_PhoB	moaD//
Cra_MarA_SoxS	napB//
Cra_PdeL	ulaE//
Cra_SgrR	lsrK//
Cra_TyrR	narG//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	ddlB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	glcD//mhpC//
CusR_PhoB_YedW	lsrF//
CysB_H-NS	glpB//napA//lacA//
CysB_HypT_IHF	xylB//
CysB_IHF	deoD//udp//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	ddlB//
DinJ-YafQ_LexA	hycD//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	murD//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	murQ//
FNR_FhlA_NarL_NarP	glcE//appA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	metH//
FNR_Fis_IHF_ModE_NarL	nagB//
FNR_Fis_IHF_NarL	moeB//
FNR_Fis_IHF_NarL_RstA	cysJ//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	nrdE//
FNR_FlhDC_ModE_NarL_NarP	prpD//
FNR_Fur	rutE//ynfH//
FNR_Fur_GadE	pflB//
FNR_Fur_GadX_NtrC	purN//
FNR_Fur_H-NS	mdh//mhpC//mhpC//
FNR_Fur_MetR_NsrR	argG//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	umpH//
FNR_Fur_OxyR	astC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	astE//
FNR_H-NS_NrdR	deoB//napB//
FNR_IHF	purN//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	dmsA//
FNR_IHF_PhoB	
FNR_MalT	gltB//gdhA//
FNR_ModE	
FNR_NarL	deoD//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	gatZ//fucK//
FNR_NarL_NikR	pgaB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	lhgO//ftnA//
FNR_YqjI	
FabR_FadR	serA//citF//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	torA//prmC//
FhlA_IHF_NsrR	
Fis_Fur	folA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	kbaZ//
Fis_IHF	
Fis_IHF_NtrC	betA//fabB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	dmsC//
Fis_NarL	mraY//
Fis_NarL_NarP_NsrR	
Fis_PurR	fucK//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	moaD//
Fur_H-NS	paaA//rhaA//
Fur_IHF_IscR_NsrR_OxyR	fumA//
Fur_IscR_NrdR	ubiA//
Fur_MetR	yiaK//
Fur_MntR	gltA//
Fur_MntR_OxyR	ulaE//
Fur_OxyR	
Fur_PurR	deoD//
Fur_RcnR	carA//
Fur_RutR	lyxK//
Fur_SoxS_Zur	
Fur_YqjI	ubiA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	fau//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	ilvH//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	ulaE//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	purM//
H-NS_Lrp_NhaR_RcsB	gnd//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	hycB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	idnO//
HU_IHF_TyrR	paaF//
HigA_HigB-HigA	paaA//
HipAB_HipB_IHF	citG//
HypT_MetJ	nrfD//
HypT_MetJ_PhoP	paaC//pnp//
IHF_Lrp	prpE//udp//ilvE//waaH//yqjH//
IHF_NsrR	
IHF_NtrC	citX//
IHF_PhoP	
IHF_PspF	rnpB//
IHF_RcsAB	
IHF_RtcR	citX//ulaE//
IHF_TyrR	fadB//
IHF_UlaR	murD//
LexA_MraZ_PdhR	aspC//garR//cysI//serA//gabT//dgcZ//malP//paaJ//waaH//moeA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	glpQ//treC//
MarA_PhoP_Rob_SoxS	gcd//galE//nfsB//sucC//sdhA//prpE//uxaC//hypB//nanM//
MarA_Rob_SoxS	idnD//nanE//
MarA_SoxS	ackA//accB//ilvG_2//
MetJ_MetR	moeA//
MetJ_OxyR	hycC//
MetR_PurR	melA//
MraZ_PdhR	ftsI//
Nac_PurR	serC//fadD//
NarL_TorR	glnA//
NemR_RutR	mhpC//appA//
NhaR_OmpR	pgaC//tdcE//deoD//
NorR_NsrR	
NsrR_PhoB	sodA//
OxyR_SoxS	
PdhR_PhoP	fucO//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	ilvH//rnpB//
RelB_RelB-RelE	deoD//
TrpR_TyrR	acs//
YefM_YefM-YoeB	nfsB//
