# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	entC//glcD//
ArcA_CRP_GlpR	hycF//
ArcA_CRP_IHF	waaZ//
ArcA_CRP_PuuR	fbaA//hmp//glnA//garK//
ArcA_CRP_RhaS	metB//
ArcA_CRP_TreR	narG//pck//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	dadA//sucC//
ArcA_Cra	ansB//
ArcA_Cra_FNR_H-NS_HypT	lsrK//
ArcA_CysB_FNR	
ArcA_FNR	fbaA//ogt//napH//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	dmsA//
ArcA_FNR_Fis_IHF_NarL	hypF//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	gadA//argG//
ArcA_FNR_IHF_NarL	bglB//rhaA//
ArcA_FNR_NarL	puuB//guaB//lsrF//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	hemA//frdA//
ArcA_FadR	moeB//uxaC//nanA//
ArcA_FadR_Fis	lpd//nrfA//
ArcA_Fur_Lrp_ModE	gatD//mpl//
ArcA_GlcC_IHF_PdhR	gntK//waaH//mpl//
ArcA_LexA	idnD//
ArcA_LldR	mnmG//yqjH//
ArcA_NarL	gcvH//
ArcA_NtrC_PhoP_RutR	hcp//gnd//aceE//gatY//betA//lsrK//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	gdhA//
ArgP_CRP_FNR_Fur_Nac	tnaA//
ArgP_DnaA	nagB//
ArgP_Lrp	malP//katE//
ArgP_LysR	nrfD//
ArgP_PhoB	
ArgR_CRP	astC//
ArgR_CRP_Fis	ahpC//lsrG//galE//
ArgR_Fis_IHF_PepA_PurR_RutR	metB//
ArgR_H-NS_NtrC	fabA//hycD//
ArgR_NtrC	pgaD//glgA//moeB//dadX//paaK//
ArgR_PhoP	murD//
AscG_CRP	xylB//mpl//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	malY//
AtoC_IHF	putA//gabD//ilvI//
BaeR_CpxR	fadA//
BaeR_CpxR_EvgA	gltB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ulaE//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	galE//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	carB//carB//katE//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	napC//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	aroG//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	lsrG//narI//galM//lysA//entE//betA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	sodA//glcD//pgaD//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	torA//fabA//galM//
CRP_Cra_Mlc_NagC	gadB//folA//relA//entC//
CRP_Cra_PrpR	citF//ilvG_1//glyA//dadX//
CRP_CreB_Fis_MalT	paaC//
CRP_CsiR_H-NS_Lrp	citX//
CRP_CsiR_H-NS_Lrp_Nac	nanE//nanK//ldtB//
CRP_CspA_Fis	nemA//
CRP_CytR	glpC//
CRP_CytR_DeoR	cysH//tauD//
CRP_CytR_DeoR_Fis_ModE	hcp//entF//glpA//napG//
CRP_CytR_Nac	malP//
CRP_CytR_NsrR	pncB//
CRP_DcuR_FNR_NarL	fau//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	glpC//rbsD//
CRP_DpiA_ExuR	waaH//
CRP_DsdC	aroA//gatZ//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	gcvH//
CRP_ExuR	prpB//
CRP_ExuR_FNR	ilvA//deoA//
CRP_ExuR_OxyR_UxuR	ahpC//narH//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	mtlD//
CRP_FNR_Fis	idnO//hpt//
CRP_FNR_Fis_GlpR_IHF	glgP//aldA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	glcB//ppiA//hypF//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	srlD//mhpA//glpK//rnpB//pdeR//
CRP_FNR_NarL	cysM//nrdF//
CRP_FeaR_NsrR	glgP//
CRP_Fis	garK//nrdB//putA//
CRP_Fis_FlhDC_GalR_GalS	fucA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	gloA//nanE//
CRP_Fis_IHF	paaZ//nrdB//galE//
CRP_Fis_NanR	fbaA//appA//ynfH//putA//
CRP_Fis_NtrC	pspE//
CRP_Fis_XylR	recF//
CRP_FlhDC_GalR_GalS	cysM//
CRP_FucR	mhpF//gntK//entH//deoB//ulaF//murD//
CRP_Fur	malY//fumC//edd//gatD//astA//mdh//malQ//carB//rhaA//gatD//
CRP_Fur_HypT_PdhR	katE//garR//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	rutB//gltD//pflB//sodA//
CRP_GalR_GalS_NagC	cysI//
CRP_GlpR	rbsK//chbF//mraY//
CRP_GntR	waaH//
CRP_GntR_IdnR	napB//guaA//narI//waaZ//prpB//puuA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	aspA//dsdA//idnK//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	gltB//
CRP_H-NS_LacI	mhpC//tauD//metL//
CRP_H-NS_LeuO	sdhC//
CRP_H-NS_MqsA	
CRP_IHF	fumA//lpxD//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	ulaG//
CRP_IHF_PaaX	atoA//atoD//glyA//idnK//ndh//cysI//ubiC//ugpQ//
CRP_IHF_UlaR	nagB//gcd//murG//fadA//
CRP_IHF_YiaJ	prpD//hyaB//murQ//ppiA//tdcD//torC//
CRP_LexA	
CRP_Lrp	glpK//paaH//entD//purD//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	pdeR//
CRP_LsrR	sodA//rbsD//aceF//frdC//pdeL//
CRP_MalI	hycC//pnp//
CRP_MalT	fau//ynfF//
CRP_MalT_PhoP	sucB//
CRP_MelR	lysA//katE//
CRP_MetJ	mnmG//
CRP_MhpR	fumA//cysM//cysM//guaB//mazG//srlD//
CRP_Mlc	
CRP_ModE	fucK//
CRP_MurR	cdd//napH//fabB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	frdD//
CRP_NagC	citD//mnmG//napH//purA//waaY//
CRP_NagC_NanR	fdhF//cysI//
CRP_NagC_PhoP	glpA//
CRP_OxyR	
CRP_OxyR_UxuR	lpxC//
CRP_PhoB	entC//acs//
CRP_PhoP	adiA//xylA//gntK//
CRP_PutA	ftnA//
CRP_RbsR	araA//moaA//mtlD//
CRP_RhaR_RhaS	
CRP_RhaS	dadA//argD//fabZ//
CRP_Rob	sucC//
CRP_TorR	purN//uvrA//
CRP_UhpA_UvrY	aroA//
CRP_UidR_UxuR	murQ//glcD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	nagB//gcvH//
Cbl_CysB_FNR_IHF	yqjH//prmC//hycC//
CdaR_FNR_Fis_Fur_H-NS	fucU//tauD//
CdaR_FNR_Fur_H-NS	aceB//nagA//dadA//gcvT//
CpxR_CsgD_FliZ	
CpxR_CysB	metB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	pyrC//
CpxR_GadE	icd//metL//rsmH//
CpxR_H-NS	rutB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	waaY//
Cra_FNR_Fis_Lrp_NarL	gatD//
Cra_FNR_Fur_MarA_Rob_SoxS	ldtB//
Cra_FhlA_FlhDC	sodA//
Cra_GntR_KdgR	prpB//
Cra_GntR_KdgR_PhoB	narH//
Cra_MarA_SoxS	gcvH//
Cra_PdeL	ulaD//
Cra_SgrR	ddlB//
Cra_TyrR	ugpQ//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	recF//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	fumA//rutD//
CusR_PhoB_YedW	caiB//
CysB_H-NS	glgP//sdhD//nrfD//
CysB_HypT_IHF	purA//
CysB_IHF	metB//argD//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	nagA//
DinJ-YafQ_LexA	gabT//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	ssuE//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	ilvH//
FNR_FhlA_NarL_NarP	gltD//lsrF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	fucU//
FNR_Fis_IHF_ModE_NarL	torC//
FNR_Fis_IHF_NarL	zwf//
FNR_Fis_IHF_NarL_RstA	galT//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	moaE//
FNR_FlhDC_ModE_NarL_NarP	pgaD//
FNR_Fur	prpC//prmC//
FNR_Fur_GadE	glpD//
FNR_Fur_GadX_NtrC	mhpC//
FNR_Fur_H-NS	nrdB//sufS//metB//
FNR_Fur_MetR_NsrR	gltA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	fadE//
FNR_Fur_OxyR	fucK//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	ilvI//
FNR_H-NS_NrdR	yqjH//frdA//
FNR_IHF	fadA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	gltD//
FNR_IHF_PhoB	
FNR_MalT	udp//sucA//
FNR_ModE	
FNR_NarL	murG//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	gloA//cysG//
FNR_NarL_NikR	rutE//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	zwf//hpt//
FNR_YqjI	
FabR_FadR	fucA//ubiC//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	lhgO//sucA//
FhlA_IHF_NsrR	
Fis_Fur	nrdD//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	dmsC//
Fis_IHF	
Fis_IHF_NtrC	rutA//rnpB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	gloA//
Fis_NarL	pck//
Fis_NarL_NarP_NsrR	
Fis_PurR	caiA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	srlD//
Fur_H-NS	sdhB//sdhD//
Fur_IHF_IscR_NsrR_OxyR	paaK//
Fur_IscR_NrdR	rbsK//
Fur_MetR	murC//
Fur_MntR	pnp//
Fur_MntR_OxyR	fadA//
Fur_OxyR	
Fur_PurR	hcp//
Fur_RcnR	murG//
Fur_RutR	cysI//
Fur_SoxS_Zur	
Fur_YqjI	acs//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	lhgO//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	astC//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	purD//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	napA//
H-NS_Lrp_NhaR_RcsB	ansB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	malQ//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	acnA//
HU_IHF_TyrR	aroL//
HigA_HigB-HigA	putA//
HipAB_HipB_IHF	treC//
HypT_MetJ	glpD//
HypT_MetJ_PhoP	pgk//fadA//
IHF_Lrp	tdcB//astE//fadH//udp//lpxD//
IHF_NsrR	
IHF_NtrC	ahpC//
IHF_PhoP	
IHF_PspF	cysI//
IHF_RcsAB	
IHF_RtcR	lldD//malQ//
IHF_TyrR	ppiA//
IHF_UlaR	aceE//
LexA_MraZ_PdhR	rimK//cysG//ndh//ugpQ//gcvH//bglB//citF//ilvG_1//paaI//pgk//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	araB//katE//
MarA_PhoP_Rob_SoxS	lsrG//metE//argG//aceB//ssuD//ilvE//uxuA//hpt//frdC//
MarA_Rob_SoxS	tnaA//yqjH//
MarA_SoxS	yiaK//lhgO//glpQ//
MetJ_MetR	gatZ//
MetJ_OxyR	aroL//
MetR_PurR	pgaD//
MraZ_PdhR	frdC//
Nac_PurR	dusB//nanA//
NarL_TorR	paaH//
NemR_RutR	puuC//purH//
NhaR_OmpR	sucA//idnO//citD//
NorR_NsrR	
NsrR_PhoB	moaD//
OxyR_SoxS	
PdhR_PhoP	bglB//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	mhpE//narH//
RelB_RelB-RelE	metB//
TrpR_TyrR	sgbE//
YefM_YefM-YoeB	gadB//
