# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	waaH//ilvA//
ArcA_CRP_GlpR	feaB//
ArcA_CRP_IHF	garR//
ArcA_CRP_PuuR	fadD//folA//carA//frdB//
ArcA_CRP_RhaS	entH//
ArcA_CRP_TreR	argG//pncB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	moeA//sucD//
ArcA_Cra	sdhA//
ArcA_Cra_FNR_H-NS_HypT	deoA//
ArcA_CysB_FNR	
ArcA_FNR	rbsD//ynfH//moaD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	paaC//
ArcA_FNR_Fis_IHF_NarL	ynfE//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	cadA//aspA//
ArcA_FNR_IHF_NarL	mhpA//ndh//
ArcA_FNR_NarL	paaK//metL//prpC//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	gadA//garL//
ArcA_FadR	nanE//fau//sgbU//
ArcA_FadR_Fis	sdhA//dmsB//
ArcA_Fur_Lrp_ModE	gnd//galE//
ArcA_GlcC_IHF_PdhR	cysG//napB//fau//
ArcA_LexA	galT//
ArcA_LldR	lsrF//dsdA//
ArcA_NarL	uidA//
ArcA_NtrC_PhoP_RutR	fadD//aroG//gcd//atoB//glcE//fau//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	lpxC//
ArgP_CRP_FNR_Fur_Nac	hypB//
ArgP_DnaA	pdeL//
ArgP_Lrp	dgcZ//ugpQ//
ArgP_LysR	nrfB//
ArgP_PhoB	
ArgR_CRP	uxaC//
ArgR_CRP_Fis	deoC//metE//sgbH//
ArgR_Fis_IHF_PepA_PurR_RutR	aceE//
ArgR_H-NS_NtrC	uvrA//napH//
ArgR_NtrC	gntK//atoA//entA//uvrA//pflB//
ArgR_PhoP	guaB//
AscG_CRP	rbsK//paaG//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	rhaA//
AtoC_IHF	garR//prpE//dadX//
BaeR_CpxR	caiC//
BaeR_CpxR_EvgA	nanE//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	nrfC//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	sgbE//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	astE//ftsI//mdh//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	fadI//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ynfF//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	paaH//glcE//pck//galK//nanK//feaB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	hemA//garR//napC//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	mhpA//lsrF//ilvE//
CRP_Cra_Mlc_NagC	ulaG//fes//puuB//aspC//
CRP_Cra_PrpR	accB//yiaK//astD//galM//
CRP_CreB_Fis_MalT	glpC//
CRP_CsiR_H-NS_Lrp	dadA//
CRP_CsiR_H-NS_Lrp_Nac	ahpC//uxaA//ogt//
CRP_CspA_Fis	nrfA//
CRP_CytR	aroA//
CRP_CytR_DeoR	ynfH//nirB//
CRP_CytR_DeoR_Fis_ModE	ilvG_2//puuE//garK//narG//
CRP_CytR_Nac	hycG//
CRP_CytR_NsrR	nanE//
CRP_DcuR_FNR_NarL	glgP//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	deoD//serA//
CRP_DpiA_ExuR	prpC//
CRP_DsdC	hycG//truB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	araA//
CRP_ExuR	mazG//
CRP_ExuR_FNR	murF//carB//
CRP_ExuR_OxyR_UxuR	uxaB//hycB//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	lacZ//
CRP_FNR_Fis	serC//fbaA//
CRP_FNR_Fis_GlpR_IHF	uxaA//dadX//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	malP//udp//ynfF//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	fau//glcB//chbF//gdhA//glpQ//
CRP_FNR_NarL	metB//waaH//
CRP_FeaR_NsrR	gcvH//
CRP_Fis	nanA//gatY//glgA//
CRP_Fis_FlhDC_GalR_GalS	glpD//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	pgaB//ugpQ//
CRP_Fis_IHF	atoA//betB//nfsB//
CRP_Fis_NanR	xylA//sucA//paaG//nanA//
CRP_Fis_NtrC	gltA//
CRP_Fis_XylR	ilvG_1//
CRP_FlhDC_GalR_GalS	ynfE//
CRP_FucR	acs//cysJ//fabA//serA//pck//lpxA//
CRP_Fur	murG//ilvI//napC//dsdA//frdA//ilvH//idnD//gatD//entA//paaG//
CRP_Fur_HypT_PdhR	nfsA//srlD//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	glcD//waaZ//guaA//fau//
CRP_GalR_GalS_NagC	fadI//
CRP_GlpR	glpQ//aceF//lyxK//
CRP_GntR	prmC//
CRP_GntR_IdnR	ogt//hyaA//garK//ackA//hycD//paaE//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	tdcG//pdeR//gabT//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	tauD//
CRP_H-NS_LacI	ansB//narG//hypF//
CRP_H-NS_LeuO	sdhB//
CRP_H-NS_MqsA	
CRP_IHF	idnK//glpK//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	glnA//
CRP_IHF_PaaX	fucI//ynfE//gcvH//fucI//xylA//malP//putA//cysH//
CRP_IHF_UlaR	cysM//mpl//nagB//nfsA//
CRP_IHF_YiaJ	hycE//glpX//putA//udp//deoB//fau//
CRP_LexA	
CRP_Lrp	codA//ynfE//glpA//gadA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	nanM//
CRP_LsrR	malS//araD//lpxC//xylA//entE//
CRP_MalI	putA//glpK//
CRP_MalT	uxuB//citD//
CRP_MalT_PhoP	rutA//
CRP_MelR	gutQ//prmC//
CRP_MetJ	gltB//
CRP_MhpR	icd//dsdA//deoD//murD//moeA//ackA//
CRP_Mlc	
CRP_ModE	sodB//
CRP_MurR	ubiC//lacZ//lsrF//
CRP_Nac_NsrR_PhoB	
CRP_NadR	pyrC//
CRP_NagC	sodA//ilvG_2//nrdB//fucA//aldB//
CRP_NagC_NanR	entD//rnpB//
CRP_NagC_PhoP	sdhA//
CRP_OxyR	
CRP_OxyR_UxuR	fabB//
CRP_PhoB	nagB//gcvP//
CRP_PhoP	ilvH//sdhB//kbaZ//
CRP_PutA	aspC//
CRP_RbsR	purA//pspE//poxB//
CRP_RhaR_RhaS	
CRP_RhaS	gcvT//narI//pck//
CRP_Rob	metE//
CRP_TorR	nagA//murF//
CRP_UhpA_UvrY	narH//
CRP_UidR_UxuR	moeA//acs//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	aceF//rhaB//
Cbl_CysB_FNR_IHF	dmsC//fucI//cysG//
CdaR_FNR_Fis_Fur_H-NS	purH//frdD//
CdaR_FNR_Fur_H-NS	sdhA//hycD//hycB//entF//
CpxR_CsgD_FliZ	
CpxR_CysB	fdhF//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	rhaD//
CpxR_GadE	nfsA//argD//gcd//
CpxR_H-NS	appA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	glcE//
Cra_FNR_Fis_Lrp_NarL	waaY//
Cra_FNR_Fur_MarA_Rob_SoxS	cadA//
Cra_FhlA_FlhDC	yiaK//
Cra_GntR_KdgR	yiaK//
Cra_GntR_KdgR_PhoB	frdB//
Cra_MarA_SoxS	atoB//
Cra_PdeL	malP//
Cra_SgrR	atoB//
Cra_TyrR	waaY//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	uvrA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	mnmG//tdcG//
CusR_PhoB_YedW	astB//
CysB_H-NS	fadB//gloA//acs//
CysB_HypT_IHF	udp//
CysB_IHF	tauD//tam//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	fumA//
DinJ-YafQ_LexA	dgcZ//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	ilvG_1//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	dadX//
FNR_FhlA_NarL_NarP	aceA//gabT//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	ftnA//
FNR_Fis_IHF_ModE_NarL	gltA//
FNR_Fis_IHF_NarL	hypB//
FNR_Fis_IHF_NarL_RstA	atoA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	paaK//
FNR_FlhDC_ModE_NarL_NarP	frdA//
FNR_Fur	tam//frdB//
FNR_Fur_GadE	ackA//
FNR_Fur_GadX_NtrC	patA//
FNR_Fur_H-NS	aceF//sdhA//rimK//
FNR_Fur_MetR_NsrR	aspA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	atoA//
FNR_Fur_OxyR	dsdA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	betB//
FNR_H-NS_NrdR	mtlD//putA//
FNR_IHF	ilvE//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	murG//
FNR_IHF_PhoB	
FNR_MalT	argG//rbsD//
FNR_ModE	
FNR_NarL	gutQ//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	pgaD//rimK//
FNR_NarL_NikR	glyA//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	murG//narI//
FNR_YqjI	
FabR_FadR	prpB//ilvG_2//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	fadA//ubiA//
FhlA_IHF_NsrR	
Fis_Fur	betB//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	metL//
Fis_IHF	
Fis_IHF_NtrC	paaJ//puuC//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	relA//
Fis_NarL	dmsC//
Fis_NarL_NarP_NsrR	
Fis_PurR	appA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	fadH//
Fur_H-NS	dmsB//uvrA//
Fur_IHF_IscR_NsrR_OxyR	deoD//
Fur_IscR_NrdR	tam//
Fur_MetR	lhgO//
Fur_MntR	acnA//
Fur_MntR_OxyR	fucU//
Fur_OxyR	
Fur_PurR	ulaF//
Fur_RcnR	lhgO//
Fur_RutR	gadB//
Fur_SoxS_Zur	
Fur_YqjI	hycB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	puuD//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	deoB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	sucA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	citF//
H-NS_Lrp_NhaR_RcsB	waaH//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	galE//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	pgaB//
HU_IHF_TyrR	hemL//
HigA_HigB-HigA	dadX//
HipAB_HipB_IHF	patA//
HypT_MetJ	gatY//
HypT_MetJ_PhoP	araD//tdcE//
IHF_Lrp	nrdF//bglB//cdd//accC//pgaD//
IHF_NsrR	
IHF_NtrC	uxaA//
IHF_PhoP	
IHF_PspF	malP//
IHF_RcsAB	
IHF_RtcR	codA//cdd//
IHF_TyrR	gatD//
IHF_UlaR	paaC//
LexA_MraZ_PdhR	gabD//lpd//sdhC//yqjH//hyaA//pgk//puuC//moeA//hcp//citG//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	chbG//fucI//
MarA_PhoP_Rob_SoxS	carA//metH//glpQ//puuE//paaI//fabZ//sdhB//gatD//metH//
MarA_Rob_SoxS	galT//mhpF//
MarA_SoxS	fadE//eda//puuA//
MetJ_MetR	sdhA//
MetJ_OxyR	frdD//
MetR_PurR	glyA//
MraZ_PdhR	sgbE//
Nac_PurR	sdhD//citE//
NarL_TorR	gcvT//
NemR_RutR	ynfF//waaZ//
NhaR_OmpR	aceE//glnA//fucO//
NorR_NsrR	
NsrR_PhoB	fucO//
OxyR_SoxS	
PdhR_PhoP	narH//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	ynfG//rbsK//
RelB_RelB-RelE	cysM//
TrpR_TyrR	mazG//
YefM_YefM-YoeB	uxaB//
