# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ftnA//paaA//
ArcA_CRP_IHF	ilvD//
ArcA_CRP_PuuR	lhgO//moaE//paaA//ulaF//
ArcA_CRP_RhaS	poxB//
ArcA_CRP_TreR	appA//rbsK//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	acnB//napG//
ArcA_Cra	epd//
ArcA_Cra_FNR_H-NS_HypT	gcvP//
ArcA_CysB_FNR	
ArcA_FNR	malY//ilvG_2//aroG//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	pck//
ArcA_FNR_Fis_IHF_NarL	tnaA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	truB//fucA//
ArcA_FNR_IHF_NarL	glpK//udp//
ArcA_FNR_NarL	fucO//glpQ//uvrA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	fabB//paaA//
ArcA_FadR	araA//sdhD//ilvE//
ArcA_FadR_Fis	hmp//sgbH//
ArcA_Fur_Lrp_ModE	acnB//moaE//
ArcA_GlcC_IHF_PdhR	narG//tdcB//accC//
ArcA_LexA	adhE//
ArcA_LldR	araA//ulaE//
ArcA_NarL	guaA//
ArcA_NtrC_PhoP_RutR	glpA//ahpF//ugpQ//glpA//ftnA//hycE//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	accC//
ArgP_CRP_FNR_Fur_Nac	ldtB//
ArgP_DnaA	fau//
ArgP_Lrp	cysJ//tam//
ArgP_LysR	puuE//
ArgP_PhoB	
ArgR_CRP	lpxD//
ArgR_CRP_Fis	purM//gltA//torA//
ArgR_Fis_IHF_PepA_PurR_RutR	napC//
ArgR_H-NS_NtrC	malS//nrdA//
ArgR_NtrC	aceA//eda//fau//nanE//entE//
ArgR_PhoP	puuD//
AscG_CRP	fumA//hypB//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	sucC//
AtoC_IHF	ynfG//deoC//pyrC//
BaeR_CpxR	cyoE//
BaeR_CpxR_EvgA	gltD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	glyA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	hypF//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	atoD//nrdA//purM//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	fadH//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	glgC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	nanA//uxaC//sgbE//idnO//dadA//sdhD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	astD//galT//mhpE//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	ftnA//glpQ//fumB//
CRP_Cra_Mlc_NagC	fadD//torA//fucU//nanM//
CRP_Cra_PrpR	napH//atoB//atoA//truB//
CRP_CreB_Fis_MalT	lsrK//
CRP_CsiR_H-NS_Lrp	cdd//
CRP_CsiR_H-NS_Lrp_Nac	puuE//putA//waaZ//
CRP_CspA_Fis	fumC//
CRP_CytR	caiC//
CRP_CytR_DeoR	fumC//nemA//
CRP_CytR_DeoR_Fis_ModE	nanE//aroL//puuE//ahpC//
CRP_CytR_Nac	pyrD//
CRP_CytR_NsrR	pdeR//
CRP_DcuR_FNR_NarL	malP//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	ulaF//dusB//
CRP_DpiA_ExuR	glpA//
CRP_DsdC	metL//pncB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	lyxK//
CRP_ExuR	fucU//
CRP_ExuR_FNR	prpD//moeB//
CRP_ExuR_OxyR_UxuR	nagB//ppiA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	bglB//
CRP_FNR_Fis	entE//cysM//
CRP_FNR_Fis_GlpR_IHF	deoD//astB//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	dusB//ulaE//glnA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	rutA//mpl//waaZ//fumB//nfsB//
CRP_FNR_NarL	lpd//fucK//
CRP_FeaR_NsrR	acnA//
CRP_Fis	araA//ilvD//fumA//
CRP_Fis_FlhDC_GalR_GalS	paaE//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	citX//fadD//
CRP_Fis_IHF	frdC//mraY//hypB//
CRP_Fis_NanR	hycB//ubiA//moeB//carB//
CRP_Fis_NtrC	pgk//
CRP_Fis_XylR	fadD//
CRP_FlhDC_GalR_GalS	feaB//
CRP_FucR	fadB//napB//frdB//pyrC//murD//aceF//
CRP_Fur	paaA//nrfC//glnA//lacA//carA//purH//katG//lldD//nrfC//fucO//
CRP_Fur_HypT_PdhR	pdeL//gcvH//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	dadA//ilvA//adiA//hyaA//
CRP_GalR_GalS_NagC	sgbE//
CRP_GlpR	prpC//sdhA//ulaD//
CRP_GntR	aceA//
CRP_GntR_IdnR	fadJ//relA//napC//dadX//glyA//kbaZ//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	gabT//hpt//deoB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	eda//
CRP_H-NS_LacI	chbF//murG//yqjH//
CRP_H-NS_LeuO	caiA//
CRP_H-NS_MqsA	
CRP_IHF	gcvP//fadI//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	sdhB//
CRP_IHF_PaaX	narI//nrdA//guaA//napC//glgP//paaE//murQ//hycD//
CRP_IHF_UlaR	umpH//ackA//malY//bglB//
CRP_IHF_YiaJ	ulaD//nfsB//nanA//nrdD//hypF//entC//
CRP_LexA	
CRP_Lrp	eda//prpB//gnd//nrfA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	ubiC//
CRP_LsrR	rutE//uxaA//ulaG//gnd//murG//
CRP_MalI	treC//uxaA//
CRP_MalT	ansB//ppiA//
CRP_MalT_PhoP	ilvG_1//
CRP_MelR	recF//sodB//
CRP_MetJ	rutA//
CRP_MhpR	gcvP//gutQ//sucC//puuB//ynfG//lacA//
CRP_Mlc	
CRP_ModE	nrdA//
CRP_MurR	rutA//astD//udp//
CRP_Nac_NsrR_PhoB	
CRP_NadR	uxaB//
CRP_NagC	relA//waaH//srlD//paaB//kbaZ//
CRP_NagC_NanR	entD//fadH//
CRP_NagC_PhoP	ndh//
CRP_OxyR	
CRP_OxyR_UxuR	tam//
CRP_PhoB	rhaD//cadA//
CRP_PhoP	mraY//paaK//lsrF//
CRP_PutA	nrdE//
CRP_RbsR	katE//metK//nrdE//
CRP_RhaR_RhaS	
CRP_RhaS	gltA//hypF//puuB//
CRP_Rob	glpX//
CRP_TorR	tdcG//pgaB//
CRP_UhpA_UvrY	puuD//
CRP_UidR_UxuR	pyrD//paaE//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	galK//hypB//
Cbl_CysB_FNR_IHF	ilvG_2//uxaA//rutA//
CdaR_FNR_Fis_Fur_H-NS	tdcG//idnD//
CdaR_FNR_Fur_H-NS	fadH//caiC//purA//aldB//
CpxR_CsgD_FliZ	
CpxR_CysB	dgcZ//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	entB//
CpxR_GadE	garL//lldD//prpE//
CpxR_H-NS	cyoE//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	galM//
Cra_FNR_Fis_Lrp_NarL	pdeR//
Cra_FNR_Fur_MarA_Rob_SoxS	metK//
Cra_FhlA_FlhDC	hycG//
Cra_GntR_KdgR	nanE//
Cra_GntR_KdgR_PhoB	galE//
Cra_MarA_SoxS	garK//
Cra_PdeL	tdcE//
Cra_SgrR	betB//
Cra_TyrR	nrdE//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	puuC//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	fucI//galT//
CusR_PhoB_YedW	ubiA//
CysB_H-NS	poxB//hcp//rhaD//
CysB_HypT_IHF	purD//
CysB_IHF	relA//citC//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	mhpF//
DinJ-YafQ_LexA	rutC//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	kbaZ//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	waaZ//
FNR_FhlA_NarL_NarP	glcB//citX//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gatY//
FNR_Fis_IHF_ModE_NarL	ynfE//
FNR_Fis_IHF_NarL	edd//
FNR_Fis_IHF_NarL_RstA	galM//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	cysJ//
FNR_FlhDC_ModE_NarL_NarP	lpd//
FNR_Fur	argD//aldA//
FNR_Fur_GadE	lpd//
FNR_Fur_GadX_NtrC	aceE//
FNR_Fur_H-NS	gcvT//uvrA//yqjH//
FNR_Fur_MetR_NsrR	ynfF//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	nagB//
FNR_Fur_OxyR	sgbU//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	caiA//
FNR_H-NS_NrdR	frdB//rnpB//
FNR_IHF	paaA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	glpD//
FNR_IHF_PhoB	
FNR_MalT	gltB//truB//
FNR_ModE	
FNR_NarL	sucC//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	glcB//argD//
FNR_NarL_NikR	hycC//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	glgA//pdeR//
FNR_YqjI	
FabR_FadR	yiaK//paaA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	mtlD//sdhA//
FhlA_IHF_NsrR	
Fis_Fur	hycF//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	pgaC//
Fis_IHF	
Fis_IHF_NtrC	rbsD//hypF//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	hyaB//
Fis_NarL	ogt//
Fis_NarL_NarP_NsrR	
Fis_PurR	gadB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	lsrG//
Fur_H-NS	dsdA//mhpE//
Fur_IHF_IscR_NsrR_OxyR	tauD//
Fur_IscR_NrdR	uxaC//
Fur_MetR	rhaD//
Fur_MntR	gcvH//
Fur_MntR_OxyR	nrdB//
Fur_OxyR	
Fur_PurR	moeA//
Fur_RcnR	lhgO//
Fur_RutR	atoB//
Fur_SoxS_Zur	
Fur_YqjI	entF//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	prpB//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	treC//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	rhaA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	serA//
H-NS_Lrp_NhaR_RcsB	hycB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	fes//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	fadJ//
HU_IHF_TyrR	sdhA//
HigA_HigB-HigA	relA//
HipAB_HipB_IHF	nrfB//
HypT_MetJ	gcvP//
HypT_MetJ_PhoP	entA//acs//
IHF_Lrp	fabB//paaB//fadI//glcE//fucA//
IHF_NsrR	
IHF_NtrC	prpB//
IHF_PhoP	
IHF_PspF	sgbE//
IHF_RcsAB	
IHF_RtcR	hcp//moaE//
IHF_TyrR	dusB//
IHF_UlaR	fucO//
LexA_MraZ_PdhR	glpK//malS//atoB//narI//pgk//sucB//metH//fumB//moaD//treC//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	nrdD//idnK//
MarA_PhoP_Rob_SoxS	entF//citX//pyrD//astD//sgbU//umpH//sucA//gcvP//glgA//
MarA_Rob_SoxS	udp//rnpB//
MarA_SoxS	atoD//ilvG_2//malQ//
MetJ_MetR	dsdA//
MetJ_OxyR	fdhF//
MetR_PurR	gloA//
MraZ_PdhR	appA//
Nac_PurR	fadI//gltB//
NarL_TorR	nagB//
NemR_RutR	lpd//pspE//
NhaR_OmpR	glpC//gadA//paaA//
NorR_NsrR	
NsrR_PhoB	chbG//
OxyR_SoxS	
PdhR_PhoP	pgaD//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	ilvG_2//recF//
RelB_RelB-RelE	gabT//
TrpR_TyrR	rhaA//
YefM_YefM-YoeB	malS//
