# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	aspC//lpxC//
ArcA_CRP_GlpR	ilvA//
ArcA_CRP_IHF	atoB//
ArcA_CRP_PuuR	srlD//fumB//appA//gdhA//
ArcA_CRP_RhaS	gadB//
ArcA_CRP_TreR	glpB//lpd//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	waaH//ndh//
ArcA_Cra	sgbE//
ArcA_Cra_FNR_H-NS_HypT	acnA//
ArcA_CysB_FNR	
ArcA_FNR	glcF//serC//nanE//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	hyaA//
ArcA_FNR_Fis_IHF_NarL	rutC//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	frdB//astA//
ArcA_FNR_IHF_NarL	metL//hmp//
ArcA_FNR_NarL	rhaD//nirB//cadA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	yqjH//bglB//
ArcA_FadR	hyaB//uxaB//ssuE//
ArcA_FadR_Fis	waaH//aceB//
ArcA_Fur_Lrp_ModE	rnpB//recF//
ArcA_GlcC_IHF_PdhR	nrfD//murQ//pncB//
ArcA_LexA	fucA//
ArcA_LldR	xylB//glcD//
ArcA_NarL	gatY//
ArcA_NtrC_PhoP_RutR	sodA//cysG//tdcD//nfsA//araB//narI//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	lacA//
ArgP_CRP_FNR_Fur_Nac	gcvT//
ArgP_DnaA	lsrF//
ArgP_Lrp	nfsA//ilvE//
ArgP_LysR	ldtB//
ArgP_PhoB	
ArgR_CRP	uxaB//
ArgR_CRP_Fis	aroL//glcD//uxuB//
ArgR_Fis_IHF_PepA_PurR_RutR	pyrC//
ArgR_H-NS_NtrC	aspA//sodA//
ArgR_NtrC	treC//pdeL//lpxA//prpC//fabA//
ArgR_PhoP	fadE//
AscG_CRP	lysA//xylB//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	sgbH//
AtoC_IHF	gabT//citD//deoC//
BaeR_CpxR	fumA//
BaeR_CpxR_EvgA	lacA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	cyoE//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	atoA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	rhaD//sgbH//sucB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	mhpE//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	aceA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	fucI//purH//paaJ//epd//idnK//sdhB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	garL//ynfG//paaG//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	ilvH//purM//ilvE//
CRP_Cra_Mlc_NagC	nirD//rutB//waaY//mazG//
CRP_Cra_PrpR	ackA//nrdF//garL//epd//
CRP_CreB_Fis_MalT	ulaG//
CRP_CsiR_H-NS_Lrp	astD//
CRP_CsiR_H-NS_Lrp_Nac	paaZ//paaH//acnA//
CRP_CspA_Fis	pspE//
CRP_CytR	aroL//
CRP_CytR_DeoR	fucI//malS//
CRP_CytR_DeoR_Fis_ModE	metH//metB//hmp//narG//
CRP_CytR_Nac	fau//
CRP_CytR_NsrR	glgC//
CRP_DcuR_FNR_NarL	frdC//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	hypF//feaB//
CRP_DpiA_ExuR	argG//
CRP_DsdC	pgaD//ynfH//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	glgP//
CRP_ExuR	serC//
CRP_ExuR_FNR	murG//dmsC//
CRP_ExuR_OxyR_UxuR	nanA//fucA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	mtlD//
CRP_FNR_Fis	rutA//xylB//
CRP_FNR_Fis_GlpR_IHF	nanA//rhaB//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	sgbH//entB//ulaG//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	pyrD//epd//hycD//moaE//waaY//
CRP_FNR_NarL	ftnA//gnd//
CRP_FeaR_NsrR	argG//
CRP_Fis	recF//mhpF//fumA//
CRP_Fis_FlhDC_GalR_GalS	nirD//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	ssuD//nirB//
CRP_Fis_IHF	napH//glcE//waaY//
CRP_Fis_NanR	glgA//aroG//glpK//hyaB//
CRP_Fis_NtrC	aceF//
CRP_Fis_XylR	ugpQ//
CRP_FlhDC_GalR_GalS	caiD//
CRP_FucR	ynfH//napA//nanE//nanM//lsrF//nfsA//
CRP_Fur	moaE//gltA//mhpC//prpB//cyoE//ilvM//mraY//fadE//treC//hyaA//
CRP_Fur_HypT_PdhR	fadJ//galK//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	fadJ//glpQ//glpB//napB//
CRP_GalR_GalS_NagC	garR//
CRP_GlpR	dmsB//rbsK//cysG//
CRP_GntR	metE//
CRP_GntR_IdnR	zwf//gcd//mhpB//lacZ//metE//nirD//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	purN//sdhD//deoD//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	pyrC//
CRP_H-NS_LacI	puuE//murD//purD//
CRP_H-NS_LeuO	nanA//
CRP_H-NS_MqsA	
CRP_IHF	murQ//xylA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	entD//
CRP_IHF_PaaX	serC//glpQ//eda//ftnA//tdcE//puuB//pspE//idnD//
CRP_IHF_UlaR	mhpC//idnD//moeB//narG//
CRP_IHF_YiaJ	icd//paaI//nirB//appA//argG//sdhC//
CRP_LexA	
CRP_Lrp	ilvA//nagB//ulaF//tdcE//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	fadJ//
CRP_LsrR	citE//chbG//ilvG_1//sdhA//rsmH//
CRP_MalI	narH//fucA//
CRP_MalT	hycF//gcvT//
CRP_MalT_PhoP	garR//
CRP_MelR	deoD//purA//
CRP_MetJ	paaE//
CRP_MhpR	nrfC//appA//hypF//tdcE//cyoE//paaJ//
CRP_Mlc	
CRP_ModE	metL//
CRP_MurR	idnO//nanM//nrdD//
CRP_Nac_NsrR_PhoB	
CRP_NadR	glpX//
CRP_NagC	napB//glpX//pdeR//rutD//glgC//
CRP_NagC_NanR	murC//cysG//
CRP_NagC_PhoP	nrdE//
CRP_OxyR	
CRP_OxyR_UxuR	prpB//
CRP_PhoB	aceB//metL//
CRP_PhoP	entC//entC//astD//
CRP_PutA	patA//
CRP_RbsR	metH//astB//lacZ//
CRP_RhaR_RhaS	
CRP_RhaS	hycG//napA//napB//
CRP_Rob	gabT//
CRP_TorR	hycD//serC//
CRP_UhpA_UvrY	fucA//
CRP_UidR_UxuR	glcE//mnmG//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	fabA//purD//
Cbl_CysB_FNR_IHF	betA//ilvA//pspE//
CdaR_FNR_Fis_Fur_H-NS	gntK//pdeL//
CdaR_FNR_Fur_H-NS	paaH//glpB//nrdD//xylB//
CpxR_CsgD_FliZ	
CpxR_CysB	pyrD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	paaG//
CpxR_GadE	glcD//fabA//ilvE//
CpxR_H-NS	aroA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	torC//
Cra_FNR_Fis_Lrp_NarL	gltB//
Cra_FNR_Fur_MarA_Rob_SoxS	lsrK//
Cra_FhlA_FlhDC	uvrA//
Cra_GntR_KdgR	uxaC//
Cra_GntR_KdgR_PhoB	pdeR//
Cra_MarA_SoxS	narG//
Cra_PdeL	sdhD//
Cra_SgrR	caiD//
Cra_TyrR	fes//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	rutB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	eda//nanM//
CusR_PhoB_YedW	metK//
CysB_H-NS	ahpF//feaB//prpE//
CysB_HypT_IHF	glcB//
CysB_IHF	glgA//lsrG//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	gabD//
DinJ-YafQ_LexA	glcB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	metH//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	hcp//
FNR_FhlA_NarL_NarP	purH//purD//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	lacA//
FNR_Fis_IHF_ModE_NarL	pflB//
FNR_Fis_IHF_NarL	waaY//
FNR_Fis_IHF_NarL_RstA	entE//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	murC//
FNR_FlhDC_ModE_NarL_NarP	uxaA//
FNR_Fur	ansB//fumC//
FNR_Fur_GadE	aspA//
FNR_Fur_GadX_NtrC	cysG//
FNR_Fur_H-NS	sodB//astA//nrdF//
FNR_Fur_MetR_NsrR	fau//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	dadA//
FNR_Fur_OxyR	entH//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	gltA//
FNR_H-NS_NrdR	nrfA//gadB//
FNR_IHF	patA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	cyoE//
FNR_IHF_PhoB	
FNR_MalT	paaJ//nfsB//
FNR_ModE	
FNR_NarL	sodA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	carB//hyaC//
FNR_NarL_NikR	deoB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	fucI//prpE//
FNR_YqjI	
FabR_FadR	cyoE//ulaE//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	ugpQ//acnB//
FhlA_IHF_NsrR	
Fis_Fur	ldtB//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	fadB//
Fis_IHF	
Fis_IHF_NtrC	dadA//nfsB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	pncB//
Fis_NarL	ansB//
Fis_NarL_NarP_NsrR	
Fis_PurR	frdA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	rutC//
Fur_H-NS	glpD//glcB//
Fur_IHF_IscR_NsrR_OxyR	carA//
Fur_IscR_NrdR	entB//
Fur_MetR	moaD//
Fur_MntR	atoD//
Fur_MntR_OxyR	deoC//
Fur_OxyR	
Fur_PurR	malS//
Fur_RcnR	gcvH//
Fur_RutR	ssuE//
Fur_SoxS_Zur	
Fur_YqjI	nanK//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	aldA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	ubiC//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	ascB//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	uxuB//
H-NS_Lrp_NhaR_RcsB	betB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	truB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	gloA//
HU_IHF_TyrR	serA//
HigA_HigB-HigA	betA//
HipAB_HipB_IHF	nirD//
HypT_MetJ	icd//
HypT_MetJ_PhoP	fucO//deoA//
IHF_Lrp	ilvE//fucO//astE//lpxC//folA//
IHF_NsrR	
IHF_NtrC	malP//
IHF_PhoP	
IHF_PspF	metL//
IHF_RcsAB	
IHF_RtcR	fabA//gatZ//
IHF_TyrR	glcB//
IHF_UlaR	moaD//
LexA_MraZ_PdhR	pck//ackA//ogt//uxaB//cysH//waaY//hmp//sufS//bglB//murE//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	frdA//nagB//
MarA_PhoP_Rob_SoxS	entE//garK//cysG//lacA//ftnA//appA//astA//frdB//mhpA//
MarA_Rob_SoxS	napC//gcvP//
MarA_SoxS	waaH//napA//lsrK//
MetJ_MetR	mazG//
MetJ_OxyR	fumB//
MetR_PurR	nrfA//
MraZ_PdhR	malQ//
Nac_PurR	lldD//garL//
NarL_TorR	cdd//
NemR_RutR	rnpB//sufS//
NhaR_OmpR	idnD//moeA//idnD//
NorR_NsrR	
NsrR_PhoB	paaB//
OxyR_SoxS	
PdhR_PhoP	uxaA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	mhpB//guaB//
RelB_RelB-RelE	metE//
TrpR_TyrR	cysH//
YefM_YefM-YoeB	deoA//
