# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	nanA//guaA//
ArcA_CRP_IHF	nrdB//
ArcA_CRP_PuuR	napG//sdhB//aldA//tdcB//
ArcA_CRP_RhaS	atoD//
ArcA_CRP_TreR	sucC//hpt//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	pncB//katG//
ArcA_Cra	acs//
ArcA_Cra_FNR_H-NS_HypT	fau//
ArcA_CysB_FNR	
ArcA_FNR	yiaK//ilvH//nemA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	ynfG//
ArcA_FNR_Fis_IHF_NarL	ansB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	fadI//fucI//
ArcA_FNR_IHF_NarL	lpxD//ansB//
ArcA_FNR_NarL	sdhB//gatZ//gntK//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	murF//caiD//
ArcA_FadR	betA//cdd//araD//
ArcA_FadR_Fis	xylA//idnK//
ArcA_Fur_Lrp_ModE	gltA//paaK//
ArcA_GlcC_IHF_PdhR	ldtB//lsrG//garL//
ArcA_LexA	rbsD//
ArcA_LldR	rsmH//dadX//
ArcA_NarL	gcvT//
ArcA_NtrC_PhoP_RutR	hycD//carA//ogt//mhpB//gnd//rutE//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	rhaD//
ArgP_CRP_FNR_Fur_Nac	accB//
ArgP_DnaA	gatY//
ArgP_Lrp	gatZ//nagB//
ArgP_LysR	nemA//
ArgP_PhoB	
ArgR_CRP	glcF//
ArgR_CRP_Fis	ulaD//hemL//caiD//
ArgR_Fis_IHF_PepA_PurR_RutR	lysA//
ArgR_H-NS_NtrC	nrfA//murG//
ArgR_NtrC	malP//zwf//uxaA//aldA//lyxK//
ArgR_PhoP	sgbE//
AscG_CRP	gltA//fadI//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	gnd//
AtoC_IHF	relA//paaF//napG//
BaeR_CpxR	nagB//
BaeR_CpxR_EvgA	ftsI//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	pck//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	lldD//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	purH//ulaD//deoA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	frdC//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	nanK//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	ynfG//murE//glyA//araB//caiD//frdA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	lpxD//gapA//dmsC//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	gutQ//rhaA//uxaB//
CRP_Cra_Mlc_NagC	dadA//rbsK//purA//kbaZ//
CRP_Cra_PrpR	hycB//galE//glpX//mhpA//
CRP_CreB_Fis_MalT	ynfE//
CRP_CsiR_H-NS_Lrp	argG//
CRP_CsiR_H-NS_Lrp_Nac	rbsK//entB//ilvM//
CRP_CspA_Fis	araD//
CRP_CytR	prpC//
CRP_CytR_DeoR	metL//betA//
CRP_CytR_DeoR_Fis_ModE	mazG//citF//uvrA//lsrG//
CRP_CytR_Nac	cyoE//
CRP_CytR_NsrR	gltA//
CRP_DcuR_FNR_NarL	cysG//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	argG//rnpB//
CRP_DpiA_ExuR	dadA//
CRP_DsdC	pncB//narH//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	atoD//
CRP_ExuR	uxuB//
CRP_ExuR_FNR	ahpC//gltB//
CRP_ExuR_OxyR_UxuR	mtlD//glpK//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	moeB//
CRP_FNR_Fis	aroA//nirB//
CRP_FNR_Fis_GlpR_IHF	cysH//pgaC//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	gatY//pyrC//gdhA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	cdd//glpK//nrdF//sgbE//cysG//
CRP_FNR_NarL	mhpD//dusB//
CRP_FeaR_NsrR	poxB//
CRP_Fis	eda//aceF//metB//
CRP_Fis_FlhDC_GalR_GalS	zwf//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	galT//hypB//
CRP_Fis_IHF	entE//malP//mhpB//
CRP_Fis_NanR	frdC//murC//mhpC//astB//
CRP_Fis_NtrC	accB//
CRP_Fis_XylR	purM//
CRP_FlhDC_GalR_GalS	paaK//
CRP_FucR	nrfB//galE//lldD//narH//ynfG//mdh//
CRP_Fur	sdhD//sdhC//xylB//malY//gloA//cdd//codA//ilvA//acs//lacZ//
CRP_Fur_HypT_PdhR	gnd//fabA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	fucU//frdC//prpC//tdcB//
CRP_GalR_GalS_NagC	moaE//
CRP_GlpR	tnaA//murG//ldtB//
CRP_GntR	ssuD//
CRP_GntR_IdnR	prmC//lldD//murC//katE//rbsK//pyrC//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	puuB//nrdE//sucB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	ynfH//
CRP_H-NS_LacI	rutC//purD//entD//
CRP_H-NS_LeuO	mhpC//
CRP_H-NS_MqsA	
CRP_IHF	idnO//rutD//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	glnA//
CRP_IHF_PaaX	dmsB//pyrD//torA//aspC//puuE//metK//sdhD//carB//
CRP_IHF_UlaR	hpt//rnpB//nagB//ulaD//
CRP_IHF_YiaJ	tdcE//dmsA//serA//sgbE//nfsB//murG//
CRP_LexA	
CRP_Lrp	nrdA//xylA//glyA//deoB//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	aceE//
CRP_LsrR	nagB//nrdF//dgcZ//purA//rutA//
CRP_MalI	lhgO//pck//
CRP_MalT	lyxK//galE//
CRP_MalT_PhoP	bglB//
CRP_MelR	nanA//glpD//
CRP_MetJ	glgC//
CRP_MhpR	hycG//fes//entB//gatD//pnp//fbaA//
CRP_Mlc	
CRP_ModE	galT//
CRP_MurR	fucI//puuB//mhpF//
CRP_Nac_NsrR_PhoB	
CRP_NadR	dsdA//
CRP_NagC	fau//nagA//aceE//sucC//rutB//
CRP_NagC_NanR	pgk//fumC//
CRP_NagC_PhoP	melA//
CRP_OxyR	
CRP_OxyR_UxuR	atoB//
CRP_PhoB	glpQ//ynfH//
CRP_PhoP	tdcE//fadJ//glpK//
CRP_PutA	rutC//
CRP_RbsR	ynfH//rutD//fumA//
CRP_RhaR_RhaS	
CRP_RhaS	folA//ilvM//fucU//
CRP_Rob	purA//
CRP_TorR	fumA//glpQ//
CRP_UhpA_UvrY	cdd//
CRP_UidR_UxuR	murG//metK//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	sdhB//citG//
Cbl_CysB_FNR_IHF	ssuE//nrdF//glcD//
CdaR_FNR_Fis_Fur_H-NS	idnD//caiA//
CdaR_FNR_Fur_H-NS	pgaB//ubiA//sodB//caiB//
CpxR_CsgD_FliZ	
CpxR_CysB	prpD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	glpX//
CpxR_GadE	fumC//pgaC//glcF//
CpxR_H-NS	astE//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	entD//
Cra_FNR_Fis_Lrp_NarL	napA//
Cra_FNR_Fur_MarA_Rob_SoxS	torA//
Cra_FhlA_FlhDC	glcD//
Cra_GntR_KdgR	napH//
Cra_GntR_KdgR_PhoB	galE//
Cra_MarA_SoxS	hycF//
Cra_PdeL	mnmG//
Cra_SgrR	ilvG_1//
Cra_TyrR	fumC//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	yqjH//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	rbsD//fadD//
CusR_PhoB_YedW	fabZ//
CysB_H-NS	hyaA//murE//lacA//
CysB_HypT_IHF	dsdA//
CysB_IHF	fucI//fucO//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	frdD//
DinJ-YafQ_LexA	tam//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	araB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	fadI//
FNR_FhlA_NarL_NarP	ogt//gabT//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	epd//
FNR_Fis_IHF_ModE_NarL	nrdB//
FNR_Fis_IHF_NarL	paaI//
FNR_Fis_IHF_NarL_RstA	idnK//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	gltB//
FNR_FlhDC_ModE_NarL_NarP	hycD//
FNR_Fur	puuD//caiD//
FNR_Fur_GadE	astA//
FNR_Fur_GadX_NtrC	ulaG//
FNR_Fur_H-NS	fumA//frdC//folA//
FNR_Fur_MetR_NsrR	aspC//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	lacA//
FNR_Fur_OxyR	mazG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	pncB//
FNR_H-NS_NrdR	moeA//lpd//
FNR_IHF	frdA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	nanK//
FNR_IHF_PhoB	
FNR_MalT	lsrG//argG//
FNR_ModE	
FNR_NarL	poxB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	fumC//cysG//
FNR_NarL_NikR	garL//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	puuD//gatD//
FNR_YqjI	
FabR_FadR	pgaD//cadA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	ynfF//adiA//
FhlA_IHF_NsrR	
Fis_Fur	hycE//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	citD//
Fis_IHF	
Fis_IHF_NtrC	ogt//fumC//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	gntK//
Fis_NarL	entF//
Fis_NarL_NarP_NsrR	
Fis_PurR	gcd//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	mpl//
Fur_H-NS	entE//treC//
Fur_IHF_IscR_NsrR_OxyR	aceA//
Fur_IscR_NrdR	murG//
Fur_MetR	idnO//
Fur_MntR	accB//
Fur_MntR_OxyR	frdB//
Fur_OxyR	
Fur_PurR	gatY//
Fur_RcnR	chbG//
Fur_RutR	prpC//
Fur_SoxS_Zur	
Fur_YqjI	gcvH//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	glcE//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	yqjH//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	lpd//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	uxuB//
H-NS_Lrp_NhaR_RcsB	purN//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	nanA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	entF//
HU_IHF_TyrR	feaB//
HigA_HigB-HigA	waaZ//
HipAB_HipB_IHF	lpxD//
HypT_MetJ	fbaA//
HypT_MetJ_PhoP	prpE//ascB//
IHF_Lrp	pgk//cysM//galE//rhaB//cysG//
IHF_NsrR	
IHF_NtrC	mraY//
IHF_PhoP	
IHF_PspF	galT//
IHF_RcsAB	
IHF_RtcR	folA//tnaA//
IHF_TyrR	fabB//
IHF_UlaR	murC//
LexA_MraZ_PdhR	araB//deoC//gabD//fucO//treC//metK//kbaZ//frdA//aspC//hcp//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	rbsK//rhaB//
MarA_PhoP_Rob_SoxS	acnA//metB//metH//sdhB//metK//purD//gabD//betB//ascB//
MarA_Rob_SoxS	caiD//ftnA//
MarA_SoxS	waaZ//sgbH//prpD//
MetJ_MetR	fadD//
MetJ_OxyR	prpC//
MetR_PurR	glcB//
MraZ_PdhR	pgaB//
Nac_PurR	uxaC//lsrG//
NarL_TorR	glyA//
NemR_RutR	citF//deoB//
NhaR_OmpR	ogt//nirB//adhE//
NorR_NsrR	
NsrR_PhoB	glcD//
OxyR_SoxS	
PdhR_PhoP	hyaA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	aspA//pgk//
RelB_RelB-RelE	uxaA//
TrpR_TyrR	lsrF//
YefM_YefM-YoeB	aceF//
