# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	nfsB//paaE//
ArcA_CRP_IHF	pgaD//
ArcA_CRP_PuuR	folA//aspC//glcE//srlD//
ArcA_CRP_RhaS	aceB//
ArcA_CRP_TreR	gutQ//mnmG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	rsmH//gntK//
ArcA_Cra	hypF//
ArcA_Cra_FNR_H-NS_HypT	hyaB//
ArcA_CysB_FNR	
ArcA_FNR	dadX//tdcD//rbsD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	nrfC//
ArcA_FNR_Fis_IHF_NarL	yiaK//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	malQ//hycC//
ArcA_FNR_IHF_NarL	nemA//fadA//
ArcA_FNR_NarL	serA//paaJ//fabZ//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	puuD//ilvI//
ArcA_FadR	napA//ilvM//hpt//
ArcA_FadR_Fis	frdC//cysG//
ArcA_Fur_Lrp_ModE	nrdD//hypF//
ArcA_GlcC_IHF_PdhR	deoD//entC//guaB//
ArcA_LexA	carA//
ArcA_LldR	lpxA//moaE//
ArcA_NarL	sdhD//
ArcA_NtrC_PhoP_RutR	citD//gntK//paaZ//sdhC//aspC//cysG//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	mraY//
ArgP_CRP_FNR_Fur_Nac	nagB//
ArgP_DnaA	acs//
ArgP_Lrp	araB//hpt//
ArgP_LysR	nfsA//
ArgP_PhoB	
ArgR_CRP	nrdF//
ArgR_CRP_Fis	glgP//sdhD//metB//
ArgR_Fis_IHF_PepA_PurR_RutR	ilvH//
ArgR_H-NS_NtrC	serA//caiD//
ArgR_NtrC	yqjH//citE//murG//murD//uidA//
ArgR_PhoP	ubiC//
AscG_CRP	gatZ//nfsB//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	aroG//
AtoC_IHF	citC//entH//rnpB//
BaeR_CpxR	fumB//
BaeR_CpxR_EvgA	rbsD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	citG//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	tdcE//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	appA//betA//hypB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	appA//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	betA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	astC//acs//ftsI//aroG//hycF//narG//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	moeB//murE//narI//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	gcd//waaH//metH//
CRP_Cra_Mlc_NagC	ilvA//malQ//uxuB//ilvA//
CRP_Cra_PrpR	mhpD//fucA//udp//araB//
CRP_CreB_Fis_MalT	glpB//
CRP_CsiR_H-NS_Lrp	astB//
CRP_CsiR_H-NS_Lrp_Nac	atoD//araB//feaB//
CRP_CspA_Fis	paaC//
CRP_CytR	lpd//
CRP_CytR_DeoR	ulaG//narH//
CRP_CytR_DeoR_Fis_ModE	lyxK//gntK//sucC//ilvE//
CRP_CytR_Nac	nanE//
CRP_CytR_NsrR	puuB//
CRP_DcuR_FNR_NarL	katG//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	accC//idnO//
CRP_DpiA_ExuR	hypF//
CRP_DsdC	serC//astB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	prpB//
CRP_ExuR	nanK//
CRP_ExuR_FNR	aspA//gntK//
CRP_ExuR_OxyR_UxuR	astD//prpD//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	prpE//
CRP_FNR_Fis	ssuE//putA//
CRP_FNR_Fis_GlpR_IHF	melA//ndh//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	fadJ//nanM//ogt//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	napG//glcE//truB//glpQ//entB//
CRP_FNR_NarL	glpD//paaG//
CRP_FeaR_NsrR	pgaB//
CRP_Fis	hemA//lldD//adiA//
CRP_Fis_FlhDC_GalR_GalS	deoA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	metK//deoD//
CRP_Fis_IHF	sgbU//gapA//gatZ//
CRP_Fis_NanR	ldtB//torA//nfsB//entE//
CRP_Fis_NtrC	astE//
CRP_Fis_XylR	paaI//
CRP_FlhDC_GalR_GalS	nfsA//
CRP_FucR	glyA//nrdA//ubiA//mhpE//fadH//mraY//
CRP_Fur	uxaC//fau//malY//narI//folA//napH//pdeL//fabA//galK//murE//
CRP_Fur_HypT_PdhR	katE//cdd//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	lysA//purH//adhE//pncB//
CRP_GalR_GalS_NagC	mhpB//
CRP_GlpR	dadX//udp//malS//
CRP_GntR	hypB//
CRP_GntR_IdnR	eda//pgaC//rbsK//fadJ//nagB//lsrK//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	udp//lpxA//chbG//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	murG//
CRP_H-NS_LacI	carA//napH//fucI//
CRP_H-NS_LeuO	yqjH//
CRP_H-NS_MqsA	
CRP_IHF	nrdB//malQ//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	nirB//
CRP_IHF_PaaX	aceA//gltB//entC//fadI//aroG//recF//fucU//torA//
CRP_IHF_UlaR	idnK//fadH//moeB//nfsB//
CRP_IHF_YiaJ	ulaD//mazG//sodA//hycE//lysA//puuE//
CRP_LexA	
CRP_Lrp	uvrA//hycC//ilvG_1//hyaB//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	rutB//
CRP_LsrR	hycG//garR//torC//cysJ//gnd//
CRP_MalI	pyrC//ftsI//
CRP_MalT	icd//aspC//
CRP_MalT_PhoP	metB//
CRP_MelR	yiaK//paaJ//
CRP_MetJ	acnB//
CRP_MhpR	pyrC//aroA//nrdF//mazG//aceA//ppiA//
CRP_Mlc	
CRP_ModE	murQ//
CRP_MurR	glpB//dsdA//dmsC//
CRP_Nac_NsrR_PhoB	
CRP_NadR	sgbH//
CRP_NagC	chbF//tauD//epd//ulaD//ynfE//
CRP_NagC_NanR	rutB//astB//
CRP_NagC_PhoP	rhaD//
CRP_OxyR	
CRP_OxyR_UxuR	ssuD//
CRP_PhoB	napG//ansB//
CRP_PhoP	patA//entD//acs//
CRP_PutA	nrfC//
CRP_RbsR	pck//torC//ldtB//
CRP_RhaR_RhaS	
CRP_RhaS	eda//pck//gntK//
CRP_Rob	gltA//
CRP_TorR	betB//ssuD//
CRP_UhpA_UvrY	uxaA//
CRP_UidR_UxuR	puuA//caiB//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	lpxD//lldD//
Cbl_CysB_FNR_IHF	tdcB//chbF//fadJ//
CdaR_FNR_Fis_Fur_H-NS	ilvD//murE//
CdaR_FNR_Fur_H-NS	cdd//puuA//nrfB//mhpC//
CpxR_CsgD_FliZ	
CpxR_CysB	dmsA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	citD//
CpxR_GadE	nrfD//zwf//hyaB//
CpxR_H-NS	pgaD//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	mhpB//
Cra_FNR_Fis_Lrp_NarL	lacZ//
Cra_FNR_Fur_MarA_Rob_SoxS	mhpC//
Cra_FhlA_FlhDC	atoB//
Cra_GntR_KdgR	betA//
Cra_GntR_KdgR_PhoB	appA//
Cra_MarA_SoxS	pyrC//
Cra_PdeL	metL//
Cra_SgrR	gcvT//
Cra_TyrR	sucC//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	rnpB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	prmC//poxB//
CusR_PhoB_YedW	lsrF//
CysB_H-NS	aceF//aceB//uidA//
CysB_HypT_IHF	dmsB//
CysB_IHF	glcE//fucA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	hemL//
DinJ-YafQ_LexA	rutD//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	cyoE//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	gabT//
FNR_FhlA_NarL_NarP	rutA//ynfG//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	chbF//
FNR_Fis_IHF_ModE_NarL	accB//
FNR_Fis_IHF_NarL	hyaB//
FNR_Fis_IHF_NarL_RstA	rutE//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	prpD//
FNR_FlhDC_ModE_NarL_NarP	betA//
FNR_Fur	pyrD//deoB//
FNR_Fur_GadE	nrfD//
FNR_Fur_GadX_NtrC	prpB//
FNR_Fur_H-NS	purD//gatZ//waaZ//
FNR_Fur_MetR_NsrR	hycG//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	xylB//
FNR_Fur_OxyR	mazG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	nrdD//
FNR_H-NS_NrdR	mpl//chbF//
FNR_IHF	atoA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	mhpA//
FNR_IHF_PhoB	
FNR_MalT	glpD//araA//
FNR_ModE	
FNR_NarL	paaB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	pgk//nrfC//
FNR_NarL_NikR	mhpC//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	frdB//galK//
FNR_YqjI	
FabR_FadR	folA//paaC//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	mhpB//tdcG//
FhlA_IHF_NsrR	
Fis_Fur	lacA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	edd//
Fis_IHF	
Fis_IHF_NtrC	fadB//ahpF//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	ndh//
Fis_NarL	paaH//
Fis_NarL_NarP_NsrR	
Fis_PurR	hycD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	pdeR//
Fur_H-NS	tnaA//accB//
Fur_IHF_IscR_NsrR_OxyR	paaB//
Fur_IscR_NrdR	napH//
Fur_MetR	mnmG//
Fur_MntR	dmsC//
Fur_MntR_OxyR	hmp//
Fur_OxyR	
Fur_PurR	mraY//
Fur_RcnR	purN//
Fur_RutR	gltA//
Fur_SoxS_Zur	
Fur_YqjI	idnD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	ulaG//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	pyrD//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	aroA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	sodB//
H-NS_Lrp_NhaR_RcsB	nrdA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	feaB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	sgbH//
HU_IHF_TyrR	rutD//
HigA_HigB-HigA	hmp//
HipAB_HipB_IHF	fumC//
HypT_MetJ	fucI//
HypT_MetJ_PhoP	nrdE//pck//
IHF_Lrp	purD//xylB//ahpF//pncB//frdB//
IHF_NsrR	
IHF_NtrC	citE//
IHF_PhoP	
IHF_PspF	ilvE//
IHF_RcsAB	
IHF_RtcR	hycC//nrdA//
IHF_TyrR	paaB//
IHF_UlaR	ndh//
LexA_MraZ_PdhR	tauD//fadD//hycB//murD//feaB//fbaA//fadD//pck//astA//astA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	entE//aspA//
MarA_PhoP_Rob_SoxS	gcd//sdhC//dadA//atoD//patA//araD//murG//fucU//hyaC//
MarA_Rob_SoxS	malY//cdd//
MarA_SoxS	icd//purD//nrfA//
MetJ_MetR	ulaD//
MetJ_OxyR	cadA//
MetR_PurR	lpxA//
MraZ_PdhR	treC//
Nac_PurR	tnaA//lpxD//
NarL_TorR	relA//
NemR_RutR	lsrG//galT//
NhaR_OmpR	lpxA//frdB//epd//
NorR_NsrR	
NsrR_PhoB	murE//
OxyR_SoxS	
PdhR_PhoP	torC//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	glcD//sodB//
RelB_RelB-RelE	galT//
TrpR_TyrR	deoA//
YefM_YefM-YoeB	galE//
