# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	glnA//uxuA//
ArcA_CRP_IHF	astE//
ArcA_CRP_PuuR	mdh//gdhA//hemA//caiD//
ArcA_CRP_RhaS	hycF//
ArcA_CRP_TreR	nagA//fadB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	lpxA//betB//
ArcA_Cra	rhaB//
ArcA_Cra_FNR_H-NS_HypT	murG//
ArcA_CysB_FNR	
ArcA_FNR	purN//lysA//atoD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	frdA//
ArcA_FNR_Fis_IHF_NarL	pgk//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	caiB//tdcE//
ArcA_FNR_IHF_NarL	pdeR//fadD//
ArcA_FNR_NarL	ftsI//ynfE//ulaG//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	mhpC//katE//
ArcA_FadR	mhpA//nrfC//rbsK//
ArcA_FadR_Fis	glcE//napH//
ArcA_Fur_Lrp_ModE	atoB//rutD//
ArcA_GlcC_IHF_PdhR	moaA//hycB//paaG//
ArcA_LexA	aspA//
ArcA_LldR	nrdD//napC//
ArcA_NarL	nrdE//
ArcA_NtrC_PhoP_RutR	ldtB//nrdE//gltB//mhpC//yiaK//torA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	nrdB//
ArgP_CRP_FNR_Fur_Nac	rhaA//
ArgP_DnaA	citD//
ArgP_Lrp	galT//cadA//
ArgP_LysR	rhaB//
ArgP_PhoB	
ArgR_CRP	dadX//
ArgR_CRP_Fis	nrdA//nagA//hycB//
ArgR_Fis_IHF_PepA_PurR_RutR	dsdA//
ArgR_H-NS_NtrC	nanA//ascB//
ArgR_NtrC	nrfB//dsdA//lhgO//hypF//rbsD//
ArgR_PhoP	umpH//
AscG_CRP	lacZ//ynfF//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	fadE//
AtoC_IHF	dmsC//malY//fbaA//
BaeR_CpxR	glgP//
BaeR_CpxR_EvgA	sdhA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	caiA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	chbG//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	serA//katE//torC//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	poxB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	aldA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	katG//moeA//nanK//pyrD//nrfC//sdhA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	cysH//acs//galM//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	dmsA//gabT//purD//
CRP_Cra_Mlc_NagC	fdhF//ynfE//mhpB//fucU//
CRP_Cra_PrpR	hypF//pyrC//ynfG//murF//
CRP_CreB_Fis_MalT	ftsI//
CRP_CsiR_H-NS_Lrp	umpH//
CRP_CsiR_H-NS_Lrp_Nac	uxuB//pyrC//sgbU//
CRP_CspA_Fis	ascB//
CRP_CytR	mnmG//
CRP_CytR_DeoR	tdcB//gltA//
CRP_CytR_DeoR_Fis_ModE	lpxA//glyA//argG//hypB//
CRP_CytR_Nac	ynfE//
CRP_CytR_NsrR	entB//
CRP_DcuR_FNR_NarL	narG//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	fadA//sucD//
CRP_DpiA_ExuR	prpC//
CRP_DsdC	tam//dsdA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	deoC//
CRP_ExuR	glpC//
CRP_ExuR_FNR	puuE//fabB//
CRP_ExuR_OxyR_UxuR	folA//sdhB//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	uxuB//
CRP_FNR_Fis	citC//gadA//
CRP_FNR_Fis_GlpR_IHF	bglB//galT//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	purA//ppiA//ssuD//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	hycF//prpE//ynfH//uxaA//hycD//
CRP_FNR_NarL	mazG//ilvI//
CRP_FeaR_NsrR	fucU//
CRP_Fis	araD//gcvP//malS//
CRP_Fis_FlhDC_GalR_GalS	ugpQ//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	uxuA//entB//
CRP_Fis_IHF	entD//adiA//murG//
CRP_Fis_NanR	gadA//hypF//uxaC//purD//
CRP_Fis_NtrC	ynfE//
CRP_Fis_XylR	astD//
CRP_FlhDC_GalR_GalS	pyrC//
CRP_FucR	gatD//ilvG_2//waaY//deoC//caiA//aroG//
CRP_Fur	carA//puuE//serA//adhE//torC//caiD//treC//ulaE//gatZ//nfsB//
CRP_Fur_HypT_PdhR	hycC//glgC//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	carA//lsrG//galT//hypF//
CRP_GalR_GalS_NagC	prpC//
CRP_GlpR	ynfH//aspC//rbsK//
CRP_GntR	lacA//
CRP_GntR_IdnR	ahpF//uvrA//ackA//ynfF//gcvP//caiD//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	cysM//fabZ//xylA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	ulaF//
CRP_H-NS_LacI	ackA//xylA//gdhA//
CRP_H-NS_LeuO	cysH//
CRP_H-NS_MqsA	
CRP_IHF	eda//glpD//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	nrdA//
CRP_IHF_PaaX	cdd//narG//waaY//paaK//napB//hemA//purA//waaY//
CRP_IHF_UlaR	glgC//frdC//nrfA//nfsA//
CRP_IHF_YiaJ	nanK//fucU//dadA//napB//nfsA//citD//
CRP_LexA	
CRP_Lrp	entC//zwf//glpA//ilvG_2//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	mnmG//
CRP_LsrR	ulaE//poxB//lhgO//glnA//fbaA//
CRP_MalI	nanE//glcF//
CRP_MalT	nirD//dadX//
CRP_MalT_PhoP	ynfE//
CRP_MelR	pdeR//rhaA//
CRP_MetJ	rhaA//
CRP_MhpR	gadB//glgA//hmp//glpC//malP//yiaK//
CRP_Mlc	
CRP_ModE	katE//
CRP_MurR	paaB//murQ//mhpD//
CRP_Nac_NsrR_PhoB	
CRP_NadR	entH//
CRP_NagC	moaE//glcF//pspE//metK//tdcD//
CRP_NagC_NanR	gapA//pyrD//
CRP_NagC_PhoP	murC//
CRP_OxyR	
CRP_OxyR_UxuR	ubiC//
CRP_PhoB	narG//uxaB//
CRP_PhoP	galT//lsrG//cysH//
CRP_PutA	hyaA//
CRP_RbsR	lyxK//purN//ilvH//
CRP_RhaR_RhaS	
CRP_RhaS	entE//cysH//gnd//
CRP_Rob	xylB//
CRP_TorR	gltA//gcvH//
CRP_UhpA_UvrY	nanA//
CRP_UidR_UxuR	dgcZ//betA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	fbaA//ilvI//
Cbl_CysB_FNR_IHF	feaB//pdeL//nrfC//
CdaR_FNR_Fis_Fur_H-NS	hpt//prmC//
CdaR_FNR_Fur_H-NS	entH//gatD//napB//ssuE//
CpxR_CsgD_FliZ	
CpxR_CysB	murG//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ilvE//
CpxR_GadE	fumB//entA//mraY//
CpxR_H-NS	idnD//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	umpH//
Cra_FNR_Fis_Lrp_NarL	sucD//
Cra_FNR_Fur_MarA_Rob_SoxS	ndh//
Cra_FhlA_FlhDC	glpK//
Cra_GntR_KdgR	tdcE//
Cra_GntR_KdgR_PhoB	ilvE//
Cra_MarA_SoxS	purN//
Cra_PdeL	pyrC//
Cra_SgrR	mtlD//
Cra_TyrR	sucB//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	ilvM//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	araA//paaC//
CusR_PhoB_YedW	dsdA//
CysB_H-NS	murD//paaA//frdA//
CysB_HypT_IHF	rutD//
CysB_IHF	pyrD//paaK//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	nirB//
DinJ-YafQ_LexA	sucB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	waaZ//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	galE//
FNR_FhlA_NarL_NarP	ilvM//ansB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	ubiC//
FNR_Fis_IHF_ModE_NarL	cysM//
FNR_Fis_IHF_NarL	napB//
FNR_Fis_IHF_NarL_RstA	frdB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	fbaA//
FNR_FlhDC_ModE_NarL_NarP	rhaA//
FNR_Fur	fucK//relA//
FNR_Fur_GadE	relA//
FNR_Fur_GadX_NtrC	ynfE//
FNR_Fur_H-NS	rhaD//ilvM//aroG//
FNR_Fur_MetR_NsrR	pyrD//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	lysA//
FNR_Fur_OxyR	fabZ//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	cysM//
FNR_H-NS_NrdR	paaG//aspA//
FNR_IHF	rhaB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	pspE//
FNR_IHF_PhoB	
FNR_MalT	murG//moaE//
FNR_ModE	
FNR_NarL	metL//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	lldD//prpC//
FNR_NarL_NikR	guaA//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	betA//gcvT//
FNR_YqjI	
FabR_FadR	cysG//fumA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	serA//glpX//
FhlA_IHF_NsrR	
Fis_Fur	dusB//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	ynfF//
Fis_IHF	
Fis_IHF_NtrC	acnB//sdhB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	paaE//
Fis_NarL	lldD//
Fis_NarL_NarP_NsrR	
Fis_PurR	dadA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	ilvG_1//
Fur_H-NS	dusB//rbsD//
Fur_IHF_IscR_NsrR_OxyR	murC//
Fur_IscR_NrdR	pdeL//
Fur_MetR	gapA//
Fur_MntR	xylA//
Fur_MntR_OxyR	sgbE//
Fur_OxyR	
Fur_PurR	paaK//
Fur_RcnR	murE//
Fur_RutR	idnK//
Fur_SoxS_Zur	
Fur_YqjI	prpE//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	sgbU//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	fucU//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	fau//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	narH//
H-NS_Lrp_NhaR_RcsB	nrfC//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	glcD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	mtlD//
HU_IHF_TyrR	ascB//
HigA_HigB-HigA	pspE//
HipAB_HipB_IHF	galM//
HypT_MetJ	entD//
HypT_MetJ_PhoP	cysH//frdB//
IHF_Lrp	hyaC//ilvD//cysI//gltD//acnB//
IHF_NsrR	
IHF_NtrC	sdhA//
IHF_PhoP	
IHF_PspF	adiA//
IHF_RcsAB	
IHF_RtcR	astE//pck//
IHF_TyrR	rimK//
IHF_UlaR	lpxC//
LexA_MraZ_PdhR	mdh//napH//rnpB//udp//narH//gcvP//atoA//uxuB//paaG//frdB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	glgP//lpd//
MarA_PhoP_Rob_SoxS	ubiA//citX//ilvE//dmsA//entH//glnA//pnp//uxaB//pgaD//
MarA_Rob_SoxS	nrdD//puuD//
MarA_SoxS	fumA//pck//waaH//
MetJ_MetR	entA//
MetJ_OxyR	metL//
MetR_PurR	tdcE//
MraZ_PdhR	mtlD//
Nac_PurR	truB//hyaA//
NarL_TorR	gltB//
NemR_RutR	ppiA//ndh//
NhaR_OmpR	serA//deoA//hycG//
NorR_NsrR	
NsrR_PhoB	napA//
OxyR_SoxS	
PdhR_PhoP	fadD//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	mhpF//nirD//
RelB_RelB-RelE	fabZ//
TrpR_TyrR	moaD//
YefM_YefM-YoeB	serA//
