# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	glcF//ilvM//
ArcA_CRP_IHF	nanM//
ArcA_CRP_PuuR	relA//galK//fadA//ynfH//
ArcA_CRP_RhaS	nrdA//
ArcA_CRP_TreR	ahpC//frdC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	sdhC//hmp//
ArcA_Cra	sodA//
ArcA_Cra_FNR_H-NS_HypT	entH//
ArcA_CysB_FNR	
ArcA_FNR	mazG//nrdF//ynfF//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	gltA//
ArcA_FNR_Fis_IHF_NarL	lpxC//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	hyaB//entF//
ArcA_FNR_IHF_NarL	ackA//puuD//
ArcA_FNR_NarL	puuD//dusB//katG//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	dadA//paaH//
ArcA_FadR	rutB//deoC//pnp//
ArcA_FadR_Fis	cyoE//aceE//
ArcA_Fur_Lrp_ModE	murG//deoB//
ArcA_GlcC_IHF_PdhR	folA//murQ//citC//
ArcA_LexA	frdA//
ArcA_LldR	relA//moeB//
ArcA_NarL	mdh//
ArcA_NtrC_PhoP_RutR	tdcG//dusB//srlD//rutB//fabB//citX//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	hemA//
ArgP_CRP_FNR_Fur_Nac	garK//
ArgP_DnaA	rutB//
ArgP_Lrp	fadB//codA//
ArgP_LysR	tnaA//
ArgP_PhoB	
ArgR_CRP	nrfB//
ArgR_CRP_Fis	recF//araA//frdC//
ArgR_Fis_IHF_PepA_PurR_RutR	treC//
ArgR_H-NS_NtrC	uxaA//puuB//
ArgR_NtrC	carB//hycE//araB//prmC//entB//
ArgR_PhoP	katE//
AscG_CRP	glcF//uxaA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	pdeL//
AtoC_IHF	nrdD//argG//accC//
BaeR_CpxR	ogt//
BaeR_CpxR_EvgA	garL//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	sdhA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	dsdA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	sdhC//dadA//glgA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	rutD//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	glcB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	pdeL//pflB//gabT//chbF//fdhF//ilvD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	cysH//glpK//lpxC//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	tauD//gntK//hemA//
CRP_Cra_Mlc_NagC	hyaC//uidA//gatY//metK//
CRP_Cra_PrpR	ssuD//moaE//rhaD//fdhF//
CRP_CreB_Fis_MalT	rutA//
CRP_CsiR_H-NS_Lrp	cadA//
CRP_CsiR_H-NS_Lrp_Nac	recF//idnO//garL//
CRP_CspA_Fis	patA//
CRP_CytR	gcd//
CRP_CytR_DeoR	aceA//mhpB//
CRP_CytR_DeoR_Fis_ModE	paaZ//edd//narH//rhaB//
CRP_CytR_Nac	ogt//
CRP_CytR_NsrR	entH//
CRP_DcuR_FNR_NarL	kbaZ//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	purD//sucB//
CRP_DpiA_ExuR	murD//
CRP_DsdC	malP//dadX//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	gltB//
CRP_ExuR	deoC//
CRP_ExuR_FNR	ulaE//astB//
CRP_ExuR_OxyR_UxuR	accC//fucO//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	fadJ//
CRP_FNR_Fis	glpC//fucK//
CRP_FNR_Fis_GlpR_IHF	atoD//fabZ//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	uxaB//tam//napG//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	truB//glpD//argD//citC//mhpA//
CRP_FNR_NarL	lpxD//cysH//
CRP_FeaR_NsrR	lyxK//
CRP_Fis	sucC//lldD//cysM//
CRP_Fis_FlhDC_GalR_GalS	nemA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	sdhD//fumC//
CRP_Fis_IHF	galK//pgaB//guaA//
CRP_Fis_NanR	purM//paaZ//srlD//pspE//
CRP_Fis_NtrC	srlD//
CRP_Fis_XylR	nanA//
CRP_FlhDC_GalR_GalS	betB//
CRP_FucR	hemA//paaC//ppiA//dsdA//glcE//serA//
CRP_Fur	paaK//hemA//paaJ//dmsA//citC//malP//mhpA//hemA//hpt//xylB//
CRP_Fur_HypT_PdhR	gutQ//gcvT//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	pnp//rhaA//sufS//bglB//
CRP_GalR_GalS_NagC	gcvP//
CRP_GlpR	dmsB//carB//napC//
CRP_GntR	betA//
CRP_GntR_IdnR	uxaA//fucO//mhpC//narH//nirB//glgP//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	puuC//astB//deoA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	puuD//
CRP_H-NS_LacI	galM//astE//frdC//
CRP_H-NS_LeuO	fabB//
CRP_H-NS_MqsA	
CRP_IHF	tdcD//edd//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	fadI//
CRP_IHF_PaaX	puuD//sdhB//murE//carA//fucK//purH//murE//nirD//
CRP_IHF_UlaR	betA//ldtB//gltB//mdh//
CRP_IHF_YiaJ	mhpC//mtlD//nanA//hycF//ugpQ//katE//
CRP_LexA	
CRP_Lrp	puuC//astC//ilvD//nanK//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	acnB//
CRP_LsrR	codA//sgbH//glnA//napC//ansB//
CRP_MalI	puuB//mhpE//
CRP_MalT	murD//tauD//
CRP_MalT_PhoP	torC//
CRP_MelR	sodB//accC//
CRP_MetJ	sucA//
CRP_MhpR	aceB//aceE//gltD//galK//lacZ//gcd//
CRP_Mlc	
CRP_ModE	fadE//
CRP_MurR	accB//tdcE//narI//
CRP_Nac_NsrR_PhoB	
CRP_NadR	moaA//
CRP_NagC	torA//cysH//moaA//fumA//mpl//
CRP_NagC_NanR	aspA//ahpC//
CRP_NagC_PhoP	lsrF//
CRP_OxyR	
CRP_OxyR_UxuR	katE//
CRP_PhoB	deoB//mdh//
CRP_PhoP	gltA//uvrA//chbG//
CRP_PutA	carA//
CRP_RbsR	purM//mhpE//chbF//
CRP_RhaR_RhaS	
CRP_RhaS	sufS//frdC//nirD//
CRP_Rob	paaA//
CRP_TorR	dmsB//citG//
CRP_UhpA_UvrY	glpB//
CRP_UidR_UxuR	ascB//recF//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	rhaD//gltB//
Cbl_CysB_FNR_IHF	ilvG_2//nrdA//melA//
CdaR_FNR_Fis_Fur_H-NS	gcvP//pflB//
CdaR_FNR_Fur_H-NS	waaY//pgaC//gutQ//lsrK//
CpxR_CsgD_FliZ	
CpxR_CysB	aroL//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	moaE//
CpxR_GadE	nfsB//serA//fadH//
CpxR_H-NS	deoB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	hycF//
Cra_FNR_Fis_Lrp_NarL	glpC//
Cra_FNR_Fur_MarA_Rob_SoxS	puuC//
Cra_FhlA_FlhDC	gcvT//
Cra_GntR_KdgR	chbG//
Cra_GntR_KdgR_PhoB	yqjH//
Cra_MarA_SoxS	gadB//
Cra_PdeL	appA//
Cra_SgrR	codA//
Cra_TyrR	sgbH//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	cdd//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	rutA//hcp//
CusR_PhoB_YedW	moaD//
CysB_H-NS	deoB//fucK//umpH//
CysB_HypT_IHF	entD//
CysB_IHF	gloA//fabB//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	rutC//
DinJ-YafQ_LexA	gcvP//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	uxuA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	lpxA//
FNR_FhlA_NarL_NarP	chbG//lsrF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	moaE//
FNR_Fis_IHF_ModE_NarL	pgaC//
FNR_Fis_IHF_NarL	nrfD//
FNR_Fis_IHF_NarL_RstA	ldtB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	sgbH//
FNR_FlhDC_ModE_NarL_NarP	accB//
FNR_Fur	pgaC//epd//
FNR_Fur_GadE	gltA//
FNR_Fur_GadX_NtrC	fadD//
FNR_Fur_H-NS	tnaA//hypB//glcE//
FNR_Fur_MetR_NsrR	gnd//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	rutE//
FNR_Fur_OxyR	gatY//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	ilvD//
FNR_H-NS_NrdR	ilvG_1//epd//
FNR_IHF	tdcD//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	deoD//
FNR_IHF_PhoB	
FNR_MalT	tam//paaE//
FNR_ModE	
FNR_NarL	paaZ//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	rhaB//betA//
FNR_NarL_NikR	narH//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	narI//glpB//
FNR_YqjI	
FabR_FadR	glcB//katE//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	nrdA//nagA//
FhlA_IHF_NsrR	
Fis_Fur	fabA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	lhgO//
Fis_IHF	
Fis_IHF_NtrC	idnK//paaJ//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	sodB//
Fis_NarL	fadH//
Fis_NarL_NarP_NsrR	
Fis_PurR	rimK//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	lacA//
Fur_H-NS	gatY//puuB//
Fur_IHF_IscR_NsrR_OxyR	fumA//
Fur_IscR_NrdR	argG//
Fur_MetR	mhpA//
Fur_MntR	purD//
Fur_MntR_OxyR	aceE//
Fur_OxyR	
Fur_PurR	araA//
Fur_RcnR	galK//
Fur_RutR	epd//
Fur_SoxS_Zur	
Fur_YqjI	pspE//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	tdcG//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	rutC//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	fabZ//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	aceE//
H-NS_Lrp_NhaR_RcsB	sucD//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	bglB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	rnpB//
HU_IHF_TyrR	ahpC//
HigA_HigB-HigA	hycG//
HipAB_HipB_IHF	rsmH//
HypT_MetJ	uxaC//
HypT_MetJ_PhoP	citC//araB//
IHF_Lrp	caiC//gnd//moaD//malS//uxaB//
IHF_NsrR	
IHF_NtrC	yqjH//
IHF_PhoP	
IHF_PspF	galM//
IHF_RcsAB	
IHF_RtcR	lldD//murG//
IHF_TyrR	nrdD//
IHF_UlaR	accC//
LexA_MraZ_PdhR	nirB//betB//idnO//xylB//ilvG_2//ynfH//citX//gcd//dadX//glnA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	tdcD//narH//
MarA_PhoP_Rob_SoxS	frdA//nanA//idnK//hyaC//ulaE//nrdF//araD//ahpC//pnp//
MarA_Rob_SoxS	codA//hycB//
MarA_SoxS	yiaK//mhpF//metB//
MetJ_MetR	caiA//
MetJ_OxyR	uxuA//
MetR_PurR	gltA//
MraZ_PdhR	frdB//
Nac_PurR	astC//ascB//
NarL_TorR	cyoE//
NemR_RutR	narH//ilvE//
NhaR_OmpR	aceE//betA//guaA//
NorR_NsrR	
NsrR_PhoB	hycD//
OxyR_SoxS	
PdhR_PhoP	araD//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	murF//pgk//
RelB_RelB-RelE	glcD//
TrpR_TyrR	sufS//
YefM_YefM-YoeB	glnA//
