# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	srlD//hypF//
ArcA_CRP_IHF	frdC//
ArcA_CRP_PuuR	frdB//citG//tauD//ugpQ//
ArcA_CRP_RhaS	fabA//
ArcA_CRP_TreR	nrdB//paaE//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	metL//mnmG//
ArcA_Cra	dgcZ//
ArcA_Cra_FNR_H-NS_HypT	cdd//
ArcA_CysB_FNR	
ArcA_FNR	metB//paaJ//fbaA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	aldA//
ArcA_FNR_Fis_IHF_NarL	cyoE//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	hycG//ilvG_1//
ArcA_FNR_IHF_NarL	putA//carA//
ArcA_FNR_NarL	glpA//ilvI//glyA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	murC//dmsB//
ArcA_FadR	araB//lpd//pncB//
ArcA_FadR_Fis	rutE//rhaD//
ArcA_Fur_Lrp_ModE	pflB//uxuB//
ArcA_GlcC_IHF_PdhR	aroA//dgcZ//entB//
ArcA_LexA	waaH//
ArcA_LldR	cdd//sdhB//
ArcA_NarL	nirB//
ArcA_NtrC_PhoP_RutR	ppiA//garK//gadB//sgbE//pdeL//garL//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	sdhA//
ArgP_CRP_FNR_Fur_Nac	cyoE//
ArgP_DnaA	malY//
ArgP_Lrp	nagA//uxaC//
ArgP_LysR	cyoE//
ArgP_PhoB	
ArgR_CRP	mdh//
ArgR_CRP_Fis	galK//gadB//malY//
ArgR_Fis_IHF_PepA_PurR_RutR	pnp//
ArgR_H-NS_NtrC	nemA//torC//
ArgR_NtrC	acs//hycD//ssuE//entC//astC//
ArgR_PhoP	moeB//
AscG_CRP	narI//glgA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	adiA//
AtoC_IHF	tdcE//puuA//caiB//
BaeR_CpxR	ftsI//
BaeR_CpxR_EvgA	argD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	malP//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	mhpE//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	astD//lpd//ansB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	glgP//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	melA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	fucU//rbsD//rimK//ftsI//murG//lsrK//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	glpK//icd//ndh//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	ubiC//napB//lldD//
CRP_Cra_Mlc_NagC	carA//mhpF//truB//idnD//
CRP_Cra_PrpR	galE//ssuE//lysA//feaB//
CRP_CreB_Fis_MalT	mhpD//
CRP_CsiR_H-NS_Lrp	ftsI//
CRP_CsiR_H-NS_Lrp_Nac	rutE//puuB//cysH//
CRP_CspA_Fis	dadX//
CRP_CytR	moaD//
CRP_CytR_DeoR	poxB//hycF//
CRP_CytR_DeoR_Fis_ModE	fbaA//kbaZ//ilvG_1//gabD//
CRP_CytR_Nac	pck//
CRP_CytR_NsrR	nanM//
CRP_DcuR_FNR_NarL	prpE//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	ulaD//tam//
CRP_DpiA_ExuR	murQ//
CRP_DsdC	gutQ//mraY//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	rutE//
CRP_ExuR	napG//
CRP_ExuR_FNR	rutB//hypB//
CRP_ExuR_OxyR_UxuR	glcB//ilvD//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	ppiA//
CRP_FNR_Fis	citF//ilvA//
CRP_FNR_Fis_GlpR_IHF	rimK//glpC//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	fadJ//araD//waaY//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	ahpF//chbF//entC//aldB//gatD//
CRP_FNR_NarL	narH//gntK//
CRP_FeaR_NsrR	atoD//
CRP_Fis	atoB//accC//tdcB//
CRP_Fis_FlhDC_GalR_GalS	lsrG//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	ftsI//prpB//
CRP_Fis_IHF	pflB//gdhA//ascB//
CRP_Fis_NanR	pncB//tdcG//paaK//fumB//
CRP_Fis_NtrC	appA//
CRP_Fis_XylR	aceA//
CRP_FlhDC_GalR_GalS	gltA//
CRP_FucR	paaF//nagB//lacA//murG//malS//astA//
CRP_Fur	ansB//aroG//mhpF//katG//nrdE//paaE//codA//prpE//lpxC//cysJ//
CRP_Fur_HypT_PdhR	ftsI//chbG//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	napC//ulaD//prpD//cadA//
CRP_GalR_GalS_NagC	fes//
CRP_GlpR	putA//ugpQ//nirB//
CRP_GntR	citF//
CRP_GntR_IdnR	deoB//gabT//paaH//rutA//murD//ogt//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	tauD//poxB//metE//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	cysG//
CRP_H-NS_LacI	fumC//gabT//guaB//
CRP_H-NS_LeuO	sdhD//
CRP_H-NS_MqsA	
CRP_IHF	gatY//icd//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	glgP//
CRP_IHF_PaaX	fumC//gltB//lyxK//gadA//ynfE//ssuD//aldB//idnK//
CRP_IHF_UlaR	ppiA//frdD//hyaC//feaB//
CRP_IHF_YiaJ	ilvH//ilvD//tnaA//narG//malS//puuE//
CRP_LexA	
CRP_Lrp	ilvI//pnp//gatZ//narG//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	cadA//
CRP_LsrR	purD//gloA//uxaB//fabZ//pgk//
CRP_MalI	aldB//carB//
CRP_MalT	hycG//aspC//
CRP_MalT_PhoP	tdcD//
CRP_MelR	fadE//rimK//
CRP_MetJ	katE//
CRP_MhpR	nanM//ssuD//xylA//ilvE//caiC//uidA//
CRP_Mlc	
CRP_ModE	pspE//
CRP_MurR	glcF//atoA//gabT//
CRP_Nac_NsrR_PhoB	
CRP_NadR	sgbE//
CRP_NagC	gltA//aldA//aceA//nrfC//hycG//
CRP_NagC_NanR	deoD//nfsB//
CRP_NagC_PhoP	mhpE//
CRP_OxyR	
CRP_OxyR_UxuR	dmsC//
CRP_PhoB	nanK//aceF//
CRP_PhoP	sufS//accC//glpK//
CRP_PutA	ansB//
CRP_RbsR	paaE//hyaA//caiD//
CRP_RhaR_RhaS	
CRP_RhaS	feaB//nrdF//paaZ//
CRP_Rob	pdeR//
CRP_TorR	napG//uxaC//
CRP_UhpA_UvrY	fabZ//
CRP_UidR_UxuR	entB//hycD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	metB//ldtB//
Cbl_CysB_FNR_IHF	glpC//recF//glcF//
CdaR_FNR_Fis_Fur_H-NS	hycB//glpB//
CdaR_FNR_Fur_H-NS	uvrA//nrfB//murF//moeB//
CpxR_CsgD_FliZ	
CpxR_CysB	lpxD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	hypB//
CpxR_GadE	fucA//acs//astC//
CpxR_H-NS	uidA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	mraY//
Cra_FNR_Fis_Lrp_NarL	ilvI//
Cra_FNR_Fur_MarA_Rob_SoxS	entD//
Cra_FhlA_FlhDC	ulaG//
Cra_GntR_KdgR	narG//
Cra_GntR_KdgR_PhoB	zwf//
Cra_MarA_SoxS	lacZ//
Cra_PdeL	yqjH//
Cra_SgrR	galM//
Cra_TyrR	gcd//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	sodA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	tam//cysM//
CusR_PhoB_YedW	xylA//
CysB_H-NS	betB//fau//idnD//
CysB_HypT_IHF	hypF//
CysB_IHF	fucO//treC//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	puuE//
DinJ-YafQ_LexA	chbG//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	cysH//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	purH//
FNR_FhlA_NarL_NarP	ulaF//epd//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	paaC//
FNR_Fis_IHF_ModE_NarL	srlD//
FNR_Fis_IHF_NarL	pdeR//
FNR_Fis_IHF_NarL_RstA	aldB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	gadB//
FNR_FlhDC_ModE_NarL_NarP	prpD//
FNR_Fur	ftsI//sucC//
FNR_Fur_GadE	moeB//
FNR_Fur_GadX_NtrC	napB//
FNR_Fur_H-NS	paaK//citG//napC//
FNR_Fur_MetR_NsrR	xylB//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	argD//
FNR_Fur_OxyR	lpxD//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	puuA//
FNR_H-NS_NrdR	accC//ulaG//
FNR_IHF	ulaF//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	uxaA//
FNR_IHF_PhoB	
FNR_MalT	putA//rhaB//
FNR_ModE	
FNR_NarL	gatY//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	ynfF//hemL//
FNR_NarL_NikR	guaA//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	folA//hycF//
FNR_YqjI	
FabR_FadR	citC//paaE//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	malY//mraY//
FhlA_IHF_NsrR	
Fis_Fur	uxaA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	sodB//
Fis_IHF	
Fis_IHF_NtrC	hyaB//araD//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	rhaD//
Fis_NarL	treC//
Fis_NarL_NarP_NsrR	
Fis_PurR	gcd//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	nrdD//
Fur_H-NS	pck//pnp//
Fur_IHF_IscR_NsrR_OxyR	glpD//
Fur_IscR_NrdR	deoD//
Fur_MetR	astE//
Fur_MntR	idnK//
Fur_MntR_OxyR	metK//
Fur_OxyR	
Fur_PurR	dmsC//
Fur_RcnR	mhpF//
Fur_RutR	ascB//
Fur_SoxS_Zur	
Fur_YqjI	fucU//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	sdhB//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	deoC//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	hmp//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	ndh//
H-NS_Lrp_NhaR_RcsB	hycG//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	citD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	entH//
HU_IHF_TyrR	betB//
HigA_HigB-HigA	nrfD//
HipAB_HipB_IHF	murD//
HypT_MetJ	paaZ//
HypT_MetJ_PhoP	treC//mhpA//
IHF_Lrp	icd//dadA//ilvH//gatZ//metK//
IHF_NsrR	
IHF_NtrC	narI//
IHF_PhoP	
IHF_PspF	nanA//
IHF_RcsAB	
IHF_RtcR	recF//ilvA//
IHF_TyrR	fucA//
IHF_UlaR	entE//
LexA_MraZ_PdhR	cysM//katG//napB//rhaD//torA//pnp//entF//pdeR//cdd//cysI//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	gcvT//nagB//
MarA_PhoP_Rob_SoxS	frdA//glpK//sdhB//cysM//nfsA//entE//sodB//purA//cdd//
MarA_Rob_SoxS	cysH//nirD//
MarA_SoxS	ubiA//gutQ//astC//
MetJ_MetR	dgcZ//
MetJ_OxyR	entA//
MetR_PurR	nirB//
MraZ_PdhR	icd//
Nac_PurR	gatD//entH//
NarL_TorR	rutD//
NemR_RutR	lsrF//hpt//
NhaR_OmpR	relA//deoC//relA//
NorR_NsrR	
NsrR_PhoB	cysI//
OxyR_SoxS	
PdhR_PhoP	feaB//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	glpC//hyaB//
RelB_RelB-RelE	pncB//
TrpR_TyrR	nagA//
YefM_YefM-YoeB	pyrC//
