# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	purH//fbaA//
ArcA_CRP_IHF	glpX//
ArcA_CRP_PuuR	metK//sgbE//patA//ynfH//
ArcA_CRP_RhaS	adhE//
ArcA_CRP_TreR	sodA//ftnA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	paaH//feaB//
ArcA_Cra	prpC//
ArcA_Cra_FNR_H-NS_HypT	sucA//
ArcA_CysB_FNR	
ArcA_FNR	rhaD//sucA//tauD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	epd//
ArcA_FNR_Fis_IHF_NarL	folA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	lacA//treC//
ArcA_FNR_IHF_NarL	paaB//atoA//
ArcA_FNR_NarL	umpH//galT//aceE//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	deoB//ackA//
ArcA_FadR	fucO//pgaC//hycG//
ArcA_FadR_Fis	ilvD//accB//
ArcA_Fur_Lrp_ModE	rutE//galK//
ArcA_GlcC_IHF_PdhR	glgP//puuA//katE//
ArcA_LexA	malY//
ArcA_LldR	sgbU//tauD//
ArcA_NarL	lsrG//
ArcA_NtrC_PhoP_RutR	hemL//poxB//metH//pyrD//glyA//xylA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	deoA//
ArgP_CRP_FNR_Fur_Nac	caiB//
ArgP_DnaA	uxaA//
ArgP_Lrp	puuA//fadA//
ArgP_LysR	entB//
ArgP_PhoB	
ArgR_CRP	nfsA//
ArgR_CRP_Fis	treC//lsrG//nirD//
ArgR_Fis_IHF_PepA_PurR_RutR	idnD//
ArgR_H-NS_NtrC	moaE//ftnA//
ArgR_NtrC	prpC//glcB//gabT//tauD//hpt//
ArgR_PhoP	uxuA//
AscG_CRP	mraY//rsmH//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	citX//
AtoC_IHF	purM//hycE//tauD//
BaeR_CpxR	lldD//
BaeR_CpxR_EvgA	rbsD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	serC//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	caiA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	nanK//ynfH//murQ//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	paaF//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	treC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	yqjH//araB//nirD//nrdE//aroG//hycF//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	lsrF//malP//ilvD//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	deoD//ilvI//aroG//
CRP_Cra_Mlc_NagC	nanK//argD//zwf//glgA//
CRP_Cra_PrpR	ulaF//sufS//nrdB//ugpQ//
CRP_CreB_Fis_MalT	malQ//
CRP_CsiR_H-NS_Lrp	glcE//
CRP_CsiR_H-NS_Lrp_Nac	yqjH//sgbH//sucA//
CRP_CspA_Fis	citG//
CRP_CytR	cysI//
CRP_CytR_DeoR	caiC//uvrA//
CRP_CytR_DeoR_Fis_ModE	atoA//bglB//lsrF//dmsC//
CRP_CytR_Nac	rsmH//
CRP_CytR_NsrR	cysH//
CRP_DcuR_FNR_NarL	glcD//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	aceF//gabT//
CRP_DpiA_ExuR	puuA//
CRP_DsdC	appA//pspE//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ssuE//
CRP_ExuR	napG//
CRP_ExuR_FNR	prpE//gltA//
CRP_ExuR_OxyR_UxuR	acs//glcE//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	aceE//
CRP_FNR_Fis	gatD//uidA//
CRP_FNR_Fis_GlpR_IHF	glcE//galT//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	hypB//murF//aspA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	guaB//entH//garR//ilvD//rsmH//
CRP_FNR_NarL	fucK//gcd//
CRP_FeaR_NsrR	paaH//
CRP_Fis	purH//murF//paaA//
CRP_Fis_FlhDC_GalR_GalS	metL//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	narI//deoA//
CRP_Fis_IHF	poxB//metB//sucD//
CRP_Fis_NanR	ahpC//mhpF//aldB//galT//
CRP_Fis_NtrC	hyaC//
CRP_Fis_XylR	ilvA//
CRP_FlhDC_GalR_GalS	nrfD//
CRP_FucR	murC//ynfH//gntK//xylB//puuC//gatD//
CRP_Fur	frdA//puuA//nrfC//fadI//folA//puuD//ynfE//araD//waaH//entE//
CRP_Fur_HypT_PdhR	sodA//ilvH//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	glnA//nfsB//citD//hycD//
CRP_GalR_GalS_NagC	cysI//
CRP_GlpR	hycB//glnA//fadI//
CRP_GntR	fabA//
CRP_GntR_IdnR	edd//narH//glcF//mpl//glgA//araD//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	prpD//glpB//rhaB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	ndh//
CRP_H-NS_LacI	aspC//lpxC//cysM//
CRP_H-NS_LeuO	napC//
CRP_H-NS_MqsA	
CRP_IHF	caiB//mdh//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	citX//
CRP_IHF_PaaX	fadA//purM//frdA//xylB//astB//lsrF//puuE//malP//
CRP_IHF_UlaR	adhE//deoC//frdA//waaY//
CRP_IHF_YiaJ	ftsI//puuA//mhpA//fadA//entB//dadA//
CRP_LexA	
CRP_Lrp	appA//glnA//aceE//metL//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	hypB//
CRP_LsrR	mhpE//mhpF//gltB//paaI//fadH//
CRP_MalI	uidA//srlD//
CRP_MalT	tdcB//citG//
CRP_MalT_PhoP	fucO//
CRP_MelR	nemA//hycD//
CRP_MetJ	uidA//
CRP_MhpR	fadI//araB//nirB//cdd//pnp//mpl//
CRP_Mlc	
CRP_ModE	ldtB//
CRP_MurR	aceF//ynfE//glgP//
CRP_Nac_NsrR_PhoB	
CRP_NadR	pnp//
CRP_NagC	citF//ilvH//nrdA//rbsK//serA//
CRP_NagC_NanR	accB//lsrF//
CRP_NagC_PhoP	gnd//
CRP_OxyR	
CRP_OxyR_UxuR	cysH//
CRP_PhoB	fadD//hyaB//
CRP_PhoP	pspE//icd//betA//
CRP_PutA	hyaA//
CRP_RbsR	gcd//paaK//nrdB//
CRP_RhaR_RhaS	
CRP_RhaS	idnD//gltB//glpC//
CRP_Rob	idnO//
CRP_TorR	rutC//epd//
CRP_UhpA_UvrY	nanE//
CRP_UidR_UxuR	ilvA//acnB//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	nrdE//caiB//
Cbl_CysB_FNR_IHF	cdd//paaE//paaI//
CdaR_FNR_Fis_Fur_H-NS	rhaD//garK//
CdaR_FNR_Fur_H-NS	metB//cysG//prpB//citX//
CpxR_CsgD_FliZ	
CpxR_CysB	metH//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	codA//
CpxR_GadE	cdd//accC//frdC//
CpxR_H-NS	napA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	fadB//
Cra_FNR_Fis_Lrp_NarL	moeB//
Cra_FNR_Fur_MarA_Rob_SoxS	tauD//
Cra_FhlA_FlhDC	prmC//
Cra_GntR_KdgR	rhaD//
Cra_GntR_KdgR_PhoB	deoD//
Cra_MarA_SoxS	entH//
Cra_PdeL	nrfD//
Cra_SgrR	rhaA//
Cra_TyrR	narI//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	adiA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	malP//glcF//
CusR_PhoB_YedW	rhaB//
CysB_H-NS	fabA//lsrG//caiA//
CysB_HypT_IHF	napC//
CysB_IHF	yiaK//sucC//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	sucB//
DinJ-YafQ_LexA	adhE//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	katG//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	prmC//
FNR_FhlA_NarL_NarP	murF//hycF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	icd//
FNR_Fis_IHF_ModE_NarL	ahpF//
FNR_Fis_IHF_NarL	fucI//
FNR_Fis_IHF_NarL_RstA	carA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	sucB//
FNR_FlhDC_ModE_NarL_NarP	paaI//
FNR_Fur	nirD//ilvI//
FNR_Fur_GadE	glnA//
FNR_Fur_GadX_NtrC	pflB//
FNR_Fur_H-NS	cyoE//moeB//fadE//
FNR_Fur_MetR_NsrR	argG//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	mnmG//
FNR_Fur_OxyR	gapA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	hycF//
FNR_H-NS_NrdR	fadA//frdA//
FNR_IHF	cysJ//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	feaB//
FNR_IHF_PhoB	
FNR_MalT	hycF//uxuB//
FNR_ModE	
FNR_NarL	waaY//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	lacA//udp//
FNR_NarL_NikR	pgaC//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	cadA//hyaA//
FNR_YqjI	
FabR_FadR	moeA//pdeR//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	citE//cysJ//
FhlA_IHF_NsrR	
Fis_Fur	paaB//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	mraY//
Fis_IHF	
Fis_IHF_NtrC	yiaK//cysM//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	carB//
Fis_NarL	ddlB//
Fis_NarL_NarP_NsrR	
Fis_PurR	fabB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	pflB//
Fur_H-NS	nirB//moaD//
Fur_IHF_IscR_NsrR_OxyR	glyA//
Fur_IscR_NrdR	mdh//
Fur_MetR	ubiA//
Fur_MntR	accB//
Fur_MntR_OxyR	glpD//
Fur_OxyR	
Fur_PurR	ynfH//
Fur_RcnR	hcp//
Fur_RutR	melA//
Fur_SoxS_Zur	
Fur_YqjI	ddlB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	rsmH//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	caiA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	chbF//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	fadD//
H-NS_Lrp_NhaR_RcsB	ascB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	paaF//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	nemA//
HU_IHF_TyrR	malS//
HigA_HigB-HigA	deoC//
HipAB_HipB_IHF	tdcG//
HypT_MetJ	appA//
HypT_MetJ_PhoP	pflB//astB//
IHF_Lrp	ilvG_1//nagB//adiA//glpB//ulaE//
IHF_NsrR	
IHF_NtrC	nagB//
IHF_PhoP	
IHF_PspF	entA//
IHF_RcsAB	
IHF_RtcR	tam//gnd//
IHF_TyrR	mtlD//
IHF_UlaR	narH//
LexA_MraZ_PdhR	hycF//purA//rbsK//mdh//accC//ulaE//aspC//ubiA//dsdA//nrdF//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	nrdF//gdhA//
MarA_PhoP_Rob_SoxS	folA//nfsA//rsmH//sgbU//gntK//ubiC//rbsD//uxuB//cdd//
MarA_Rob_SoxS	tdcD//hycE//
MarA_SoxS	frdD//gntK//fucU//
MetJ_MetR	sdhA//
MetJ_OxyR	lpxA//
MetR_PurR	lacZ//
MraZ_PdhR	cdd//
Nac_PurR	gadB//citG//
NarL_TorR	codA//
NemR_RutR	nrfA//astE//
NhaR_OmpR	ddlB//cysH//pgaC//
NorR_NsrR	
NsrR_PhoB	fumA//
OxyR_SoxS	
PdhR_PhoP	aspC//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	aceE//ppiA//
RelB_RelB-RelE	moeA//
TrpR_TyrR	hemA//
YefM_YefM-YoeB	glnA//
