# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	murF//fabZ//
ArcA_CRP_IHF	sodA//
ArcA_CRP_PuuR	entB//pflB//serC//dusB//
ArcA_CRP_RhaS	hycC//
ArcA_CRP_TreR	pflB//ulaE//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	pspE//moaA//
ArcA_Cra	waaY//
ArcA_Cra_FNR_H-NS_HypT	entD//
ArcA_CysB_FNR	
ArcA_FNR	paaC//dadX//gnd//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	rimK//
ArcA_FNR_Fis_IHF_NarL	frdA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	paaB//galT//
ArcA_FNR_IHF_NarL	malP//glnA//
ArcA_FNR_NarL	ulaE//lpxA//gdhA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	sucA//mhpD//
ArcA_FadR	purN//waaY//paaZ//
ArcA_FadR_Fis	sucC//glgP//
ArcA_Fur_Lrp_ModE	pgaB//ackA//
ArcA_GlcC_IHF_PdhR	prpC//nanM//entB//
ArcA_LexA	moaD//
ArcA_LldR	gloA//fucI//
ArcA_NarL	murD//
ArcA_NtrC_PhoP_RutR	metE//hyaA//cysI//deoA//aspC//rhaB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	paaA//
ArgP_CRP_FNR_Fur_Nac	serC//
ArgP_DnaA	uxuB//
ArgP_Lrp	galM//atoA//
ArgP_LysR	caiC//
ArgP_PhoB	
ArgR_CRP	gatD//
ArgR_CRP_Fis	napG//purH//ldtB//
ArgR_Fis_IHF_PepA_PurR_RutR	xylA//
ArgR_H-NS_NtrC	uxuB//fes//
ArgR_NtrC	umpH//kbaZ//tdcD//garL//metB//
ArgR_PhoP	hpt//
AscG_CRP	fucI//moaE//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	metK//
AtoC_IHF	gutQ//ogt//rimK//
BaeR_CpxR	poxB//
BaeR_CpxR_EvgA	frdA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	gatD//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	dmsB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	dmsB//gcvT//uvrA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	fau//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	deoB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	uvrA//fadE//astC//serA//lpxD//rutA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	ulaE//dadX//ynfH//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	torC//mhpD//tauD//
CRP_Cra_Mlc_NagC	cysI//citX//poxB//fucO//
CRP_Cra_PrpR	fbaA//pgaC//idnK//metE//
CRP_CreB_Fis_MalT	napC//
CRP_CsiR_H-NS_Lrp	tdcE//
CRP_CsiR_H-NS_Lrp_Nac	lacA//metE//mhpF//
CRP_CspA_Fis	lacZ//
CRP_CytR	dsdA//
CRP_CytR_DeoR	recF//aceB//
CRP_CytR_DeoR_Fis_ModE	yqjH//metE//nrfC//epd//
CRP_CytR_Nac	entF//
CRP_CytR_NsrR	purM//
CRP_DcuR_FNR_NarL	prpD//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	dmsA//acnA//
CRP_DpiA_ExuR	citG//
CRP_DsdC	hpt//cyoE//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	pflB//
CRP_ExuR	ilvH//
CRP_ExuR_FNR	aceE//lsrK//
CRP_ExuR_OxyR_UxuR	pncB//putA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	ascB//
CRP_FNR_Fis	fucU//katE//
CRP_FNR_Fis_GlpR_IHF	sdhB//citD//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	codA//prpE//ahpF//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	acs//napC//purM//metK//pgk//
CRP_FNR_NarL	citF//frdA//
CRP_FeaR_NsrR	mpl//
CRP_Fis	ynfG//cysI//fabZ//
CRP_Fis_FlhDC_GalR_GalS	puuC//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	sucC//nemA//
CRP_Fis_IHF	waaY//ubiC//aroA//
CRP_Fis_NanR	glpA//ilvM//acnA//ahpC//
CRP_Fis_NtrC	malP//
CRP_Fis_XylR	puuC//
CRP_FlhDC_GalR_GalS	citF//
CRP_FucR	nrfB//purA//pgk//metK//atoB//accB//
CRP_Fur	fadJ//ynfH//mpl//mtlD//aceB//tam//citE//fabB//icd//uxaC//
CRP_Fur_HypT_PdhR	fucK//aspC//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	hypB//fadB//hypF//accC//
CRP_GalR_GalS_NagC	cysI//
CRP_GlpR	cysM//codA//hycG//
CRP_GntR	prpC//
CRP_GntR_IdnR	fabB//ilvG_1//melA//dmsA//hyaB//aspC//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	mnmG//rutD//dsdA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	glpA//
CRP_H-NS_LacI	prpB//aceE//poxB//
CRP_H-NS_LeuO	mraY//
CRP_H-NS_MqsA	
CRP_IHF	waaH//xylB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	idnO//
CRP_IHF_PaaX	zwf//pyrC//katE//frdD//caiC//gapA//gltA//sdhB//
CRP_IHF_UlaR	gatZ//rsmH//aroL//tauD//
CRP_IHF_YiaJ	mdh//glcF//lsrF//sdhA//murD//rhaA//
CRP_LexA	
CRP_Lrp	uvrA//pflB//gabD//sdhC//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	purA//
CRP_LsrR	ilvM//paaA//gabD//garR//dgcZ//
CRP_MalI	nrfB//rutB//
CRP_MalT	truB//ssuD//
CRP_MalT_PhoP	fbaA//
CRP_MelR	fadA//ilvD//
CRP_MetJ	nrfA//
CRP_MhpR	gcvT//prpB//waaZ//napG//cysM//frdA//
CRP_Mlc	
CRP_ModE	lpxC//
CRP_MurR	torA//gabT//gutQ//
CRP_Nac_NsrR_PhoB	
CRP_NadR	fucO//
CRP_NagC	ddlB//narI//entA//gltD//gutQ//
CRP_NagC_NanR	aldA//mhpD//
CRP_NagC_PhoP	citF//
CRP_OxyR	
CRP_OxyR_UxuR	astB//
CRP_PhoB	hcp//glgP//
CRP_PhoP	sucC//mazG//mpl//
CRP_PutA	hycD//
CRP_RbsR	kbaZ//entF//nrfC//
CRP_RhaR_RhaS	
CRP_RhaS	rutB//atoA//ulaD//
CRP_Rob	aldB//
CRP_TorR	ansB//fumB//
CRP_UhpA_UvrY	nrfB//
CRP_UidR_UxuR	purM//rutE//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	napB//ulaE//
Cbl_CysB_FNR_IHF	gatY//dusB//malQ//
CdaR_FNR_Fis_Fur_H-NS	cysH//ldtB//
CdaR_FNR_Fur_H-NS	aldA//metL//glpB//paaG//
CpxR_CsgD_FliZ	
CpxR_CysB	ubiA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	hycG//
CpxR_GadE	pgaD//aroL//nrdE//
CpxR_H-NS	narH//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	nrdA//
Cra_FNR_Fis_Lrp_NarL	ftnA//
Cra_FNR_Fur_MarA_Rob_SoxS	murF//
Cra_FhlA_FlhDC	argG//
Cra_GntR_KdgR	gadB//
Cra_GntR_KdgR_PhoB	ilvA//
Cra_MarA_SoxS	moeA//
Cra_PdeL	rutD//
Cra_SgrR	hyaA//
Cra_TyrR	aceA//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	fadJ//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	carA//sdhC//
CusR_PhoB_YedW	betB//
CysB_H-NS	rhaA//paaH//udp//
CysB_HypT_IHF	aceE//
CysB_IHF	pgk//gdhA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	glpA//
DinJ-YafQ_LexA	paaJ//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	dusB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	prpB//
FNR_FhlA_NarL_NarP	nirB//pgaC//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gdhA//
FNR_Fis_IHF_ModE_NarL	dgcZ//
FNR_Fis_IHF_NarL	astD//
FNR_Fis_IHF_NarL_RstA	bglB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	tnaA//
FNR_FlhDC_ModE_NarL_NarP	fdhF//
FNR_Fur	gatY//glpK//
FNR_Fur_GadE	garK//
FNR_Fur_GadX_NtrC	citD//
FNR_Fur_H-NS	uxaA//galK//malQ//
FNR_Fur_MetR_NsrR	citG//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	fabZ//
FNR_Fur_OxyR	narI//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	nirB//
FNR_H-NS_NrdR	prpE//hycC//
FNR_IHF	gltD//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	feaB//
FNR_IHF_PhoB	
FNR_MalT	hycB//nrfA//
FNR_ModE	
FNR_NarL	sodB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	acnB//gltA//
FNR_NarL_NikR	cysH//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	serA//astC//
FNR_YqjI	
FabR_FadR	fadE//tdcD//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	pncB//glpA//
FhlA_IHF_NsrR	
Fis_Fur	ubiC//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	citC//
Fis_IHF	
Fis_IHF_NtrC	paaA//sgbE//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	ansB//
Fis_NarL	glpQ//
Fis_NarL_NarP_NsrR	
Fis_PurR	paaH//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	hycE//
Fur_H-NS	astD//mhpE//
Fur_IHF_IscR_NsrR_OxyR	accB//
Fur_IscR_NrdR	frdB//
Fur_MetR	pgk//
Fur_MntR	ppiA//
Fur_MntR_OxyR	sdhD//
Fur_OxyR	
Fur_PurR	recF//
Fur_RcnR	paaC//
Fur_RutR	lsrK//
Fur_SoxS_Zur	
Fur_YqjI	gdhA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	araA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	sgbE//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	accC//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	sdhA//
H-NS_Lrp_NhaR_RcsB	fucO//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	rhaB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	uxuB//
HU_IHF_TyrR	chbG//
HigA_HigB-HigA	purD//
HipAB_HipB_IHF	srlD//
HypT_MetJ	gabT//
HypT_MetJ_PhoP	ascB//prpE//
IHF_Lrp	pncB//astD//paaG//hemL//serA//
IHF_NsrR	
IHF_NtrC	sufS//
IHF_PhoP	
IHF_PspF	garR//
IHF_RcsAB	
IHF_RtcR	aroL//paaE//
IHF_TyrR	frdB//
IHF_UlaR	galM//
LexA_MraZ_PdhR	fucO//torA//feaB//patA//entD//hypB//tdcG//ubiC//glgP//sgbH//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	pgaB//treC//
MarA_PhoP_Rob_SoxS	moaA//gdhA//deoC//galE//glpB//xylB//paaJ//sodA//ndh//
MarA_Rob_SoxS	aceF//paaB//
MarA_SoxS	fumB//accB//gcd//
MetJ_MetR	rutB//
MetJ_OxyR	napH//
MetR_PurR	glgC//
MraZ_PdhR	puuA//
Nac_PurR	ahpF//katE//
NarL_TorR	glpD//
NemR_RutR	purH//glnA//
NhaR_OmpR	ddlB//lpd//lacZ//
NorR_NsrR	
NsrR_PhoB	paaI//
OxyR_SoxS	
PdhR_PhoP	citF//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	uxuB//murC//
RelB_RelB-RelE	accC//
TrpR_TyrR	purD//
YefM_YefM-YoeB	rutD//
